,Word,Frequency,Zipf Frequency,Part of Speech,Phonemes,No Stress,Lexicality,Length,Size
16,community,0.000219,5.34,NOUN,"['K', 'AH0', 'M', 'Y', 'UW1', 'N', 'AH0', 'T', 'IY0']","['K', 'AH', 'M', 'Y', 'UW', 'N', 'AH', 'T', 'IY']",real,9,long
17,services,0.000204,5.31,NOUN,"['S', 'ER1', 'V', 'AH0', 'S', 'AH0', 'Z']","['S', 'ER', 'V', 'AH', 'S', 'AH', 'Z']",real,7,long
18,political,0.000195,5.29,ADJ,"['P', 'AH0', 'L', 'IH1', 'T', 'AH0', 'K', 'AH0', 'L']","['P', 'AH', 'L', 'IH', 'T', 'AH', 'K', 'AH', 'L']",real,9,long
19,according,0.000191,5.28,VERB,"['AH0', 'K', 'AO1', 'R', 'D', 'IH0', 'NG']","['AH', 'K', 'AO', 'R', 'D', 'IH', 'NG']",real,7,long
20,available,0.000191,5.28,ADJ,"['AH0', 'V', 'EY1', 'L', 'AH0', 'B', 'AH0', 'L']","['AH', 'V', 'EY', 'L', 'AH', 'B', 'AH', 'L']",real,8,long
21,education,0.000191,5.28,NOUN,"['EH2', 'JH', 'AH0', 'K', 'EY1', 'SH', 'AH0', 'N']","['EH', 'JH', 'AH', 'K', 'EY', 'SH', 'AH', 'N']",real,8,long
22,sometimes,0.000191,5.28,ADV,"['S', 'AH0', 'M', 'T', 'AY1', 'M', 'Z']","['S', 'AH', 'M', 'T', 'AY', 'M', 'Z']",real,7,long
23,example,0.000186,5.27,NOUN,"['IH0', 'G', 'Z', 'AE1', 'M', 'P', 'AH0', 'L']","['IH', 'G', 'Z', 'AE', 'M', 'P', 'AH', 'L']",real,8,long
24,himself,0.000178,5.25,PRON,"['HH', 'IH0', 'M', 'S', 'EH1', 'L', 'F']","['HH', 'IH', 'M', 'S', 'EH', 'L', 'F']",real,7,long
25,students,0.000178,5.25,NOUN,"['S', 'T', 'UW1', 'D', 'AH0', 'N', 'T', 'S']","['S', 'T', 'UW', 'D', 'AH', 'N', 'T', 'S']",real,8,long
26,results,0.00017,5.23,NOUN,"['R', 'IH0', 'Z', 'AH1', 'L', 'T', 'S']","['R', 'IH', 'Z', 'AH', 'L', 'T', 'S']",real,7,long
27,beautiful,0.000166,5.22,ADJ,"['B', 'Y', 'UW1', 'T', 'AH0', 'F', 'AH0', 'L']","['B', 'Y', 'UW', 'T', 'AH', 'F', 'AH', 'L']",real,8,long
28,parents,0.000162,5.21,NOUN,"['P', 'EH1', 'R', 'AH0', 'N', 'T', 'S']","['P', 'EH', 'R', 'AH', 'N', 'T', 'S']",real,7,long
29,military,0.000158,5.2,ADJ,"['M', 'IH1', 'L', 'AH0', 'T', 'EH2', 'R', 'IY0']","['M', 'IH', 'L', 'AH', 'T', 'EH', 'R', 'IY']",real,8,long
30,personal,0.000158,5.2,ADJ,"['P', 'ER1', 'S', 'IH0', 'N', 'IH0', 'L']","['P', 'ER', 'S', 'IH', 'N', 'IH', 'L']",real,7,long
31,security,0.000158,5.2,NOUN,"['S', 'IH0', 'K', 'Y', 'UH1', 'R', 'AH0', 'T', 'IY0']","['S', 'IH', 'K', 'Y', 'UH', 'R', 'AH', 'T', 'IY']",real,9,long
32,industry,0.000155,5.19,NOUN,"['IH1', 'N', 'D', 'AH0', 'S', 'T', 'R', 'IY0']","['IH', 'N', 'D', 'AH', 'S', 'T', 'R', 'IY']",real,8,long
33,problems,0.000155,5.19,NOUN,"['P', 'R', 'AA1', 'B', 'L', 'AH0', 'M', 'Z']","['P', 'R', 'AA', 'B', 'L', 'AH', 'M', 'Z']",real,8,long
34,companies,0.000151,5.18,NOUN,"['K', 'AH1', 'M', 'P', 'AH0', 'N', 'IY0', 'Z']","['K', 'AH', 'M', 'P', 'AH', 'N', 'IY', 'Z']",real,8,long
35,society,0.000148,5.17,NOUN,"['S', 'AH0', 'S', 'AY1', 'AH0', 'T', 'IY0']","['S', 'AH', 'S', 'AY', 'AH', 'T', 'IY']",real,7,long
36,medical,0.000145,5.16,ADJ,"['M', 'EH1', 'D', 'AH0', 'K', 'AH0', 'L']","['M', 'EH', 'D', 'AH', 'K', 'AH', 'L']",real,7,long
37,original,0.000145,5.16,ADJ,"['ER0', 'IH1', 'JH', 'AH0', 'N', 'AH0', 'L']","['ER', 'IH', 'JH', 'AH', 'N', 'AH', 'L']",real,7,long
38,performance,0.000145,5.16,NOUN,"['P', 'ER0', 'F', 'AO1', 'R', 'M', 'AH0', 'N', 'S']","['P', 'ER', 'F', 'AO', 'R', 'M', 'AH', 'N', 'S']",real,9,long
39,themselves,0.000145,5.16,PRON,"['DH', 'EH0', 'M', 'S', 'EH1', 'L', 'V', 'Z']","['DH', 'EH', 'M', 'S', 'EH', 'L', 'V', 'Z']",real,8,long
40,exactly,0.000141,5.15,ADV,"['IH0', 'G', 'Z', 'AE1', 'K', 'T', 'L', 'IY0']","['IH', 'G', 'Z', 'AE', 'K', 'T', 'L', 'IY']",real,8,long
41,questions,0.000141,5.15,NOUN,"['K', 'W', 'EH1', 'S', 'CH', 'AH0', 'N', 'Z']","['K', 'W', 'EH', 'S', 'CH', 'AH', 'N', 'Z']",real,8,long
42,september,0.000141,5.15,PROPN,"['S', 'EH0', 'P', 'T', 'EH1', 'M', 'B', 'ER0']","['S', 'EH', 'P', 'T', 'EH', 'M', 'B', 'ER']",real,8,long
43,usually,0.000141,5.15,ADV,"['Y', 'UW1', 'ZH', 'AH0', 'W', 'AH0', 'L', 'IY0']","['Y', 'UW', 'ZH', 'AH', 'W', 'AH', 'L', 'IY']",real,8,long
44,evidence,0.000138,5.14,NOUN,"['EH1', 'V', 'AH0', 'D', 'AH0', 'N', 'S']","['EH', 'V', 'AH', 'D', 'AH', 'N', 'S']",real,7,long
45,production,0.000138,5.14,NOUN,"['P', 'R', 'AH0', 'D', 'AH1', 'K', 'SH', 'AH0', 'N']","['P', 'R', 'AH', 'D', 'AH', 'K', 'SH', 'AH', 'N']",real,9,long
46,countries,0.000135,5.13,NOUN,"['K', 'AH1', 'N', 'T', 'R', 'IY0', 'Z']","['K', 'AH', 'N', 'T', 'R', 'IY', 'Z']",real,7,long
47,management,0.000135,5.13,NOUN,"['M', 'AE1', 'N', 'AH0', 'JH', 'M', 'AH0', 'N', 'T']","['M', 'AE', 'N', 'AH', 'JH', 'M', 'AH', 'N', 'T']",real,9,long
48,central,0.000132,5.12,ADJ,"['S', 'EH1', 'N', 'T', 'R', 'AH0', 'L']","['S', 'EH', 'N', 'T', 'R', 'AH', 'L']",real,7,long
49,england,0.000132,5.12,PROPN,"['IH1', 'NG', 'G', 'L', 'AH0', 'N', 'D']","['IH', 'NG', 'G', 'L', 'AH', 'N', 'D']",real,7,long
50,property,0.000129,5.11,NOUN,"['P', 'R', 'AA1', 'P', 'ER0', 'T', 'IY0']","['P', 'R', 'AA', 'P', 'ER', 'T', 'IY']",real,7,long
51,quality,0.000129,5.11,NOUN,"['K', 'W', 'AA1', 'L', 'AH0', 'T', 'IY0']","['K', 'W', 'AA', 'L', 'AH', 'T', 'IY']",real,7,long
52,economic,0.000126,5.1,ADJ,"['EH2', 'K', 'AH0', 'N', 'AA1', 'M', 'IH0', 'K']","['EH', 'K', 'AH', 'N', 'AA', 'M', 'IH', 'K']",real,8,long
53,involved,0.000126,5.1,VERB,"['IH0', 'N', 'V', 'AA1', 'L', 'V', 'D']","['IH', 'N', 'V', 'AA', 'L', 'V', 'D']",real,7,long
54,related,0.000126,5.1,VERB,"['R', 'IH0', 'L', 'EY1', 'T', 'IH0', 'D']","['R', 'IH', 'L', 'EY', 'T', 'IH', 'D']",real,7,long
55,decided,0.000123,5.09,VERB,"['D', 'IH0', 'S', 'AY1', 'D', 'IH0', 'D']","['D', 'IH', 'S', 'AY', 'D', 'IH', 'D']",real,7,long
56,decision,0.000123,5.09,NOUN,"['D', 'IH0', 'S', 'IH1', 'ZH', 'AH0', 'N']","['D', 'IH', 'S', 'IH', 'ZH', 'AH', 'N']",real,7,long
57,january,0.000123,5.09,PROPN,"['JH', 'AE1', 'N', 'Y', 'UW0', 'EH2', 'R', 'IY0']","['JH', 'AE', 'N', 'Y', 'UW', 'EH', 'R', 'IY']",real,8,long
58,situation,0.000123,5.09,NOUN,"['S', 'IH2', 'CH', 'UW0', 'EY1', 'SH', 'AH0', 'N']","['S', 'IH', 'CH', 'UW', 'EY', 'SH', 'AH', 'N']",real,8,long
59,technology,0.000123,5.09,NOUN,"['T', 'EH0', 'K', 'N', 'AA1', 'L', 'AH0', 'JH', 'IY0']","['T', 'EH', 'K', 'N', 'AA', 'L', 'AH', 'JH', 'IY']",real,9,long
60,considered,0.00012,5.08,VERB,"['K', 'AH0', 'N', 'S', 'IH1', 'D', 'ER0', 'D']","['K', 'AH', 'N', 'S', 'IH', 'D', 'ER', 'D']",real,8,long
61,continue,0.00012,5.08,VERB,"['K', 'AH0', 'N', 'T', 'IH1', 'N', 'Y', 'UW0']","['K', 'AH', 'N', 'T', 'IH', 'N', 'Y', 'UW']",real,8,long
62,currently,0.00012,5.08,ADV,"['K', 'ER1', 'AH0', 'N', 'T', 'L', 'IY0']","['K', 'ER', 'AH', 'N', 'T', 'L', 'IY']",real,7,long
63,election,0.00012,5.08,NOUN,"['IH0', 'L', 'EH1', 'K', 'SH', 'AH0', 'N']","['IH', 'L', 'EH', 'K', 'SH', 'AH', 'N']",real,7,long
64,european,0.00012,5.08,ADJ,"['Y', 'UH2', 'R', 'AH0', 'P', 'IY1', 'AH0', 'N']","['Y', 'UH', 'R', 'AH', 'P', 'IY', 'AH', 'N']",real,8,long
65,financial,0.00012,5.08,ADJ,"['F', 'AH0', 'N', 'AE1', 'N', 'SH', 'AH0', 'L']","['F', 'AH', 'N', 'AE', 'N', 'SH', 'AH', 'L']",real,8,long
66,december,0.000117,5.07,PROPN,"['D', 'IH0', 'S', 'EH1', 'M', 'B', 'ER0']","['D', 'IH', 'S', 'EH', 'M', 'B', 'ER']",real,7,long
67,difficult,0.000117,5.07,ADJ,"['D', 'IH1', 'F', 'AH0', 'K', 'AH0', 'L', 'T']","['D', 'IH', 'F', 'AH', 'K', 'AH', 'L', 'T']",real,8,long
68,popular,0.000117,5.07,ADJ,"['P', 'AA1', 'P', 'Y', 'AH0', 'L', 'ER0']","['P', 'AA', 'P', 'Y', 'AH', 'L', 'ER']",real,7,long
69,published,0.000117,5.07,VERB,"['P', 'AH1', 'B', 'L', 'IH0', 'SH', 'T']","['P', 'AH', 'B', 'L', 'IH', 'SH', 'T']",real,7,long
70,starting,0.000117,5.07,VERB,"['S', 'T', 'AA1', 'R', 'T', 'IH0', 'NG']","['S', 'T', 'AA', 'R', 'T', 'IH', 'NG']",real,7,long
71,systems,0.000117,5.07,NOUN,"['S', 'IH1', 'S', 'T', 'AH0', 'M', 'Z']","['S', 'IH', 'S', 'T', 'AH', 'M', 'Z']",real,7,long
72,internet,0.000115,5.06,NOUN,"['IH1', 'N', 'T', 'ER0', 'N', 'EH2', 'T']","['IH', 'N', 'T', 'ER', 'N', 'EH', 'T']",real,7,long
73,practice,0.000115,5.06,VERB,"['P', 'R', 'AE1', 'K', 'T', 'AH0', 'S']","['P', 'R', 'AE', 'K', 'T', 'AH', 'S']",real,7,long
74,towards,0.000115,5.06,ADP,"['T', 'AH0', 'W', 'AO1', 'R', 'D', 'Z']","['T', 'AH', 'W', 'AO', 'R', 'D', 'Z']",real,7,long
75,created,0.000112,5.05,VERB,"['K', 'R', 'IY0', 'EY1', 'T', 'AH0', 'D']","['K', 'R', 'IY', 'EY', 'T', 'AH', 'D']",real,7,long
76,minister,0.00011,5.04,PROPN,"['M', 'IH1', 'N', 'AH0', 'S', 'T', 'ER0']","['M', 'IH', 'N', 'AH', 'S', 'T', 'ER']",real,7,long
77,products,0.00011,5.04,NOUN,"['P', 'R', 'AA1', 'D', 'AH0', 'K', 'T', 'S']","['P', 'R', 'AA', 'D', 'AH', 'K', 'T', 'S']",real,8,long
78,february,0.000107,5.03,PROPN,"['F', 'EH1', 'B', 'Y', 'AH0', 'W', 'EH2', 'R', 'IY0']","['F', 'EH', 'B', 'Y', 'AH', 'W', 'EH', 'R', 'IY']",real,9,long
79,included,0.000107,5.03,VERB,"['IH0', 'N', 'K', 'L', 'UW1', 'D', 'AH0', 'D']","['IH', 'N', 'K', 'L', 'UW', 'D', 'AH', 'D']",real,8,long
80,response,0.000107,5.03,NOUN,"['R', 'IH0', 'S', 'P', 'AA1', 'N', 'S']","['R', 'IH', 'S', 'P', 'AA', 'N', 'S']",real,7,long
81,specific,0.000107,5.03,ADJ,"['S', 'P', 'AH0', 'S', 'IH1', 'F', 'IH0', 'K']","['S', 'P', 'AH', 'S', 'IH', 'F', 'IH', 'K']",real,8,long
82,limited,0.000105,5.02,ADJ,"['L', 'IH1', 'M', 'AH0', 'T', 'AH0', 'D']","['L', 'IH', 'M', 'AH', 'T', 'AH', 'D']",real,7,long
83,provided,0.000105,5.02,VERB,"['P', 'R', 'AH0', 'V', 'AY1', 'D', 'AH0', 'D']","['P', 'R', 'AH', 'V', 'AY', 'D', 'AH', 'D']",real,8,long
84,recently,0.000105,5.02,ADV,"['R', 'IY1', 'S', 'AH0', 'N', 'T', 'L', 'IY0']","['R', 'IY', 'S', 'AH', 'N', 'T', 'L', 'IY']",real,8,long
85,required,0.000105,5.02,VERB,"['R', 'IY0', 'K', 'W', 'AY1', 'ER0', 'D']","['R', 'IY', 'K', 'W', 'AY', 'ER', 'D']",real,7,long
86,student,0.000105,5.02,NOUN,"['S', 'T', 'UW1', 'D', 'AH0', 'N', 'T']","['S', 'T', 'UW', 'D', 'AH', 'N', 'T']",real,7,long
87,association,0.000102,5.01,NOUN,"['AH0', 'S', 'OW2', 'S', 'IY0', 'EY1', 'SH', 'AH0', 'N']","['AH', 'S', 'OW', 'S', 'IY', 'EY', 'SH', 'AH', 'N']",real,9,long
88,conference,0.000102,5.01,NOUN,"['K', 'AA1', 'N', 'F', 'ER0', 'AH0', 'N', 'S']","['K', 'AA', 'N', 'F', 'ER', 'AH', 'N', 'S']",real,8,long
89,difference,0.000102,5.01,NOUN,"['D', 'IH1', 'F', 'ER0', 'AH0', 'N', 'S']","['D', 'IH', 'F', 'ER', 'AH', 'N', 'S']",real,7,long
90,potential,0.000102,5.01,ADJ,"['P', 'AH0', 'T', 'EH1', 'N', 'SH', 'AH0', 'L']","['P', 'AH', 'T', 'EH', 'N', 'SH', 'AH', 'L']",real,8,long
91,treatment,0.000102,5.01,NOUN,"['T', 'R', 'IY1', 'T', 'M', 'AH0', 'N', 'T']","['T', 'R', 'IY', 'T', 'M', 'AH', 'N', 'T']",real,8,long
92,beginning,0.0001,5.0,VERB,"['B', 'IH0', 'G', 'IH1', 'N', 'IH0', 'NG']","['B', 'IH', 'G', 'IH', 'N', 'IH', 'NG']",real,7,long
93,certainly,0.0001,5.0,ADV,"['S', 'ER1', 'T', 'AH0', 'N', 'L', 'IY0']","['S', 'ER', 'T', 'AH', 'N', 'L', 'IY']",real,7,long
94,completely,0.0001,5.0,ADV,"['K', 'AH0', 'M', 'P', 'L', 'IY1', 'T', 'L', 'IY0']","['K', 'AH', 'M', 'P', 'L', 'IY', 'T', 'L', 'IY']",real,9,long
95,described,0.0001,5.0,VERB,"['D', 'IH0', 'S', 'K', 'R', 'AY1', 'B', 'D']","['D', 'IH', 'S', 'K', 'R', 'AY', 'B', 'D']",real,8,long
96,interesting,0.0001,5.0,VERB,"['IH1', 'N', 'T', 'R', 'AH0', 'S', 'T', 'IH0', 'NG']","['IH', 'N', 'T', 'R', 'AH', 'S', 'T', 'IH', 'NG']",real,9,long
97,particular,0.0001,5.0,ADJ,"['P', 'ER0', 'T', 'IH1', 'K', 'Y', 'AH0', 'L', 'ER0']","['P', 'ER', 'T', 'IH', 'K', 'Y', 'AH', 'L', 'ER']",real,9,long
98,previous,0.0001,5.0,ADJ,"['P', 'R', 'IY1', 'V', 'IY0', 'AH0', 'S']","['P', 'R', 'IY', 'V', 'IY', 'AH', 'S']",real,7,long
99,reported,0.0001,5.0,VERB,"['R', 'IY2', 'P', 'AO1', 'R', 'T', 'AH0', 'D']","['R', 'IY', 'P', 'AO', 'R', 'T', 'AH', 'D']",real,8,long
100,absolutely,9.55e-05,4.98,ADV,"['AE2', 'B', 'S', 'AH0', 'L', 'UW1', 'T', 'L', 'IY0']","['AE', 'B', 'S', 'AH', 'L', 'UW', 'T', 'L', 'IY']",real,9,long
101,additional,9.55e-05,4.98,ADJ,"['AH0', 'D', 'IH1', 'SH', 'AH0', 'N', 'AH0', 'L']","['AH', 'D', 'IH', 'SH', 'AH', 'N', 'AH', 'L']",real,8,long
102,conditions,9.55e-05,4.98,NOUN,"['K', 'AH0', 'N', 'D', 'IH1', 'SH', 'AH0', 'N', 'Z']","['K', 'AH', 'N', 'D', 'IH', 'SH', 'AH', 'N', 'Z']",real,9,long
103,immediately,9.55e-05,4.98,ADV,"['IH0', 'M', 'IY1', 'D', 'IY0', 'AH0', 'T', 'L', 'IY0']","['IH', 'M', 'IY', 'D', 'IY', 'AH', 'T', 'L', 'IY']",real,9,long
104,computer,9.33e-05,4.97,NOUN,"['K', 'AH0', 'M', 'P', 'Y', 'UW1', 'T', 'ER0']","['K', 'AH', 'M', 'P', 'Y', 'UW', 'T', 'ER']",real,8,long
105,movement,9.33e-05,4.97,NOUN,"['M', 'UW1', 'V', 'M', 'AH0', 'N', 'T']","['M', 'UW', 'V', 'M', 'AH', 'N', 'T']",real,7,long
106,statement,9.33e-05,4.97,NOUN,"['S', 'T', 'EY1', 'T', 'M', 'AH0', 'N', 'T']","['S', 'T', 'EY', 'T', 'M', 'AH', 'N', 'T']",real,8,long
107,ability,9.12e-05,4.96,NOUN,"['AH0', 'B', 'IH1', 'L', 'AH0', 'T', 'IY0']","['AH', 'B', 'IH', 'L', 'AH', 'T', 'IY']",real,7,long
108,collection,9.12e-05,4.96,NOUN,"['K', 'AH0', 'L', 'EH1', 'K', 'SH', 'AH0', 'N']","['K', 'AH', 'L', 'EH', 'K', 'SH', 'AH', 'N']",real,8,long
109,continued,9.12e-05,4.96,VERB,"['K', 'AH0', 'N', 'T', 'IH1', 'N', 'Y', 'UW0', 'D']","['K', 'AH', 'N', 'T', 'IH', 'N', 'Y', 'UW', 'D']",real,9,long
110,definitely,9.12e-05,4.96,ADV,"['D', 'EH1', 'F', 'AH0', 'N', 'AH0', 'T', 'L', 'IY0']","['D', 'EH', 'F', 'AH', 'N', 'AH', 'T', 'L', 'IY']",real,9,long
111,expected,9.12e-05,4.96,VERB,"['IH0', 'K', 'S', 'P', 'EH1', 'K', 'T', 'AH0', 'D']","['IH', 'K', 'S', 'P', 'EH', 'K', 'T', 'AH', 'D']",real,9,long
112,includes,9.12e-05,4.96,VERB,"['IH0', 'N', 'K', 'L', 'UW1', 'D', 'Z']","['IH', 'N', 'K', 'L', 'UW', 'D', 'Z']",real,7,long
113,developed,8.91e-05,4.95,VERB,"['D', 'IH0', 'V', 'EH1', 'L', 'AH0', 'P', 'T']","['D', 'IH', 'V', 'EH', 'L', 'AH', 'P', 'T']",real,8,long
114,generally,8.91e-05,4.95,ADV,"['JH', 'EH1', 'N', 'ER0', 'AH0', 'L', 'IY0']","['JH', 'EH', 'N', 'ER', 'AH', 'L', 'IY']",real,7,long
115,interested,8.91e-05,4.95,ADJ,"['IH1', 'N', 'T', 'R', 'AH0', 'S', 'T', 'AH0', 'D']","['IH', 'N', 'T', 'R', 'AH', 'S', 'T', 'AH', 'D']",real,9,long
116,material,8.91e-05,4.95,NOUN,"['M', 'AH0', 'T', 'IH1', 'R', 'IY0', 'AH0', 'L']","['M', 'AH', 'T', 'IH', 'R', 'IY', 'AH', 'L']",real,8,long
117,families,8.71e-05,4.94,NOUN,"['F', 'AE1', 'M', 'AH0', 'L', 'IY0', 'Z']","['F', 'AE', 'M', 'AH', 'L', 'IY', 'Z']",real,7,long
118,insurance,8.71e-05,4.94,NOUN,"['IH0', 'N', 'SH', 'UH1', 'R', 'AH0', 'N', 'S']","['IH', 'N', 'SH', 'UH', 'R', 'AH', 'N', 'S']",real,8,long
119,majority,8.71e-05,4.94,NOUN,"['M', 'AH0', 'JH', 'AO1', 'R', 'AH0', 'T', 'IY0']","['M', 'AH', 'JH', 'AO', 'R', 'AH', 'T', 'IY']",real,8,long
120,physical,8.71e-05,4.94,ADJ,"['F', 'IH1', 'Z', 'IH0', 'K', 'AH0', 'L']","['F', 'IH', 'Z', 'IH', 'K', 'AH', 'L']",real,7,long
121,seriously,8.71e-05,4.94,ADV,"['S', 'IH1', 'R', 'IY0', 'AH0', 'S', 'L', 'IY0']","['S', 'IH', 'R', 'IY', 'AH', 'S', 'L', 'IY']",real,8,long
122,successful,8.71e-05,4.94,ADJ,"['S', 'AH0', 'K', 'S', 'EH1', 'S', 'F', 'AH0', 'L']","['S', 'AH', 'K', 'S', 'EH', 'S', 'F', 'AH', 'L']",real,9,long
123,australian,8.51e-05,4.93,ADJ,"['AO0', 'S', 'T', 'R', 'EY1', 'L', 'Y', 'AH0', 'N']","['AO', 'S', 'T', 'R', 'EY', 'L', 'Y', 'AH', 'N']",real,9,long
124,direction,8.51e-05,4.93,NOUN,"['D', 'ER0', 'EH1', 'K', 'SH', 'AH0', 'N']","['D', 'ER', 'EH', 'K', 'SH', 'AH', 'N']",real,7,long
125,commercial,8.32e-05,4.92,ADJ,"['K', 'AH0', 'M', 'ER1', 'SH', 'AH0', 'L']","['K', 'AH', 'M', 'ER', 'SH', 'AH', 'L']",real,7,long
126,compared,8.32e-05,4.92,VERB,"['K', 'AH0', 'M', 'P', 'EH1', 'R', 'D']","['K', 'AH', 'M', 'P', 'EH', 'R', 'D']",real,7,long
127,multiple,8.32e-05,4.92,ADJ,"['M', 'AH1', 'L', 'T', 'AH0', 'P', 'AH0', 'L']","['M', 'AH', 'L', 'T', 'AH', 'P', 'AH', 'L']",real,8,long
128,operation,8.32e-05,4.92,NOUN,"['AA2', 'P', 'ER0', 'EY1', 'SH', 'AH0', 'N']","['AA', 'P', 'ER', 'EY', 'SH', 'AH', 'N']",real,7,long
129,activities,8.13e-05,4.91,NOUN,"['AE0', 'K', 'T', 'IH1', 'V', 'AH0', 'T', 'IY0', 'Z']","['AE', 'K', 'T', 'IH', 'V', 'AH', 'T', 'IY', 'Z']",real,9,long
130,analysis,8.13e-05,4.91,NOUN,"['AH0', 'N', 'AE1', 'L', 'AH0', 'S', 'AH0', 'S']","['AH', 'N', 'AE', 'L', 'AH', 'S', 'AH', 'S']",real,8,long
131,christmas,8.13e-05,4.91,PROPN,"['K', 'R', 'IH1', 'S', 'M', 'AH0', 'S']","['K', 'R', 'IH', 'S', 'M', 'AH', 'S']",real,7,long
132,commission,8.13e-05,4.91,PROPN,"['K', 'AH0', 'M', 'IH1', 'SH', 'AH0', 'N']","['K', 'AH', 'M', 'IH', 'SH', 'AH', 'N']",real,7,long
133,increased,8.13e-05,4.91,VERB,"['IH0', 'N', 'K', 'R', 'IY1', 'S', 'T']","['IH', 'N', 'K', 'R', 'IY', 'S', 'T']",real,7,long
134,literally,8.13e-05,4.91,ADV,"['L', 'IH1', 'T', 'ER0', 'AH0', 'L', 'IY0']","['L', 'IH', 'T', 'ER', 'AH', 'L', 'IY']",real,7,long
135,patients,8.13e-05,4.91,NOUN,"['P', 'EY1', 'SH', 'AH0', 'N', 'T', 'S']","['P', 'EY', 'SH', 'AH', 'N', 'T', 'S']",real,7,long
136,resources,8.13e-05,4.91,NOUN,"['R', 'IY1', 'S', 'AO0', 'R', 'S', 'IH0', 'Z']","['R', 'IY', 'S', 'AO', 'R', 'S', 'IH', 'Z']",real,8,long
137,yesterday,8.13e-05,4.91,NOUN,"['Y', 'EH1', 'S', 'T', 'ER0', 'D', 'EY2']","['Y', 'EH', 'S', 'T', 'ER', 'D', 'EY']",real,7,long
138,directly,7.94e-05,4.9,ADV,"['D', 'ER0', 'EH1', 'K', 'T', 'L', 'IY0']","['D', 'ER', 'EH', 'K', 'T', 'L', 'IY']",real,7,long
139,established,7.94e-05,4.9,VERB,"['IH0', 'S', 'T', 'AE1', 'B', 'L', 'IH0', 'SH', 'T']","['IH', 'S', 'T', 'AE', 'B', 'L', 'IH', 'SH', 'T']",real,9,long
140,largest,7.94e-05,4.9,ADJ,"['L', 'AA1', 'R', 'JH', 'AH0', 'S', 'T']","['L', 'AA', 'R', 'JH', 'AH', 'S', 'T']",real,7,long
