,Word,Frequency,Zipf Frequency,Part of Speech,Phonemes
135,each,0.00049,5.69,PRON,"['IY1', 'CH']"
136,against,0.000479,5.68,ADP,"['AH0', 'G', 'EH1', 'N', 'S', 'T']"
137,end,0.000479,5.68,NOUN,"['EH1', 'N', 'D']"
138,must,0.000479,5.68,AUX,"['M', 'AH1', 'S', 'T']"
139,show,0.000479,5.68,VERB,"['SH', 'OW1']"
140,big,0.000468,5.67,ADJ,"['B', 'IH1', 'G']"
141,feel,0.000468,5.67,VERB,"['F', 'IY1', 'L']"
142,sure,0.000468,5.67,ADJ,"['SH', 'UH1', 'R']"
143,team,0.000468,5.67,NOUN,"['T', 'IY1', 'M']"
144,ever,0.000457,5.66,ADV,"['EH1', 'V', 'ER0']"
145,family,0.000457,5.66,NOUN,"['F', 'AE1', 'M', 'AH0', 'L', 'IY0']"
146,keep,0.000457,5.66,VERB,"['K', 'IY1', 'P']"
147,might,0.000457,5.66,AUX,"['M', 'AY1', 'T']"
148,please,0.000457,5.66,INTJ,"['P', 'L', 'IY1', 'Z']"
149,put,0.000457,5.66,VERB,"['P', 'UH1', 'T']"
150,money,0.000437,5.64,NOUN,"['M', 'AH1', 'N', 'IY0']"
151,free,0.000427,5.63,ADJ,"['F', 'R', 'IY1']"
152,second,0.000427,5.63,ADJ,"['S', 'EH1', 'K', 'AH0', 'N', 'D']"
153,away,0.000417,5.62,ADV,"['AH0', 'W', 'EY1']"
154,left,0.000417,5.62,VERB,"['L', 'EH1', 'F', 'T']"
155,number,0.000417,5.62,NOUN,"['N', 'AH1', 'M', 'B', 'ER0']"
156,city,0.000407,5.61,NOUN,"['S', 'IH1', 'T', 'IY0']"
157,days,0.000407,5.61,NOUN,"['D', 'EY1', 'Z']"
158,lot,0.000407,5.61,NOUN,"['L', 'AA1', 'T']"
159,name,0.000407,5.61,VERB,"['N', 'EY1', 'M']"
160,night,0.000407,5.61,NOUN,"['N', 'AY1', 'T']"
161,play,0.000407,5.61,VERB,"['P', 'L', 'EY1']"
162,until,0.000407,5.61,ADP,"['AH0', 'N', 'T', 'IH1', 'L']"
163,company,0.000398,5.6,NOUN,"['K', 'AH1', 'M', 'P', 'AH0', 'N', 'IY0']"
164,doing,0.000398,5.6,VERB,"['D', 'UW1', 'IH0', 'NG']"
165,let,0.000398,5.6,VERB,"['L', 'EH1', 'T']"
166,different,0.000389,5.59,ADJ,"['D', 'IH1', 'F', 'ER0', 'AH0', 'N', 'T']"
167,having,0.000389,5.59,VERB,"['HH', 'AE1', 'V', 'IH0', 'NG']"
168,set,0.000389,5.59,VERB,"['S', 'EH1', 'T']"
169,thought,0.000389,5.59,VERB,"['TH', 'AO1', 'T']"
170,done,0.00038,5.58,VERB,"['D', 'AH1', 'N']"
171,however,0.00038,5.58,ADV,"['HH', 'AW2', 'EH1', 'V', 'ER0']"
172,god,0.000372,5.57,PROPN,"['G', 'AA1', 'D']"
173,government,0.000372,5.57,NOUN,"['G', 'AH1', 'V', 'ER0', 'M', 'AH0', 'N', 'T']"
174,looking,0.000372,5.57,VERB,"['L', 'UH1', 'K', 'IH0', 'NG']"
175,public,0.000372,5.57,ADJ,"['P', 'AH1', 'B', 'L', 'IH0', 'K']"
176,women,0.000372,5.57,NOUN,"['W', 'IH1', 'M', 'AH0', 'N']"
177,business,0.000363,5.56,NOUN,"['B', 'IH1', 'Z', 'N', 'AH0', 'S']"
178,care,0.000363,5.56,VERB,"['K', 'EH1', 'R']"
179,start,0.000363,5.56,VERB,"['S', 'T', 'AA1', 'R', 'T']"
180,system,0.000363,5.56,NOUN,"['S', 'IH1', 'S', 'T', 'AH0', 'M']"
181,times,0.000363,5.56,NOUN,"['T', 'AY1', 'M', 'Z']"
182,already,0.000355,5.55,ADV,"['AO0', 'L', 'R', 'EH1', 'D', 'IY0']"
183,anything,0.000355,5.55,PRON,"['EH1', 'N', 'IY0', 'TH', 'IH2', 'NG']"
184,case,0.000355,5.55,NOUN,"['K', 'EY1', 'S']"
185,nothing,0.000355,5.55,PRON,"['N', 'AH1', 'TH', 'IH0', 'NG']"
186,person,0.000355,5.55,NOUN,"['P', 'ER1', 'S', 'AH0', 'N']"
187,today,0.000355,5.55,NOUN,"['T', 'AH0', 'D', 'EY1']"
188,change,0.000347,5.54,VERB,"['CH', 'EY1', 'N', 'JH']"
189,everything,0.000347,5.54,PRON,"['EH1', 'V', 'R', 'IY0', 'TH', 'IH2', 'NG']"
190,live,0.000347,5.54,VERB,"['L', 'AY1', 'V']"
191,making,0.000347,5.54,VERB,"['M', 'EY1', 'K', 'IH0', 'NG']"
192,read,0.000347,5.54,VERB,"['R', 'EH1', 'D']"
193,told,0.000347,5.54,VERB,"['T', 'OW1', 'L', 'D']"
194,yet,0.000347,5.54,ADV,"['Y', 'EH1', 'T']"
195,bad,0.000339,5.53,ADJ,"['B', 'AE1', 'D']"
196,four,0.000339,5.53,NUM,"['F', 'AO1', 'R']"
197,hard,0.000339,5.53,ADV,"['HH', 'AA1', 'R', 'D']"
198,once,0.000339,5.53,ADV,"['W', 'AH1', 'N', 'S']"
199,support,0.000339,5.53,VERB,"['S', 'AH0', 'P', 'AO1', 'R', 'T']"
200,tell,0.000339,5.53,VERB,"['T', 'EH1', 'L']"
201,including,0.000331,5.52,VERB,"['IH0', 'N', 'K', 'L', 'UW1', 'D', 'IH0', 'NG']"
202,music,0.000331,5.52,NOUN,"['M', 'Y', 'UW1', 'Z', 'IH0', 'K']"
203,seen,0.000331,5.52,VERB,"['S', 'IY1', 'N']"
204,states,0.000331,5.52,VERB,"['S', 'T', 'EY1', 'T', 'S']"
205,stop,0.000331,5.52,VERB,"['S', 'T', 'AA1', 'P']"
206,water,0.000331,5.52,NOUN,"['W', 'AO1', 'T', 'ER0']"
207,based,0.000324,5.51,VERB,"['B', 'EY1', 'S', 'T']"
208,head,0.000324,5.51,NOUN,"['HH', 'EH1', 'D']"
209,men,0.000324,5.51,NOUN,"['M', 'EH1', 'N']"
210,national,0.000324,5.51,ADJ,"['N', 'AE1', 'SH', 'AH0', 'N', 'AH0', 'L']"
211,small,0.000324,5.51,ADJ,"['S', 'M', 'AO1', 'L']"
212,took,0.000324,5.51,VERB,"['T', 'UH1', 'K']"
213,white,0.000324,5.51,ADJ,"['W', 'AY1', 'T']"
214,came,0.000316,5.5,VERB,"['K', 'EY1', 'M']"
215,far,0.000316,5.5,ADV,"['F', 'AA1', 'R']"
216,job,0.000316,5.5,NOUN,"['JH', 'AA1', 'B']"
217,side,0.000316,5.5,NOUN,"['S', 'AY1', 'D']"
218,though,0.000316,5.5,ADV,"['DH', 'OW1']"
219,try,0.000316,5.5,VERB,"['T', 'R', 'AY1']"
220,went,0.000316,5.5,VERB,"['W', 'EH1', 'N', 'T']"
221,yes,0.000316,5.5,INTJ,"['Y', 'EH1', 'S']"
222,actually,0.000309,5.49,ADV,"['AE1', 'K', 'CH', 'AH0', 'W', 'AH0', 'L', 'IY0']"
223,american,0.000309,5.49,PROPN,"['AH0', 'M', 'EH1', 'R', 'AH0', 'K', 'AH0', 'N']"
224,later,0.000309,5.49,ADV,"['L', 'EY1', 'T', 'ER0']"
225,less,0.000309,5.49,ADJ,"['L', 'EH1', 'S']"
226,line,0.000309,5.49,NOUN,"['L', 'AY1', 'N']"
227,order,0.000309,5.49,NOUN,"['AO1', 'R', 'D', 'ER0']"
228,party,0.000309,5.49,NOUN,"['P', 'AA1', 'R', 'T', 'IY0']"
229,says,0.000309,5.49,VERB,"['S', 'EH1', 'Z']"
230,service,0.000309,5.49,NOUN,"['S', 'ER1', 'V', 'AH0', 'S']"
231,country,0.000302,5.48,NOUN,"['K', 'AH1', 'N', 'T', 'R', 'IY0']"
232,open,0.000302,5.48,VERB,"['OW1', 'P', 'AH0', 'N']"
233,thank,0.000302,5.48,VERB,"['TH', 'AE1', 'NG', 'K']"
234,children,0.000295,5.47,NOUN,"['CH', 'IH1', 'L', 'D', 'R', 'AH0', 'N']"
235,everyone,0.000295,5.47,PRON,"['EH1', 'V', 'R', 'IY0', 'W', 'AH2', 'N']"
236,general,0.000295,5.47,ADJ,"['JH', 'EH1', 'N', 'ER0', 'AH0', 'L']"
237,trying,0.000295,5.47,VERB,"['T', 'R', 'AY1', 'IH0', 'NG']"
238,united,0.000295,5.47,ADJ,"['Y', 'UW0', 'N', 'AY1', 'T', 'AH0', 'D']"
239,using,0.000295,5.47,VERB,"['Y', 'UW1', 'Z', 'IH0', 'NG']"
240,black,0.000288,5.46,ADJ,"['B', 'L', 'AE1', 'K']"
241,following,0.000288,5.46,VERB,"['F', 'AA1', 'L', 'OW0', 'IH0', 'NG']"
242,law,0.000288,5.46,NOUN,"['L', 'AO1']"
243,makes,0.000288,5.46,VERB,"['M', 'EY1', 'K', 'S']"
244,together,0.000288,5.46,ADV,"['T', 'AH0', 'G', 'EH1', 'DH', 'ER0']"
245,war,0.000288,5.46,NOUN,"['W', 'AO1', 'R']"
246,car,0.000282,5.45,NOUN,"['K', 'AA1', 'R']"
247,face,0.000282,5.45,VERB,"['F', 'EY1', 'S']"
248,kind,0.000282,5.45,NOUN,"['K', 'AY1', 'N', 'D']"
249,maybe,0.000282,5.45,ADV,"['M', 'EY1', 'B', 'IY0']"
250,president,0.000282,5.45,PROPN,"['P', 'R', 'EH1', 'Z', 'AH0', 'D', 'EH2', 'N', 'T']"
251,story,0.000282,5.45,NOUN,"['S', 'T', 'AO1', 'R', 'IY0']"
252,working,0.000282,5.45,VERB,"['W', 'ER1', 'K', 'IH0', 'NG']"
253,course,0.000275,5.44,NOUN,"['K', 'AO1', 'R', 'S']"
254,games,0.000275,5.44,NOUN,"['G', 'EY1', 'M', 'Z']"
255,health,0.000275,5.44,NOUN,"['HH', 'EH1', 'L', 'TH']"
256,means,0.000275,5.44,VERB,"['M', 'IY1', 'N', 'Z']"
257,news,0.000275,5.44,NOUN,"['N', 'UW1', 'Z']"
258,within,0.000275,5.44,ADP,"['W', 'IH0', 'DH', 'IH1', 'N']"
259,book,0.000269,5.43,NOUN,"['B', 'UH1', 'K']"
260,early,0.000269,5.43,ADV,"['ER1', 'L', 'IY0']"
261,friends,0.000269,5.43,NOUN,"['F', 'R', 'EH1', 'N', 'D', 'Z']"
262,information,0.000269,5.43,NOUN,"['IH2', 'N', 'F', 'ER0', 'M', 'EY1', 'SH', 'AH0', 'N']"
263,post,0.000269,5.43,VERB,"['P', 'OW1', 'S', 'T']"
264,video,0.000269,5.43,PROPN,"['V', 'IH1', 'D', 'IY0', 'OW0']"
265,young,0.000269,5.43,ADJ,"['Y', 'AH1', 'NG']"
266,ago,0.000263,5.42,ADV,"['AH0', 'G', 'OW1']"
267,others,0.000263,5.42,NOUN,"['AH1', 'DH', 'ER0', 'Z']"
268,social,0.000263,5.42,ADJ,"['S', 'OW1', 'SH', 'AH0', 'L']"
269,talk,0.000263,5.42,VERB,"['T', 'AO1', 'K']"
270,court,0.000257,5.41,NOUN,"['K', 'AO1', 'R', 'T']"
271,fact,0.000257,5.41,NOUN,"['F', 'AE1', 'K', 'T']"
272,given,0.000257,5.41,VERB,"['G', 'IH1', 'V', 'AH0', 'N']"
273,guys,0.000257,5.41,NOUN,"['G', 'AY1', 'Z']"
274,half,0.000257,5.41,NOUN,"['HH', 'AE1', 'F']"
275,level,0.000257,5.41,NOUN,"['L', 'EH1', 'V', 'AH0', 'L']"
276,mind,0.000257,5.41,NOUN,"['M', 'AY1', 'N', 'D']"
277,often,0.000257,5.41,ADV,"['AO1', 'F', 'AH0', 'N']"
278,single,0.000257,5.41,ADJ,"['S', 'IH1', 'NG', 'G', 'AH0', 'L']"
279,become,0.000251,5.4,VERB,"['B', 'IH0', 'K', 'AH1', 'M']"
280,body,0.000251,5.4,NOUN,"['B', 'AA1', 'D', 'IY0']"
281,coming,0.000251,5.4,VERB,"['K', 'AH1', 'M', 'IH0', 'NG']"
282,control,0.000251,5.4,NOUN,"['K', 'AH0', 'N', 'T', 'R', 'OW1', 'L']"
283,death,0.000251,5.4,NOUN,"['D', 'EH1', 'TH']"
284,food,0.000251,5.4,NOUN,"['F', 'UW1', 'D']"
285,guy,0.000251,5.4,NOUN,"['G', 'AY1']"
286,hours,0.000251,5.4,NOUN,"['AW1', 'ER0', 'Z']"
287,south,0.000251,5.4,NOUN,"['S', 'AW1', 'TH']"
288,true,0.000251,5.4,ADJ,"['T', 'R', 'UW1']"
289,almost,0.000245,5.39,ADV,"['AO1', 'L', 'M', 'OW2', 'S', 'T']"
290,fuck,0.000245,5.39,NOUN,"['F', 'AH1', 'K']"
291,history,0.000245,5.39,NOUN,"['HH', 'IH1', 'S', 'T', 'ER0', 'IY0']"
292,known,0.000245,5.39,VERB,"['N', 'OW1', 'N']"
293,lost,0.000245,5.39,VERB,"['L', 'AO1', 'S', 'T']"
294,research,0.000245,5.39,NOUN,"['R', 'IY0', 'S', 'ER1', 'CH']"
295,room,0.000245,5.39,NOUN,"['R', 'UW1', 'M']"
296,several,0.000245,5.39,ADJ,"['S', 'EH1', 'V', 'R', 'AH0', 'L']"
297,started,0.000245,5.39,VERB,"['S', 'T', 'AA1', 'R', 'T', 'AH0', 'D']"
298,taking,0.000245,5.39,VERB,"['T', 'EY1', 'K', 'IH0', 'NG']"
299,win,0.000245,5.39,VERB,"['W', 'IH1', 'N']"
300,wrong,0.000245,5.39,ADJ,"['R', 'AO1', 'NG']"
301,along,0.00024,5.38,ADP,"['AH0', 'L', 'AO1', 'NG']"
302,else,0.00024,5.38,ADV,"['EH1', 'L', 'S']"
303,girl,0.00024,5.38,NOUN,"['G', 'ER1', 'L']"
304,john,0.00024,5.38,PROPN,"['JH', 'AA1', 'N']"
305,matter,0.00024,5.38,VERB,"['M', 'AE1', 'T', 'ER0']"
306,pretty,0.00024,5.38,ADV,"['P', 'R', 'IH1', 'T', 'IY0']"
307,remember,0.00024,5.38,VERB,"['R', 'IH0', 'M', 'EH1', 'M', 'B', 'ER0']"
308,air,0.000234,5.37,NOUN,"['EH1', 'R']"
309,bit,0.000234,5.37,NOUN,"['B', 'IH1', 'T']"
310,friend,0.000234,5.37,NOUN,"['F', 'R', 'EH1', 'N', 'D']"
311,hit,0.000234,5.37,VERB,"['HH', 'IH1', 'T']"
312,needs,0.000234,5.37,VERB,"['N', 'IY1', 'D', 'Z']"
313,nice,0.000234,5.37,ADJ,"['N', 'AY1', 'S']"
314,playing,0.000234,5.37,VERB,"['P', 'L', 'EY1', 'IH0', 'NG']"
315,probably,0.000234,5.37,ADV,"['P', 'R', 'AA1', 'B', 'AH0', 'B', 'L', 'IY0']"
316,saying,0.000234,5.37,VERB,"['S', 'EY1', 'IH0', 'NG']"
317,understand,0.000234,5.37,VERB,"['AH2', 'N', 'D', 'ER0', 'S', 'T', 'AE1', 'N', 'D']"
318,york,0.000234,5.37,PROPN,"['Y', 'AO1', 'R', 'K']"
319,class,0.000229,5.36,NOUN,"['K', 'L', 'AE1', 'S']"
320,close,0.000229,5.36,VERB,"['K', 'L', 'OW1', 'S']"
321,comes,0.000229,5.36,VERB,"['K', 'AH1', 'M', 'Z']"
322,idea,0.000229,5.36,NOUN,"['AY0', 'D', 'IY1', 'AH0']"
323,international,0.000229,5.36,ADJ,"['IH2', 'N', 'T', 'ER0', 'N', 'AE1', 'SH', 'AH0', 'N', 'AH0', 'L']"
324,looks,0.000229,5.36,VERB,"['L', 'UH1', 'K', 'S']"
325,past,0.000229,5.36,NOUN,"['P', 'AE1', 'S', 'T']"
326,possible,0.000229,5.36,ADJ,"['P', 'AA1', 'S', 'AH0', 'B', 'AH0', 'L']"
327,cause,0.000224,5.35,VERB,"['K', 'AA1', 'Z']"
328,happy,0.000224,5.35,ADJ,"['HH', 'AE1', 'P', 'IY0']"
329,human,0.000224,5.35,ADJ,"['HH', 'Y', 'UW1', 'M', 'AH0', 'N']"
330,members,0.000224,5.35,NOUN,"['M', 'EH1', 'M', 'B', 'ER0', 'Z']"
331,months,0.000224,5.35,NOUN,"['M', 'AH1', 'N', 'TH', 'S']"
332,question,0.000224,5.35,NOUN,"['K', 'W', 'EH1', 'S', 'CH', 'AH0', 'N']"
333,series,0.000224,5.35,PROPN,"['S', 'IH1', 'R', 'IY0', 'Z']"
334,wait,0.000224,5.35,VERB,"['W', 'EY1', 'T']"
335,woman,0.000224,5.35,NOUN,"['W', 'UH1', 'M', 'AH0', 'N']"
336,ask,0.000219,5.34,VERB,"['AE1', 'S', 'K']"
337,leave,0.000219,5.34,VERB,"['L', 'IY1', 'V']"
338,north,0.000219,5.34,NOUN,"['N', 'AO1', 'R', 'TH']"
339,saw,0.000219,5.34,VERB,"['S', 'AO1']"
340,special,0.000219,5.34,ADJ,"['S', 'P', 'EH1', 'SH', 'AH0', 'L']"
341,either,0.000214,5.33,ADV,"['IY1', 'DH', 'ER0']"
342,fucking,0.000214,5.33,VERB,"['F', 'AH1', 'K', 'IH0', 'NG']"
343,future,0.000214,5.33,NOUN,"['F', 'Y', 'UW1', 'CH', 'ER0']"
344,low,0.000214,5.33,ADJ,"['L', 'OW1']"
345,million,0.000214,5.33,NUM,"['M', 'IH1', 'L', 'Y', 'AH0', 'N']"
346,morning,0.000214,5.33,NOUN,"['M', 'AO1', 'R', 'N', 'IH0', 'NG']"
347,police,0.000214,5.33,NOUN,"['P', 'AH0', 'L', 'IY1', 'S']"
348,stay,0.000214,5.33,VERB,"['S', 'T', 'EY1']"
349,taken,0.000214,5.33,VERB,"['T', 'EY1', 'K', 'AH0', 'N']"
350,buy,0.000209,5.32,VERB,"['B', 'AY1']"
351,rather,0.000209,5.32,ADV,"['R', 'AE1', 'DH', 'ER0']"
352,reason,0.000209,5.32,NOUN,"['R', 'IY1', 'Z', 'AH0', 'N']"
353,red,0.000209,5.32,ADJ,"['R', 'EH1', 'D']"
354,report,0.000209,5.32,VERB,"['R', 'IY0', 'P', 'AO1', 'R', 'T']"
355,soon,0.000209,5.32,ADV,"['S', 'UW1', 'N']"
356,third,0.000209,5.32,ADJ,"['TH', 'ER1', 'D']"
357,turn,0.000209,5.32,VERB,"['T', 'ER1', 'N']"
358,whether,0.000209,5.32,SCONJ,"['W', 'EH1', 'DH', 'ER0']"
359,among,0.000204,5.31,ADP,"['AH0', 'M', 'AH1', 'NG']"
360,check,0.000204,5.31,VERB,"['CH', 'EH1', 'K']"
361,development,0.000204,5.31,NOUN,"['D', 'IH0', 'V', 'EH1', 'L', 'AH0', 'P', 'M', 'AH0', 'N', 'T']"
362,form,0.000204,5.31,VERB,"['F', 'AO1', 'R', 'M']"
