,Unnamed: 0,Word,Condition,Lexicality,Size,Morphology,Frequency,Length,Zipf_Frequency,Phonemes,No_Stress,Part of Speech,Prediction
18,18,different,RLCH,real,long,complex,0.000389,7,5.59,"['D', 'IH1', 'F', 'ER0', 'AH0', 'N', 'T']","['D', 'IH', 'F', 'ER', 'AH', 'N', 'T']",ADJ,"['D', 'IH', 'F', 'ER', 'AH', 'N', 'T']"
19,19,connections,RLCH,real,long,complex,2.09e-05,9,4.32,"['K', 'AH0', 'N', 'EH1', 'K', 'SH', 'AH0', 'N', 'Z']","['K', 'AH', 'N', 'EH', 'K', 'SH', 'AH', 'N', 'Z']",NOUN,"['K', 'AH', 'N', 'EH', 'K', 'SH', 'AH', 'N', 'Z']"
20,20,discussed,RLCH,real,long,complex,2.82e-05,7,4.45,"['D', 'IH0', 'S', 'K', 'AH1', 'S', 'T']","['D', 'IH', 'S', 'K', 'AH', 'S', 'T']",VERB,"['D', 'IH', 'S', 'K', 'AH', 'S', 'T']"
21,21,relation,RLCH,real,long,complex,2.04e-05,7,4.31,"['R', 'IY0', 'L', 'EY1', 'SH', 'AH0', 'N']","['R', 'IY', 'L', 'EY', 'SH', 'AH', 'N']",NOUN,"['R', 'IY', 'L', 'EY', 'SH', 'AH', 'N']"
22,22,graduate,RLCH,real,long,complex,3.16e-05,8,4.5,"['G', 'R', 'AE1', 'JH', 'AH0', 'W', 'AH0', 'T']","['G', 'R', 'AE', 'JH', 'AH', 'W', 'AH', 'T']",NOUN,"['G', 'R', 'AE', 'JH', 'AH', 'W', 'AH', 'T']"
23,23,nevertheless,RLCH,real,long,complex,1.78e-05,9,4.25,"['N', 'EH2', 'V', 'ER0', 'DH', 'AH0', 'L', 'EH1', 'S']","['N', 'EH', 'V', 'ER', 'DH', 'AH', 'L', 'EH', 'S']",ADV,"['N', 'EH', 'V', 'ER', 'DH', 'AH', 'L', 'EH', 'S']"
24,24,discipline,RLCH,real,long,complex,1.7e-05,8,4.23,"['D', 'IH1', 'S', 'AH0', 'P', 'L', 'AH0', 'N']","['D', 'IH', 'S', 'AH', 'P', 'L', 'AH', 'N']",VERB,"['D', 'IH', 'S', 'AH', 'P', 'L', 'AH', 'N']"
25,25,customer,RLCH,real,long,complex,4.07e-05,7,4.61,"['K', 'AH1', 'S', 'T', 'AH0', 'M', 'ER0']","['K', 'AH', 'S', 'T', 'AH', 'M', 'ER']",NOUN,"['K', 'AH', 'S', 'T', 'AH', 'M', 'ER']"
26,26,classical,RLCH,real,long,complex,1.82e-05,8,4.26,"['K', 'L', 'AE1', 'S', 'IH0', 'K', 'AH0', 'L']","['K', 'L', 'AE', 'S', 'IH', 'K', 'AH', 'L']",ADJ,"['K', 'L', 'AE', 'S', 'IH', 'K', 'AH', 'L']"
27,27,progress,RLCH,real,long,complex,6.03e-05,7,4.78,"['P', 'R', 'AA1', 'G', 'R', 'EH2', 'S']","['P', 'R', 'AA', 'G', 'R', 'EH', 'S']",VERB,"['P', 'R', 'AA', 'G', 'R', 'EH', 'S']"
28,28,engineers,RLCH,real,long,complex,2.57e-05,8,4.41,"['EH1', 'N', 'JH', 'AH0', 'N', 'IH1', 'R', 'Z']","['EH', 'N', 'JH', 'AH', 'N', 'IH', 'R', 'Z']",NOUN,"['EH', 'N', 'JH', 'AH', 'N', 'IH', 'R', 'Z']"
29,29,equipment,RLCH,real,long,complex,7.59e-05,9,4.88,"['IH0', 'K', 'W', 'IH1', 'P', 'M', 'AH0', 'N', 'T']","['IH', 'K', 'W', 'IH', 'P', 'M', 'AH', 'N', 'T']",NOUN,"['IH', 'K', 'W', 'IH', 'P', 'M', 'AH', 'N', 'T']"
30,30,existing,RLCH,real,long,complex,5.62e-05,8,4.75,"['IH0', 'G', 'Z', 'IH1', 'S', 'T', 'IH0', 'NG']","['IH', 'G', 'Z', 'IH', 'S', 'T', 'IH', 'NG']",VERB,"['IH', 'G', 'Z', 'IH', 'S', 'T', 'IH', 'NG']"
31,31,technology,RLCH,real,long,complex,0.000123,9,5.09,"['T', 'EH0', 'K', 'N', 'AA1', 'L', 'AH0', 'JH', 'IY0']","['T', 'EH', 'K', 'N', 'AA', 'L', 'AH', 'JH', 'IY']",NOUN,"['T', 'EH', 'K', 'N', 'AA', 'L', 'AH', 'JH', 'IY']"
32,32,continued,RLCH,real,long,complex,9.12e-05,9,4.96,"['K', 'AH0', 'N', 'T', 'IH1', 'N', 'Y', 'UW0', 'D']","['K', 'AH', 'N', 'T', 'IH', 'N', 'Y', 'UW', 'D']",VERB,"['K', 'AH', 'N', 'T', 'IH', 'N', 'Y', 'UW', 'D']"
33,33,racism,RLCH,real,long,complex,1.78e-05,7,4.25,"['R', 'EY1', 'S', 'IH2', 'Z', 'AH0', 'M']","['R', 'EY', 'S', 'IH', 'Z', 'AH', 'M']",NOUN,"['R', 'EY', 'S', 'IH', 'Z', 'AH', 'M']"
34,34,analysis,RLCH,real,long,complex,8.13e-05,8,4.91,"['AH0', 'N', 'AE1', 'L', 'AH0', 'S', 'AH0', 'S']","['AH', 'N', 'AE', 'L', 'AH', 'S', 'AH', 'S']",NOUN,"['AH', 'N', 'AE', 'L', 'AH', 'S', 'AH', 'S']"
35,35,potentially,RLCH,real,long,complex,2.45e-05,9,4.39,"['P', 'AH0', 'T', 'EH1', 'N', 'SH', 'AH0', 'L', 'IY0']","['P', 'AH', 'T', 'EH', 'N', 'SH', 'AH', 'L', 'IY']",ADV,"['P', 'AH', 'T', 'EH', 'N', 'SH', 'AH', 'L', 'IY']"
36,36,developer,RLCH,real,long,complex,1.58e-05,8,4.2,"['D', 'IH0', 'V', 'EH1', 'L', 'AH0', 'P', 'ER0']","['D', 'IH', 'V', 'EH', 'L', 'AH', 'P', 'ER']",NOUN,"['D', 'IH', 'V', 'EH', 'L', 'AH', 'P', 'ER']"
37,37,composed,RLCH,real,long,complex,1.86e-05,7,4.27,"['K', 'AH0', 'M', 'P', 'OW1', 'Z', 'D']","['K', 'AH', 'M', 'P', 'OW', 'Z', 'D']",VERB,"['K', 'AH', 'M', 'P', 'OW', 'Z', 'D']"
38,38,disabled,RLCH,real,long,complex,1.95e-05,8,4.29,"['D', 'IH0', 'S', 'EY1', 'B', 'AH0', 'L', 'D']","['D', 'IH', 'S', 'EY', 'B', 'AH', 'L', 'D']",ADJ,"['D', 'IH', 'S', 'EY', 'B', 'AH', 'L', 'D']"
39,39,punishment,RLCH,real,long,complex,2.19e-05,9,4.34,"['P', 'AH1', 'N', 'IH0', 'SH', 'M', 'AH0', 'N', 'T']","['P', 'AH', 'N', 'IH', 'SH', 'M', 'AH', 'N', 'T']",NOUN,"['P', 'AH', 'N', 'IH', 'SH', 'M', 'AH', 'N', 'T']"
40,40,exposed,RLCH,real,long,complex,3.24e-05,7,4.51,"['IH0', 'K', 'S', 'P', 'OW1', 'Z', 'D']","['IH', 'K', 'S', 'P', 'OW', 'Z', 'D']",VERB,"['IH', 'K', 'S', 'P', 'OW', 'Z', 'D']"
41,41,essentially,RLCH,real,long,complex,2.63e-05,8,4.42,"['IH0', 'S', 'EH1', 'N', 'SH', 'AH0', 'L', 'IY0']","['IH', 'S', 'EH', 'N', 'SH', 'AH', 'L', 'IY']",ADV,"['IH', 'S', 'EH', 'N', 'SH', 'AH', 'L', 'IY']"
42,42,disappeared,RLCH,real,long,complex,1.82e-05,8,4.26,"['D', 'IH2', 'S', 'AH0', 'P', 'IH1', 'R', 'D']","['D', 'IH', 'S', 'AH', 'P', 'IH', 'R', 'D']",VERB,"['D', 'IH', 'S', 'AH', 'P', 'IH', 'R', 'D']"
43,43,themselves,RLCH,real,long,complex,0.000145,8,5.16,"['DH', 'EH0', 'M', 'S', 'EH1', 'L', 'V', 'Z']","['DH', 'EH', 'M', 'S', 'EH', 'L', 'V', 'Z']",PRON,"['DH', 'EH', 'M', 'S', 'EH', 'L', 'V', 'Z']"
44,44,neighborhood,RLCH,real,long,complex,3.16e-05,7,4.5,"['N', 'EY1', 'B', 'ER0', 'HH', 'UH2', 'D']","['N', 'EY', 'B', 'ER', 'HH', 'UH', 'D']",NOUN,"['N', 'EY', 'B', 'ER', 'HH', 'UH', 'D']"
45,45,familiar,RLCH,real,long,complex,4.07e-05,7,4.61,"['F', 'AH0', 'M', 'IH1', 'L', 'Y', 'ER0']","['F', 'AH', 'M', 'IH', 'L', 'Y', 'ER']",ADJ,"['F', 'AH', 'M', 'IH', 'L', 'Y', 'ER']"
46,46,queensland,RLCH,real,long,complex,1.7e-05,9,4.23,"['K', 'W', 'IY1', 'N', 'Z', 'L', 'AE2', 'N', 'D']","['K', 'W', 'IY', 'N', 'Z', 'L', 'AE', 'N', 'D']",PROPN,"['K', 'W', 'IY', 'N', 'Z', 'L', 'AE', 'N', 'D']"
47,47,secrets,RLCH,real,long,complex,2.04e-05,7,4.31,"['S', 'IY1', 'K', 'R', 'AH0', 'T', 'S']","['S', 'IY', 'K', 'R', 'AH', 'T', 'S']",NOUN,"['S', 'IY', 'K', 'R', 'AH', 'T', 'S']"
48,48,cambridge,RLCH,real,long,complex,2.45e-05,7,4.39,"['K', 'EY1', 'M', 'B', 'R', 'IH0', 'JH']","['K', 'EY', 'M', 'B', 'R', 'IH', 'JH']",PROPN,"['K', 'EY', 'M', 'B', 'R', 'IH', 'JH']"
49,49,estimated,RLCH,real,long,complex,4.17e-05,9,4.62,"['EH1', 'S', 'T', 'AH0', 'M', 'EY2', 'T', 'AH0', 'D']","['EH', 'S', 'T', 'AH', 'M', 'EY', 'T', 'AH', 'D']",VERB,"['EH', 'S', 'T', 'AH', 'M', 'EY', 'T', 'AH', 'D']"
50,50,depression,RLCH,real,long,complex,3.63e-05,8,4.56,"['D', 'IH0', 'P', 'R', 'EH1', 'SH', 'AH0', 'N']","['D', 'IH', 'P', 'R', 'EH', 'SH', 'AH', 'N']",NOUN,"['D', 'IH', 'P', 'R', 'EH', 'SH', 'AH', 'N']"
51,51,girlfriend,RLCH,real,long,complex,4.79e-05,8,4.68,"['G', 'ER1', 'L', 'F', 'R', 'EH2', 'N', 'D']","['G', 'ER', 'L', 'F', 'R', 'EH', 'N', 'D']",NOUN,"['G', 'ER', 'L', 'F', 'R', 'EH', 'N', 'D']"
52,52,functional,RLCH,real,long,complex,1.74e-05,9,4.24,"['F', 'AH1', 'NG', 'K', 'SH', 'AH0', 'N', 'AH0', 'L']","['F', 'AH', 'NG', 'K', 'SH', 'AH', 'N', 'AH', 'L']",ADJ,"['F', 'AH', 'NG', 'K', 'SH', 'AH', 'N', 'AH', 'L']"
53,53,ambassador,RLCH,real,long,complex,2.24e-05,8,4.35,"['AE0', 'M', 'B', 'AE1', 'S', 'AH0', 'D', 'ER0']","['AE', 'M', 'B', 'AE', 'S', 'AH', 'D', 'ER']",NOUN,"['AE', 'M', 'B', 'AE', 'S', 'AH', 'D', 'ER']"
54,54,property,RLCH,real,long,complex,0.000129,7,5.11,"['P', 'R', 'AA1', 'P', 'ER0', 'T', 'IY0']","['P', 'R', 'AA', 'P', 'ER', 'T', 'IY']",NOUN,"['P', 'R', 'AA', 'P', 'ER', 'T', 'IY']"
55,55,memorial,RLCH,real,long,complex,2.57e-05,8,4.41,"['M', 'AH0', 'M', 'AO1', 'R', 'IY0', 'AH0', 'L']","['M', 'AH', 'M', 'AO', 'R', 'IY', 'AH', 'L']",NOUN,"['M', 'AH', 'M', 'AO', 'R', 'IY', 'AH', 'L']"
56,56,traveling,RLCH,real,long,complex,1.86e-05,8,4.27,"['T', 'R', 'AE1', 'V', 'AH0', 'L', 'IH0', 'NG']","['T', 'R', 'AE', 'V', 'AH', 'L', 'IH', 'NG']",VERB,"['T', 'R', 'AE', 'V', 'AH', 'L', 'IH', 'NG']"
57,57,percentage,RLCH,real,long,complex,3.02e-05,8,4.48,"['P', 'ER0', 'S', 'EH1', 'N', 'T', 'AH0', 'JH']","['P', 'ER', 'S', 'EH', 'N', 'T', 'AH', 'JH']",NOUN,"['P', 'ER', 'S', 'EH', 'N', 'T', 'AH', 'JH']"
58,58,extremely,RLCH,real,long,complex,6.17e-05,9,4.79,"['IH0', 'K', 'S', 'T', 'R', 'IY1', 'M', 'L', 'IY0']","['IH', 'K', 'S', 'T', 'R', 'IY', 'M', 'L', 'IY']",ADV,"['IH', 'K', 'S', 'T', 'R', 'IY', 'M', 'L', 'IY']"
59,59,refused,RLCH,real,long,complex,3.47e-05,7,4.54,"['R', 'AH0', 'F', 'Y', 'UW1', 'Z', 'D']","['R', 'AH', 'F', 'Y', 'UW', 'Z', 'D']",VERB,"['R', 'AH', 'F', 'Y', 'UW', 'Z', 'D']"
60,60,legendary,RLCH,real,long,complex,1.7e-05,9,4.23,"['L', 'EH1', 'JH', 'AH0', 'N', 'D', 'EH2', 'R', 'IY0']","['L', 'EH', 'JH', 'AH', 'N', 'D', 'EH', 'R', 'IY']",ADJ,"['L', 'EH', 'JH', 'AH', 'N', 'D', 'EH', 'R', 'IY']"
61,61,newspaper,RLCH,real,long,complex,3.98e-05,7,4.6,"['N', 'UW1', 'Z', 'P', 'EY2', 'P', 'ER0']","['N', 'UW', 'Z', 'P', 'EY', 'P', 'ER']",NOUN,"['N', 'UW', 'Z', 'P', 'EY', 'P', 'ER']"
62,62,assessment,RLCH,real,long,complex,2.88e-05,8,4.46,"['AH0', 'S', 'EH1', 'S', 'M', 'AH0', 'N', 'T']","['AH', 'S', 'EH', 'S', 'M', 'AH', 'N', 'T']",NOUN,"['AH', 'S', 'EH', 'S', 'M', 'AH', 'N', 'T']"
63,63,develop,RLCH,real,long,complex,5.62e-05,7,4.75,"['D', 'IH0', 'V', 'EH1', 'L', 'AH0', 'P']","['D', 'IH', 'V', 'EH', 'L', 'AH', 'P']",VERB,"['D', 'IH', 'V', 'EH', 'L', 'AH', 'P']"
64,64,alexander,RLCH,real,long,complex,2.51e-05,9,4.4,"['AE2', 'L', 'AH0', 'G', 'Z', 'AE1', 'N', 'D', 'ER0']","['AE', 'L', 'AH', 'G', 'Z', 'AE', 'N', 'D', 'ER']",PROPN,"['AE', 'L', 'AH', 'G', 'Z', 'AE', 'N', 'D', 'ER']"
65,65,protection,RLCH,real,long,complex,7.08e-05,9,4.85,"['P', 'R', 'AH0', 'T', 'EH1', 'K', 'SH', 'AH0', 'N']","['P', 'R', 'AH', 'T', 'EH', 'K', 'SH', 'AH', 'N']",NOUN,"['P', 'R', 'AH', 'T', 'EH', 'K', 'SH', 'AH', 'N']"
66,66,dominant,RLCH,real,long,complex,1.7e-05,8,4.23,"['D', 'AA1', 'M', 'AH0', 'N', 'AH0', 'N', 'T']","['D', 'AA', 'M', 'AH', 'N', 'AH', 'N', 'T']",ADJ,"['D', 'AA', 'M', 'AH', 'N', 'AH', 'N', 'T']"
67,67,guardian,RLCH,real,long,complex,1.82e-05,7,4.26,"['G', 'AA1', 'R', 'D', 'IY0', 'AH0', 'N']","['G', 'AA', 'R', 'D', 'IY', 'AH', 'N']",NOUN,"['G', 'AA', 'R', 'D', 'IY', 'AH', 'N']"
68,68,supports,RLCH,real,long,complex,2.63e-05,7,4.42,"['S', 'AH0', 'P', 'AO1', 'R', 'T', 'S']","['S', 'AH', 'P', 'AO', 'R', 'T', 'S']",VERB,"['S', 'AH', 'P', 'AO', 'R', 'T', 'S']"
69,69,nigeria,RLCH,real,long,complex,2.14e-05,7,4.33,"['N', 'AY0', 'JH', 'IH1', 'R', 'IY0', 'AH0']","['N', 'AY', 'JH', 'IH', 'R', 'IY', 'AH']",PROPN,"['N', 'AY', 'JH', 'IH', 'R', 'IY', 'AH']"
70,70,expensive,RLCH,real,long,complex,4.9e-05,9,4.69,"['IH0', 'K', 'S', 'P', 'EH1', 'N', 'S', 'IH0', 'V']","['IH', 'K', 'S', 'P', 'EH', 'N', 'S', 'IH', 'V']",ADJ,"['IH', 'K', 'S', 'P', 'EH', 'N', 'S', 'IH', 'V']"
71,71,developers,RLCH,real,long,complex,1.66e-05,9,4.22,"['D', 'IH0', 'V', 'EH1', 'L', 'AH0', 'P', 'ER0', 'Z']","['D', 'IH', 'V', 'EH', 'L', 'AH', 'P', 'ER', 'Z']",NOUN,"['D', 'IH', 'V', 'EH', 'L', 'AH', 'P', 'ER', 'Z']"
72,72,january,RLCH,real,long,complex,0.000123,8,5.09,"['JH', 'AE1', 'N', 'Y', 'UW0', 'EH2', 'R', 'IY0']","['JH', 'AE', 'N', 'Y', 'UW', 'EH', 'R', 'IY']",PROPN,"['JH', 'AE', 'N', 'Y', 'UW', 'EH', 'R', 'IY']"
73,73,findings,RLCH,real,long,complex,2.4e-05,7,4.38,"['F', 'AY1', 'N', 'D', 'IH0', 'NG', 'Z']","['F', 'AY', 'N', 'D', 'IH', 'NG', 'Z']",NOUN,"['F', 'AY', 'N', 'D', 'IH', 'NG', 'Z']"
74,74,extension,RLCH,real,long,complex,2.88e-05,9,4.46,"['IH0', 'K', 'S', 'T', 'EH1', 'N', 'SH', 'AH0', 'N']","['IH', 'K', 'S', 'T', 'EH', 'N', 'SH', 'AH', 'N']",NOUN,"['IH', 'K', 'S', 'T', 'EH', 'N', 'SH', 'AH', 'N']"
75,75,describe,RLCH,real,long,complex,3.63e-05,7,4.56,"['D', 'IH0', 'S', 'K', 'R', 'AY1', 'B']","['D', 'IH', 'S', 'K', 'R', 'AY', 'B']",VERB,"['D', 'IH', 'S', 'K', 'R', 'AY', 'B']"
76,76,friendly,RLCH,real,long,complex,4.37e-05,7,4.64,"['F', 'R', 'EH1', 'N', 'D', 'L', 'IY0']","['F', 'R', 'EH', 'N', 'D', 'L', 'IY']",ADJ,"['F', 'R', 'EH', 'N', 'D', 'L', 'IY']"
77,77,activities,RLCH,real,long,complex,8.13e-05,9,4.91,"['AE0', 'K', 'T', 'IH1', 'V', 'AH0', 'T', 'IY0', 'Z']","['AE', 'K', 'T', 'IH', 'V', 'AH', 'T', 'IY', 'Z']",NOUN,"['AE', 'K', 'T', 'IH', 'V', 'AH', 'T', 'IY', 'Z']"
78,78,christian,RLCH,real,long,complex,7.59e-05,7,4.88,"['K', 'R', 'IH1', 'S', 'CH', 'AH0', 'N']","['K', 'R', 'IH', 'S', 'CH', 'AH', 'N']",ADJ,"['K', 'R', 'IH', 'S', 'CH', 'AH', 'N']"
79,79,introduced,RLCH,real,long,complex,5.25e-05,9,4.72,"['IH2', 'N', 'T', 'R', 'AH0', 'D', 'UW1', 'S', 'T']","['IH', 'N', 'T', 'R', 'AH', 'D', 'UW', 'S', 'T']",VERB,"['IH', 'N', 'T', 'R', 'AH', 'D', 'UW', 'S', 'T']"
80,80,critical,RLCH,real,long,complex,6.76e-05,8,4.83,"['K', 'R', 'IH1', 'T', 'IH0', 'K', 'AH0', 'L']","['K', 'R', 'IH', 'T', 'IH', 'K', 'AH', 'L']",ADJ,"['K', 'R', 'IH', 'T', 'IH', 'K', 'AH', 'L']"
81,81,journalist,RLCH,real,long,complex,2.4e-05,8,4.38,"['JH', 'ER1', 'N', 'AH0', 'L', 'AH0', 'S', 'T']","['JH', 'ER', 'N', 'AH', 'L', 'AH', 'S', 'T']",NOUN,"['JH', 'ER', 'N', 'AH', 'L', 'AH', 'S', 'T']"
82,82,expecting,RLCH,real,long,complex,2.63e-05,9,4.42,"['IH0', 'K', 'S', 'P', 'EH1', 'K', 'T', 'IH0', 'NG']","['IH', 'K', 'S', 'P', 'EH', 'K', 'T', 'IH', 'NG']",VERB,"['IH', 'K', 'S', 'P', 'EH', 'K', 'T', 'IH', 'NG']"
83,83,integrity,RLCH,real,long,complex,1.66e-05,9,4.22,"['IH0', 'N', 'T', 'EH1', 'G', 'R', 'AH0', 'T', 'IY0']","['IH', 'N', 'T', 'EH', 'G', 'R', 'AH', 'T', 'IY']",NOUN,"['IH', 'N', 'T', 'EH', 'G', 'R', 'AH', 'T', 'IY']"
84,84,starting,RLCH,real,long,complex,0.000117,7,5.07,"['S', 'T', 'AA1', 'R', 'T', 'IH0', 'NG']","['S', 'T', 'AA', 'R', 'T', 'IH', 'NG']",VERB,"['S', 'T', 'AA', 'R', 'T', 'IH', 'NG']"
85,85,threatened,RLCH,real,long,complex,2.29e-05,7,4.36,"['TH', 'R', 'EH1', 'T', 'AH0', 'N', 'D']","['TH', 'R', 'EH', 'T', 'AH', 'N', 'D']",VERB,"['TH', 'R', 'EH', 'T', 'AH', 'N', 'D']"
86,86,offensive,RLCH,real,long,complex,2.88e-05,7,4.46,"['AH0', 'F', 'EH1', 'N', 'S', 'IH0', 'V']","['AH', 'F', 'EH', 'N', 'S', 'IH', 'V']",ADJ,"['AH', 'F', 'EH', 'N', 'S', 'IH', 'V']"
87,87,problems,RLCH,real,long,complex,0.000155,8,5.19,"['P', 'R', 'AA1', 'B', 'L', 'AH0', 'M', 'Z']","['P', 'R', 'AA', 'B', 'L', 'AH', 'M', 'Z']",NOUN,"['P', 'R', 'AA', 'B', 'L', 'AH', 'M', 'Z']"
88,88,interesting,RLCH,real,long,complex,0.0001,9,5.0,"['IH1', 'N', 'T', 'R', 'AH0', 'S', 'T', 'IH0', 'NG']","['IH', 'N', 'T', 'R', 'AH', 'S', 'T', 'IH', 'NG']",VERB,"['IH', 'N', 'T', 'R', 'AH', 'S', 'T', 'IH', 'NG']"
89,89,credits,RLCH,real,long,complex,1.86e-05,7,4.27,"['K', 'R', 'EH1', 'D', 'IH0', 'T', 'S']","['K', 'R', 'EH', 'D', 'IH', 'T', 'S']",NOUN,"['K', 'R', 'EH', 'D', 'IH', 'T', 'S']"
90,90,islamic,RLCH,real,long,complex,2.75e-05,7,4.44,"['IH0', 'Z', 'L', 'AA1', 'M', 'IH0', 'K']","['IH', 'Z', 'L', 'AA', 'M', 'IH', 'K']",ADJ,"['IH', 'Z', 'L', 'AA', 'M', 'IH', 'K']"
91,91,recording,RLCH,real,long,complex,3.24e-05,8,4.51,"['R', 'AH0', 'K', 'AO1', 'R', 'D', 'IH0', 'NG']","['R', 'AH', 'K', 'AO', 'R', 'D', 'IH', 'NG']",VERB,"['R', 'AH', 'K', 'AO', 'R', 'D', 'IH', 'NG']"
92,92,advanced,RLCH,real,long,complex,5.13e-05,7,4.71,"['AH0', 'D', 'V', 'AE1', 'N', 'S', 'T']","['AH', 'D', 'V', 'AE', 'N', 'S', 'T']",ADJ,"['AH', 'D', 'V', 'AE', 'N', 'S', 'T']"
