,Phonemes,No_Stress,Sonority,Type,Length,Prediction,Edit_Distance,Insertions,Deletions,Substitutions,Error_Indices
66,"['P', 'B', 'AY']","['P', 'B', 'AY']",0,CCV,3,"['B', 'AY', '<EOS>']",2,1,1,0,"[1, 2, 3]"
67,"['AY', 'P', 'B']","['AY', 'P', 'B']",0,VCC,3,"['AY', 'P', '<EOS>']",1,0,0,1,[3]
68,"['P', 'B', 'ER']","['P', 'B', 'ER']",0,CCV,3,"['P', 'ER', '<EOS>']",2,0,0,2,"[2, 3]"
69,"['ER', 'P', 'B']","['ER', 'P', 'B']",0,VCC,3,"['ER', 'P', '<EOS>']",1,0,0,1,[3]
70,"['P', 'B', 'AO']","['P', 'B', 'AO']",0,CCV,3,"['B', 'AO', '<EOS>']",2,1,1,0,"[1, 2, 3]"
71,"['AO', 'P', 'B']","['AO', 'P', 'B']",0,VCC,3,"['AO', 'P', '<EOS>']",1,0,0,1,[3]
72,"['P', 'B', 'UW']","['P', 'B', 'UW']",0,CCV,3,"['B', 'UW', '<EOS>']",2,1,1,0,"[1, 2, 3]"
73,"['UW', 'P', 'B']","['UW', 'P', 'B']",0,VCC,3,"['UW', 'P', 'B']",0,0,0,0,[]
74,"['P', 'B', 'IH']","['P', 'B', 'IH']",0,CCV,3,"['P', 'B', '<EOS>']",1,0,0,1,[3]
75,"['IH', 'P', 'B']","['IH', 'P', 'B']",0,VCC,3,"['IH', 'P', '<EOS>']",1,0,0,1,[3]
76,"['P', 'B', 'EH']","['P', 'B', 'EH']",0,CCV,3,"['B', 'P', '<EOS>']",3,1,1,1,"[1, 2, 3]"
77,"['EH', 'P', 'B']","['EH', 'P', 'B']",0,VCC,3,"['EH', 'P', '<EOS>']",1,0,0,1,[3]
78,"['P', 'B', 'UH']","['P', 'B', 'UH']",0,CCV,3,"['P', 'UH', '<EOS>']",2,0,0,2,"[2, 3]"
79,"['UH', 'P', 'B']","['UH', 'P', 'B']",0,VCC,3,"['UH', 'P', '<EOS>']",1,0,0,1,[3]
80,"['P', 'B', 'IY']","['P', 'B', 'IY']",0,CCV,3,"['B', 'IY', '<EOS>']",2,1,1,0,"[1, 2, 3]"
81,"['IY', 'P', 'B']","['IY', 'P', 'B']",0,VCC,3,"['IY', 'P', '<EOS>']",1,0,0,1,[3]
82,"['P', 'B', 'EY']","['P', 'B', 'EY']",0,CCV,3,"['P', 'EY', '<EOS>']",2,0,0,2,"[2, 3]"
83,"['EY', 'P', 'B']","['EY', 'P', 'B']",0,VCC,3,"['EY', 'P', '<EOS>']",1,0,0,1,[3]
84,"['P', 'B', 'OW']","['P', 'B', 'OW']",0,CCV,3,"['P', 'OW', '<EOS>']",2,0,0,2,"[2, 3]"
85,"['OW', 'P', 'B']","['OW', 'P', 'B']",0,VCC,3,"['OW', 'P', '<EOS>']",1,0,0,1,[3]
86,"['P', 'B', 'AE']","['P', 'B', 'AE']",0,CCV,3,"['B', 'AE', 'P']",2,1,1,0,"[1, 2, 3]"
87,"['AE', 'P', 'B']","['AE', 'P', 'B']",0,VCC,3,"['AE', 'P', 'B']",0,0,0,0,[]
88,"['P', 'B', 'AW']","['P', 'B', 'AW']",0,CCV,3,"['P', 'AW', '<EOS>']",2,0,0,2,"[2, 3]"
89,"['AW', 'P', 'B']","['AW', 'P', 'B']",0,VCC,3,"['P', 'AW', '<EOS>']",3,1,1,1,"[1, 2, 3]"
90,"['P', 'D', 'AH']","['P', 'D', 'AH']",0,CCV,3,"['P', 'D', '<EOS>']",1,0,0,1,[3]
91,"['AH', 'P', 'D']","['AH', 'P', 'D']",0,VCC,3,"['AH', 'P', 'D']",0,0,0,0,[]
92,"['P', 'D', 'OY']","['P', 'D', 'OY']",0,CCV,3,"['D', 'P', '<EOS>']",3,1,1,1,"[1, 2, 3]"
93,"['OY', 'P', 'D']","['OY', 'P', 'D']",0,VCC,3,"['OY', 'D', '<EOS>']",2,0,0,2,"[2, 3]"
94,"['P', 'D', 'AA']","['P', 'D', 'AA']",0,CCV,3,"['P', 'D', '<EOS>']",1,0,0,1,[3]
95,"['AA', 'P', 'D']","['AA', 'P', 'D']",0,VCC,3,"['AA', 'P', 'D']",0,0,0,0,[]
96,"['P', 'D', 'AY']","['P', 'D', 'AY']",0,CCV,3,"['P', 'AY', '<EOS>']",2,0,0,2,"[2, 3]"
97,"['AY', 'P', 'D']","['AY', 'P', 'D']",0,VCC,3,"['AY', 'NG', '<EOS>']",2,0,0,2,"[2, 3]"
98,"['P', 'D', 'ER']","['P', 'D', 'ER']",0,CCV,3,"['P', 'ER', '<EOS>']",2,0,0,2,"[2, 3]"
99,"['ER', 'P', 'D']","['ER', 'P', 'D']",0,VCC,3,"['ER', 'P', 'D']",0,0,0,0,[]
100,"['P', 'D', 'AO']","['P', 'D', 'AO']",0,CCV,3,"['D', 'AO', 'P']",2,1,1,0,"[1, 2, 3]"
101,"['AO', 'P', 'D']","['AO', 'P', 'D']",0,VCC,3,"['AO', 'P', 'D']",0,0,0,0,[]
102,"['P', 'D', 'UW']","['P', 'D', 'UW']",0,CCV,3,"['D', 'UW', '<EOS>']",2,1,1,0,"[1, 2, 3]"
103,"['UW', 'P', 'D']","['UW', 'P', 'D']",0,VCC,3,"['UW', 'P', 'D']",0,0,0,0,[]
104,"['P', 'D', 'IH']","['P', 'D', 'IH']",0,CCV,3,"['P', 'D', '<EOS>']",1,0,0,1,[3]
105,"['IH', 'P', 'D']","['IH', 'P', 'D']",0,VCC,3,"['IH', 'P', 'D']",0,0,0,0,[]
106,"['P', 'D', 'EH']","['P', 'D', 'EH']",0,CCV,3,"['P', 'D', '<EOS>']",1,0,0,1,[3]
107,"['EH', 'P', 'D']","['EH', 'P', 'D']",0,VCC,3,"['EH', 'P', 'D']",0,0,0,0,[]
108,"['P', 'D', 'UH']","['P', 'D', 'UH']",0,CCV,3,"['P', 'UH', '<EOS>']",2,0,0,2,"[2, 3]"
109,"['UH', 'P', 'D']","['UH', 'P', 'D']",0,VCC,3,"['UH', 'P', 'D']",0,0,0,0,[]
110,"['P', 'D', 'IY']","['P', 'D', 'IY']",0,CCV,3,"['D', 'P', 'IY']",2,1,1,0,"[1, 2]"
111,"['IY', 'P', 'D']","['IY', 'P', 'D']",0,VCC,3,"['IY', 'P', 'D']",0,0,0,0,[]
112,"['P', 'D', 'EY']","['P', 'D', 'EY']",0,CCV,3,"['P', 'D', '<EOS>']",1,0,0,1,[3]
113,"['EY', 'P', 'D']","['EY', 'P', 'D']",0,VCC,3,"['EY', 'P', 'D']",0,0,0,0,[]
114,"['P', 'D', 'OW']","['P', 'D', 'OW']",0,CCV,3,"['P', 'D', '<EOS>']",1,0,0,1,[3]
115,"['OW', 'P', 'D']","['OW', 'P', 'D']",0,VCC,3,"['OW', 'P', 'D']",0,0,0,0,[]
116,"['P', 'D', 'AE']","['P', 'D', 'AE']",0,CCV,3,"['P', 'AE', '<EOS>']",2,0,0,2,"[2, 3]"
117,"['AE', 'P', 'D']","['AE', 'P', 'D']",0,VCC,3,"['AE', 'P', 'D']",0,0,0,0,[]
118,"['P', 'D', 'AW']","['P', 'D', 'AW']",0,CCV,3,"['P', 'D', '<EOS>']",1,0,0,1,[3]
119,"['AW', 'P', 'D']","['AW', 'P', 'D']",0,VCC,3,"['AW', 'P', 'D']",0,0,0,0,[]
120,"['P', 'G', 'AH']","['P', 'G', 'AH']",0,CCV,3,"['P', 'AH', '<EOS>']",2,0,0,2,"[2, 3]"
121,"['AH', 'P', 'G']","['AH', 'P', 'G']",0,VCC,3,"['AH', 'G', 'P']",2,1,1,0,"[2, 3]"
122,"['P', 'G', 'OY']","['P', 'G', 'OY']",0,CCV,3,"['G', 'OY', '<EOS>']",2,1,1,0,"[1, 2, 3]"
123,"['OY', 'P', 'G']","['OY', 'P', 'G']",0,VCC,3,"['OY', 'G', '<EOS>']",2,0,0,2,"[2, 3]"
124,"['P', 'G', 'AA']","['P', 'G', 'AA']",0,CCV,3,"['G', 'P', '<EOS>']",3,1,1,1,"[1, 2, 3]"
125,"['AA', 'P', 'G']","['AA', 'P', 'G']",0,VCC,3,"['AA', 'G', '<EOS>']",2,0,0,2,"[2, 3]"
126,"['P', 'G', 'AY']","['P', 'G', 'AY']",0,CCV,3,"['G', 'P', '<EOS>']",3,1,1,1,"[1, 2, 3]"
127,"['AY', 'P', 'G']","['AY', 'P', 'G']",0,VCC,3,"['AY', 'G', '<EOS>']",2,0,0,2,"[2, 3]"
128,"['P', 'G', 'ER']","['P', 'G', 'ER']",0,CCV,3,"['G', 'P', 'ER']",2,1,1,0,"[1, 2]"
129,"['ER', 'P', 'G']","['ER', 'P', 'G']",0,VCC,3,"['ER', 'G', '<EOS>']",2,0,0,2,"[2, 3]"
130,"['P', 'G', 'AO']","['P', 'G', 'AO']",0,CCV,3,"['P', 'AO', '<EOS>']",2,0,0,2,"[2, 3]"
131,"['AO', 'P', 'G']","['AO', 'P', 'G']",0,VCC,3,"['AO', 'G', 'P']",2,1,1,0,"[2, 3]"
132,"['P', 'G', 'UW']","['P', 'G', 'UW']",0,CCV,3,"['G', 'UW', '<EOS>']",2,1,1,0,"[1, 2, 3]"
133,"['UW', 'P', 'G']","['UW', 'P', 'G']",0,VCC,3,"['UW', 'G', '<EOS>']",2,0,0,2,"[2, 3]"
134,"['P', 'G', 'IH']","['P', 'G', 'IH']",0,CCV,3,"['P', 'IH', '<EOS>']",2,0,0,2,"[2, 3]"
135,"['IH', 'P', 'G']","['IH', 'P', 'G']",0,VCC,3,"['IH', 'G', '<EOS>']",2,0,0,2,"[2, 3]"
136,"['P', 'G', 'EH']","['P', 'G', 'EH']",0,CCV,3,"['G', 'P', '<EOS>']",3,1,1,1,"[1, 2, 3]"
137,"['EH', 'P', 'G']","['EH', 'P', 'G']",0,VCC,3,"['EH', 'G', '<EOS>']",2,0,0,2,"[2, 3]"
138,"['P', 'G', 'UH']","['P', 'G', 'UH']",0,CCV,3,"['G', 'UH', 'P']",2,1,1,0,"[1, 2, 3]"
139,"['UH', 'P', 'G']","['UH', 'P', 'G']",0,VCC,3,"['UH', 'G', '<EOS>']",2,0,0,2,"[2, 3]"
140,"['P', 'G', 'IY']","['P', 'G', 'IY']",0,CCV,3,"['G', 'P', '<EOS>']",3,1,1,1,"[1, 2, 3]"
141,"['IY', 'P', 'G']","['IY', 'P', 'G']",0,VCC,3,"['AY', 'G', '<EOS>']",3,0,0,3,"[1, 2, 3]"
142,"['P', 'G', 'EY']","['P', 'G', 'EY']",0,CCV,3,"['P', 'G', '<EOS>']",1,0,0,1,[3]
143,"['EY', 'P', 'G']","['EY', 'P', 'G']",0,VCC,3,"['EY', 'G', '<EOS>']",2,0,0,2,"[2, 3]"
144,"['P', 'G', 'OW']","['P', 'G', 'OW']",0,CCV,3,"['P', 'G', 'OW']",0,0,0,0,[]
145,"['OW', 'P', 'G']","['OW', 'P', 'G']",0,VCC,3,"['OW', 'P', '<EOS>']",1,0,0,1,[3]
146,"['P', 'G', 'AE']","['P', 'G', 'AE']",0,CCV,3,"['P', 'AE', 'NG']",2,0,0,2,"[2, 3]"
147,"['AE', 'P', 'G']","['AE', 'P', 'G']",0,VCC,3,"['AE', 'G', 'NG']",2,0,0,2,"[2, 3]"
148,"['P', 'G', 'AW']","['P', 'G', 'AW']",0,CCV,3,"['G', 'P', '<EOS>']",3,1,1,1,"[1, 2, 3]"
149,"['AW', 'P', 'G']","['AW', 'P', 'G']",0,VCC,3,"['AW', 'G', '<EOS>']",2,0,0,2,"[2, 3]"
150,"['P', 'F', 'AH']","['P', 'F', 'AH']",1,CCV,3,"['F', 'P', '<EOS>']",3,1,1,1,"[1, 2, 3]"
151,"['AH', 'P', 'F']","['AH', 'P', 'F']",-1,VCC,3,"['P', 'AH', 'F']",2,1,1,0,"[1, 2]"
152,"['P', 'F', 'OY']","['P', 'F', 'OY']",1,CCV,3,"['F', 'OY', '<EOS>']",2,1,1,0,"[1, 2, 3]"
153,"['OY', 'P', 'F']","['OY', 'P', 'F']",-1,VCC,3,"['P', 'OY', '<EOS>']",3,1,1,1,"[1, 2, 3]"
154,"['P', 'F', 'AA']","['P', 'F', 'AA']",1,CCV,3,"['F', 'P', '<EOS>']",3,1,1,1,"[1, 2, 3]"
155,"['AA', 'P', 'F']","['AA', 'P', 'F']",-1,VCC,3,"['AA', 'F', 'P']",2,1,1,0,"[2, 3]"
156,"['P', 'F', 'AY']","['P', 'F', 'AY']",1,CCV,3,"['P', 'F', '<EOS>']",1,0,0,1,[3]
157,"['AY', 'P', 'F']","['AY', 'P', 'F']",-1,VCC,3,"['AY', 'P', '<EOS>']",1,0,0,1,[3]
158,"['P', 'F', 'ER']","['P', 'F', 'ER']",1,CCV,3,"['F', 'P', 'ER']",2,1,1,0,"[1, 2]"
159,"['ER', 'P', 'F']","['ER', 'P', 'F']",-1,VCC,3,"['ER', 'P', 'F']",0,0,0,0,[]
160,"['P', 'F', 'AO']","['P', 'F', 'AO']",1,CCV,3,"['F', 'AO', 'P']",2,1,1,0,"[1, 2, 3]"
161,"['AO', 'P', 'F']","['AO', 'P', 'F']",-1,VCC,3,"['AO', 'F', 'P']",2,1,1,0,"[2, 3]"
162,"['P', 'F', 'UW']","['P', 'F', 'UW']",1,CCV,3,"['F', 'UW', '<EOS>']",2,1,1,0,"[1, 2, 3]"
163,"['UW', 'P', 'F']","['UW', 'P', 'F']",-1,VCC,3,"['UW', 'P', 'F']",0,0,0,0,[]
164,"['P', 'F', 'IH']","['P', 'F', 'IH']",1,CCV,3,"['F', 'IH', 'P']",2,1,1,0,"[1, 2, 3]"
165,"['IH', 'P', 'F']","['IH', 'P', 'F']",-1,VCC,3,"['IH', 'F', '<EOS>']",2,0,0,2,"[2, 3]"
166,"['P', 'F', 'EH']","['P', 'F', 'EH']",1,CCV,3,"['F', 'P', '<EOS>']",3,1,1,1,"[1, 2, 3]"
167,"['EH', 'P', 'F']","['EH', 'P', 'F']",-1,VCC,3,"['EH', 'F', '<EOS>']",2,0,0,2,"[2, 3]"
168,"['P', 'F', 'UH']","['P', 'F', 'UH']",1,CCV,3,"['F', 'UH', '<EOS>']",2,1,1,0,"[1, 2, 3]"
169,"['UH', 'P', 'F']","['UH', 'P', 'F']",-1,VCC,3,"['UH', 'P', 'F']",0,0,0,0,[]
170,"['P', 'F', 'IY']","['P', 'F', 'IY']",1,CCV,3,"['F', 'IY', '<EOS>']",2,1,1,0,"[1, 2, 3]"
171,"['IY', 'P', 'F']","['IY', 'P', 'F']",-1,VCC,3,"['M', 'IY', '<EOS>']",3,1,1,1,"[1, 2, 3]"
172,"['P', 'F', 'EY']","['P', 'F', 'EY']",1,CCV,3,"['F', 'EY', '<EOS>']",2,1,1,0,"[1, 2, 3]"
173,"['EY', 'P', 'F']","['EY', 'P', 'F']",-1,VCC,3,"['P', 'EY', 'F']",2,1,1,0,"[1, 2]"
174,"['P', 'F', 'OW']","['P', 'F', 'OW']",1,CCV,3,"['P', 'F', '<EOS>']",1,0,0,1,[3]
175,"['OW', 'P', 'F']","['OW', 'P', 'F']",-1,VCC,3,"['OW', 'P', 'F']",0,0,0,0,[]
176,"['P', 'F', 'AE']","['P', 'F', 'AE']",1,CCV,3,"['F', 'P', '<EOS>']",3,1,1,1,"[1, 2, 3]"
177,"['AE', 'P', 'F']","['AE', 'P', 'F']",-1,VCC,3,"['AE', 'F', 'P']",2,1,1,0,"[2, 3]"
178,"['P', 'F', 'AW']","['P', 'F', 'AW']",1,CCV,3,"['F', 'AW', '<EOS>']",2,1,1,0,"[1, 2, 3]"
179,"['AW', 'P', 'F']","['AW', 'P', 'F']",-1,VCC,3,"['AW', 'F', '<EOS>']",2,0,0,2,"[2, 3]"
180,"['P', 'TH', 'AH']","['P', 'TH', 'AH']",1,CCV,3,"['P', 'TH', '<EOS>']",1,0,0,1,[3]
181,"['AH', 'P', 'TH']","['AH', 'P', 'TH']",-1,VCC,3,"['P', 'AH', 'TH']",2,1,1,0,"[1, 2]"
182,"['P', 'TH', 'OY']","['P', 'TH', 'OY']",1,CCV,3,"['TH', 'P', '<EOS>']",3,1,1,1,"[1, 2, 3]"
183,"['OY', 'P', 'TH']","['OY', 'P', 'TH']",-1,VCC,3,"['P', 'OY', 'TH']",2,1,1,0,"[1, 2]"
184,"['P', 'TH', 'AA']","['P', 'TH', 'AA']",1,CCV,3,"['TH', 'P', '<EOS>']",3,1,1,1,"[1, 2, 3]"
185,"['AA', 'P', 'TH']","['AA', 'P', 'TH']",-1,VCC,3,"['AA', 'NG', 'TH']",1,0,0,1,[2]
186,"['P', 'TH', 'AY']","['P', 'TH', 'AY']",1,CCV,3,"['TH', 'P', '<EOS>']",3,1,1,1,"[1, 2, 3]"
187,"['AY', 'P', 'TH']","['AY', 'P', 'TH']",-1,VCC,3,"['AY', 'TH', '<EOS>']",2,0,0,2,"[2, 3]"
188,"['P', 'TH', 'ER']","['P', 'TH', 'ER']",1,CCV,3,"['P', 'TH', '<EOS>']",1,0,0,1,[3]
189,"['ER', 'P', 'TH']","['ER', 'P', 'TH']",-1,VCC,3,"['P', 'ER', '<EOS>']",3,1,1,1,"[1, 2, 3]"
190,"['P', 'TH', 'AO']","['P', 'TH', 'AO']",1,CCV,3,"['P', 'TH', '<EOS>']",1,0,0,1,[3]
191,"['AO', 'P', 'TH']","['AO', 'P', 'TH']",-1,VCC,3,"['P', 'AO', 'TH']",2,1,1,0,"[1, 2]"
192,"['P', 'TH', 'UW']","['P', 'TH', 'UW']",1,CCV,3,"['P', 'TH', '<EOS>']",1,0,0,1,[3]
193,"['UW', 'P', 'TH']","['UW', 'P', 'TH']",-1,VCC,3,"['UW', 'P', 'TH']",0,0,0,0,[]
194,"['P', 'TH', 'IH']","['P', 'TH', 'IH']",1,CCV,3,"['TH', 'P', '<EOS>']",3,1,1,1,"[1, 2, 3]"
195,"['IH', 'P', 'TH']","['IH', 'P', 'TH']",-1,VCC,3,"['IH', 'TH', '<EOS>']",2,0,0,2,"[2, 3]"
196,"['P', 'TH', 'EH']","['P', 'TH', 'EH']",1,CCV,3,"['TH', 'P', '<EOS>']",3,1,1,1,"[1, 2, 3]"
197,"['EH', 'P', 'TH']","['EH', 'P', 'TH']",-1,VCC,3,"['EH', 'TH', 'P']",2,1,1,0,"[2, 3]"
198,"['P', 'TH', 'UH']","['P', 'TH', 'UH']",1,CCV,3,"['P', 'UH', 'TH']",2,1,1,0,"[2, 3]"
199,"['UH', 'P', 'TH']","['UH', 'P', 'TH']",-1,VCC,3,"['P', 'UH', 'TH']",2,1,1,0,"[1, 2]"
200,"['P', 'TH', 'IY']","['P', 'TH', 'IY']",1,CCV,3,"['TH', 'P', '<EOS>']",3,1,1,1,"[1, 2, 3]"
