,Word,Condition,Lexicality,Size,Morphology,Frequency,Length,Zipf_Frequency,Phonemes,No_Stress,Part of Speech,Vowel Count,Consonant Count,Prediction,Edit_Distance,Insertions,Deletions,Substitutions,Error_Indices
10,perfectly,RLCH,real,long,complex,4.07e-05,8,4.61,"['P', 'ER', 'F', 'AH', 'K', 'T', 'L', 'IY']","['P', 'ER', 'F', 'AH', 'K', 'T', 'L', 'IY']",ADV,3,5,"['P', 'ER', 'F', 'AH', 'K', 'T', 'L', 'IY']",0,0,0,0,[]
11,underground,RLCH,real,long,complex,2.09e-05,9,4.32,"['AH', 'N', 'D', 'ER', 'G', 'R', 'AW', 'N', 'D']","['AH', 'N', 'D', 'ER', 'G', 'R', 'AW', 'N', 'D']",ADV,3,6,"['AH', 'N', 'D', 'ER', 'G', 'R', 'AW', 'N', 'D']",0,0,0,0,[]
12,listening,RLCH,real,long,complex,4.57e-05,7,4.66,"['L', 'IH', 'S', 'AH', 'N', 'IH', 'NG']","['L', 'IH', 'S', 'AH', 'N', 'IH', 'NG']",VERB,3,4,"['L', 'IH', 'S', 'AH', 'N', 'IH', 'NG']",0,0,0,0,[]
13,languages,RLCH,real,long,complex,2.63e-05,9,4.42,"['L', 'AE', 'NG', 'G', 'W', 'AH', 'JH', 'AH', 'Z']","['L', 'AE', 'NG', 'G', 'W', 'AH', 'JH', 'AH', 'Z']",NOUN,3,6,"['L', 'AE', 'NG', 'G', 'W', 'AH', 'JH', 'AH', 'Z']",0,0,0,0,[]
14,impressed,RLCH,real,long,complex,2.19e-05,7,4.34,"['IH', 'M', 'P', 'R', 'EH', 'S', 'T']","['IH', 'M', 'P', 'R', 'EH', 'S', 'T']",VERB,2,5,"['IH', 'M', 'P', 'R', 'EH', 'S', 'T']",0,0,0,0,[]
15,increasing,RLCH,real,long,complex,4.79e-05,8,4.68,"['IH', 'N', 'K', 'R', 'IY', 'S', 'IH', 'NG']","['IH', 'N', 'K', 'R', 'IY', 'S', 'IH', 'NG']",VERB,3,5,"['IH', 'N', 'K', 'R', 'IY', 'S', 'IH', 'NG']",0,0,0,0,[]
16,creation,RLCH,real,long,complex,3.63e-05,7,4.56,"['K', 'R', 'IY', 'EY', 'SH', 'AH', 'N']","['K', 'R', 'IY', 'EY', 'SH', 'AH', 'N']",NOUN,3,4,"['K', 'R', 'IY', 'EY', 'SH', 'AH', 'N']",0,0,0,0,[]
17,framework,RLCH,real,long,complex,1.95e-05,7,4.29,"['F', 'R', 'EY', 'M', 'W', 'ER', 'K']","['F', 'R', 'EY', 'M', 'W', 'ER', 'K']",NOUN,2,5,"['F', 'R', 'EY', 'M', 'W', 'ER', 'K']",0,0,0,0,[]
18,different,RLCH,real,long,complex,0.000389,7,5.59,"['D', 'IH', 'F', 'ER', 'AH', 'N', 'T']","['D', 'IH', 'F', 'ER', 'AH', 'N', 'T']",ADJ,3,4,"['D', 'IH', 'F', 'ER', 'AH', 'N', 'T']",0,0,0,0,[]
19,connections,RLCH,real,long,complex,2.09e-05,9,4.32,"['K', 'AH', 'N', 'EH', 'K', 'SH', 'AH', 'N', 'Z']","['K', 'AH', 'N', 'EH', 'K', 'SH', 'AH', 'N', 'Z']",NOUN,3,6,"['K', 'AH', 'N', 'EH', 'K', 'SH', 'AH', 'N', 'Z']",0,0,0,0,[]
20,discussed,RLCH,real,long,complex,2.82e-05,7,4.45,"['D', 'IH', 'S', 'K', 'AH', 'S', 'T']","['D', 'IH', 'S', 'K', 'AH', 'S', 'T']",VERB,2,5,"['D', 'IH', 'S', 'K', 'AH', 'S', 'T']",0,0,0,0,[]
21,relation,RLCH,real,long,complex,2.04e-05,7,4.31,"['R', 'IY', 'L', 'EY', 'SH', 'AH', 'N']","['R', 'IY', 'L', 'EY', 'SH', 'AH', 'N']",NOUN,3,4,"['R', 'IY', 'L', 'EY', 'SH', 'AH', 'N']",0,0,0,0,[]
22,graduate,RLCH,real,long,complex,3.16e-05,8,4.5,"['G', 'R', 'AE', 'JH', 'AH', 'W', 'AH', 'T']","['G', 'R', 'AE', 'JH', 'AH', 'W', 'AH', 'T']",NOUN,3,5,"['G', 'R', 'AE', 'JH', 'AH', 'W', 'AH', 'T']",0,0,0,0,[]
23,nevertheless,RLCH,real,long,complex,1.78e-05,9,4.25,"['N', 'EH', 'V', 'ER', 'DH', 'AH', 'L', 'EH', 'S']","['N', 'EH', 'V', 'ER', 'DH', 'AH', 'L', 'EH', 'S']",ADV,4,5,"['N', 'EH', 'V', 'ER', 'DH', 'AH', 'L', 'EH', 'S']",0,0,0,0,[]
24,discipline,RLCH,real,long,complex,1.7e-05,8,4.23,"['D', 'IH', 'S', 'AH', 'P', 'L', 'AH', 'N']","['D', 'IH', 'S', 'AH', 'P', 'L', 'AH', 'N']",VERB,3,5,"['D', 'IH', 'S', 'AH', 'P', 'L', 'AH', 'N']",0,0,0,0,[]
25,customer,RLCH,real,long,complex,4.07e-05,7,4.61,"['K', 'AH', 'S', 'T', 'AH', 'M', 'ER']","['K', 'AH', 'S', 'T', 'AH', 'M', 'ER']",NOUN,3,4,"['K', 'AH', 'S', 'T', 'AH', 'M', 'ER']",0,0,0,0,[]
26,classical,RLCH,real,long,complex,1.82e-05,8,4.26,"['K', 'L', 'AE', 'S', 'IH', 'K', 'AH', 'L']","['K', 'L', 'AE', 'S', 'IH', 'K', 'AH', 'L']",ADJ,3,5,"['K', 'L', 'AE', 'S', 'IH', 'K', 'AH', 'L']",0,0,0,0,[]
27,progress,RLCH,real,long,complex,6.03e-05,7,4.78,"['P', 'R', 'AA', 'G', 'R', 'EH', 'S']","['P', 'R', 'AA', 'G', 'R', 'EH', 'S']",VERB,2,5,"['P', 'R', 'AA', 'G', 'R', 'EH', 'S']",0,0,0,0,[]
28,engineers,RLCH,real,long,complex,2.57e-05,8,4.41,"['EH', 'N', 'JH', 'AH', 'N', 'IH', 'R', 'Z']","['EH', 'N', 'JH', 'AH', 'N', 'IH', 'R', 'Z']",NOUN,3,5,"['EH', 'N', 'JH', 'AH', 'N', 'IH', 'R', 'Z']",0,0,0,0,[]
29,equipment,RLCH,real,long,complex,7.59e-05,9,4.88,"['IH', 'K', 'W', 'IH', 'P', 'M', 'AH', 'N', 'T']","['IH', 'K', 'W', 'IH', 'P', 'M', 'AH', 'N', 'T']",NOUN,3,6,"['IH', 'K', 'W', 'IH', 'P', 'M', 'AH', 'N', 'T']",0,0,0,0,[]
30,existing,RLCH,real,long,complex,5.62e-05,8,4.75,"['IH', 'G', 'Z', 'IH', 'S', 'T', 'IH', 'NG']","['IH', 'G', 'Z', 'IH', 'S', 'T', 'IH', 'NG']",VERB,3,5,"['IH', 'G', 'Z', 'IH', 'S', 'T', 'IH', 'NG']",0,0,0,0,[]
31,technology,RLCH,real,long,complex,0.000123,9,5.09,"['T', 'EH', 'K', 'N', 'AA', 'L', 'AH', 'JH', 'IY']","['T', 'EH', 'K', 'N', 'AA', 'L', 'AH', 'JH', 'IY']",NOUN,4,5,"['T', 'EH', 'K', 'N', 'AA', 'L', 'AH', 'JH', 'IY']",0,0,0,0,[]
32,continued,RLCH,real,long,complex,9.12e-05,9,4.96,"['K', 'AH', 'N', 'T', 'IH', 'N', 'Y', 'UW', 'D']","['K', 'AH', 'N', 'T', 'IH', 'N', 'Y', 'UW', 'D']",VERB,3,6,"['K', 'AH', 'N', 'T', 'IH', 'N', 'Y', 'UW', 'D']",0,0,0,0,[]
33,racism,RLCH,real,long,complex,1.78e-05,7,4.25,"['R', 'EY', 'S', 'IH', 'Z', 'AH', 'M']","['R', 'EY', 'S', 'IH', 'Z', 'AH', 'M']",NOUN,3,4,"['R', 'EY', 'S', 'IH', 'Z', 'AH', 'M']",0,0,0,0,[]
34,analysis,RLCH,real,long,complex,8.13e-05,8,4.91,"['AH', 'N', 'AE', 'L', 'AH', 'S', 'AH', 'S']","['AH', 'N', 'AE', 'L', 'AH', 'S', 'AH', 'S']",NOUN,4,4,"['AH', 'N', 'AE', 'L', 'AH', 'S', 'AH', 'S']",0,0,0,0,[]
35,potentially,RLCH,real,long,complex,2.45e-05,9,4.39,"['P', 'AH', 'T', 'EH', 'N', 'SH', 'AH', 'L', 'IY']","['P', 'AH', 'T', 'EH', 'N', 'SH', 'AH', 'L', 'IY']",ADV,4,5,"['P', 'AH', 'T', 'EH', 'N', 'SH', 'AH', 'L', 'IY']",0,0,0,0,[]
36,developer,RLCH,real,long,complex,1.58e-05,8,4.2,"['D', 'IH', 'V', 'EH', 'L', 'AH', 'P', 'ER']","['D', 'IH', 'V', 'EH', 'L', 'AH', 'P', 'ER']",NOUN,4,4,"['D', 'IH', 'V', 'EH', 'L', 'AH', 'P', 'ER']",0,0,0,0,[]
37,composed,RLCH,real,long,complex,1.86e-05,7,4.27,"['K', 'AH', 'M', 'P', 'OW', 'Z', 'D']","['K', 'AH', 'M', 'P', 'OW', 'Z', 'D']",VERB,2,5,"['K', 'AH', 'M', 'P', 'OW', 'Z', 'D']",0,0,0,0,[]
38,disabled,RLCH,real,long,complex,1.95e-05,8,4.29,"['D', 'IH', 'S', 'EY', 'B', 'AH', 'L', 'D']","['D', 'IH', 'S', 'EY', 'B', 'AH', 'L', 'D']",ADJ,3,5,"['D', 'IH', 'S', 'EY', 'B', 'AH', 'L', 'D']",0,0,0,0,[]
39,punishment,RLCH,real,long,complex,2.19e-05,9,4.34,"['P', 'AH', 'N', 'IH', 'SH', 'M', 'AH', 'N', 'T']","['P', 'AH', 'N', 'IH', 'SH', 'M', 'AH', 'N', 'T']",NOUN,3,6,"['P', 'AH', 'N', 'IH', 'SH', 'M', 'AH', 'N', 'T']",0,0,0,0,[]
40,exposed,RLCH,real,long,complex,3.24e-05,7,4.51,"['IH', 'K', 'S', 'P', 'OW', 'Z', 'D']","['IH', 'K', 'S', 'P', 'OW', 'Z', 'D']",VERB,2,5,"['IH', 'K', 'S', 'P', 'OW', 'Z', 'D']",0,0,0,0,[]
41,essentially,RLCH,real,long,complex,2.63e-05,8,4.42,"['IH', 'S', 'EH', 'N', 'SH', 'AH', 'L', 'IY']","['IH', 'S', 'EH', 'N', 'SH', 'AH', 'L', 'IY']",ADV,4,4,"['IH', 'S', 'EH', 'N', 'SH', 'AH', 'L', 'IY']",0,0,0,0,[]
42,disappeared,RLCH,real,long,complex,1.82e-05,8,4.26,"['D', 'IH', 'S', 'AH', 'P', 'IH', 'R', 'D']","['D', 'IH', 'S', 'AH', 'P', 'IH', 'R', 'D']",VERB,3,5,"['D', 'IH', 'S', 'AH', 'P', 'IH', 'R', 'D']",0,0,0,0,[]
43,themselves,RLCH,real,long,complex,0.000145,8,5.16,"['DH', 'EH', 'M', 'S', 'EH', 'L', 'V', 'Z']","['DH', 'EH', 'M', 'S', 'EH', 'L', 'V', 'Z']",PRON,2,6,"['DH', 'EH', 'M', 'S', 'EH', 'L', 'V', 'Z']",0,0,0,0,[]
44,neighborhood,RLCH,real,long,complex,3.16e-05,7,4.5,"['N', 'EY', 'B', 'ER', 'HH', 'UH', 'D']","['N', 'EY', 'B', 'ER', 'HH', 'UH', 'D']",NOUN,3,4,"['N', 'EY', 'B', 'ER', 'HH', 'UH', 'D']",0,0,0,0,[]
45,familiar,RLCH,real,long,complex,4.07e-05,7,4.61,"['F', 'AH', 'M', 'IH', 'L', 'Y', 'ER']","['F', 'AH', 'M', 'IH', 'L', 'Y', 'ER']",ADJ,3,4,"['F', 'AH', 'M', 'IH', 'L', 'Y', 'ER']",0,0,0,0,[]
46,queensland,RLCH,real,long,complex,1.7e-05,9,4.23,"['K', 'W', 'IY', 'N', 'Z', 'L', 'AE', 'N', 'D']","['K', 'W', 'IY', 'N', 'Z', 'L', 'AE', 'N', 'D']",PROPN,2,7,"['K', 'W', 'IY', 'N', 'Z', 'L', 'AE', 'N', 'D']",0,0,0,0,[]
47,secrets,RLCH,real,long,complex,2.04e-05,7,4.31,"['S', 'IY', 'K', 'R', 'AH', 'T', 'S']","['S', 'IY', 'K', 'R', 'AH', 'T', 'S']",NOUN,2,5,"['S', 'IY', 'K', 'R', 'AH', 'T', 'S']",0,0,0,0,[]
48,cambridge,RLCH,real,long,complex,2.45e-05,7,4.39,"['K', 'EY', 'M', 'B', 'R', 'IH', 'JH']","['K', 'EY', 'M', 'B', 'R', 'IH', 'JH']",PROPN,2,5,"['K', 'EY', 'M', 'B', 'R', 'IH', 'JH']",0,0,0,0,[]
49,estimated,RLCH,real,long,complex,4.17e-05,9,4.62,"['EH', 'S', 'T', 'AH', 'M', 'EY', 'T', 'AH', 'D']","['EH', 'S', 'T', 'AH', 'M', 'EY', 'T', 'AH', 'D']",VERB,4,5,"['EH', 'S', 'T', 'AH', 'M', 'EY', 'T', 'AH', 'D']",0,0,0,0,[]
50,depression,RLCH,real,long,complex,3.63e-05,8,4.56,"['D', 'IH', 'P', 'R', 'EH', 'SH', 'AH', 'N']","['D', 'IH', 'P', 'R', 'EH', 'SH', 'AH', 'N']",NOUN,3,5,"['D', 'IH', 'P', 'R', 'EH', 'SH', 'AH', 'N']",0,0,0,0,[]
51,girlfriend,RLCH,real,long,complex,4.79e-05,8,4.68,"['G', 'ER', 'L', 'F', 'R', 'EH', 'N', 'D']","['G', 'ER', 'L', 'F', 'R', 'EH', 'N', 'D']",NOUN,2,6,"['G', 'ER', 'L', 'F', 'R', 'EH', 'N', 'D']",0,0,0,0,[]
52,functional,RLCH,real,long,complex,1.74e-05,9,4.24,"['F', 'AH', 'NG', 'K', 'SH', 'AH', 'N', 'AH', 'L']","['F', 'AH', 'NG', 'K', 'SH', 'AH', 'N', 'AH', 'L']",ADJ,3,6,"['F', 'AH', 'NG', 'K', 'SH', 'AH', 'N', 'AH', 'L']",0,0,0,0,[]
53,ambassador,RLCH,real,long,complex,2.24e-05,8,4.35,"['AE', 'M', 'B', 'AE', 'S', 'AH', 'D', 'ER']","['AE', 'M', 'B', 'AE', 'S', 'AH', 'D', 'ER']",NOUN,4,4,"['AE', 'M', 'B', 'AE', 'S', 'AH', 'D', 'ER']",0,0,0,0,[]
54,property,RLCH,real,long,complex,0.000129,7,5.11,"['P', 'R', 'AA', 'P', 'ER', 'T', 'IY']","['P', 'R', 'AA', 'P', 'ER', 'T', 'IY']",NOUN,3,4,"['P', 'R', 'AA', 'P', 'ER', 'T', 'IY']",0,0,0,0,[]
55,memorial,RLCH,real,long,complex,2.57e-05,8,4.41,"['M', 'AH', 'M', 'AO', 'R', 'IY', 'AH', 'L']","['M', 'AH', 'M', 'AO', 'R', 'IY', 'AH', 'L']",NOUN,4,4,"['M', 'AH', 'M', 'AO', 'R', 'IY', 'AH', 'L']",0,0,0,0,[]
56,traveling,RLCH,real,long,complex,1.86e-05,8,4.27,"['T', 'R', 'AE', 'V', 'AH', 'L', 'IH', 'NG']","['T', 'R', 'AE', 'V', 'AH', 'L', 'IH', 'NG']",VERB,3,5,"['T', 'R', 'AE', 'V', 'AH', 'L', 'IH', 'NG']",0,0,0,0,[]
57,percentage,RLCH,real,long,complex,3.02e-05,8,4.48,"['P', 'ER', 'S', 'EH', 'N', 'T', 'AH', 'JH']","['P', 'ER', 'S', 'EH', 'N', 'T', 'AH', 'JH']",NOUN,3,5,"['P', 'ER', 'S', 'EH', 'N', 'T', 'AH', 'JH']",0,0,0,0,[]
58,extremely,RLCH,real,long,complex,6.17e-05,9,4.79,"['IH', 'K', 'S', 'T', 'R', 'IY', 'M', 'L', 'IY']","['IH', 'K', 'S', 'T', 'R', 'IY', 'M', 'L', 'IY']",ADV,3,6,"['IH', 'K', 'S', 'T', 'R', 'IY', 'M', 'L', 'IY']",0,0,0,0,[]
59,refused,RLCH,real,long,complex,3.47e-05,7,4.54,"['R', 'AH', 'F', 'Y', 'UW', 'Z', 'D']","['R', 'AH', 'F', 'Y', 'UW', 'Z', 'D']",VERB,2,5,"['R', 'AH', 'F', 'Y', 'UW', 'Z', 'D']",0,0,0,0,[]
60,legendary,RLCH,real,long,complex,1.7e-05,9,4.23,"['L', 'EH', 'JH', 'AH', 'N', 'D', 'EH', 'R', 'IY']","['L', 'EH', 'JH', 'AH', 'N', 'D', 'EH', 'R', 'IY']",ADJ,4,5,"['L', 'EH', 'JH', 'AH', 'N', 'D', 'EH', 'R', 'IY']",0,0,0,0,[]
61,newspaper,RLCH,real,long,complex,3.98e-05,7,4.6,"['N', 'UW', 'Z', 'P', 'EY', 'P', 'ER']","['N', 'UW', 'Z', 'P', 'EY', 'P', 'ER']",NOUN,3,4,"['N', 'UW', 'Z', 'P', 'EY', 'P', 'ER']",0,0,0,0,[]
62,assessment,RLCH,real,long,complex,2.88e-05,8,4.46,"['AH', 'S', 'EH', 'S', 'M', 'AH', 'N', 'T']","['AH', 'S', 'EH', 'S', 'M', 'AH', 'N', 'T']",NOUN,3,5,"['AH', 'S', 'EH', 'S', 'M', 'AH', 'N', 'T']",0,0,0,0,[]
63,develop,RLCH,real,long,complex,5.62e-05,7,4.75,"['D', 'IH', 'V', 'EH', 'L', 'AH', 'P']","['D', 'IH', 'V', 'EH', 'L', 'AH', 'P']",VERB,3,4,"['D', 'IH', 'V', 'EH', 'L', 'AH', 'P']",0,0,0,0,[]
64,alexander,RLCH,real,long,complex,2.51e-05,9,4.4,"['AE', 'L', 'AH', 'G', 'Z', 'AE', 'N', 'D', 'ER']","['AE', 'L', 'AH', 'G', 'Z', 'AE', 'N', 'D', 'ER']",PROPN,4,5,"['AE', 'L', 'AH', 'G', 'Z', 'AE', 'N', 'D', 'ER']",0,0,0,0,[]
65,protection,RLCH,real,long,complex,7.08e-05,9,4.85,"['P', 'R', 'AH', 'T', 'EH', 'K', 'SH', 'AH', 'N']","['P', 'R', 'AH', 'T', 'EH', 'K', 'SH', 'AH', 'N']",NOUN,3,6,"['P', 'R', 'AH', 'T', 'EH', 'K', 'SH', 'AH', 'N']",0,0,0,0,[]
66,dominant,RLCH,real,long,complex,1.7e-05,8,4.23,"['D', 'AA', 'M', 'AH', 'N', 'AH', 'N', 'T']","['D', 'AA', 'M', 'AH', 'N', 'AH', 'N', 'T']",ADJ,3,5,"['D', 'AA', 'M', 'AH', 'N', 'AH', 'N', 'T']",0,0,0,0,[]
67,guardian,RLCH,real,long,complex,1.82e-05,7,4.26,"['G', 'AA', 'R', 'D', 'IY', 'AH', 'N']","['G', 'AA', 'R', 'D', 'IY', 'AH', 'N']",NOUN,3,4,"['G', 'AA', 'R', 'D', 'IY', 'AH', 'N']",0,0,0,0,[]
68,supports,RLCH,real,long,complex,2.63e-05,7,4.42,"['S', 'AH', 'P', 'AO', 'R', 'T', 'S']","['S', 'AH', 'P', 'AO', 'R', 'T', 'S']",VERB,2,5,"['S', 'AH', 'P', 'AO', 'R', 'T', 'S']",0,0,0,0,[]
69,nigeria,RLCH,real,long,complex,2.14e-05,7,4.33,"['N', 'AY', 'JH', 'IH', 'R', 'IY', 'AH']","['N', 'AY', 'JH', 'IH', 'R', 'IY', 'AH']",PROPN,4,3,"['N', 'AY', 'JH', 'IH', 'R', 'IY', 'AH']",0,0,0,0,[]
70,expensive,RLCH,real,long,complex,4.9e-05,9,4.69,"['IH', 'K', 'S', 'P', 'EH', 'N', 'S', 'IH', 'V']","['IH', 'K', 'S', 'P', 'EH', 'N', 'S', 'IH', 'V']",ADJ,3,6,"['IH', 'K', 'S', 'P', 'EH', 'N', 'S', 'IH', 'V']",0,0,0,0,[]
71,developers,RLCH,real,long,complex,1.66e-05,9,4.22,"['D', 'IH', 'V', 'EH', 'L', 'AH', 'P', 'ER', 'Z']","['D', 'IH', 'V', 'EH', 'L', 'AH', 'P', 'ER', 'Z']",NOUN,4,5,"['D', 'IH', 'V', 'EH', 'L', 'AH', 'P', 'ER', 'Z']",0,0,0,0,[]
72,january,RLCH,real,long,complex,0.000123,8,5.09,"['JH', 'AE', 'N', 'Y', 'UW', 'EH', 'R', 'IY']","['JH', 'AE', 'N', 'Y', 'UW', 'EH', 'R', 'IY']",PROPN,4,4,"['JH', 'AE', 'N', 'Y', 'UW', 'EH', 'R', 'IY']",0,0,0,0,[]
73,findings,RLCH,real,long,complex,2.4e-05,7,4.38,"['F', 'AY', 'N', 'D', 'IH', 'NG', 'Z']","['F', 'AY', 'N', 'D', 'IH', 'NG', 'Z']",NOUN,2,5,"['F', 'AY', 'N', 'D', 'IH', 'NG', 'Z']",0,0,0,0,[]
74,extension,RLCH,real,long,complex,2.88e-05,9,4.46,"['IH', 'K', 'S', 'T', 'EH', 'N', 'SH', 'AH', 'N']","['IH', 'K', 'S', 'T', 'EH', 'N', 'SH', 'AH', 'N']",NOUN,3,6,"['IH', 'K', 'S', 'T', 'EH', 'N', 'SH', 'AH', 'N']",0,0,0,0,[]
75,describe,RLCH,real,long,complex,3.63e-05,7,4.56,"['D', 'IH', 'S', 'K', 'R', 'AY', 'B']","['D', 'IH', 'S', 'K', 'R', 'AY', 'B']",VERB,2,5,"['D', 'IH', 'S', 'K', 'R', 'AY', 'B']",0,0,0,0,[]
76,friendly,RLCH,real,long,complex,4.37e-05,7,4.64,"['F', 'R', 'EH', 'N', 'D', 'L', 'IY']","['F', 'R', 'EH', 'N', 'D', 'L', 'IY']",ADJ,2,5,"['F', 'R', 'EH', 'N', 'D', 'L', 'IY']",0,0,0,0,[]
77,activities,RLCH,real,long,complex,8.13e-05,9,4.91,"['AE', 'K', 'T', 'IH', 'V', 'AH', 'T', 'IY', 'Z']","['AE', 'K', 'T', 'IH', 'V', 'AH', 'T', 'IY', 'Z']",NOUN,4,5,"['AE', 'K', 'T', 'IH', 'V', 'AH', 'T', 'IY', 'Z']",0,0,0,0,[]
78,christian,RLCH,real,long,complex,7.59e-05,7,4.88,"['K', 'R', 'IH', 'S', 'CH', 'AH', 'N']","['K', 'R', 'IH', 'S', 'CH', 'AH', 'N']",ADJ,2,5,"['K', 'R', 'IH', 'S', 'CH', 'AH', 'N']",0,0,0,0,[]
79,introduced,RLCH,real,long,complex,5.25e-05,9,4.72,"['IH', 'N', 'T', 'R', 'AH', 'D', 'UW', 'S', 'T']","['IH', 'N', 'T', 'R', 'AH', 'D', 'UW', 'S', 'T']",VERB,3,6,"['IH', 'N', 'T', 'R', 'AH', 'D', 'UW', 'S', 'T']",0,0,0,0,[]
80,critical,RLCH,real,long,complex,6.76e-05,8,4.83,"['K', 'R', 'IH', 'T', 'IH', 'K', 'AH', 'L']","['K', 'R', 'IH', 'T', 'IH', 'K', 'AH', 'L']",ADJ,3,5,"['K', 'R', 'IH', 'T', 'IH', 'K', 'AH', 'L']",0,0,0,0,[]
81,journalist,RLCH,real,long,complex,2.4e-05,8,4.38,"['JH', 'ER', 'N', 'AH', 'L', 'AH', 'S', 'T']","['JH', 'ER', 'N', 'AH', 'L', 'AH', 'S', 'T']",NOUN,3,5,"['JH', 'ER', 'N', 'AH', 'L', 'AH', 'S', 'T']",0,0,0,0,[]
82,expecting,RLCH,real,long,complex,2.63e-05,9,4.42,"['IH', 'K', 'S', 'P', 'EH', 'K', 'T', 'IH', 'NG']","['IH', 'K', 'S', 'P', 'EH', 'K', 'T', 'IH', 'NG']",VERB,3,6,"['IH', 'K', 'S', 'P', 'EH', 'K', 'T', 'IH', 'NG']",0,0,0,0,[]
83,integrity,RLCH,real,long,complex,1.66e-05,9,4.22,"['IH', 'N', 'T', 'EH', 'G', 'R', 'AH', 'T', 'IY']","['IH', 'N', 'T', 'EH', 'G', 'R', 'AH', 'T', 'IY']",NOUN,4,5,"['IH', 'N', 'T', 'EH', 'G', 'R', 'AH', 'T', 'IY']",0,0,0,0,[]
84,starting,RLCH,real,long,complex,0.000117,7,5.07,"['S', 'T', 'AA', 'R', 'T', 'IH', 'NG']","['S', 'T', 'AA', 'R', 'T', 'IH', 'NG']",VERB,2,5,"['S', 'T', 'AA', 'R', 'T', 'IH', 'NG']",0,0,0,0,[]
85,threatened,RLCH,real,long,complex,2.29e-05,7,4.36,"['TH', 'R', 'EH', 'T', 'AH', 'N', 'D']","['TH', 'R', 'EH', 'T', 'AH', 'N', 'D']",VERB,2,5,"['TH', 'R', 'EH', 'T', 'AH', 'N', 'D']",0,0,0,0,[]
86,offensive,RLCH,real,long,complex,2.88e-05,7,4.46,"['AH', 'F', 'EH', 'N', 'S', 'IH', 'V']","['AH', 'F', 'EH', 'N', 'S', 'IH', 'V']",ADJ,3,4,"['AH', 'F', 'EH', 'N', 'S', 'IH', 'V']",0,0,0,0,[]
