,No_Stress,Sonority,Type,Prediction
77,"['P', 'F', 'AA']",1,CCV,"['F', 'P', 'AA']"
78,"['P', 'F', 'AY']",1,CCV,"['P', 'F', 'AY']"
79,"['P', 'F', 'ER']",1,CCV,"['F', 'P', 'ER']"
80,"['P', 'F', 'AO']",1,CCV,"['P', 'F', 'AO']"
81,"['P', 'F', 'UW']",1,CCV,"['P', 'F', 'UW']"
82,"['P', 'F', 'IH']",1,CCV,"['P', 'F', 'IH']"
83,"['P', 'F', 'EH']",1,CCV,"['F', 'P', 'EH']"
84,"['P', 'F', 'UH']",1,CCV,"['P', 'UH', 'F']"
85,"['P', 'F', 'IY']",1,CCV,"['F', 'IY', 'P']"
86,"['P', 'F', 'EY']",1,CCV,"['F', 'EY', 'P']"
87,"['P', 'F', 'OW']",1,CCV,"['P', 'F', 'OW']"
88,"['P', 'F', 'AE']",1,CCV,"['F', 'AE', 'P']"
89,"['P', 'F', 'AW']",1,CCV,"['F', 'AW', 'P']"
90,"['P', 'TH', 'AH']",1,CCV,"['P', 'TH', 'AH']"
91,"['P', 'TH', 'OY']",1,CCV,"['TH', 'P', 'OY']"
92,"['P', 'TH', 'AA']",1,CCV,"['TH', 'P', 'AA']"
93,"['P', 'TH', 'AY']",1,CCV,"['TH', 'P', 'AY']"
94,"['P', 'TH', 'ER']",1,CCV,"['P', 'TH', 'ER']"
95,"['P', 'TH', 'AO']",1,CCV,"['P', 'TH', 'AO']"
96,"['P', 'TH', 'UW']",1,CCV,"['P', 'TH', 'UW']"
97,"['P', 'TH', 'IH']",1,CCV,"['TH', 'P', 'IH']"
98,"['P', 'TH', 'EH']",1,CCV,"['P', 'TH', 'EH']"
99,"['P', 'TH', 'UH']",1,CCV,"['P', 'UH', 'TH']"
100,"['P', 'TH', 'IY']",1,CCV,"['TH', 'P', 'IY']"
101,"['P', 'TH', 'EY']",1,CCV,"['P', 'TH', 'EY']"
102,"['P', 'TH', 'OW']",1,CCV,"['P', 'TH', 'OW']"
103,"['P', 'TH', 'AE']",1,CCV,"['P', 'TH', 'AE']"
104,"['P', 'TH', 'AW']",1,CCV,"['P', 'TH', 'AW']"
105,"['P', 'S', 'AH']",1,CCV,"['S', 'P', 'AH']"
106,"['P', 'S', 'OY']",1,CCV,"['P', 'OY', 'K']"
107,"['P', 'S', 'AA']",1,CCV,"['S', 'P', 'AA']"
108,"['P', 'S', 'AY']",1,CCV,"['P', 'AY', 'S']"
109,"['P', 'S', 'ER']",1,CCV,"['P', 'S', 'ER']"
110,"['P', 'S', 'AO']",1,CCV,"['S', 'P', 'AO']"
111,"['P', 'S', 'UW']",1,CCV,"['P', 'S', 'UW']"
112,"['P', 'S', 'IH']",1,CCV,"['S', 'P', 'IH']"
113,"['P', 'S', 'EH']",1,CCV,"['S', 'P', 'EH']"
114,"['P', 'S', 'UH']",1,CCV,"['S', 'P', 'UH']"
115,"['P', 'S', 'IY']",1,CCV,"['P', 'S', 'IY']"
116,"['P', 'S', 'EY']",1,CCV,"['S', 'P', 'EY']"
117,"['P', 'S', 'OW']",1,CCV,"['P', 'S', 'OW']"
118,"['P', 'S', 'AE']",1,CCV,"['S', 'P', 'AE']"
119,"['P', 'S', 'AW']",1,CCV,"['P', 'S', 'AW']"
120,"['P', 'SH', 'AH']",1,CCV,"['P', 'SH', 'AH']"
121,"['P', 'SH', 'OY']",1,CCV,"['P', 'SH', 'OY']"
122,"['P', 'SH', 'AA']",1,CCV,"['P', 'SH', 'AA']"
123,"['P', 'SH', 'AY']",1,CCV,"['P', 'AY', 'SH']"
124,"['P', 'SH', 'ER']",1,CCV,"['P', 'ER', 'SH']"
125,"['P', 'SH', 'AO']",1,CCV,"['P', 'SH', 'AO']"
126,"['P', 'SH', 'UW']",1,CCV,"['P', 'SH', 'UW']"
127,"['P', 'SH', 'IH']",1,CCV,"['P', 'SH', 'IH']"
128,"['P', 'SH', 'EH']",1,CCV,"['P', 'SH', 'EH']"
129,"['P', 'SH', 'UH']",1,CCV,"['P', 'UH', 'SH']"
130,"['P', 'SH', 'IY']",1,CCV,"['P', 'SH', 'IY']"
131,"['P', 'SH', 'EY']",1,CCV,"['P', 'SH', 'EY']"
132,"['P', 'SH', 'OW']",1,CCV,"['P', 'SH', 'OW']"
133,"['P', 'SH', 'AE']",1,CCV,"['P', 'SH', 'AE']"
134,"['P', 'SH', 'AW']",1,CCV,"['P', 'SH', 'AW']"
135,"['P', 'Z', 'AH']",1,CCV,"['P', 'Z', 'AH']"
136,"['P', 'Z', 'OY']",1,CCV,"['P', 'IH', 'Z']"
137,"['P', 'Z', 'AA']",1,CCV,"['P', 'AA', 'Z']"
138,"['P', 'Z', 'AY']",1,CCV,"['P', 'AY', 'Z']"
139,"['P', 'Z', 'ER']",1,CCV,"['P', 'Z', 'ER']"
140,"['P', 'Z', 'AO']",1,CCV,"['P', 'IH', 'Z']"
141,"['P', 'Z', 'UW']",1,CCV,"['P', 'Z', 'UW']"
142,"['P', 'Z', 'IH']",1,CCV,"['P', 'IH', 'Z']"
143,"['P', 'Z', 'EH']",1,CCV,"['P', 'Z', 'EH']"
144,"['P', 'Z', 'UH']",1,CCV,"['P', 'UH', 'Z']"
145,"['P', 'Z', 'IY']",1,CCV,"['P', 'Z', 'IY']"
146,"['P', 'Z', 'EY']",1,CCV,"['P', 'EY', 'Z']"
147,"['P', 'Z', 'OW']",1,CCV,"['P', 'OW', 'Z']"
148,"['P', 'Z', 'AE']",1,CCV,"['P', 'AE', 'Z']"
149,"['P', 'Z', 'AW']",1,CCV,"['P', 'Z', 'AW']"
150,"['P', 'ZH', 'AH']",1,CCV,"['P', 'ZH', 'AH']"
151,"['P', 'ZH', 'OY']",1,CCV,"['ZH', 'P', 'OY']"
152,"['P', 'ZH', 'AA']",1,CCV,"['ZH', 'P', 'AA']"
153,"['P', 'ZH', 'AY']",1,CCV,"['ZH', 'P', 'AY']"
154,"['P', 'ZH', 'ER']",1,CCV,"['P', 'ZH', 'ER']"
155,"['P', 'ZH', 'AO']",1,CCV,"['P', 'ZH', 'AO']"
156,"['P', 'ZH', 'UW']",1,CCV,"['P', 'ZH', 'UW']"
157,"['P', 'ZH', 'IH']",1,CCV,"['ZH', 'IH', 'K']"
158,"['P', 'ZH', 'EH']",1,CCV,"['ZH', 'P', 'EH']"
159,"['P', 'ZH', 'UH']",1,CCV,"['ZH', 'UH', 'ZH']"
160,"['P', 'ZH', 'IY']",1,CCV,"['ZH', 'P', 'IY']"
161,"['P', 'ZH', 'EY']",1,CCV,"['P', 'ZH', 'EY']"
162,"['P', 'ZH', 'OW']",1,CCV,"['P', 'ZH', 'OW']"
163,"['P', 'ZH', 'AE']",1,CCV,"['ZH', 'P', 'AE']"
164,"['P', 'ZH', 'AW']",1,CCV,"['ZH', 'P', 'AW']"
165,"['P', 'V', 'AH']",1,CCV,"['P', 'V', 'AH']"
166,"['P', 'V', 'OY']",1,CCV,"['P', 'V', 'OY']"
167,"['P', 'V', 'AA']",1,CCV,"['P', 'V', 'AA']"
168,"['P', 'V', 'AY']",1,CCV,"['P', 'AY', 'V']"
169,"['P', 'V', 'ER']",1,CCV,"['P', 'ER', 'V']"
170,"['P', 'V', 'AO']",1,CCV,"['P', 'V', 'AO']"
171,"['P', 'V', 'UW']",1,CCV,"['P', 'V', 'UW']"
172,"['P', 'V', 'IH']",1,CCV,"['P', 'IH', 'V']"
173,"['P', 'V', 'EH']",1,CCV,"['P', 'V', 'EH']"
174,"['P', 'V', 'UH']",1,CCV,"['P', 'UH', 'V']"
175,"['P', 'V', 'IY']",1,CCV,"['P', 'IY', 'V']"
176,"['P', 'V', 'EY']",1,CCV,"['P', 'EY', 'V']"
177,"['P', 'V', 'OW']",1,CCV,"['P', 'V', 'OW']"
178,"['P', 'V', 'AE']",1,CCV,"['P', 'AE', 'V']"
179,"['P', 'V', 'AW']",1,CCV,"['P', 'V', 'AW']"
180,"['P', 'DH', 'AH']",1,CCV,"['DH', 'P', 'AH']"
181,"['P', 'DH', 'OY']",1,CCV,"['DH', 'P', 'OY']"
182,"['P', 'DH', 'AA']",1,CCV,"['DH', 'P', 'AA']"
183,"['P', 'DH', 'AY']",1,CCV,"['DH', 'P', 'AY']"
184,"['P', 'DH', 'ER']",1,CCV,"['DH', 'ER', 'P']"
185,"['P', 'DH', 'AO']",1,CCV,"['DH', 'P', 'AO']"
186,"['P', 'DH', 'UW']",1,CCV,"['DH', 'P', 'UW']"
187,"['P', 'DH', 'IH']",1,CCV,"['DH', 'IH', 'P']"
188,"['P', 'DH', 'EH']",1,CCV,"['DH', 'P', 'EH']"
189,"['P', 'DH', 'UH']",1,CCV,"['DH', 'UH', 'R']"
190,"['P', 'DH', 'IY']",1,CCV,"['DH', 'P', 'IY']"
191,"['P', 'DH', 'EY']",1,CCV,"['DH', 'P', 'EY']"
192,"['P', 'DH', 'OW']",1,CCV,"['P', 'DH', 'OW']"
193,"['P', 'DH', 'AE']",1,CCV,"['DH', 'AE', 'AW']"
194,"['P', 'DH', 'AW']",1,CCV,"['DH', 'P', 'AW']"
195,"['P', 'HH', 'AH']",1,CCV,"['P', 'HH', 'AH']"
196,"['P', 'HH', 'OY']",1,CCV,"['P', 'OY', 'L']"
197,"['P', 'HH', 'AA']",1,CCV,"['P', 'HH', 'AA']"
198,"['P', 'HH', 'AY']",1,CCV,"['HH', 'AY', 'P']"
199,"['P', 'HH', 'ER']",1,CCV,"['P', 'HH', 'ER']"
200,"['P', 'HH', 'AO']",1,CCV,"['HH', 'AO', 'P']"
201,"['P', 'HH', 'UW']",1,CCV,"['P', 'HH', 'UW']"
202,"['P', 'HH', 'IH']",1,CCV,"['P', 'HH', 'IH']"
203,"['P', 'HH', 'EH']",1,CCV,"['HH', 'P', 'EH']"
204,"['P', 'HH', 'UH']",1,CCV,"['P', 'UH', 'L']"
205,"['P', 'HH', 'IY']",1,CCV,"['HH', 'IY', 'P']"
206,"['P', 'HH', 'EY']",1,CCV,"['P', 'HH', 'EY']"
207,"['P', 'HH', 'OW']",1,CCV,"['P', 'HH', 'OW']"
208,"['P', 'HH', 'AE']",1,CCV,"['HH', 'AE', 'P']"
209,"['P', 'HH', 'AW']",1,CCV,"['HH', 'AW', 'P']"
210,"['P', 'CH', 'AH']",2,CCV,"['P', 'CH', 'AH']"
211,"['P', 'CH', 'OY']",2,CCV,"['P', 'CH', 'OY']"
212,"['P', 'CH', 'AA']",2,CCV,"['P', 'CH', 'AA']"
213,"['P', 'CH', 'AY']",2,CCV,"['P', 'AY', 'CH']"
214,"['P', 'CH', 'ER']",2,CCV,"['P', 'CH', 'ER']"
215,"['P', 'CH', 'AO']",2,CCV,"['P', 'CH', 'AO']"
216,"['P', 'CH', 'UW']",2,CCV,"['P', 'CH', 'UW']"
217,"['P', 'CH', 'IH']",2,CCV,"['P', 'CH', 'IH']"
218,"['P', 'CH', 'EH']",2,CCV,"['P', 'CH', 'EH']"
219,"['P', 'CH', 'UH']",2,CCV,"['P', 'UH', 'CH']"
220,"['P', 'CH', 'IY']",2,CCV,"['P', 'CH', 'IY']"
221,"['P', 'CH', 'EY']",2,CCV,"['P', 'EY', 'CH']"
222,"['P', 'CH', 'OW']",2,CCV,"['P', 'OW', 'CH']"
223,"['P', 'CH', 'AE']",2,CCV,"['P', 'AE', 'CH']"
224,"['P', 'CH', 'AW']",2,CCV,"['P', 'CH', 'AW']"
225,"['P', 'JH', 'AH']",2,CCV,"['P', 'AE', 'JH']"
226,"['P', 'JH', 'OY']",2,CCV,"['P', 'OY', 'JH']"
227,"['P', 'JH', 'AA']",2,CCV,"['P', 'AE', 'JH']"
228,"['P', 'JH', 'AY']",2,CCV,"['P', 'AY', 'JH']"
229,"['P', 'JH', 'ER']",2,CCV,"['P', 'ER', 'JH']"
230,"['P', 'JH', 'AO']",2,CCV,"['P', 'AO', 'JH']"
231,"['P', 'JH', 'UW']",2,CCV,"['P', 'AE', 'JH']"
232,"['P', 'JH', 'IH']",2,CCV,"['P', 'IH', 'JH']"
233,"['P', 'JH', 'EH']",2,CCV,"['P', 'EH', 'JH']"
234,"['P', 'JH', 'UH']",2,CCV,"['P', 'UH', 'JH']"
235,"['P', 'JH', 'IY']",2,CCV,"['P', 'IY', 'JH']"
236,"['P', 'JH', 'EY']",2,CCV,"['P', 'EY', 'JH']"
237,"['P', 'JH', 'OW']",2,CCV,"['P', 'OW', 'JH']"
238,"['P', 'JH', 'AE']",2,CCV,"['P', 'AE', 'JH']"
239,"['P', 'JH', 'AW']",2,CCV,"['P', 'AW', 'JH']"
240,"['P', 'M', 'AH']",3,CCV,"['P', 'M', 'AH']"
241,"['P', 'M', 'OY']",3,CCV,"['P', 'M', 'OY']"
242,"['P', 'M', 'AA']",3,CCV,"['P', 'M', 'AA']"
243,"['P', 'M', 'AY']",3,CCV,"['P', 'M', 'AY']"
244,"['P', 'M', 'ER']",3,CCV,"['P', 'ER', 'M']"
245,"['P', 'M', 'AO']",3,CCV,"['P', 'M', 'AO']"
246,"['P', 'M', 'UW']",3,CCV,"['P', 'M', 'UW']"
247,"['P', 'M', 'IH']",3,CCV,"['P', 'M', 'IH']"
248,"['P', 'M', 'EH']",3,CCV,"['P', 'M', 'EH']"
249,"['P', 'M', 'UH']",3,CCV,"['P', 'UH', 'M']"
250,"['P', 'M', 'IY']",3,CCV,"['P', 'M', 'IY']"
251,"['P', 'M', 'EY']",3,CCV,"['P', 'M', 'EY']"
252,"['P', 'M', 'OW']",3,CCV,"['P', 'M', 'OW']"
253,"['P', 'M', 'AE']",3,CCV,"['P', 'AE', 'M']"
254,"['P', 'M', 'AW']",3,CCV,"['P', 'AW', 'M']"
255,"['P', 'N', 'AH']",3,CCV,"['P', 'AH', 'N']"
256,"['P', 'N', 'OY']",3,CCV,"['P', 'OY', 'N']"
257,"['P', 'N', 'AA']",3,CCV,"['P', 'AA', 'N']"
258,"['P', 'N', 'AY']",3,CCV,"['P', 'AY', 'N']"
259,"['P', 'N', 'ER']",3,CCV,"['P', 'ER', 'N']"
260,"['P', 'N', 'AO']",3,CCV,"['P', 'IH', 'N']"
261,"['P', 'N', 'UW']",3,CCV,"['P', 'UW', 'N']"
262,"['P', 'N', 'IH']",3,CCV,"['P', 'IH', 'N']"
263,"['P', 'N', 'EH']",3,CCV,"['P', 'EH', 'N']"
264,"['P', 'N', 'UH']",3,CCV,"['P', 'UH', 'N']"
265,"['P', 'N', 'IY']",3,CCV,"['P', 'AE', 'N']"
266,"['P', 'N', 'EY']",3,CCV,"['P', 'N', 'EY']"
267,"['P', 'N', 'OW']",3,CCV,"['P', 'OW', 'N']"
268,"['P', 'N', 'AE']",3,CCV,"['P', 'AE', 'N']"
269,"['P', 'N', 'AW']",3,CCV,"['P', 'AW', 'N']"
270,"['P', 'NG', 'AH']",3,CCV,"['P', 'NG', '<EOS>']"
271,"['P', 'NG', 'OY']",3,CCV,"['P', 'NG', 'OY']"
272,"['P', 'NG', 'AA']",3,CCV,"['P', 'NG', '<EOS>']"
273,"['P', 'NG', 'AY']",3,CCV,"['P', 'AY', 'NG']"
274,"['P', 'NG', 'ER']",3,CCV,"['P', 'ER', 'NG']"
275,"['P', 'NG', 'AO']",3,CCV,"['P', 'NG', 'AO']"
276,"['P', 'NG', 'UW']",3,CCV,"['P', 'NG', 'UW']"
277,"['P', 'NG', 'IH']",3,CCV,"['P', 'IH', 'NG']"
278,"['P', 'NG', 'EH']",3,CCV,"['P', 'NG', '<EOS>']"
279,"['P', 'NG', 'UH']",3,CCV,"['P', 'UH', 'NG']"
280,"['P', 'NG', 'IY']",3,CCV,"['P', 'IY', 'NG']"
281,"['P', 'NG', 'EY']",3,CCV,"['P', 'EY', 'NG']"
282,"['P', 'NG', 'OW']",3,CCV,"['P', 'OW', 'NG']"
283,"['P', 'NG', 'AE']",3,CCV,"['P', 'AE', 'NG']"
284,"['P', 'NG', 'AW']",3,CCV,"['P', 'NG', 'AW']"
285,"['P', 'L', 'AH']",4,CCV,"['P', 'L', 'AH']"
286,"['P', 'L', 'OY']",4,CCV,"['P', 'L', 'OY']"
287,"['P', 'L', 'AA']",4,CCV,"['P', 'L', 'AA']"
288,"['P', 'L', 'AY']",4,CCV,"['P', 'L', 'AY']"
289,"['P', 'L', 'ER']",4,CCV,"['P', 'L', 'ER']"
290,"['P', 'L', 'AO']",4,CCV,"['P', 'L', 'AO']"
291,"['P', 'L', 'UW']",4,CCV,"['P', 'L', 'UW']"
292,"['P', 'L', 'IH']",4,CCV,"['P', 'L', 'IH']"
293,"['P', 'L', 'EH']",4,CCV,"['P', 'L', 'EH']"
294,"['P', 'L', 'UH']",4,CCV,"['P', 'L', 'UH']"
295,"['P', 'L', 'IY']",4,CCV,"['P', 'L', 'IY']"
296,"['P', 'L', 'EY']",4,CCV,"['P', 'L', 'EY']"
297,"['P', 'L', 'OW']",4,CCV,"['P', 'L', 'OW']"
298,"['P', 'L', 'AE']",4,CCV,"['P', 'L', 'AE']"
299,"['P', 'L', 'AW']",4,CCV,"['P', 'L', 'AW']"
300,"['P', 'R', 'AH']",4,CCV,"['P', 'R', 'AH']"
301,"['P', 'R', 'OY']",4,CCV,"['P', 'R', 'OY']"
302,"['P', 'R', 'AA']",4,CCV,"['P', 'R', 'AA']"
303,"['P', 'R', 'AY']",4,CCV,"['P', 'R', 'AY']"
304,"['P', 'R', 'ER']",4,CCV,"['P', 'R', 'ER']"
305,"['P', 'R', 'AO']",4,CCV,"['P', 'R', 'AO']"
306,"['P', 'R', 'UW']",4,CCV,"['P', 'R', 'UW']"
307,"['P', 'R', 'IH']",4,CCV,"['P', 'R', 'IH']"
308,"['P', 'R', 'EH']",4,CCV,"['P', 'R', 'EH']"
309,"['P', 'R', 'UH']",4,CCV,"['P', 'R', 'UH']"
310,"['P', 'R', 'IY']",4,CCV,"['P', 'R', 'IY']"
311,"['P', 'R', 'EY']",4,CCV,"['P', 'R', 'EY']"
312,"['P', 'R', 'OW']",4,CCV,"['P', 'R', 'OW']"
313,"['P', 'R', 'AE']",4,CCV,"['P', 'R', 'AE']"
314,"['P', 'R', 'AW']",4,CCV,"['P', 'R', 'AW']"
315,"['P', 'W', 'AH']",5,CCV,"['P', 'W', 'AH']"
316,"['P', 'W', 'OY']",5,CCV,"['P', 'W', 'OY']"
317,"['P', 'W', 'AA']",5,CCV,"['P', 'W', 'AA']"
318,"['P', 'W', 'AY']",5,CCV,"['P', 'W', 'AY']"
319,"['P', 'W', 'ER']",5,CCV,"['P', 'W', 'ER']"
320,"['P', 'W', 'AO']",5,CCV,"['P', 'W', 'AO']"
321,"['P', 'W', 'UW']",5,CCV,"['P', 'W', 'UW']"
322,"['P', 'W', 'IH']",5,CCV,"['P', 'W', 'IH']"
323,"['P', 'W', 'EH']",5,CCV,"['P', 'W', 'EH']"
324,"['P', 'W', 'UH']",5,CCV,"['P', 'W', 'UH']"
325,"['P', 'W', 'IY']",5,CCV,"['P', 'W', 'IY']"
326,"['P', 'W', 'EY']",5,CCV,"['P', 'W', 'EY']"
327,"['P', 'W', 'OW']",5,CCV,"['P', 'W', 'OW']"
328,"['P', 'W', 'AE']",5,CCV,"['P', 'W', 'AE']"
329,"['P', 'W', 'AW']",5,CCV,"['P', 'W', 'AW']"
330,"['P', 'Y', 'AH']",5,CCV,"['P', 'Y', 'AH']"
331,"['P', 'Y', 'OY']",5,CCV,"['P', 'OY', 'L']"
332,"['P', 'Y', 'AA']",5,CCV,"['P', 'Y', 'AA']"
333,"['P', 'Y', 'AY']",5,CCV,"['P', 'Y', 'AY']"
334,"['P', 'Y', 'ER']",5,CCV,"['P', 'Y', 'ER']"
335,"['P', 'Y', 'AO']",5,CCV,"['P', 'Y', 'AO']"
336,"['P', 'Y', 'UW']",5,CCV,"['P', 'Y', 'UW']"
337,"['P', 'Y', 'IH']",5,CCV,"['P', 'Y', 'IH']"
338,"['P', 'Y', 'EH']",5,CCV,"['P', 'Y', 'EH']"
339,"['P', 'Y', 'UH']",5,CCV,"['P', 'Y', 'UH']"
340,"['P', 'Y', 'IY']",5,CCV,"['P', 'Y', 'IY']"
341,"['P', 'Y', 'EY']",5,CCV,"['P', 'Y', 'EY']"
342,"['P', 'Y', 'OW']",5,CCV,"['P', 'Y', 'OW']"
343,"['P', 'Y', 'AE']",5,CCV,"['P', 'Y', 'AE']"
344,"['P', 'Y', 'AW']",5,CCV,"['P', 'Y', 'AW']"
345,"['T', 'P', 'AH']",0,CCV,"['T', 'P', 'AH']"
346,"['T', 'P', 'OY']",0,CCV,"['T', 'OY', 'P']"
347,"['T', 'P', 'AA']",0,CCV,"['T', 'P', 'AA']"
348,"['T', 'P', 'AY']",0,CCV,"['T', 'P', 'AY']"
349,"['T', 'P', 'ER']",0,CCV,"['T', 'P', 'ER']"
350,"['T', 'P', 'AO']",0,CCV,"['T', 'P', 'AO']"
351,"['T', 'P', 'UW']",0,CCV,"['T', 'P', 'UW']"
352,"['T', 'P', 'IH']",0,CCV,"['T', 'P', 'IH']"
353,"['T', 'P', 'EH']",0,CCV,"['T', 'P', 'EH']"
354,"['T', 'P', 'UH']",0,CCV,"['T', 'UH', 'P']"
355,"['T', 'P', 'IY']",0,CCV,"['T', 'P', 'IY']"
356,"['T', 'P', 'EY']",0,CCV,"['T', 'P', 'EY']"
357,"['T', 'P', 'OW']",0,CCV,"['T', 'P', 'OW']"
358,"['T', 'P', 'AE']",0,CCV,"['T', 'P', 'AE']"
359,"['T', 'P', 'AW']",0,CCV,"['T', 'P', 'AW']"
360,"['T', 'K', 'AH']",0,CCV,"['T', 'K', 'AH']"
361,"['T', 'K', 'OY']",0,CCV,"['T', 'K', 'OY']"
362,"['T', 'K', 'AA']",0,CCV,"['T', 'K', 'AA']"
363,"['T', 'K', 'AY']",0,CCV,"['T', 'K', 'AY']"
364,"['T', 'K', 'ER']",0,CCV,"['T', 'K', 'ER']"
365,"['T', 'K', 'AO']",0,CCV,"['T', 'K', 'AO']"
366,"['T', 'K', 'UW']",0,CCV,"['T', 'UW', 'K']"
367,"['T', 'K', 'IH']",0,CCV,"['T', 'K', 'IH']"
