,Word,Frequency,Zipf_Frequency,Part_of_Speech,Phonemes,No_Stress
53,had,0.00214,6.33,VERB,"['HH', 'AE1', 'D']","['HH', 'AE', 'D']"
54,their,0.00214,6.33,PRON,"['DH', 'EH1', 'R']","['DH', 'EH', 'R']"
55,there,0.00204,6.31,PRON,"['DH', 'EH1', 'R']","['DH', 'EH', 'R']"
56,her,0.002,6.3,PRON,"['HH', 'ER0']","['HH', 'ER']"
57,which,0.002,6.3,PRON,"['W', 'IH1', 'CH']","['W', 'IH', 'CH']"
58,time,0.00195,6.29,NOUN,"['T', 'AY1', 'M']","['T', 'AY', 'M']"
59,get,0.00191,6.28,VERB,"['G', 'EH1', 'T']","['G', 'EH', 'T']"
60,been,0.00186,6.27,AUX,"['B', 'IH1', 'N']","['B', 'IH', 'N']"
61,would,0.00186,6.27,AUX,"['W', 'UH1', 'D']","['W', 'UH', 'D']"
62,she,0.00182,6.26,PRON,"['SH', 'IY1']","['SH', 'IY']"
63,new,0.00178,6.25,ADJ,"['N', 'UW1']","['N', 'UW']"
64,people,0.00178,6.25,NOUN,"['P', 'IY1', 'P', 'AH0', 'L']","['P', 'IY', 'P', 'AH', 'L']"
65,how,0.00174,6.24,SCONJ,"['HH', 'AW1']","['HH', 'AW']"
66,some,0.00158,6.2,PRON,"['S', 'AH1', 'M']","['S', 'AH', 'M']"
67,also,0.00155,6.19,ADV,"['AO1', 'L', 'S', 'OW0']","['AO', 'L', 'S', 'OW']"
68,them,0.00155,6.19,PRON,"['DH', 'EH1', 'M']","['DH', 'EH', 'M']"
69,now,0.00151,6.18,ADV,"['N', 'AW1']","['N', 'AW']"
70,other,0.00145,6.16,ADJ,"['AH1', 'DH', 'ER0']","['AH', 'DH', 'ER']"
71,its,0.00138,6.14,PRON,"['IH1', 'T', 'S']","['IH', 'T', 'S']"
72,our,0.00138,6.14,PRON,"['AW1', 'ER0']","['AW', 'ER']"
73,than,0.00135,6.13,ADP,"['DH', 'AE1', 'N']","['DH', 'AE', 'N']"
74,good,0.00132,6.12,ADJ,"['G', 'UH1', 'D']","['G', 'UH', 'D']"
75,only,0.00132,6.12,ADV,"['OW1', 'N', 'L', 'IY0']","['OW', 'N', 'L', 'IY']"
76,after,0.00129,6.11,ADP,"['AE1', 'F', 'T', 'ER0']","['AE', 'F', 'T', 'ER']"
77,first,0.00129,6.11,ADV,"['F', 'ER1', 'S', 'T']","['F', 'ER', 'S', 'T']"
78,him,0.00129,6.11,PRON,"['HH', 'IH1', 'M']","['HH', 'IH', 'M']"
79,into,0.00129,6.11,ADP,"['IH0', 'N', 'T', 'UW1']","['IH', 'N', 'T', 'UW']"
80,know,0.00126,6.1,VERB,"['N', 'OW1']","['N', 'OW']"
81,see,0.00126,6.1,VERB,"['S', 'IY1']","['S', 'IY']"
82,two,0.00126,6.1,NUM,"['T', 'UW1']","['T', 'UW']"
83,make,0.0012,6.08,VERB,"['M', 'EY1', 'K']","['M', 'EY', 'K']"
84,over,0.0012,6.08,ADP,"['OW1', 'V', 'ER0']","['OW', 'V', 'ER']"
85,think,0.0012,6.08,VERB,"['TH', 'IH1', 'NG', 'K']","['TH', 'IH', 'NG', 'K']"
86,any,0.00117,6.07,PRON,"['EH1', 'N', 'IY0']","['EH', 'N', 'IY']"
87,then,0.00117,6.07,ADV,"['DH', 'EH1', 'N']","['DH', 'EH', 'N']"
88,could,0.00115,6.06,AUX,"['K', 'UH1', 'D']","['K', 'UH', 'D']"
89,back,0.0011,6.04,ADV,"['B', 'AE1', 'K']","['B', 'AE', 'K']"
90,these,0.0011,6.04,PRON,"['DH', 'IY1', 'Z']","['DH', 'IY', 'Z']"
91,us,0.0011,6.04,PRON,"['AH1', 'S']","['AH', 'S']"
92,want,0.0011,6.04,VERB,"['W', 'AA1', 'N', 'T']","['W', 'AA', 'N', 'T']"
93,because,0.00107,6.03,SCONJ,"['B', 'IH0', 'K', 'AO1', 'Z']","['B', 'IH', 'K', 'AO', 'Z']"
94,go,0.00107,6.03,VERB,"['G', 'OW1']","['G', 'OW']"
95,well,0.00107,6.03,ADV,"['W', 'EH1', 'L']","['W', 'EH', 'L']"
96,said,0.00102,6.01,VERB,"['S', 'EH1', 'D']","['S', 'EH', 'D']"
97,way,0.00102,6.01,NOUN,"['W', 'EY1']","['W', 'EY']"
98,most,0.001,6.0,ADJ,"['M', 'OW1', 'S', 'T']","['M', 'OW', 'S', 'T']"
99,much,0.001,6.0,ADJ,"['M', 'AH1', 'CH']","['M', 'AH', 'CH']"
100,very,0.001,6.0,ADV,"['V', 'EH1', 'R', 'IY0']","['V', 'EH', 'R', 'IY']"
101,where,0.001,6.0,SCONJ,"['W', 'EH1', 'R']","['W', 'EH', 'R']"
102,even,0.000977,5.99,ADV,"['IY1', 'V', 'IH0', 'N']","['IY', 'V', 'IH', 'N']"
103,should,0.000977,5.99,AUX,"['SH', 'UH1', 'D']","['SH', 'UH', 'D']"
104,may,0.000955,5.98,AUX,"['M', 'EY1']","['M', 'EY']"
105,here,0.000933,5.97,ADV,"['HH', 'IY1', 'R']","['HH', 'IY', 'R']"
106,need,0.000933,5.97,VERB,"['N', 'IY1', 'D']","['N', 'IY', 'D']"
107,really,0.000933,5.97,ADV,"['R', 'IH1', 'L', 'IY0']","['R', 'IH', 'L', 'IY']"
108,did,0.000912,5.96,VERB,"['D', 'IH1', 'D']","['D', 'IH', 'D']"
109,right,0.000912,5.96,INTJ,"['R', 'AY1', 'T']","['R', 'AY', 'T']"
110,work,0.000912,5.96,VERB,"['W', 'ER1', 'K']","['W', 'ER', 'K']"
111,year,0.000912,5.96,NOUN,"['Y', 'IH1', 'R']","['Y', 'IH', 'R']"
112,years,0.000912,5.96,NOUN,"['Y', 'IH1', 'R', 'Z']","['Y', 'IH', 'R', 'Z']"
113,being,0.000891,5.95,AUX,"['B', 'IY1', 'IH0', 'NG']","['B', 'IY', 'IH', 'NG']"
114,day,0.000891,5.95,NOUN,"['D', 'EY1']","['D', 'EY']"
115,too,0.000891,5.95,ADV,"['T', 'UW1']","['T', 'UW']"
116,going,0.000871,5.94,VERB,"['G', 'OW1', 'IH0', 'NG']","['G', 'OW', 'IH', 'NG']"
117,before,0.000851,5.93,ADP,"['B', 'IH0', 'F', 'AO1', 'R']","['B', 'IH', 'F', 'AO', 'R']"
118,off,0.000851,5.93,ADV,"['AO1', 'F']","['AO', 'F']"
119,why,0.000851,5.93,SCONJ,"['W', 'AY1']","['W', 'AY']"
120,made,0.000832,5.92,VERB,"['M', 'EY1', 'D']","['M', 'EY', 'D']"
121,still,0.000832,5.92,ADV,"['S', 'T', 'IH1', 'L']","['S', 'T', 'IH', 'L']"
122,take,0.000832,5.92,VERB,"['T', 'EY1', 'K']","['T', 'EY', 'K']"
123,got,0.000813,5.91,VERB,"['G', 'AA1', 'T']","['G', 'AA', 'T']"
124,many,0.000813,5.91,ADJ,"['M', 'EH1', 'N', 'IY0']","['M', 'EH', 'N', 'IY']"
125,never,0.000813,5.91,ADV,"['N', 'EH1', 'V', 'ER0']","['N', 'EH', 'V', 'ER']"
126,those,0.000794,5.9,PRON,"['DH', 'OW1', 'Z']","['DH', 'OW', 'Z']"
127,life,0.000776,5.89,NOUN,"['L', 'AY1', 'F']","['L', 'AY', 'F']"
128,say,0.000776,5.89,VERB,"['S', 'EY1']","['S', 'EY']"
129,world,0.000776,5.89,NOUN,"['W', 'ER1', 'L', 'D']","['W', 'ER', 'L', 'D']"
130,down,0.000759,5.88,ADV,"['D', 'AW1', 'N']","['D', 'AW', 'N']"
131,great,0.000759,5.88,ADJ,"['G', 'R', 'EY1', 'T']","['G', 'R', 'EY', 'T']"
132,through,0.000741,5.87,ADP,"['TH', 'R', 'UW1']","['TH', 'R', 'UW']"
133,last,0.000724,5.86,ADJ,"['L', 'AE1', 'S', 'T']","['L', 'AE', 'S', 'T']"
134,while,0.000724,5.86,SCONJ,"['W', 'AY1', 'L']","['W', 'AY', 'L']"
135,best,0.000692,5.84,ADJ,"['B', 'EH1', 'S', 'T']","['B', 'EH', 'S', 'T']"
136,such,0.000692,5.84,ADJ,"['S', 'AH1', 'CH']","['S', 'AH', 'CH']"
137,love,0.000661,5.82,VERB,"['L', 'AH1', 'V']","['L', 'AH', 'V']"
138,man,0.000661,5.82,NOUN,"['M', 'AE1', 'N']","['M', 'AE', 'N']"
139,home,0.000646,5.81,NOUN,"['HH', 'OW1', 'M']","['HH', 'OW', 'M']"
140,long,0.000646,5.81,ADV,"['L', 'AO1', 'NG']","['L', 'AO', 'NG']"
141,look,0.000646,5.81,VERB,"['L', 'UH1', 'K']","['L', 'UH', 'K']"
142,something,0.000646,5.81,PRON,"['S', 'AH1', 'M', 'TH', 'IH0', 'NG']","['S', 'AH', 'M', 'TH', 'IH', 'NG']"
143,use,0.000646,5.81,VERB,"['Y', 'UW1', 'S']","['Y', 'UW', 'S']"
144,same,0.000631,5.8,ADJ,"['S', 'EY1', 'M']","['S', 'EY', 'M']"
145,used,0.000631,5.8,VERB,"['Y', 'UW1', 'Z', 'D']","['Y', 'UW', 'Z', 'D']"
146,both,0.000617,5.79,CCONJ,"['B', 'OW1', 'TH']","['B', 'OW', 'TH']"
147,every,0.000617,5.79,PRON,"['EH1', 'V', 'ER0', 'IY0']","['EH', 'V', 'ER', 'IY']"
148,am,0.000603,5.78,AUX,"['AE1', 'M']","['AE', 'M']"
149,come,0.000603,5.78,VERB,"['K', 'AH1', 'M']","['K', 'AH', 'M']"
150,part,0.000603,5.78,NOUN,"['P', 'AA1', 'R', 'T']","['P', 'AA', 'R', 'T']"
151,state,0.000603,5.78,NOUN,"['S', 'T', 'EY1', 'T']","['S', 'T', 'EY', 'T']"
152,three,0.000603,5.78,NUM,"['TH', 'R', 'IY1']","['TH', 'R', 'IY']"
153,around,0.000589,5.77,ADV,"['ER0', 'AW1', 'N', 'D']","['ER', 'AW', 'N', 'D']"
154,between,0.000589,5.77,ADP,"['B', 'IH0', 'T', 'W', 'IY1', 'N']","['B', 'IH', 'T', 'W', 'IY', 'N']"
155,always,0.000575,5.76,ADV,"['AO1', 'L', 'W', 'EY2', 'Z']","['AO', 'L', 'W', 'EY', 'Z']"
156,better,0.000575,5.76,ADJ,"['B', 'EH1', 'T', 'ER0']","['B', 'EH', 'T', 'ER']"
157,find,0.000575,5.76,VERB,"['F', 'AY1', 'N', 'D']","['F', 'AY', 'N', 'D']"
158,help,0.000562,5.75,VERB,"['HH', 'EH1', 'L', 'P']","['HH', 'EH', 'L', 'P']"
159,high,0.000562,5.75,ADJ,"['HH', 'AY1']","['HH', 'AY']"
160,little,0.000562,5.75,ADJ,"['L', 'IH1', 'T', 'AH0', 'L']","['L', 'IH', 'T', 'AH', 'L']"
161,old,0.000562,5.75,ADJ,"['OW1', 'L', 'D']","['OW', 'L', 'D']"
162,since,0.000562,5.75,SCONJ,"['S', 'IH1', 'N', 'S']","['S', 'IH', 'N', 'S']"
163,another,0.00055,5.74,PRON,"['AH0', 'N', 'AH1', 'DH', 'ER0']","['AH', 'N', 'AH', 'DH', 'ER']"
164,does,0.00055,5.74,VERB,"['D', 'AH1', 'Z']","['D', 'AH', 'Z']"
165,own,0.00055,5.74,VERB,"['OW1', 'N']","['OW', 'N']"
166,things,0.00055,5.74,NOUN,"['TH', 'IH1', 'NG', 'Z']","['TH', 'IH', 'NG', 'Z']"
167,under,0.000537,5.73,ADP,"['AH1', 'N', 'D', 'ER0']","['AH', 'N', 'D', 'ER']"
168,during,0.000525,5.72,ADP,"['D', 'UH1', 'R', 'IH0', 'NG']","['D', 'UH', 'R', 'IH', 'NG']"
169,game,0.000525,5.72,NOUN,"['G', 'EY1', 'M']","['G', 'EY', 'M']"
170,thing,0.000525,5.72,NOUN,"['TH', 'IH1', 'NG']","['TH', 'IH', 'NG']"
171,give,0.000513,5.71,VERB,"['G', 'IH1', 'V']","['G', 'IH', 'V']"
172,house,0.000513,5.71,PROPN,"['HH', 'AW1', 'S']","['HH', 'AW', 'S']"
173,place,0.000513,5.71,NOUN,"['P', 'L', 'EY1', 'S']","['P', 'L', 'EY', 'S']"
174,school,0.000513,5.71,NOUN,"['S', 'K', 'UW1', 'L']","['S', 'K', 'UW', 'L']"
175,again,0.000501,5.7,ADV,"['AH0', 'G', 'EH1', 'N']","['AH', 'G', 'EH', 'N']"
176,next,0.000501,5.7,ADJ,"['N', 'EH1', 'K', 'S', 'T']","['N', 'EH', 'K', 'S', 'T']"
177,each,0.00049,5.69,PRON,"['IY1', 'CH']","['IY', 'CH']"
178,without,0.00049,5.69,ADP,"['W', 'IH0', 'TH', 'AW1', 'T']","['W', 'IH', 'TH', 'AW', 'T']"
179,against,0.000479,5.68,ADP,"['AH0', 'G', 'EH1', 'N', 'S', 'T']","['AH', 'G', 'EH', 'N', 'S', 'T']"
180,end,0.000479,5.68,NOUN,"['EH1', 'N', 'D']","['EH', 'N', 'D']"
181,found,0.000479,5.68,VERB,"['F', 'AW1', 'N', 'D']","['F', 'AW', 'N', 'D']"
182,must,0.000479,5.68,AUX,"['M', 'AH1', 'S', 'T']","['M', 'AH', 'S', 'T']"
183,show,0.000479,5.68,VERB,"['SH', 'OW1']","['SH', 'OW']"
184,big,0.000468,5.67,ADJ,"['B', 'IH1', 'G']","['B', 'IH', 'G']"
185,feel,0.000468,5.67,VERB,"['F', 'IY1', 'L']","['F', 'IY', 'L']"
186,sure,0.000468,5.67,ADJ,"['SH', 'UH1', 'R']","['SH', 'UH', 'R']"
187,team,0.000468,5.67,NOUN,"['T', 'IY1', 'M']","['T', 'IY', 'M']"
188,ever,0.000457,5.66,ADV,"['EH1', 'V', 'ER0']","['EH', 'V', 'ER']"
189,family,0.000457,5.66,NOUN,"['F', 'AE1', 'M', 'AH0', 'L', 'IY0']","['F', 'AE', 'M', 'AH', 'L', 'IY']"
190,keep,0.000457,5.66,VERB,"['K', 'IY1', 'P']","['K', 'IY', 'P']"
191,might,0.000457,5.66,AUX,"['M', 'AY1', 'T']","['M', 'AY', 'T']"
192,please,0.000457,5.66,INTJ,"['P', 'L', 'IY1', 'Z']","['P', 'L', 'IY', 'Z']"
193,put,0.000457,5.66,VERB,"['P', 'UH1', 'T']","['P', 'UH', 'T']"
194,money,0.000437,5.64,NOUN,"['M', 'AH1', 'N', 'IY0']","['M', 'AH', 'N', 'IY']"
195,free,0.000427,5.63,ADJ,"['F', 'R', 'IY1']","['F', 'R', 'IY']"
196,second,0.000427,5.63,ADJ,"['S', 'EH1', 'K', 'AH0', 'N', 'D']","['S', 'EH', 'K', 'AH', 'N', 'D']"
197,someone,0.000427,5.63,PRON,"['S', 'AH1', 'M', 'W', 'AH2', 'N']","['S', 'AH', 'M', 'W', 'AH', 'N']"
198,away,0.000417,5.62,ADV,"['AH0', 'W', 'EY1']","['AH', 'W', 'EY']"
199,left,0.000417,5.62,VERB,"['L', 'EH1', 'F', 'T']","['L', 'EH', 'F', 'T']"
200,number,0.000417,5.62,NOUN,"['N', 'AH1', 'M', 'B', 'ER0']","['N', 'AH', 'M', 'B', 'ER']"
201,city,0.000407,5.61,NOUN,"['S', 'IH1', 'T', 'IY0']","['S', 'IH', 'T', 'IY']"
202,days,0.000407,5.61,NOUN,"['D', 'EY1', 'Z']","['D', 'EY', 'Z']"
203,lot,0.000407,5.61,NOUN,"['L', 'AA1', 'T']","['L', 'AA', 'T']"
204,name,0.000407,5.61,VERB,"['N', 'EY1', 'M']","['N', 'EY', 'M']"
205,night,0.000407,5.61,NOUN,"['N', 'AY1', 'T']","['N', 'AY', 'T']"
206,play,0.000407,5.61,VERB,"['P', 'L', 'EY1']","['P', 'L', 'EY']"
207,until,0.000407,5.61,ADP,"['AH0', 'N', 'T', 'IH1', 'L']","['AH', 'N', 'T', 'IH', 'L']"
208,company,0.000398,5.6,NOUN,"['K', 'AH1', 'M', 'P', 'AH0', 'N', 'IY0']","['K', 'AH', 'M', 'P', 'AH', 'N', 'IY']"
209,doing,0.000398,5.6,VERB,"['D', 'UW1', 'IH0', 'NG']","['D', 'UW', 'IH', 'NG']"
210,few,0.000398,5.6,ADJ,"['F', 'Y', 'UW1']","['F', 'Y', 'UW']"
211,let,0.000398,5.6,VERB,"['L', 'EH1', 'T']","['L', 'EH', 'T']"
212,real,0.000398,5.6,ADJ,"['R', 'IY1', 'L']","['R', 'IY', 'L']"
213,called,0.000389,5.59,VERB,"['K', 'AO1', 'L', 'D']","['K', 'AO', 'L', 'D']"
214,different,0.000389,5.59,ADJ,"['D', 'IH1', 'F', 'ER0', 'AH0', 'N', 'T']","['D', 'IH', 'F', 'ER', 'AH', 'N', 'T']"
215,having,0.000389,5.59,VERB,"['HH', 'AE1', 'V', 'IH0', 'NG']","['HH', 'AE', 'V', 'IH', 'NG']"
216,set,0.000389,5.59,VERB,"['S', 'EH1', 'T']","['S', 'EH', 'T']"
217,thought,0.000389,5.59,VERB,"['TH', 'AO1', 'T']","['TH', 'AO', 'T']"
218,done,0.00038,5.58,VERB,"['D', 'AH1', 'N']","['D', 'AH', 'N']"
219,however,0.00038,5.58,ADV,"['HH', 'AW2', 'EH1', 'V', 'ER0']","['HH', 'AW', 'EH', 'V', 'ER']"
220,getting,0.000372,5.57,VERB,"['G', 'EH1', 'T', 'IH0', 'NG']","['G', 'EH', 'T', 'IH', 'NG']"
221,god,0.000372,5.57,PROPN,"['G', 'AA1', 'D']","['G', 'AA', 'D']"
222,government,0.000372,5.57,NOUN,"['G', 'AH1', 'V', 'ER0', 'M', 'AH0', 'N', 'T']","['G', 'AH', 'V', 'ER', 'M', 'AH', 'N', 'T']"
223,group,0.000372,5.57,NOUN,"['G', 'R', 'UW1', 'P']","['G', 'R', 'UW', 'P']"
224,looking,0.000372,5.57,VERB,"['L', 'UH1', 'K', 'IH0', 'NG']","['L', 'UH', 'K', 'IH', 'NG']"
225,public,0.000372,5.57,ADJ,"['P', 'AH1', 'B', 'L', 'IH0', 'K']","['P', 'AH', 'B', 'L', 'IH', 'K']"
226,top,0.000372,5.57,NOUN,"['T', 'AA1', 'P']","['T', 'AA', 'P']"
227,women,0.000372,5.57,NOUN,"['W', 'IH1', 'M', 'AH0', 'N']","['W', 'IH', 'M', 'AH', 'N']"
228,business,0.000363,5.56,NOUN,"['B', 'IH1', 'Z', 'N', 'AH0', 'S']","['B', 'IH', 'Z', 'N', 'AH', 'S']"
229,care,0.000363,5.56,VERB,"['K', 'EH1', 'R']","['K', 'EH', 'R']"
230,start,0.000363,5.56,VERB,"['S', 'T', 'AA1', 'R', 'T']","['S', 'T', 'AA', 'R', 'T']"
231,system,0.000363,5.56,NOUN,"['S', 'IH1', 'S', 'T', 'AH0', 'M']","['S', 'IH', 'S', 'T', 'AH', 'M']"
232,times,0.000363,5.56,NOUN,"['T', 'AY1', 'M', 'Z']","['T', 'AY', 'M', 'Z']"
233,week,0.000363,5.56,NOUN,"['W', 'IY1', 'K']","['W', 'IY', 'K']"
234,already,0.000355,5.55,ADV,"['AO0', 'L', 'R', 'EH1', 'D', 'IY0']","['AO', 'L', 'R', 'EH', 'D', 'IY']"
235,anything,0.000355,5.55,PRON,"['EH1', 'N', 'IY0', 'TH', 'IH2', 'NG']","['EH', 'N', 'IY', 'TH', 'IH', 'NG']"
236,case,0.000355,5.55,NOUN,"['K', 'EY1', 'S']","['K', 'EY', 'S']"
237,nothing,0.000355,5.55,PRON,"['N', 'AH1', 'TH', 'IH0', 'NG']","['N', 'AH', 'TH', 'IH', 'NG']"
238,person,0.000355,5.55,NOUN,"['P', 'ER1', 'S', 'AH0', 'N']","['P', 'ER', 'S', 'AH', 'N']"
239,today,0.000355,5.55,NOUN,"['T', 'AH0', 'D', 'EY1']","['T', 'AH', 'D', 'EY']"
240,change,0.000347,5.54,VERB,"['CH', 'EY1', 'N', 'JH']","['CH', 'EY', 'N', 'JH']"
241,enough,0.000347,5.54,ADV,"['IH0', 'N', 'AH1', 'F']","['IH', 'N', 'AH', 'F']"
242,everything,0.000347,5.54,PRON,"['EH1', 'V', 'R', 'IY0', 'TH', 'IH2', 'NG']","['EH', 'V', 'R', 'IY', 'TH', 'IH', 'NG']"
243,full,0.000347,5.54,ADJ,"['F', 'UH1', 'L']","['F', 'UH', 'L']"
244,live,0.000347,5.54,VERB,"['L', 'AY1', 'V']","['L', 'AY', 'V']"
245,making,0.000347,5.54,VERB,"['M', 'EY1', 'K', 'IH0', 'NG']","['M', 'EY', 'K', 'IH', 'NG']"
246,point,0.000347,5.54,VERB,"['P', 'OY1', 'N', 'T']","['P', 'OY', 'N', 'T']"
247,read,0.000347,5.54,VERB,"['R', 'EH1', 'D']","['R', 'EH', 'D']"
248,told,0.000347,5.54,VERB,"['T', 'OW1', 'L', 'D']","['T', 'OW', 'L', 'D']"
249,yet,0.000347,5.54,ADV,"['Y', 'EH1', 'T']","['Y', 'EH', 'T']"
250,bad,0.000339,5.53,ADJ,"['B', 'AE1', 'D']","['B', 'AE', 'D']"
251,four,0.000339,5.53,NUM,"['F', 'AO1', 'R']","['F', 'AO', 'R']"
252,hard,0.000339,5.53,ADV,"['HH', 'AA1', 'R', 'D']","['HH', 'AA', 'R', 'D']"
253,mean,0.000339,5.53,VERB,"['M', 'IY1', 'N']","['M', 'IY', 'N']"
254,once,0.000339,5.53,ADV,"['W', 'AH1', 'N', 'S']","['W', 'AH', 'N', 'S']"
255,support,0.000339,5.53,VERB,"['S', 'AH0', 'P', 'AO1', 'R', 'T']","['S', 'AH', 'P', 'AO', 'R', 'T']"
256,tell,0.000339,5.53,VERB,"['T', 'EH1', 'L']","['T', 'EH', 'L']"
257,including,0.000331,5.52,VERB,"['IH0', 'N', 'K', 'L', 'UW1', 'D', 'IH0', 'NG']","['IH', 'N', 'K', 'L', 'UW', 'D', 'IH', 'NG']"
258,music,0.000331,5.52,NOUN,"['M', 'Y', 'UW1', 'Z', 'IH0', 'K']","['M', 'Y', 'UW', 'Z', 'IH', 'K']"
259,power,0.000331,5.52,NOUN,"['P', 'AW1', 'ER0']","['P', 'AW', 'ER']"
260,seen,0.000331,5.52,VERB,"['S', 'IY1', 'N']","['S', 'IY', 'N']"
261,states,0.000331,5.52,VERB,"['S', 'T', 'EY1', 'T', 'S']","['S', 'T', 'EY', 'T', 'S']"
262,stop,0.000331,5.52,VERB,"['S', 'T', 'AA1', 'P']","['S', 'T', 'AA', 'P']"
263,water,0.000331,5.52,NOUN,"['W', 'AO1', 'T', 'ER0']","['W', 'AO', 'T', 'ER']"
264,based,0.000324,5.51,VERB,"['B', 'EY1', 'S', 'T']","['B', 'EY', 'S', 'T']"
265,believe,0.000324,5.51,VERB,"['B', 'IH0', 'L', 'IY1', 'V']","['B', 'IH', 'L', 'IY', 'V']"
266,call,0.000324,5.51,VERB,"['K', 'AO1', 'L']","['K', 'AO', 'L']"
267,head,0.000324,5.51,NOUN,"['HH', 'EH1', 'D']","['HH', 'EH', 'D']"
268,men,0.000324,5.51,NOUN,"['M', 'EH1', 'N']","['M', 'EH', 'N']"
269,national,0.000324,5.51,ADJ,"['N', 'AE1', 'SH', 'AH0', 'N', 'AH0', 'L']","['N', 'AE', 'SH', 'AH', 'N', 'AH', 'L']"
270,small,0.000324,5.51,ADJ,"['S', 'M', 'AO1', 'L']","['S', 'M', 'AO', 'L']"
