,Word,Phonemes,No Stress,Length
3635,stylude,"['S', 'T', 'AY1', 'L', 'D', 'UW2', 'D']","['S', 'T', 'AY', 'L', 'D', 'UW', 'D']",7
3647,delernal,"['D', 'IH0', 'L', 'EH1', 'R', 'N', 'AH0', 'L']","['D', 'IH', 'L', 'EH', 'R', 'N', 'AH', 'L']",8
3656,sodical,"['S', 'AA1', 'D', 'AH0', 'K', 'AH0', 'L']","['S', 'AA', 'D', 'AH', 'K', 'AH', 'L']",7
3659,tesocrat,"['T', 'EH2', 'S', 'AH0', 'K', 'R', 'AH1', 'T']","['T', 'EH', 'S', 'AH', 'K', 'R', 'AH', 'T']",8
3666,peoplic,"['P', 'IY1', 'P', 'AH0', 'L', 'IH0', 'K']","['P', 'IY', 'P', 'AH', 'L', 'IH', 'K']",7
3678,stansol,"['S', 'T', 'AE1', 'N', 'S', 'AH0', 'L']","['S', 'T', 'AE', 'N', 'S', 'AH', 'L']",7
3682,winagen,"['W', 'IH1', 'N', 'AH0', 'JH', 'AH0', 'N']","['W', 'IH', 'N', 'AH', 'JH', 'AH', 'N']",7
3683,ordisti,"['AO0', 'R', 'D', 'IH1', 'S', 'T', 'IY0']","['AO', 'R', 'D', 'IH', 'S', 'T', 'IY']",7
3685,stancia,"['S', 'T', 'AE1', 'N', 'S', 'IY0', 'AH0']","['S', 'T', 'AE', 'N', 'S', 'IY', 'AH']",7
3690,caluela,"['K', 'AA0', 'L', 'UW1', 'Y', 'AH0', 'L']","['K', 'AA', 'L', 'UW', 'Y', 'AH', 'L']",7
3697,onlatin,"['AA1', 'N', 'L', 'AH0', 'T', 'AH0', 'N']","['AA', 'N', 'L', 'AH', 'T', 'AH', 'N']",7
3698,resulab,"['R', 'EH1', 'S', 'AH0', 'L', 'AH0', 'B']","['R', 'EH', 'S', 'AH', 'L', 'AH', 'B']",7
3706,hamanbe,"['HH', 'AH0', 'M', 'AE1', 'N', 'B', 'IY0']","['HH', 'AH', 'M', 'AE', 'N', 'B', 'IY']",7
3711,brovelf,"['B', 'R', 'OW1', 'V', 'L', 'IH0', 'F']","['B', 'R', 'OW', 'V', 'L', 'IH', 'F']",7
3715,antegor,"['AE1', 'N', 'T', 'AH0', 'G', 'AO2', 'R']","['AE', 'N', 'T', 'AH', 'G', 'AO', 'R']",7
3727,miscuti,"['M', 'IH0', 'S', 'K', 'UW1', 'T', 'IY0']","['M', 'IH', 'S', 'K', 'UW', 'T', 'IY']",7
3728,stratio,"['S', 'T', 'R', 'EY1', 'T', 'IY0', 'OW0']","['S', 'T', 'R', 'EY', 'T', 'IY', 'OW']",7
3732,grovion,"['G', 'R', 'OW1', 'V', 'IY0', 'AH0', 'N']","['G', 'R', 'OW', 'V', 'IY', 'AH', 'N']",7
3735,tastori,"['T', 'AA0', 'S', 'T', 'AO1', 'R', 'IY0']","['T', 'AA', 'S', 'T', 'AO', 'R', 'IY']",7
3758,recorma,"['R', 'IY0', 'K', 'AO1', 'R', 'M', 'AH0']","['R', 'IY', 'K', 'AO', 'R', 'M', 'AH']",7
3763,interwi,"['IH1', 'N', 'T', 'W', 'ER2', 'W', 'IY0']","['IH', 'N', 'T', 'W', 'ER', 'W', 'IY']",7
3772,redusac,"['R', 'IY2', 'D', 'Y', 'UW1', 'S', 'AE0', 'K']","['R', 'IY', 'D', 'Y', 'UW', 'S', 'AE', 'K']",8
3773,luxuals,"['L', 'AH1', 'K', 'S', 'UW2', 'AH0', 'L', 'Z']","['L', 'AH', 'K', 'S', 'UW', 'AH', 'L', 'Z']",8
3775,presial,"['P', 'R', 'IY1', 'Z', 'IY0', 'AH0', 'L']","['P', 'R', 'IY', 'Z', 'IY', 'AH', 'L']",7
3782,behicom,"['B', 'IY1', 'HH', 'IH0', 'K', 'AH0', 'M']","['B', 'IY', 'HH', 'IH', 'K', 'AH', 'M']",7
3806,involab,"['IH0', 'N', 'V', 'AA1', 'L', 'AH0', 'B']","['IH', 'N', 'V', 'AA', 'L', 'AH', 'B']",7
3817,postrat,"['P', 'OW1', 'S', 'T', 'R', 'AE2', 'T']","['P', 'OW', 'S', 'T', 'R', 'AE', 'T']",7
3835,socurio,"['S', 'OW0', 'K', 'UH1', 'R', 'IY0', 'OW0']","['S', 'OW', 'K', 'UH', 'R', 'IY', 'OW']",7
3841,unnuati,"['AH2', 'N', 'UW0', 'JH', 'AA1', 'T', 'IY0']","['AH', 'N', 'UW', 'JH', 'AA', 'T', 'IY']",7
3849,camselm,"['K', 'AE1', 'M', 'S', 'AH0', 'L', 'M']","['K', 'AE', 'M', 'S', 'AH', 'L', 'M']",7
3852,matimat,"['M', 'AE1', 'T', 'AH0', 'M', 'AE0', 'T']","['M', 'AE', 'T', 'AH', 'M', 'AE', 'T']",7
3853,sinempt,"['S', 'IH1', 'N', 'AH0', 'M', 'P', 'T']","['S', 'IH', 'N', 'AH', 'M', 'P', 'T']",7
3859,wartinc,"['W', 'AO1', 'R', 'T', 'IH0', 'NG', 'K']","['W', 'AO', 'R', 'T', 'IH', 'NG', 'K']",7
3860,abildre,"['AE1', 'B', 'AH0', 'L', 'D', 'R', 'AH0']","['AE', 'B', 'AH', 'L', 'D', 'R', 'AH']",7
3862,meeiniq,"['M', 'IY2', 'IY2', 'N', 'IY1', 'T', 'IY0']","['M', 'IY', 'IY', 'N', 'IY', 'T', 'IY']",7
3864,grestic,"['G', 'R', 'EH1', 'S', 'T', 'IH0', 'K']","['G', 'R', 'EH', 'S', 'T', 'IH', 'K']",7
3879,undept,"['D', 'AH1', 'N', 'D', 'P', 'EH2', 'T']","['D', 'AH', 'N', 'D', 'P', 'EH', 'T']",7
3880,socusel,"['S', 'AH0', 'K', 'UW1', 'S', 'AH0', 'L']","['S', 'AH', 'K', 'UW', 'S', 'AH', 'L']",7
3894,vehinee,"['V', 'EH2', 'HH', 'IY0', 'N', 'IY1', 'AH0']","['V', 'EH', 'HH', 'IY', 'N', 'IY', 'AH']",7
3896,tomplab,"['T', 'AA1', 'M', 'P', 'L', 'AE2', 'B']","['T', 'AA', 'M', 'P', 'L', 'AE', 'B']",7
3899,entitio,"['EH0', 'N', 'T', 'IY1', 'T', 'IY0', 'OW0']","['EH', 'N', 'T', 'IY', 'T', 'IY', 'OW']",7
3900,univent,"['Y', 'UW1', 'N', 'AH0', 'V', 'EH2', 'N', 'T']","['Y', 'UW', 'N', 'AH', 'V', 'EH', 'N', 'T']",8
3910,tweecti,"['T', 'W', 'EH1', 'T', 'S', 'K', 'IY0']","['T', 'W', 'EH', 'T', 'S', 'K', 'IY']",7
3911,befenti,"['B', 'EH0', 'F', 'EH1', 'N', 'T', 'IY0']","['B', 'EH', 'F', 'EH', 'N', 'T', 'IY']",7
3915,undestr,"['AH1', 'N', 'D', 'EH2', 'S', 'T', 'ER0']","['AH', 'N', 'D', 'EH', 'S', 'T', 'ER']",7
3938,defortm,"['D', 'IH0', 'F', 'AO1', 'R', 'T', 'M']","['D', 'IH', 'F', 'AO', 'R', 'T', 'M']",7
3941,memagor,"['M', 'EH1', 'M', 'AH0', 'G', 'AO2', 'R']","['M', 'EH', 'M', 'AH', 'G', 'AO', 'R']",7
3943,culticu,"['K', 'AH1', 'L', 'T', 'IH0', 'K', 'Y', 'UW2']","['K', 'AH', 'L', 'T', 'IH', 'K', 'Y', 'UW']",8
3946,distica,"['D', 'IH0', 'S', 'T', 'IH1', 'K', 'AH0']","['D', 'IH', 'S', 'T', 'IH', 'K', 'AH']",7
3947,upgrent,"['AH1', 'P', 'G', 'R', 'AH0', 'N', 'T']","['AH', 'P', 'G', 'R', 'AH', 'N', 'T']",7
3957,anxices,"['AE1', 'NG', 'K', 'S', 'AH0', 'S', 'IH0', 'Z']","['AE', 'NG', 'K', 'S', 'AH', 'S', 'IH', 'Z']",8
3965,hondlex,"['HH', 'AA1', 'N', 'D', 'L', 'AH0', 'K', 'S']","['HH', 'AA', 'N', 'D', 'L', 'AH', 'K', 'S']",8
3971,befortm,"['B', 'IH0', 'F', 'AO1', 'R', 'M', 'T']","['B', 'IH', 'F', 'AO', 'R', 'M', 'T']",7
3977,clandat,"['K', 'L', 'AE1', 'N', 'D', 'AE0', 'T']","['K', 'L', 'AE', 'N', 'D', 'AE', 'T']",7
3980,degisti,"['D', 'IH0', 'JH', 'IH1', 'S', 'T', 'IY0']","['D', 'IH', 'JH', 'IH', 'S', 'T', 'IY']",7
3983,notegra,"['N', 'OW0', 'T', 'EH1', 'G', 'R', 'AH0']","['N', 'OW', 'T', 'EH', 'G', 'R', 'AH']",7
3994,editral,"['EH1', 'D', 'AH0', 'T', 'R', 'AH0', 'L']","['EH', 'D', 'AH', 'T', 'R', 'AH', 'L']",7
3996,gazakin,"['G', 'AE1', 'Z', 'AH0', 'K', 'IH0', 'N']","['G', 'AE', 'Z', 'AH', 'K', 'IH', 'N']",7
4001,buicifi,"['B', 'Y', 'UW0', 'S', 'IY1', 'F', 'IY0']","['B', 'Y', 'UW', 'S', 'IY', 'F', 'IY']",7
4005,degison,"['D', 'EH1', 'JH', 'IH0', 'S', 'AH0', 'N']","['D', 'EH', 'JH', 'IH', 'S', 'AH', 'N']",7
4011,nobilat,"['N', 'AA1', 'B', 'AH0', 'L', 'AH0', 'T']","['N', 'AA', 'B', 'AH', 'L', 'AH', 'T']",7
4012,jointra,"['JH', 'OW0', 'N', 'IH1', 'R', 'T', 'AH0']","['JH', 'OW', 'N', 'IH', 'R', 'T', 'AH']",7
4013,comilab,"['K', 'AA1', 'M', 'AH0', 'L', 'AE2', 'B']","['K', 'AA', 'M', 'AH', 'L', 'AE', 'B']",7
4036,atmosic,"['AE0', 'T', 'M', 'OW1', 'S', 'IH0', 'K']","['AE', 'T', 'M', 'OW', 'S', 'IH', 'K']",7
4040,limilit,"['L', 'IH1', 'M', 'AH0', 'L', 'AH0', 'T']","['L', 'IH', 'M', 'AH', 'L', 'AH', 'T']",7
4050,becompt,"['B', 'IH0', 'K', 'AH1', 'M', 'P', 'T']","['B', 'IH', 'K', 'AH', 'M', 'P', 'T']",7
4057,notivat,"['N', 'AA1', 'T', 'IH0', 'V', 'AH0', 'T']","['N', 'AA', 'T', 'IH', 'V', 'AH', 'T']",7
4058,liscuse,"['L', 'IH0', 'S', 'K', 'Y', 'UW1', 'S']","['L', 'IH', 'S', 'K', 'Y', 'UW', 'S']",7
4059,tryinit,"['T', 'R', 'AY1', 'AH0', 'N', 'IH0', 'T', 'IY0']","['T', 'R', 'AY', 'AH', 'N', 'IH', 'T', 'IY']",8
4062,cominiq,"['K', 'AH0', 'M', 'IH1', 'N', 'IH0', 'K']","['K', 'AH', 'M', 'IH', 'N', 'IH', 'K']",7
4064,anyonds,"['EH1', 'N', 'IY0', 'AH0', 'N', 'D', 'Z']","['EH', 'N', 'IY', 'AH', 'N', 'D', 'Z']",7
4072,neglary,"['N', 'EH1', 'G', 'L', 'AH0', 'R', 'IY0']","['N', 'EH', 'G', 'L', 'AH', 'R', 'IY']",7
4076,metraps,"['M', 'EH1', 'T', 'R', 'AE2', 'P', 'S']","['M', 'EH', 'T', 'R', 'AE', 'P', 'S']",7
4078,idendon,"['AY1', 'D', 'IH0', 'N', 'D', 'AH0', 'N']","['AY', 'D', 'IH', 'N', 'D', 'AH', 'N']",7
4079,sunketi,"['S', 'AH0', 'NG', 'K', 'EH1', 'T', 'IY0']","['S', 'AH', 'NG', 'K', 'EH', 'T', 'IY']",7
4088,conteve,"['K', 'AH0', 'N', 'T', 'EH1', 'V', 'AH0']","['K', 'AH', 'N', 'T', 'EH', 'V', 'AH']",7
4095,wingrat,"['W', 'IH1', 'NG', 'G', 'R', 'AH0', 'T']","['W', 'IH', 'NG', 'G', 'R', 'AH', 'T']",7
4100,contrit,"['K', 'AA1', 'N', 'T', 'R', 'IH0', 'T']","['K', 'AA', 'N', 'T', 'R', 'IH', 'T']",7
4112,brisent,"['B', 'R', 'IH1', 'S', 'AH0', 'N', 'T']","['B', 'R', 'IH', 'S', 'AH', 'N', 'T']",7
4113,petical,"['P', 'EH1', 'T', 'IH0', 'K', 'AH0', 'L']","['P', 'EH', 'T', 'IH', 'K', 'AH', 'L']",7
4115,actibit,"['AE1', 'K', 'T', 'AH0', 'B', 'AH0', 'T']","['AE', 'K', 'T', 'AH', 'B', 'AH', 'T']",7
4120,tecurnm,"['T', 'EH1', 'K', 'AH0', 'N', 'R', 'M']","['T', 'EH', 'K', 'AH', 'N', 'R', 'M']",7
4122,degisio,"['D', 'IH0', 'JH', 'IY1', 'S', 'IY0', 'OW0']","['D', 'IH', 'JH', 'IY', 'S', 'IY', 'OW']",7
4141,aslatif,"['AH0', 'S', 'L', 'EY1', 'T', 'IH0', 'F']","['AH', 'S', 'L', 'EY', 'T', 'IH', 'F']",7
4156,widenci,"['V', 'AH0', 'D', 'EH1', 'N', 'S', 'IY0']","['V', 'AH', 'D', 'EH', 'N', 'S', 'IY']",7
4160,condbod,"['K', 'AA1', 'N', 'D', 'B', 'AA2', 'D']","['K', 'AA', 'N', 'D', 'B', 'AA', 'D']",7
4161,staduct,"['S', 'T', 'AE1', 'D', 'AH0', 'K', 'AH0', 'T']","['S', 'T', 'AE', 'D', 'AH', 'K', 'AH', 'T']",8
4168,decambe,"['D', 'IH0', 'K', 'AE1', 'M', 'B', 'IY0']","['D', 'IH', 'K', 'AE', 'M', 'B', 'IY']",7
4173,eventri,"['IY0', 'V', 'EH1', 'N', 'T', 'R', 'IY0']","['IY', 'V', 'EH', 'N', 'T', 'R', 'IY']",7
4175,devesta,"['D', 'IH0', 'V', 'EH1', 'S', 'T', 'AH0']","['D', 'IH', 'V', 'EH', 'S', 'T', 'AH']",7
4189,inducti,"['IH0', 'N', 'D', 'AH1', 'K', 'T', 'IY0']","['IH', 'N', 'D', 'AH', 'K', 'T', 'IY']",7
4195,hanated,"['HH', 'AE1', 'N', 'AH0', 'T', 'IH0', 'D']","['HH', 'AE', 'N', 'AH', 'T', 'IH', 'D']",7
4196,idendso,"['AY2', 'D', 'EH1', 'N', 'S', 'D', 'OW0']","['AY', 'D', 'EH', 'N', 'S', 'D', 'OW']",7
4198,reposel,"['R', 'IY0', 'P', 'OW1', 'S', 'AH0', 'L']","['R', 'IY', 'P', 'OW', 'S', 'AH', 'L']",7
4199,optinos,"['AA1', 'P', 'T', 'AH0', 'N', 'OW2', 'Z']","['AA', 'P', 'T', 'AH', 'N', 'OW', 'Z']",7
4204,mccesit,"['M', 'AH0', 'S', 'EH1', 'S', 'T', 'IH0']","['M', 'AH', 'S', 'EH', 'S', 'T', 'IH']",7
4218,tonsida,"['T', 'OW0', 'N', 'S', 'IY1', 'D', 'AH0']","['T', 'OW', 'N', 'S', 'IY', 'D', 'AH']",7
4224,ambinis,"['AE1', 'M', 'B', 'AH0', 'N', 'AH0', 'S']","['AE', 'M', 'B', 'AH', 'N', 'AH', 'S']",7
4225,berinds,"['B', 'EH1', 'R', 'IH0', 'N', 'D', 'Z']","['B', 'EH', 'R', 'IH', 'N', 'D', 'Z']",7
4231,unimanc,"['Y', 'UW1', 'N', 'AH0', 'M', 'AE0', 'NG', 'K']","['Y', 'UW', 'N', 'AH', 'M', 'AE', 'NG', 'K']",8
4238,luxuart,"['L', 'AH1', 'K', 'S', 'W', 'AH0', 'T', 'ER0']","['L', 'AH', 'K', 'S', 'W', 'AH', 'T', 'ER']",8
4241,lociden,"['L', 'AA1', 'S', 'AH0', 'D', 'AH0', 'N']","['L', 'AA', 'S', 'AH', 'D', 'AH', 'N']",7
4250,witends,"['W', 'AY1', 'T', 'AH0', 'N', 'D', 'Z']","['W', 'AY', 'T', 'AH', 'N', 'D', 'Z']",7
4259,yelearsi,"['Y', 'EH0', 'L', 'IH1', 'R', 'S', 'IY0']","['Y', 'EH', 'L', 'IH', 'R', 'S', 'IY']",7
4292,obselop,"['AA1', 'B', 'S', 'AH0', 'L', 'AA2', 'P']","['AA', 'B', 'S', 'AH', 'L', 'AA', 'P']",7
4296,unalica,"['Y', 'UW0', 'N', 'AE1', 'L', 'IH0', 'K', 'AH0']","['Y', 'UW', 'N', 'AE', 'L', 'IH', 'K', 'AH']",8
4309,sediets,"['S', 'EH1', 'D', 'IY0', 'AH0', 'T', 'S']","['S', 'EH', 'D', 'IY', 'AH', 'T', 'S']",7
4320,sacipmen,"['S', 'AE1', 'S', 'IH0', 'P', 'M', 'AH0', 'N']","['S', 'AE', 'S', 'IH', 'P', 'M', 'AH', 'N']",8
4330,dozetify,"['D', 'AH0', 'Z', 'EH1', 'T', 'IH0', 'F', 'AY2']","['D', 'AH', 'Z', 'EH', 'T', 'IH', 'F', 'AY']",8
4331,treetifu,"['T', 'R', 'IY0', 'T', 'IY1', 'F', 'AH0']","['T', 'R', 'IY', 'T', 'IY', 'F', 'AH']",7
4339,ementrin,"['EH1', 'M', 'AH0', 'N', 'T', 'R', 'IH0', 'N']","['EH', 'M', 'AH', 'N', 'T', 'R', 'IH', 'N']",8
4343,genicled,"['JH', 'EH1', 'N', 'IH0', 'K', 'AH0', 'L', 'D']","['JH', 'EH', 'N', 'IH', 'K', 'AH', 'L', 'D']",8
4346,vottext,"['V', 'AA1', 'T', 'K', 'EH2', 'K', 'T', 'S']","['V', 'AA', 'T', 'K', 'EH', 'K', 'T', 'S']",8
4353,domparat,"['D', 'AA1', 'M', 'P', 'ER0', 'T', 'AE2', 'P']","['D', 'AA', 'M', 'P', 'ER', 'T', 'AE', 'P']",8
4355,ventifie,"['V', 'EH1', 'N', 'T', 'AH0', 'F', 'AY2']","['V', 'EH', 'N', 'T', 'AH', 'F', 'AY']",7
4359,locausid,"['L', 'OW0', 'K', 'AO1', 'Z', 'AH0', 'D']","['L', 'OW', 'K', 'AO', 'Z', 'AH', 'D']",7
4365,spligate,"['S', 'P', 'L', 'AY1', 'G', 'AH0', 'T']","['S', 'P', 'L', 'AY', 'G', 'AH', 'T']",7
4366,drivelf,"['D', 'R', 'AY1', 'V', 'L', 'IH0', 'F']","['D', 'R', 'AY', 'V', 'L', 'IH', 'F']",7
4379,arientit,"['EH1', 'R', 'IY0', 'N', 'EH2', 'T', 'AH0', 'T']","['EH', 'R', 'IY', 'N', 'EH', 'T', 'AH', 'T']",8
4383,sistral,"['S', 'IH1', 'S', 'T', 'R', 'AH0', 'L']","['S', 'IH', 'S', 'T', 'R', 'AH', 'L']",7
4403,islatuar,"['IH0', 'L', 'AA0', 'CH', 'UW1', 'AA0', 'R']","['IH', 'L', 'AA', 'CH', 'UW', 'AA', 'R']",7
4406,johanst,"['JH', 'OW1', 'HH', 'AE1', 'N', 'S', 'T']","['JH', 'OW', 'HH', 'AE', 'N', 'S', 'T']",7
4407,disants,"['D', 'IH1', 'S', 'AH0', 'N', 'T', 'S']","['D', 'IH', 'S', 'AH', 'N', 'T', 'S']",7
4408,felloory,"['F', 'EH1', 'L', 'W', 'EH2', 'R', 'IY0']","['F', 'EH', 'L', 'W', 'EH', 'R', 'IY']",7
4410,crovatut,"['K', 'R', 'OW1', 'V', 'AH0', 'T', 'UW2', 'T']","['K', 'R', 'OW', 'V', 'AH', 'T', 'UW', 'T']",8
4413,jumethin,"['JH', 'UW1', 'M', 'IH0', 'TH', 'IH0', 'N']","['JH', 'UW', 'M', 'IH', 'TH', 'IH', 'N']",7
4416,impearic,"['IH0', 'M', 'P', 'EH1', 'R', 'IH0', 'K']","['IH', 'M', 'P', 'EH', 'R', 'IH', 'K']",7
4421,lausiden,"['L', 'AW1', 'S', 'IH0', 'D', 'AH0', 'N']","['L', 'AW', 'S', 'IH', 'D', 'AH', 'N']",7
4426,positand,"['P', 'AA1', 'Z', 'IH0', 'T', 'AH0', 'N', 'D']","['P', 'AA', 'Z', 'IH', 'T', 'AH', 'N', 'D']",8
4445,witenta,"['W', 'IH0', 'T', 'EH1', 'N', 'T', 'AH0']","['W', 'IH', 'T', 'EH', 'N', 'T', 'AH']",7
4477,studital,"['S', 'T', 'UW1', 'D', 'IH0', 'T', 'AH0', 'L']","['S', 'T', 'UW', 'D', 'IH', 'T', 'AH', 'L']",8
4479,rearicat,"['R', 'IY0', 'AA1', 'R', 'IH0', 'K', 'T']","['R', 'IY', 'AA', 'R', 'IH', 'K', 'T']",7
4488,heconic,"['HH', 'AH0', 'K', 'AA1', 'N', 'IH0', 'K']","['HH', 'AH', 'K', 'AA', 'N', 'IH', 'K']",7
4501,sepossiv,"['S', 'IH0', 'P', 'AA1', 'S', 'IH0', 'V']","['S', 'IH', 'P', 'AA', 'S', 'IH', 'V']",7
4508,vickinui,"['V', 'IH0', 'K', 'Y', 'UW1', 'N', 'IY0']","['V', 'IH', 'K', 'Y', 'UW', 'N', 'IY']",7
4510,islebram,"['AY1', 'S', 'L', 'IH0', 'B', 'R', 'AH0', 'M']","['AY', 'S', 'L', 'IH', 'B', 'R', 'AH', 'M']",8
4513,overible,"['OW1', 'V', 'ER0', 'AH0', 'B', 'AH0', 'L']","['OW', 'V', 'ER', 'AH', 'B', 'AH', 'L']",7
4521,discrall,"['D', 'IH0', 'S', 'K', 'R', 'AO1', 'L']","['D', 'IH', 'S', 'K', 'R', 'AO', 'L']",7
4530,weddemen,"['W', 'EH1', 'D', 'AH0', 'M', 'AH0', 'N']","['W', 'EH', 'D', 'AH', 'M', 'AH', 'N']",7
4532,welansta,"['W', 'EH0', 'L', 'AE1', 'N', 'S', 'T', 'AH0']","['W', 'EH', 'L', 'AE', 'N', 'S', 'T', 'AH']",8
4535,condmars,"['K', 'AA1', 'N', 'D', 'M', 'AA2', 'R', 'Z']","['K', 'AA', 'N', 'D', 'M', 'AA', 'R', 'Z']",8
4536,unhumed,"['AH0', 'N', 'HH', 'Y', 'UW1', 'M', 'D']","['AH', 'N', 'HH', 'Y', 'UW', 'M', 'D']",7
4539,vehabler,"['V', 'EH1', 'HH', 'AH0', 'B', 'AH0', 'L', 'ER0']","['V', 'EH', 'HH', 'AH', 'B', 'AH', 'L', 'ER']",8
4541,hournion,"['HH', 'AO1', 'R', 'N', 'Y', 'AH0', 'N']","['HH', 'AO', 'R', 'N', 'Y', 'AH', 'N']",7
4542,argands,"['AA1', 'R', 'G', 'AH0', 'N', 'D', 'Z']","['AA', 'R', 'G', 'AH', 'N', 'D', 'Z']",7
4545,dristruc,"['D', 'R', 'IH1', 'S', 'T', 'R', 'UH2', 'K']","['D', 'R', 'IH', 'S', 'T', 'R', 'UH', 'K']",8
4546,dedropoo,"['D', 'IH0', 'D', 'R', 'AA1', 'P', 'OW2']","['D', 'IH', 'D', 'R', 'AA', 'P', 'OW']",7
4547,regethon,"['R', 'EH1', 'JH', 'IH0', 'TH', 'AH0', 'N']","['R', 'EH', 'JH', 'IH', 'TH', 'AH', 'N']",7
4550,sysethin,"['S', 'IH1', 'S', 'IH0', 'TH', 'IH0', 'N']","['S', 'IH', 'S', 'IH', 'TH', 'IH', 'N']",7
4551,mingardi,"['M', 'IH0', 'NG', 'G', 'AA1', 'R', 'D', 'IY0']","['M', 'IH', 'NG', 'G', 'AA', 'R', 'D', 'IY']",8
4553,edwaysiv,"['EH2', 'D', 'W', 'AH0', 'S', 'AY1', 'V']","['EH', 'D', 'W', 'AH', 'S', 'AY', 'V']",7
4554,repeasof,"['R', 'IY0', 'P', 'IY1', 'S', 'AO0', 'F']","['R', 'IY', 'P', 'IY', 'S', 'AO', 'F']",7
4556,suricita,"['S', 'ER0', 'AH0', 'S', 'IH1', 'T', 'AH0']","['S', 'ER', 'AH', 'S', 'IH', 'T', 'AH']",7
4558,chitemen,"['CH', 'AY1', 'T', 'AH0', 'M', 'EH0', 'N']","['CH', 'AY', 'T', 'AH', 'M', 'EH', 'N']",7
4566,botishit,"['B', 'AA1', 'T', 'AH0', 'SH', 'AH0', 'T']","['B', 'AA', 'T', 'AH', 'SH', 'AH', 'T']",7
4571,wortiniz,"['W', 'ER1', 'T', 'IH0', 'N', 'IH0', 'S']","['W', 'ER', 'T', 'IH', 'N', 'IH', 'S']",7
4576,docusand,"['D', 'AA1', 'K', 'AH0', 'S', 'AH0', 'N', 'D']","['D', 'AA', 'K', 'AH', 'S', 'AH', 'N', 'D']",8
