,Word,Phonemes,No Stress,Length
105,inf,"['IH1', 'N', 'F']","['IH', 'N', 'F']",3
108,pru,"['P', 'R', 'UW1']","['P', 'R', 'UW']",3
109,spo,"['S', 'P', 'OW1']","['S', 'P', 'OW']",3
114,equ,"['IY1', 'K', 'W', 'AH1']","['IY', 'K', 'W', 'AH']",4
118,sma,"['S', 'M', 'AA1']","['S', 'M', 'AA']",3
119,val,"['V', 'AE1', 'L']","['V', 'AE', 'L']",3
121,gov,"['G', 'AH1', 'V']","['G', 'AH', 'V']",3
122,ent,"['EH1', 'N', 'T']","['EH', 'N', 'T']",3
123,oly,"['OW1', 'L', 'IY0']","['OW', 'L', 'IY']",3
125,sti,"['S', 'T', 'AY1']","['S', 'T', 'AY']",3
127,ord,"['AO1', 'R', 'D']","['AO', 'R', 'D']",3
128,tog,"['T', 'AO1', 'G']","['T', 'AO', 'G']",3
133,ana,"['AA1', 'N', 'AH0']","['AA', 'N', 'AH']",3
135,lov,"['L', 'AA1', 'V']","['L', 'AA', 'V']",3
136,exa,"['EH1', 'K', 'S', 'AH0']","['EH', 'K', 'S', 'AH']",4
143,fam,"['F', 'AE1', 'M']","['F', 'AE', 'M']",3
144,bul,"['B', 'AH1', 'L']","['B', 'AH', 'L']",3
145,med,"['M', 'EH1', 'D']","['M', 'EH', 'D']",3
148,sim,"['S', 'IH1', 'M']","['S', 'IH', 'M']",3
149,fis,"['F', 'IH1', 'S']","['F', 'IH', 'S']",3
150,ama,"['AA1', 'M', 'AH0']","['AA', 'M', 'AH']",3
153,spe,"['S', 'P', 'IY1']","['S', 'P', 'IY']",3
154,mim,"['M', 'IH1', 'M']","['M', 'IH', 'M']",3
155,cra,"['K', 'R', 'AA1']","['K', 'R', 'AA']",3
157,sop,"['S', 'AA1', 'P']","['S', 'AA', 'P']",3
161,alu,"['AA1', 'L', 'UW0']","['AA', 'L', 'UW']",3
163,mex,"['M', 'EH1', 'K', 'S']","['M', 'EH', 'K', 'S']",4
164,unl,"['AH1', 'N', 'AH0', 'L']","['AH', 'N', 'AH', 'L']",4
166,sud,"['S', 'AH1', 'D']","['S', 'AH', 'D']",3
167,fut,"['F', 'AH1', 'T']","['F', 'AH', 'T']",3
168,els,"['EH1', 'L', 'Z']","['EH', 'L', 'Z']",3
169,jan,"['JH', 'AE1', 'N']","['JH', 'AE', 'N']",3
171,qua,"['K', 'W', 'AA1']","['K', 'W', 'AA']",3
173,fal,"['F', 'AE1', 'L']","['F', 'AE', 'L']",3
174,ext,"['EH1', 'K', 'S', 'T']","['EH', 'K', 'S', 'T']",4
175,mus,"['M', 'AH1', 'S']","['M', 'AH', 'S']",3
176,epi,"['EH1', 'P', 'IY0']","['EH', 'P', 'IY']",3
178,org,"['AO1', 'R', 'G']","['AO', 'R', 'G']",3
179,ato,"['EY1', 'T', 'OW0']","['EY', 'T', 'OW']",3
180,neg,"['N', 'EH1', 'G']","['N', 'EH', 'G']",3
182,cle,"['K', 'L', 'IY1']","['K', 'L', 'IY']",3
184,upg,"['AH1', 'P', 'G']","['AH', 'P', 'G']",3
185,abs,"['EY1', 'B', 'IY1', 'EH1', 'S']","['EY', 'B', 'IY', 'EH', 'S']",5
187,evi,"['EH1', 'V', 'IY0']","['EH', 'V', 'IY']",3
188,tra,"['T', 'R', 'AA1']","['T', 'R', 'AA']",3
194,ani,"['AA1', 'N', 'IY0']","['AA', 'N', 'IY']",3
197,unp,"['AH1', 'N', 'P']","['AH', 'N', 'P']",3
198,nuc,"['N', 'AH1', 'K']","['N', 'AH', 'K']",3
201,dem,"['D', 'EH1', 'M']","['D', 'EH', 'M']",3
204,mag,"['M', 'AE1', 'G']","['M', 'AE', 'G']",3
209,obv,"['AA1', 'B', 'V']","['AA', 'B', 'V']",3
213,arb,"['AA1', 'R', 'B']","['AA', 'R', 'B']",3
214,sna,"['S', 'N', 'AA1']","['S', 'N', 'AA']",3
215,gre,"['G', 'R', 'IY1']","['G', 'R', 'IY']",3
219,vid,"['V', 'IH1', 'D']","['V', 'IH', 'D']",3
221,ste,"['S', 'T', 'IY1']","['S', 'T', 'IY']",3
224,mcq,"['M', 'AH0', 'K', 'F', 'AO1', 'K']","['M', 'AH', 'K', 'F', 'AO', 'K']",6
237,orp,"['AO1', 'R', 'P']","['AO', 'R', 'P']",3
239,ans,"['AE1', 'N', 'Z']","['AE', 'N', 'Z']",3
240,sym,"['S', 'IH1', 'M']","['S', 'IH', 'M']",3
241,obs,"['AA1', 'B', 'Z']","['AA', 'B', 'Z']",3
242,lig,"['L', 'AY1', 'G']","['L', 'AY', 'G']",3
247,cla,"['K', 'L', 'AA1']","['K', 'L', 'AA']",3
249,fed,"['F', 'EH1', 'D']","['F', 'EH', 'D']",3
251,sis,"['S', 'IH1', 'S']","['S', 'IH', 'S']",3
253,emb,"['EH1', 'M', 'B']","['EH', 'M', 'B']",3
255,maj,"['M', 'AE1', 'JH']","['M', 'AE', 'JH']",3
256,sca,"['S', 'K', 'EY1']","['S', 'K', 'EY']",3
258,agr,"['AE1', 'G', 'ER0']","['AE', 'G', 'ER']",3
259,fug,"['F', 'AH1', 'G']","['F', 'AH', 'G']",3
261,afr,"['AE1', 'F', 'ER0']","['AE', 'F', 'ER']",3
263,edu,"['EH1', 'D', 'Y', 'UW0']","['EH', 'D', 'Y', 'UW']",4
264,ima,"['AY1', 'M', 'AH0']","['AY', 'M', 'AH']",3
268,deg,"['D', 'EH1', 'G']","['D', 'EH', 'G']",3
272,bef,"['B', 'EH1', 'F']","['B', 'EH', 'F']",3
273,hus,"['HH', 'AH1', 'S']","['HH', 'AH', 'S']",3
275,lif,"['L', 'IH1', 'F']","['L', 'IH', 'F']",3
280,shr,"['SH', 'R', 'AA1']","['SH', 'R', 'AA']",3
284,mal,"['M', 'AE1', 'L']","['M', 'AE', 'L']",3
285,cav,"['K', 'AA1', 'V']","['K', 'AA', 'V']",3
288,unu,"['Y', 'UW1', 'N', 'UW0']","['Y', 'UW', 'N', 'UW']",4
290,onl,"['AO1', 'N', 'D', 'AH0', 'L']","['AO', 'N', 'D', 'AH', 'L']",5
293,mif,"['M', 'IH1', 'F']","['M', 'IH', 'F']",3
294,dra,"['D', 'R', 'AA1']","['D', 'R', 'AA']",3
297,bic,"['B', 'IH1', 'K']","['B', 'IH', 'K']",3
301,gla,"['G', 'L', 'AA1']","['G', 'L', 'AA']",3
302,emo,"['EH1', 'M', 'OW0']","['EH', 'M', 'OW']",3
303,obj,"['AA1', 'B', 'JH']","['AA', 'B', 'JH']",3
304,usu,"['Y', 'UW1', 'S', 'UW0']","['Y', 'UW', 'S', 'UW']",4
307,smo,"['S', 'M', 'UW1']","['S', 'M', 'UW']",3
309,raf,"['R', 'AE1', 'F']","['R', 'AE', 'F']",3
310,hav,"['HH', 'AA1', 'V']","['HH', 'AA', 'V']",3
313,fes,"['F', 'EH1', 'S']","['F', 'EH', 'S']",3
315,swe,"['S', 'W', 'IY1']","['S', 'W', 'IY']",3
316,sav,"['S', 'AA1', 'V']","['S', 'AA', 'V']",3
318,tui,"['T', 'UW1', 'IY0']","['T', 'UW', 'IY']",3
319,opi,"['OW1', 'P', 'IY0']","['OW', 'P', 'IY']",3
320,evo,"['EH1', 'V', 'OW0']","['EH', 'V', 'OW']",3
321,gat,"['G', 'AE1', 'T']","['G', 'AE', 'T']",3
322,asp,"['AE1', 'S', 'P']","['AE', 'S', 'P']",3
323,sep,"['S', 'EH1', 'P']","['S', 'EH', 'P']",3
327,asy,"['EY1', 'S', 'IY0']","['EY', 'S', 'IY']",3
328,bap,"['B', 'AE1', 'P']","['B', 'AE', 'P']",3
329,bod,"['B', 'AA1', 'D']","['B', 'AA', 'D']",3
332,wav,"['W', 'AA1', 'V']","['W', 'AA', 'V']",3
334,fla,"['F', 'L', 'AA1']","['F', 'L', 'AA']",3
337,sug,"['S', 'AH1', 'G']","['S', 'AH', 'G']",3
338,fav,"['F', 'AA1', 'V']","['F', 'AA', 'V']",3
340,gri,"['G', 'R', 'IY1']","['G', 'R', 'IY']",3
342,lar,"['L', 'AA1', 'R']","['L', 'AA', 'R']",3
343,tro,"['T', 'R', 'OW1']","['T', 'R', 'OW']",3
348,foa,"['F', 'OW1', 'AH0']","['F', 'OW', 'AH']",3
350,twe,"['T', 'W', 'IY1']","['T', 'W', 'IY']",3
351,tul,"['T', 'AH1', 'L']","['T', 'AH', 'L']",3
352,cer,"['S', 'EH1', 'R']","['S', 'EH', 'R']",3
353,ena,"['EH1', 'N', 'AH0']","['EH', 'N', 'AH']",3
355,mys,"['M', 'IH1', 'Z']","['M', 'IH', 'Z']",3
356,plu,"['P', 'L', 'UW1']","['P', 'L', 'UW']",3
357,swi,"['S', 'W', 'IY1']","['S', 'W', 'IY']",3
358,ont,"['AA1', 'N', 'T']","['AA', 'N', 'T']",3
359,reg,"['R', 'EH1', 'G']","['R', 'EH', 'G']",3
361,fra,"['F', 'R', 'AA1']","['F', 'R', 'AA']",3
362,squ,"['S', 'K', 'W', 'UW1']","['S', 'K', 'W', 'UW']",4
364,env,"['EH1', 'N', 'V']","['EH', 'N', 'V']",3
365,vio,"['V', 'AY1', 'OW0']","['V', 'AY', 'OW']",3
367,eur,"['Y', 'UW1', 'R']","['Y', 'UW', 'R']",3
369,scr,"['S', 'K', 'ER1']","['S', 'K', 'ER']",3
370,afl,"['AE1', 'F', 'AH0', 'L']","['AE', 'F', 'AH', 'L']",4
372,nar,"['N', 'AA1', 'R']","['N', 'AA', 'R']",3
373,wed,"['W', 'EH1', 'D']","['W', 'EH', 'D']",3
374,vag,"['V', 'AE1', 'G']","['V', 'AE', 'G']",3
375,pra,"['P', 'R', 'AA1']","['P', 'R', 'AA']",3
376,exi,"['EH1', 'K', 'S', 'IY0']","['EH', 'K', 'S', 'IY']",4
377,vin,"['V', 'IH1', 'N']","['V', 'IH', 'N']",3
378,onw,"['AA1', 'N', 'W', 'UW0']","['AA', 'N', 'W', 'UW']",4
379,tem,"['T', 'EH1', 'M']","['T', 'EH', 'M']",3
380,lib,"['L', 'IH1', 'B']","['L', 'IH', 'B']",3
381,enc,"['EH1', 'NG', 'K']","['EH', 'NG', 'K']",3
382,tig,"['T', 'IH1', 'G']","['T', 'IH', 'G']",3
386,div,"['D', 'IH1', 'V']","['D', 'IH', 'V']",3
387,ini,"['IH1', 'N', 'IY0']","['IH', 'N', 'IY']",3
388,vig,"['V', 'IH1', 'G']","['V', 'IH', 'G']",3
390,roa,"['R', 'OW1', 'AH0']","['R', 'OW', 'AH']",3
391,nig,"['N', 'IH1', 'G']","['N', 'IH', 'G']",3
392,poc,"['P', 'AA1', 'K']","['P', 'AA', 'K']",3
394,alo,"['EY1', 'L', 'OW0']","['EY', 'L', 'OW']",3
397,mcl,"['M', 'AH0', 'K', 'L']","['M', 'AH', 'K', 'L']",4
399,mcc,"['M', 'IY1', 'K', 'S']","['M', 'IY', 'K', 'S']",4
403,var,"['V', 'AA1', 'R']","['V', 'AA', 'R']",3
407,fru,"['F', 'R', 'UW1']","['F', 'R', 'UW']",3
417,riv,"['R', 'IH1', 'V']","['R', 'IH', 'V']",3
418,arg,"['AA1', 'R', 'G']","['AA', 'R', 'G']",3
419,awa,"['AA1', 'W', 'AH0']","['AA', 'W', 'AH']",3
420,imm,"['AY1', 'EH1', 'M', 'EH1', 'M']","['AY', 'EH', 'M', 'EH', 'M']",5
421,amo,"['AA1', 'M', 'OW0']","['AA', 'M', 'OW']",3
422,doz,"['D', 'AA1', 'Z']","['D', 'AA', 'Z']",3
423,jun,"['JH', 'AH1', 'N']","['JH', 'AH', 'N']",3
425,ens,"['EH1', 'N', 'Z']","['EH', 'N', 'Z']",3
432,apa,"['EY1', 'P', 'AH0']","['EY', 'P', 'AH']",3
433,sty,"['S', 'T', 'AY1']","['S', 'T', 'AY']",3
438,anx,"['AE1', 'NG', 'K', 'S']","['AE', 'NG', 'K', 'S']",4
439,ses,"['S', 'EH1', 'S']","['S', 'EH', 'S']",3
440,vot,"['V', 'AA1', 'T']","['V', 'AA', 'T']",3
442,fic,"['F', 'IH1', 'K']","['F', 'IH', 'K']",3
443,foc,"['F', 'AA1', 'K']","['F', 'AA', 'K']",3
444,zom,"['Z', 'AA1', 'M']","['Z', 'AA', 'M']",3
447,wid,"['W', 'IH1', 'D']","['W', 'IH', 'D']",3
448,sof,"['S', 'AO1', 'F']","['S', 'AO', 'F']",3
449,suf,"['S', 'AH1', 'F']","['S', 'AH', 'F']",3
451,sut,"['S', 'AH1', 'T']","['S', 'AH', 'T']",3
454,jag,"['JH', 'AE1', 'G']","['JH', 'AE', 'G']",3
455,rav,"['R', 'AA1', 'V']","['R', 'AA', 'V']",3
457,bry,"['B', 'R', 'AY1']","['B', 'R', 'AY']",3
459,abo,"['AA1', 'B', 'OW0']","['AA', 'B', 'OW']",3
460,oxy,"['AA1', 'K', 'S', 'IY0']","['AA', 'K', 'S', 'IY']",4
462,jui,"['JH', 'UW1', 'IY0']","['JH', 'UW', 'IY']",3
466,ira,"['AY1', 'R', 'AH0']","['AY', 'R', 'AH']",3
467,sem,"['S', 'EH1', 'M']","['S', 'EH', 'M']",3
468,ris,"['R', 'IH1', 'S']","['R', 'IH', 'S']",3
470,bli,"['B', 'L', 'AY1']","['B', 'L', 'AY']",3
472,ped,"['P', 'EH1', 'D']","['P', 'EH', 'D']",3
474,sib,"['S', 'IH1', 'B']","['S', 'IH', 'B']",3
476,alc,"['AE1', 'L', 'CH']","['AE', 'L', 'CH']",3
478,ske,"['S', 'K', 'EY1']","['S', 'K', 'EY']",3
479,dom,"['D', 'AA1', 'M']","['D', 'AA', 'M']",3
483,scu,"['S', 'K', 'UW1']","['S', 'K', 'UW']",3
488,mun,"['M', 'AH1', 'N']","['M', 'AH', 'N']",3
489,edw,"['EH1', 'D', 'W', 'AA0']","['EH', 'D', 'W', 'AA']",4
490,sle,"['S', 'L', 'IY1']","['S', 'L', 'IY']",3
491,unf,"['AH1', 'N', 'F']","['AH', 'N', 'F']",3
493,dav,"['D', 'AA1', 'V']","['D', 'AA', 'V']",3
495,uns,"['AH1', 'N', 'Z']","['AH', 'N', 'Z']",3
498,dar,"['D', 'AA1', 'R']","['D', 'AA', 'R']",3
501,eti,"['EH1', 'T', 'IY0']","['EH', 'T', 'IY']",3
502,ven,"['V', 'EH1', 'N']","['V', 'EH', 'N']",3
504,obt,"['AA1', 'B', 'T']","['AA', 'B', 'T']",3
507,jul,"['JH', 'UW1', 'L']","['JH', 'UW', 'L']",3
510,jor,"['JH', 'AO1', 'R']","['JH', 'AO', 'R']",3
513,alv,"['AA1', 'L', 'V']","['AA', 'L', 'V']",3
515,ble,"['B', 'L', 'IY1']","['B', 'L', 'IY']",3
516,tob,"['T', 'AA1', 'B']","['T', 'AA', 'B']",3
518,bia,"['B', 'IY1', 'AH0']","['B', 'IY', 'AH']",3
520,puz,"['P', 'UH1', 'Z']","['P', 'UH', 'Z']",3
521,hob,"['HH', 'AA1', 'B']","['HH', 'AA', 'B']",3
524,avo,"['EY1', 'V', 'OW0']","['EY', 'V', 'OW']",3
526,unr,"['AH1', 'N', 'R']","['AH', 'N', 'R']",3
527,dop,"['D', 'AA1', 'P']","['D', 'AA', 'P']",3
528,idi,"['AY1', 'D', 'IY0']","['AY', 'D', 'IY']",3
530,coa,"['K', 'OW1', 'AH0']","['K', 'OW', 'AH']",3
532,uti,"['Y', 'UW1', 'T', 'IY0']","['Y', 'UW', 'T', 'IY']",4
534,inq,"['IH1', 'N', 'K']","['IH', 'N', 'K']",3
535,dre,"['D', 'R', 'IY1']","['D', 'R', 'IY']",3
538,sni,"['S', 'N', 'AY1']","['S', 'N', 'AY']",3
539,lav,"['L', 'AA1', 'V']","['L', 'AA', 'V']",3
540,ina,"['IY1', 'N', 'AH0']","['IY', 'N', 'AH']",3
544,nas,"['N', 'AE1', 'S']","['N', 'AE', 'S']",3
547,gib,"['G', 'IH1', 'B']","['G', 'IH', 'B']",3
548,rej,"['R', 'EH1', 'JH']","['R', 'EH', 'JH']",3
551,gue,"['G', 'Y', 'UW1']","['G', 'Y', 'UW']",3
552,ecu,"['EH1', 'K', 'UW0']","['EH', 'K', 'UW']",3
555,abd,"['AE1', 'B', 'D']","['AE', 'B', 'D']",3
556,inp,"['IH1', 'N', 'P']","['IH', 'N', 'P']",3
558,deb,"['D', 'EH1', 'B']","['D', 'EH', 'B']",3
560,rui,"['R', 'UW1', 'IY0']","['R', 'UW', 'IY']",3
562,abr,"['AA1', 'B', 'R']","['AA', 'B', 'R']",3
564,ign,"['IH1', 'G', 'AH0', 'N']","['IH', 'G', 'AH', 'N']",4
566,muf,"['M', 'AH1', 'F']","['M', 'AH', 'F']",3
567,cem,"['S', 'EH1', 'M']","['S', 'EH', 'M']",3
568,vib,"['V', 'IH1', 'B']","['V', 'IH', 'B']",3
570,gif,"['G', 'IH1', 'F']","['G', 'IH', 'F']",3
571,lum,"['L', 'AH1', 'M']","['L', 'AH', 'M']",3
572,nur,"['N', 'UH1', 'R']","['N', 'UH', 'R']",3
573,enj,"['EH1', 'N', 'JH']","['EH', 'N', 'JH']",3
574,eug,"['Y', 'UW1', 'G']","['Y', 'UW', 'G']",3
575,hab,"['HH', 'AE1', 'B']","['HH', 'AE', 'B']",3
576,ful,"['F', 'AH1', 'L']","['F', 'AH', 'L']",3
579,nev,"['N', 'EH1', 'V']","['N', 'EH', 'V']",3
580,aco,"['EY1', 'K', 'OW0']","['EY', 'K', 'OW']",3
581,nav,"['N', 'AE1', 'V']","['N', 'AE', 'V']",3
582,ult,"['AH1', 'L', 'T']","['AH', 'L', 'T']",3
588,scl,"['S', 'K', 'EH1', 'L']","['S', 'K', 'EH', 'L']",4
589,iro,"['IH1', 'R', 'OW0']","['IH', 'R', 'OW']",3
590,hyb,"['HH', 'AY1', 'B']","['HH', 'AY', 'B']",3
592,gam,"['G', 'AE1', 'M']","['G', 'AE', 'M']",3
593,euc,"['Y', 'UW1', 'K']","['Y', 'UW', 'K']",3
596,cof,"['K', 'AO1', 'F']","['K', 'AO', 'F']",3
597,inl,"['IH1', 'N', 'AH0', 'L']","['IH', 'N', 'AH', 'L']",4
598,oli,"['OW1', 'L', 'IY0']","['OW', 'L', 'IY']",3
599,aft,"['AE1', 'F', 'T']","['AE', 'F', 'T']",3
601,jum,"['JH', 'AH1', 'M']","['JH', 'AH', 'M']",3
603,cami,"['K', 'AA1', 'M', 'IY0']","['K', 'AA', 'M', 'IY']",4
606,poss,"['P', 'AO1', 'S']","['P', 'AO', 'S']",3
608,trav,"['T', 'R', 'AA1', 'V']","['T', 'R', 'AA', 'V']",4
609,moun,"['M', 'AW1', 'N']","['M', 'AW', 'N']",3
611,chan,"['CH', 'AE1', 'N']","['CH', 'AE', 'N']",3
613,defe,"['D', 'IH0', 'F']","['D', 'IH', 'F']",3
614,crus,"['K', 'R', 'AH1', 'S']","['K', 'R', 'AH', 'S']",4
615,alti,"['AA1', 'L', 'T', 'IY0']","['AA', 'L', 'T', 'IY']",4
616,grem,"['G', 'R', 'EH1', 'M']","['G', 'R', 'EH', 'M']",4
619,turt,"['T', 'ER1', 'T']","['T', 'ER', 'T']",3
621,init,"['IH1', 'N', 'IH0', 'T']","['IH', 'N', 'IH', 'T']",4
623,anot,"['AH0', 'N', 'OW1', 'T']","['AH', 'N', 'OW', 'T']",4
625,empi,"['EH1', 'M', 'P', 'IY0']","['EH', 'M', 'P', 'IY']",4
627,pres,"['P', 'R', 'EH1', 'Z']","['P', 'R', 'EH', 'Z']",4
628,desu,"['D', 'EH1', 'S', 'UW0']","['D', 'EH', 'S', 'UW']",4
630,reth,"['R', 'EH1', 'TH']","['R', 'EH', 'TH']",3
631,parl,"['P', 'AA1', 'R', 'L']","['P', 'AA', 'R', 'L']",4
632,ront,"['R', 'AA1', 'N', 'T']","['R', 'AA', 'N', 'T']",4
633,sers,"['S', 'ER1', 'Z']","['S', 'ER', 'Z']",3
634,unsi,"['AH1', 'N', 'S', 'IY0']","['AH', 'N', 'S', 'IY']",4
635,exac,"['EH1', 'K', 'S', 'AE0', 'K']","['EH', 'K', 'S', 'AE', 'K']",5
636,toma,"['T', 'OW1', 'M', 'AH0']","['T', 'OW', 'M', 'AH']",4
637,requ,"['R', 'EH1', 'K', 'W', 'IY0']","['R', 'EH', 'K', 'W', 'IY']",5
638,volo,"['V', 'AA1', 'L', 'OW0']","['V', 'AA', 'L', 'OW']",4
639,libr,"['L', 'AY1', 'B', 'ER0']","['L', 'AY', 'B', 'ER']",4
642,inde,"['IH1', 'N', 'D']","['IH', 'N', 'D']",3
644,valo,"['V', 'AA1', 'L', 'OW0']","['V', 'AA', 'L', 'OW']",4
646,somp,"['S', 'AA1', 'M', 'P']","['S', 'AA', 'M', 'P']",4
647,weig,"['W', 'AY1', 'G']","['W', 'AY', 'G']",3
649,mons,"['M', 'AA1', 'N', 'Z']","['M', 'AA', 'N', 'Z']",4
650,vist,"['V', 'IH1', 'S', 'T']","['V', 'IH', 'S', 'T']",4
651,maca,"['M', 'AE1', 'K', 'AH0']","['M', 'AE', 'K', 'AH']",4
652,winu,"['W', 'IH1', 'N', 'Y', 'UW0']","['W', 'IH', 'N', 'Y', 'UW']",5
653,trid,"['T', 'R', 'IH1', 'D']","['T', 'R', 'IH', 'D']",4
654,pard,"['P', 'AA1', 'R', 'D']","['P', 'AA', 'R', 'D']",4
656,resp,"['R', 'EH1', 'S', 'P']","['R', 'EH', 'S', 'P']",4
659,defu,"['D', 'EH1', 'F', 'UW0']","['D', 'EH', 'F', 'UW']",4
661,boto,"['B', 'OW1', 'T', 'OW0']","['B', 'OW', 'T', 'OW']",4
662,avap,"['AH0', 'V', 'AE1', 'P']","['AH', 'V', 'AE', 'P']",4
663,insw,"['IH1', 'N', 'S', 'W', 'EH0', 'K']","['IH', 'N', 'S', 'W', 'EH', 'K']",6
665,coun,"['K', 'AW1', 'N']","['K', 'AW', 'N']",3
666,legu,"['L', 'EH1', 'G', 'UW0']","['L', 'EH', 'G', 'UW']",4
667,stru,"['S', 'T', 'R', 'UW1']","['S', 'T', 'R', 'UW']",4
668,opti,"['AA1', 'P', 'T', 'IY0']","['AA', 'P', 'T', 'IY']",4
669,expe,"['EH1', 'K', 'S', 'P']","['EH', 'K', 'S', 'P']",4
671,inte,"['IH1', 'N', 'T', 'IY0']","['IH', 'N', 'T', 'IY']",4
672,perv,"['P', 'ER1', 'V']","['P', 'ER', 'V']",3
673,sepa,"['S', 'IY1', 'P', 'AH0']","['S', 'IY', 'P', 'AH']",4
675,fini,"['F', 'IY1', 'N', 'IY0']","['F', 'IY', 'N', 'IY']",4
676,lons,"['L', 'AA1', 'N', 'Z']","['L', 'AA', 'N', 'Z']",4
677,legi,"['L', 'EH1', 'JH', 'IY0']","['L', 'EH', 'JH', 'IY']",4
678,cres,"['K', 'R', 'EH1', 'S']","['K', 'R', 'EH', 'S']",4
682,prow,"['P', 'R', 'AW1']","['P', 'R', 'AW']",3
684,afri,"['AE1', 'F', 'R', 'IY0']","['AE', 'F', 'R', 'IY']",4
685,seve,"['S', 'EH1', 'V', 'EY0']","['S', 'EH', 'V', 'EY']",4
687,admi,"['AE1', 'D', 'M', 'IY0']","['AE', 'D', 'M', 'IY']",4
688,thri,"['TH', 'R', 'AY1']","['TH', 'R', 'AY']",3
689,reag,"['R', 'EH1', 'G']","['R', 'EH', 'G']",3
690,cont,"['K', 'AA1', 'N', 'T']","['K', 'AA', 'N', 'T']",4
692,cout,"['K', 'AW1', 'T']","['K', 'AW', 'T']",3
694,flas,"['F', 'L', 'AE1', 'S']","['F', 'L', 'AE', 'S']",4
695,eurn,"['Y', 'UW1', 'R', 'N']","['Y', 'UW', 'R', 'N']",4
696,wisa,"['W', 'IY1', 'Z', 'AH0']","['W', 'IY', 'Z', 'AH']",4
697,latt,"['L', 'AE1', 'T']","['L', 'AE', 'T']",3
699,prof,"['P', 'R', 'AO1', 'F']","['P', 'R', 'AO', 'F']",4
