,Phonemes,No Stress,Type,Real,Length
106,"['AH0', 'AA0', 'SH']","['AH', 'AA', 'SH']",VVC,False,3
107,"['AH0', 'AA0', 'Z']","['AH', 'AA', 'Z']",VVC,False,3
108,"['AH0', 'AA0', 'ZH']","['AH', 'AA', 'ZH']",VVC,False,3
109,"['AH0', 'AA0', 'V']","['AH', 'AA', 'V']",VVC,False,3
110,"['AH0', 'AA0', 'DH']","['AH', 'AA', 'DH']",VVC,False,3
111,"['AH0', 'AA0', 'HH']","['AH', 'AA', 'HH']",VVC,False,3
112,"['AH0', 'AA0', 'CH']","['AH', 'AA', 'CH']",VVC,False,3
113,"['AH0', 'AA0', 'JH']","['AH', 'AA', 'JH']",VVC,False,3
114,"['AH0', 'AA0', 'M']","['AH', 'AA', 'M']",VVC,False,3
115,"['AH0', 'AA0', 'N']","['AH', 'AA', 'N']",VVC,False,3
116,"['AH0', 'AA0', 'NG']","['AH', 'AA', 'NG']",VVC,False,3
117,"['AH0', 'AA0', 'L']","['AH', 'AA', 'L']",VVC,False,3
118,"['AH0', 'AA0', 'R']","['AH', 'AA', 'R']",VVC,False,3
119,"['AH0', 'AA0', 'W']","['AH', 'AA', 'W']",VVC,False,3
120,"['AH0', 'AA0', 'Y']","['AH', 'AA', 'Y']",VVC,False,3
121,"['AH0', 'AY0']","['AH', 'AY']",VV,False,2
122,"['AH0', 'AY0', 'AH0']","['AH', 'AY', 'AH']",VVV,False,3
123,"['AH0', 'AY0', 'OY0']","['AH', 'AY', 'OY']",VVV,False,3
124,"['AH0', 'AY0', 'AA0']","['AH', 'AY', 'AA']",VVV,False,3
125,"['AH0', 'AY0', 'AY0']","['AH', 'AY', 'AY']",VVV,False,3
126,"['AH0', 'AY0', 'ER0']","['AH', 'AY', 'ER']",VVV,False,3
127,"['AH0', 'AY0', 'AO0']","['AH', 'AY', 'AO']",VVV,False,3
128,"['AH0', 'AY0', 'UW0']","['AH', 'AY', 'UW']",VVV,False,3
129,"['AH0', 'AY0', 'IH0']","['AH', 'AY', 'IH']",VVV,False,3
130,"['AH0', 'AY0', 'EH0']","['AH', 'AY', 'EH']",VVV,False,3
131,"['AH0', 'AY0', 'UH0']","['AH', 'AY', 'UH']",VVV,False,3
132,"['AH0', 'AY0', 'IY0']","['AH', 'AY', 'IY']",VVV,False,3
133,"['AH0', 'AY0', 'EY0']","['AH', 'AY', 'EY']",VVV,False,3
134,"['AH0', 'AY0', 'OW0']","['AH', 'AY', 'OW']",VVV,False,3
135,"['AH0', 'AY0', 'AE0']","['AH', 'AY', 'AE']",VVV,False,3
136,"['AH0', 'AY0', 'AW0']","['AH', 'AY', 'AW']",VVV,False,3
137,"['AH0', 'AY0', 'P']","['AH', 'AY', 'P']",VVC,False,3
138,"['AH0', 'AY0', 'T']","['AH', 'AY', 'T']",VVC,False,3
139,"['AH0', 'AY0', 'K']","['AH', 'AY', 'K']",VVC,False,3
140,"['AH0', 'AY0', 'B']","['AH', 'AY', 'B']",VVC,False,3
141,"['AH0', 'AY0', 'D']","['AH', 'AY', 'D']",VVC,False,3
142,"['AH0', 'AY0', 'G']","['AH', 'AY', 'G']",VVC,False,3
143,"['AH0', 'AY0', 'F']","['AH', 'AY', 'F']",VVC,False,3
144,"['AH0', 'AY0', 'TH']","['AH', 'AY', 'TH']",VVC,False,3
145,"['AH0', 'AY0', 'S']","['AH', 'AY', 'S']",VVC,False,3
146,"['AH0', 'AY0', 'SH']","['AH', 'AY', 'SH']",VVC,False,3
147,"['AH0', 'AY0', 'Z']","['AH', 'AY', 'Z']",VVC,False,3
148,"['AH0', 'AY0', 'ZH']","['AH', 'AY', 'ZH']",VVC,False,3
149,"['AH0', 'AY0', 'V']","['AH', 'AY', 'V']",VVC,False,3
150,"['AH0', 'AY0', 'DH']","['AH', 'AY', 'DH']",VVC,False,3
151,"['AH0', 'AY0', 'HH']","['AH', 'AY', 'HH']",VVC,False,3
152,"['AH0', 'AY0', 'CH']","['AH', 'AY', 'CH']",VVC,False,3
153,"['AH0', 'AY0', 'JH']","['AH', 'AY', 'JH']",VVC,False,3
154,"['AH0', 'AY0', 'M']","['AH', 'AY', 'M']",VVC,False,3
155,"['AH0', 'AY0', 'N']","['AH', 'AY', 'N']",VVC,False,3
156,"['AH0', 'AY0', 'NG']","['AH', 'AY', 'NG']",VVC,False,3
157,"['AH0', 'AY0', 'L']","['AH', 'AY', 'L']",VVC,False,3
158,"['AH0', 'AY0', 'R']","['AH', 'AY', 'R']",VVC,False,3
159,"['AH0', 'AY0', 'W']","['AH', 'AY', 'W']",VVC,False,3
160,"['AH0', 'AY0', 'Y']","['AH', 'AY', 'Y']",VVC,False,3
161,"['AH0', 'ER0']","['AH', 'ER']",VV,False,2
162,"['AH0', 'ER0', 'AH0']","['AH', 'ER', 'AH']",VVV,False,3
163,"['AH0', 'ER0', 'OY0']","['AH', 'ER', 'OY']",VVV,False,3
164,"['AH0', 'ER0', 'AA0']","['AH', 'ER', 'AA']",VVV,False,3
165,"['AH0', 'ER0', 'AY0']","['AH', 'ER', 'AY']",VVV,False,3
166,"['AH0', 'ER0', 'ER0']","['AH', 'ER', 'ER']",VVV,False,3
167,"['AH0', 'ER0', 'AO0']","['AH', 'ER', 'AO']",VVV,False,3
168,"['AH0', 'ER0', 'UW0']","['AH', 'ER', 'UW']",VVV,False,3
169,"['AH0', 'ER0', 'IH0']","['AH', 'ER', 'IH']",VVV,False,3
170,"['AH0', 'ER0', 'EH0']","['AH', 'ER', 'EH']",VVV,False,3
171,"['AH0', 'ER0', 'UH0']","['AH', 'ER', 'UH']",VVV,False,3
172,"['AH0', 'ER0', 'IY0']","['AH', 'ER', 'IY']",VVV,False,3
173,"['AH0', 'ER0', 'EY0']","['AH', 'ER', 'EY']",VVV,False,3
174,"['AH0', 'ER0', 'OW0']","['AH', 'ER', 'OW']",VVV,False,3
175,"['AH0', 'ER0', 'AE0']","['AH', 'ER', 'AE']",VVV,False,3
176,"['AH0', 'ER0', 'AW0']","['AH', 'ER', 'AW']",VVV,False,3
177,"['AH0', 'ER0', 'P']","['AH', 'ER', 'P']",VVC,False,3
178,"['AH0', 'ER0', 'T']","['AH', 'ER', 'T']",VVC,False,3
179,"['AH0', 'ER0', 'K']","['AH', 'ER', 'K']",VVC,False,3
180,"['AH0', 'ER0', 'B']","['AH', 'ER', 'B']",VVC,False,3
181,"['AH0', 'ER0', 'D']","['AH', 'ER', 'D']",VVC,False,3
182,"['AH0', 'ER0', 'G']","['AH', 'ER', 'G']",VVC,False,3
183,"['AH0', 'ER0', 'F']","['AH', 'ER', 'F']",VVC,False,3
184,"['AH0', 'ER0', 'TH']","['AH', 'ER', 'TH']",VVC,False,3
185,"['AH0', 'ER0', 'S']","['AH', 'ER', 'S']",VVC,False,3
186,"['AH0', 'ER0', 'SH']","['AH', 'ER', 'SH']",VVC,False,3
187,"['AH0', 'ER0', 'Z']","['AH', 'ER', 'Z']",VVC,False,3
188,"['AH0', 'ER0', 'ZH']","['AH', 'ER', 'ZH']",VVC,False,3
189,"['AH0', 'ER0', 'V']","['AH', 'ER', 'V']",VVC,False,3
190,"['AH0', 'ER0', 'DH']","['AH', 'ER', 'DH']",VVC,False,3
191,"['AH0', 'ER0', 'HH']","['AH', 'ER', 'HH']",VVC,False,3
192,"['AH0', 'ER0', 'CH']","['AH', 'ER', 'CH']",VVC,False,3
193,"['AH0', 'ER0', 'JH']","['AH', 'ER', 'JH']",VVC,False,3
194,"['AH0', 'ER0', 'M']","['AH', 'ER', 'M']",VVC,False,3
195,"['AH0', 'ER0', 'N']","['AH', 'ER', 'N']",VVC,False,3
196,"['AH0', 'ER0', 'NG']","['AH', 'ER', 'NG']",VVC,False,3
197,"['AH0', 'ER0', 'L']","['AH', 'ER', 'L']",VVC,False,3
198,"['AH0', 'ER0', 'R']","['AH', 'ER', 'R']",VVC,False,3
199,"['AH0', 'ER0', 'W']","['AH', 'ER', 'W']",VVC,False,3
200,"['AH0', 'ER0', 'Y']","['AH', 'ER', 'Y']",VVC,False,3
201,"['AH0', 'AO0']","['AH', 'AO']",VV,False,2
202,"['AH0', 'AO0', 'AH0']","['AH', 'AO', 'AH']",VVV,False,3
203,"['AH0', 'AO0', 'OY0']","['AH', 'AO', 'OY']",VVV,False,3
204,"['AH0', 'AO0', 'AA0']","['AH', 'AO', 'AA']",VVV,False,3
205,"['AH0', 'AO0', 'AY0']","['AH', 'AO', 'AY']",VVV,False,3
206,"['AH0', 'AO0', 'ER0']","['AH', 'AO', 'ER']",VVV,False,3
207,"['AH0', 'AO0', 'AO0']","['AH', 'AO', 'AO']",VVV,False,3
208,"['AH0', 'AO0', 'UW0']","['AH', 'AO', 'UW']",VVV,False,3
209,"['AH0', 'AO0', 'IH0']","['AH', 'AO', 'IH']",VVV,False,3
210,"['AH0', 'AO0', 'EH0']","['AH', 'AO', 'EH']",VVV,False,3
211,"['AH0', 'AO0', 'UH0']","['AH', 'AO', 'UH']",VVV,False,3
212,"['AH0', 'AO0', 'IY0']","['AH', 'AO', 'IY']",VVV,False,3
213,"['AH0', 'AO0', 'EY0']","['AH', 'AO', 'EY']",VVV,False,3
214,"['AH0', 'AO0', 'OW0']","['AH', 'AO', 'OW']",VVV,False,3
215,"['AH0', 'AO0', 'AE0']","['AH', 'AO', 'AE']",VVV,False,3
216,"['AH0', 'AO0', 'AW0']","['AH', 'AO', 'AW']",VVV,False,3
217,"['AH0', 'AO0', 'P']","['AH', 'AO', 'P']",VVC,False,3
218,"['AH0', 'AO0', 'T']","['AH', 'AO', 'T']",VVC,False,3
219,"['AH0', 'AO0', 'K']","['AH', 'AO', 'K']",VVC,False,3
220,"['AH0', 'AO0', 'B']","['AH', 'AO', 'B']",VVC,False,3
221,"['AH0', 'AO0', 'D']","['AH', 'AO', 'D']",VVC,False,3
222,"['AH0', 'AO0', 'G']","['AH', 'AO', 'G']",VVC,False,3
223,"['AH0', 'AO0', 'F']","['AH', 'AO', 'F']",VVC,False,3
224,"['AH0', 'AO0', 'TH']","['AH', 'AO', 'TH']",VVC,False,3
225,"['AH0', 'AO0', 'S']","['AH', 'AO', 'S']",VVC,False,3
226,"['AH0', 'AO0', 'SH']","['AH', 'AO', 'SH']",VVC,False,3
227,"['AH0', 'AO0', 'Z']","['AH', 'AO', 'Z']",VVC,False,3
228,"['AH0', 'AO0', 'ZH']","['AH', 'AO', 'ZH']",VVC,False,3
229,"['AH0', 'AO0', 'V']","['AH', 'AO', 'V']",VVC,False,3
230,"['AH0', 'AO0', 'DH']","['AH', 'AO', 'DH']",VVC,False,3
231,"['AH0', 'AO0', 'HH']","['AH', 'AO', 'HH']",VVC,False,3
232,"['AH0', 'AO0', 'CH']","['AH', 'AO', 'CH']",VVC,False,3
233,"['AH0', 'AO0', 'JH']","['AH', 'AO', 'JH']",VVC,False,3
234,"['AH0', 'AO0', 'M']","['AH', 'AO', 'M']",VVC,False,3
235,"['AH0', 'AO0', 'N']","['AH', 'AO', 'N']",VVC,False,3
236,"['AH0', 'AO0', 'NG']","['AH', 'AO', 'NG']",VVC,False,3
237,"['AH0', 'AO0', 'L']","['AH', 'AO', 'L']",VVC,False,3
238,"['AH0', 'AO0', 'R']","['AH', 'AO', 'R']",VVC,False,3
239,"['AH0', 'AO0', 'W']","['AH', 'AO', 'W']",VVC,False,3
240,"['AH0', 'AO0', 'Y']","['AH', 'AO', 'Y']",VVC,False,3
241,"['AH0', 'UW0']","['AH', 'UW']",VV,False,2
242,"['AH0', 'UW0', 'AH0']","['AH', 'UW', 'AH']",VVV,False,3
243,"['AH0', 'UW0', 'OY0']","['AH', 'UW', 'OY']",VVV,False,3
244,"['AH0', 'UW0', 'AA0']","['AH', 'UW', 'AA']",VVV,False,3
245,"['AH0', 'UW0', 'AY0']","['AH', 'UW', 'AY']",VVV,False,3
246,"['AH0', 'UW0', 'ER0']","['AH', 'UW', 'ER']",VVV,False,3
247,"['AH0', 'UW0', 'AO0']","['AH', 'UW', 'AO']",VVV,False,3
248,"['AH0', 'UW0', 'UW0']","['AH', 'UW', 'UW']",VVV,False,3
249,"['AH0', 'UW0', 'IH0']","['AH', 'UW', 'IH']",VVV,False,3
250,"['AH0', 'UW0', 'EH0']","['AH', 'UW', 'EH']",VVV,False,3
251,"['AH0', 'UW0', 'UH0']","['AH', 'UW', 'UH']",VVV,False,3
252,"['AH0', 'UW0', 'IY0']","['AH', 'UW', 'IY']",VVV,False,3
253,"['AH0', 'UW0', 'EY0']","['AH', 'UW', 'EY']",VVV,False,3
254,"['AH0', 'UW0', 'OW0']","['AH', 'UW', 'OW']",VVV,False,3
255,"['AH0', 'UW0', 'AE0']","['AH', 'UW', 'AE']",VVV,False,3
256,"['AH0', 'UW0', 'AW0']","['AH', 'UW', 'AW']",VVV,False,3
257,"['AH0', 'UW0', 'P']","['AH', 'UW', 'P']",VVC,False,3
258,"['AH0', 'UW0', 'T']","['AH', 'UW', 'T']",VVC,False,3
259,"['AH0', 'UW0', 'K']","['AH', 'UW', 'K']",VVC,False,3
260,"['AH0', 'UW0', 'B']","['AH', 'UW', 'B']",VVC,False,3
261,"['AH0', 'UW0', 'D']","['AH', 'UW', 'D']",VVC,False,3
262,"['AH0', 'UW0', 'G']","['AH', 'UW', 'G']",VVC,False,3
263,"['AH0', 'UW0', 'F']","['AH', 'UW', 'F']",VVC,False,3
264,"['AH0', 'UW0', 'TH']","['AH', 'UW', 'TH']",VVC,False,3
265,"['AH0', 'UW0', 'S']","['AH', 'UW', 'S']",VVC,False,3
266,"['AH0', 'UW0', 'SH']","['AH', 'UW', 'SH']",VVC,False,3
267,"['AH0', 'UW0', 'Z']","['AH', 'UW', 'Z']",VVC,False,3
268,"['AH0', 'UW0', 'ZH']","['AH', 'UW', 'ZH']",VVC,False,3
269,"['AH0', 'UW0', 'V']","['AH', 'UW', 'V']",VVC,False,3
270,"['AH0', 'UW0', 'DH']","['AH', 'UW', 'DH']",VVC,False,3
271,"['AH0', 'UW0', 'HH']","['AH', 'UW', 'HH']",VVC,False,3
272,"['AH0', 'UW0', 'CH']","['AH', 'UW', 'CH']",VVC,False,3
273,"['AH0', 'UW0', 'JH']","['AH', 'UW', 'JH']",VVC,False,3
274,"['AH0', 'UW0', 'M']","['AH', 'UW', 'M']",VVC,False,3
275,"['AH0', 'UW0', 'N']","['AH', 'UW', 'N']",VVC,False,3
276,"['AH0', 'UW0', 'NG']","['AH', 'UW', 'NG']",VVC,False,3
277,"['AH0', 'UW0', 'L']","['AH', 'UW', 'L']",VVC,False,3
278,"['AH0', 'UW0', 'R']","['AH', 'UW', 'R']",VVC,False,3
279,"['AH0', 'UW0', 'W']","['AH', 'UW', 'W']",VVC,False,3
280,"['AH0', 'UW0', 'Y']","['AH', 'UW', 'Y']",VVC,False,3
281,"['AH0', 'IH0']","['AH', 'IH']",VV,False,2
282,"['AH0', 'IH0', 'AH0']","['AH', 'IH', 'AH']",VVV,False,3
283,"['AH0', 'IH0', 'OY0']","['AH', 'IH', 'OY']",VVV,False,3
284,"['AH0', 'IH0', 'AA0']","['AH', 'IH', 'AA']",VVV,False,3
285,"['AH0', 'IH0', 'AY0']","['AH', 'IH', 'AY']",VVV,False,3
286,"['AH0', 'IH0', 'ER0']","['AH', 'IH', 'ER']",VVV,False,3
287,"['AH0', 'IH0', 'AO0']","['AH', 'IH', 'AO']",VVV,False,3
288,"['AH0', 'IH0', 'UW0']","['AH', 'IH', 'UW']",VVV,False,3
289,"['AH0', 'IH0', 'IH0']","['AH', 'IH', 'IH']",VVV,False,3
290,"['AH0', 'IH0', 'EH0']","['AH', 'IH', 'EH']",VVV,False,3
291,"['AH0', 'IH0', 'UH0']","['AH', 'IH', 'UH']",VVV,False,3
292,"['AH0', 'IH0', 'IY0']","['AH', 'IH', 'IY']",VVV,False,3
293,"['AH0', 'IH0', 'EY0']","['AH', 'IH', 'EY']",VVV,False,3
294,"['AH0', 'IH0', 'OW0']","['AH', 'IH', 'OW']",VVV,False,3
295,"['AH0', 'IH0', 'AE0']","['AH', 'IH', 'AE']",VVV,False,3
296,"['AH0', 'IH0', 'AW0']","['AH', 'IH', 'AW']",VVV,False,3
297,"['AH0', 'IH0', 'P']","['AH', 'IH', 'P']",VVC,False,3
298,"['AH0', 'IH0', 'T']","['AH', 'IH', 'T']",VVC,False,3
299,"['AH0', 'IH0', 'K']","['AH', 'IH', 'K']",VVC,False,3
300,"['AH0', 'IH0', 'B']","['AH', 'IH', 'B']",VVC,False,3
301,"['AH0', 'IH0', 'D']","['AH', 'IH', 'D']",VVC,False,3
302,"['AH0', 'IH0', 'G']","['AH', 'IH', 'G']",VVC,False,3
303,"['AH0', 'IH0', 'F']","['AH', 'IH', 'F']",VVC,False,3
304,"['AH0', 'IH0', 'TH']","['AH', 'IH', 'TH']",VVC,False,3
305,"['AH0', 'IH0', 'S']","['AH', 'IH', 'S']",VVC,False,3
306,"['AH0', 'IH0', 'SH']","['AH', 'IH', 'SH']",VVC,False,3
307,"['AH0', 'IH0', 'Z']","['AH', 'IH', 'Z']",VVC,False,3
308,"['AH0', 'IH0', 'ZH']","['AH', 'IH', 'ZH']",VVC,False,3
309,"['AH0', 'IH0', 'V']","['AH', 'IH', 'V']",VVC,False,3
310,"['AH0', 'IH0', 'DH']","['AH', 'IH', 'DH']",VVC,False,3
311,"['AH0', 'IH0', 'HH']","['AH', 'IH', 'HH']",VVC,False,3
312,"['AH0', 'IH0', 'CH']","['AH', 'IH', 'CH']",VVC,False,3
313,"['AH0', 'IH0', 'JH']","['AH', 'IH', 'JH']",VVC,False,3
314,"['AH0', 'IH0', 'M']","['AH', 'IH', 'M']",VVC,False,3
315,"['AH0', 'IH0', 'N']","['AH', 'IH', 'N']",VVC,False,3
316,"['AH0', 'IH0', 'NG']","['AH', 'IH', 'NG']",VVC,False,3
317,"['AH0', 'IH0', 'L']","['AH', 'IH', 'L']",VVC,False,3
318,"['AH0', 'IH0', 'R']","['AH', 'IH', 'R']",VVC,False,3
319,"['AH0', 'IH0', 'W']","['AH', 'IH', 'W']",VVC,False,3
320,"['AH0', 'IH0', 'Y']","['AH', 'IH', 'Y']",VVC,False,3
321,"['AH0', 'EH0']","['AH', 'EH']",VV,False,2
322,"['AH0', 'EH0', 'AH0']","['AH', 'EH', 'AH']",VVV,False,3
323,"['AH0', 'EH0', 'OY0']","['AH', 'EH', 'OY']",VVV,False,3
324,"['AH0', 'EH0', 'AA0']","['AH', 'EH', 'AA']",VVV,False,3
325,"['AH0', 'EH0', 'AY0']","['AH', 'EH', 'AY']",VVV,False,3
326,"['AH0', 'EH0', 'ER0']","['AH', 'EH', 'ER']",VVV,False,3
327,"['AH0', 'EH0', 'AO0']","['AH', 'EH', 'AO']",VVV,False,3
328,"['AH0', 'EH0', 'UW0']","['AH', 'EH', 'UW']",VVV,False,3
