<<<<<<< Updated upstream:stimuli/handmade/real_equalized.csv
,Word,Condition,Lexicality,Size,Morphology,Frequency,Length,Zipf_Frequency,Phonemes,No_Stress,Part of Speech
26,ability,RLCH,real,long,complex,9.12e-05,7,4.96,"['AH0', 'B', 'IH1', 'L', 'AH0', 'T', 'IY0']","['AH', 'B', 'IH', 'L', 'AH', 'T', 'IY']",NOUN
27,combined,RLCH,real,long,complex,4.79e-05,7,4.68,"['K', 'AH0', 'M', 'B', 'AY1', 'N', 'D']","['K', 'AH', 'M', 'B', 'AY', 'N', 'D']",VERB
28,prevention,RLCH,real,long,complex,1.91e-05,9,4.28,"['P', 'R', 'IY0', 'V', 'EH1', 'N', 'SH', 'AH0', 'N']","['P', 'R', 'IY', 'V', 'EH', 'N', 'SH', 'AH', 'N']",NOUN
29,established,RLCH,real,long,complex,7.94e-05,9,4.9,"['IH0', 'S', 'T', 'AE1', 'B', 'L', 'IH0', 'SH', 'T']","['IH', 'S', 'T', 'AE', 'B', 'L', 'IH', 'SH', 'T']",VERB
30,employees,RLCH,real,long,complex,6.46e-05,7,4.81,"['EH0', 'M', 'P', 'L', 'OY1', 'IY0', 'Z']","['EH', 'M', 'P', 'L', 'OY', 'IY', 'Z']",NOUN
31,impressed,RLCH,real,long,complex,2.19e-05,7,4.34,"['IH0', 'M', 'P', 'R', 'EH1', 'S', 'T']","['IH', 'M', 'P', 'R', 'EH', 'S', 'T']",VERB
32,cambridge,RLCH,real,long,complex,2.45e-05,7,4.39,"['K', 'EY1', 'M', 'B', 'R', 'IH0', 'JH']","['K', 'EY', 'M', 'B', 'R', 'IH', 'JH']",PROPN
33,completion,RLCH,real,long,complex,1.66e-05,9,4.22,"['K', 'AH0', 'M', 'P', 'L', 'IY1', 'SH', 'AH0', 'N']","['K', 'AH', 'M', 'P', 'L', 'IY', 'SH', 'AH', 'N']",NOUN
34,properties,RLCH,real,long,complex,4.47e-05,8,4.65,"['P', 'R', 'AA1', 'P', 'ER0', 'T', 'IY0', 'Z']","['P', 'R', 'AA', 'P', 'ER', 'T', 'IY', 'Z']",NOUN
35,journalists,RLCH,real,long,complex,1.95e-05,9,4.29,"['JH', 'ER1', 'N', 'AH0', 'L', 'AH0', 'S', 'T', 'S']","['JH', 'ER', 'N', 'AH', 'L', 'AH', 'S', 'T', 'S']",NOUN
36,affected,RLCH,real,long,complex,4.37e-05,7,4.64,"['AH0', 'F', 'EH1', 'K', 'T', 'AH0', 'D']","['AH', 'F', 'EH', 'K', 'T', 'AH', 'D']",VERB
37,attending,RLCH,real,long,complex,2.04e-05,7,4.31,"['AH0', 'T', 'EH1', 'N', 'D', 'IH0', 'NG']","['AH', 'T', 'EH', 'N', 'D', 'IH', 'NG']",VERB
38,removing,RLCH,real,long,complex,1.82e-05,7,4.26,"['R', 'IY0', 'M', 'UW1', 'V', 'IH0', 'NG']","['R', 'IY', 'M', 'UW', 'V', 'IH', 'NG']",VERB
39,examples,RLCH,real,long,complex,4.27e-05,9,4.63,"['IH0', 'G', 'Z', 'AE1', 'M', 'P', 'AH0', 'L', 'Z']","['IH', 'G', 'Z', 'AE', 'M', 'P', 'AH', 'L', 'Z']",NOUN
40,technology,RLCH,real,long,complex,0.000123,9,5.09,"['T', 'EH0', 'K', 'N', 'AA1', 'L', 'AH0', 'JH', 'IY0']","['T', 'EH', 'K', 'N', 'AA', 'L', 'AH', 'JH', 'IY']",NOUN
41,listening,RLCH,real,long,complex,4.57e-05,7,4.66,"['L', 'IH1', 'S', 'AH0', 'N', 'IH0', 'NG']","['L', 'IH', 'S', 'AH', 'N', 'IH', 'NG']",VERB
42,anderson,RLCH,real,long,complex,2.29e-05,7,4.36,"['AE1', 'N', 'D', 'ER0', 'S', 'AH0', 'N']","['AE', 'N', 'D', 'ER', 'S', 'AH', 'N']",PROPN
43,printed,RLCH,real,long,complex,2.51e-05,7,4.4,"['P', 'R', 'IH1', 'N', 'T', 'AH0', 'D']","['P', 'R', 'IH', 'N', 'T', 'AH', 'D']",VERB
44,resolution,RLCH,real,long,complex,3.89e-05,9,4.59,"['R', 'EH2', 'Z', 'AH0', 'L', 'UW1', 'SH', 'AH0', 'N']","['R', 'EH', 'Z', 'AH', 'L', 'UW', 'SH', 'AH', 'N']",NOUN
45,example,RLCH,real,long,complex,0.000186,8,5.27,"['IH0', 'G', 'Z', 'AE1', 'M', 'P', 'AH0', 'L']","['IH', 'G', 'Z', 'AE', 'M', 'P', 'AH', 'L']",NOUN
46,personal,RLCH,real,long,complex,0.000158,7,5.2,"['P', 'ER1', 'S', 'IH0', 'N', 'IH0', 'L']","['P', 'ER', 'S', 'IH', 'N', 'IH', 'L']",ADJ
47,targets,RLCH,real,long,complex,1.95e-05,7,4.29,"['T', 'AA1', 'R', 'G', 'AH0', 'T', 'S']","['T', 'AA', 'R', 'G', 'AH', 'T', 'S']",NOUN
48,united,RLCH,real,long,complex,0.000295,7,5.47,"['Y', 'UW0', 'N', 'AY1', 'T', 'AH0', 'D']","['Y', 'UW', 'N', 'AY', 'T', 'AH', 'D']",ADJ
49,divided,RLCH,real,long,complex,2.95e-05,7,4.47,"['D', 'IH0', 'V', 'AY1', 'D', 'AH0', 'D']","['D', 'IH', 'V', 'AY', 'D', 'AH', 'D']",VERB
50,pregnancy,RLCH,real,long,complex,2.14e-05,9,4.33,"['P', 'R', 'EH1', 'G', 'N', 'AH0', 'N', 'S', 'IY0']","['P', 'R', 'EH', 'G', 'N', 'AH', 'N', 'S', 'IY']",NOUN
51,memorial,RLCH,real,long,complex,2.57e-05,8,4.41,"['M', 'AH0', 'M', 'AO1', 'R', 'IY0', 'AH0', 'L']","['M', 'AH', 'M', 'AO', 'R', 'IY', 'AH', 'L']",NOUN
52,interaction,RLCH,real,long,complex,1.95e-05,9,4.29,"['IH2', 'N', 'T', 'ER0', 'AE1', 'K', 'SH', 'AH0', 'N']","['IH', 'N', 'T', 'ER', 'AE', 'K', 'SH', 'AH', 'N']",NOUN
53,mistakes,RLCH,real,long,complex,2.82e-05,7,4.45,"['M', 'IH0', 'S', 'T', 'EY1', 'K', 'S']","['M', 'IH', 'S', 'T', 'EY', 'K', 'S']",NOUN
54,darkness,RLCH,real,long,complex,2e-05,7,4.3,"['D', 'AA1', 'R', 'K', 'N', 'AH0', 'S']","['D', 'AA', 'R', 'K', 'N', 'AH', 'S']",NOUN
55,selection,RLCH,real,long,complex,4.17e-05,8,4.62,"['S', 'AH0', 'L', 'EH1', 'K', 'SH', 'AH0', 'N']","['S', 'AH', 'L', 'EH', 'K', 'SH', 'AH', 'N']",NOUN
56,emergency,RLCH,real,long,complex,5.25e-05,8,4.72,"['IH0', 'M', 'ER1', 'JH', 'AH0', 'N', 'S', 'IY0']","['IH', 'M', 'ER', 'JH', 'AH', 'N', 'S', 'IY']",NOUN
57,supports,RLCH,real,long,complex,2.63e-05,7,4.42,"['S', 'AH0', 'P', 'AO1', 'R', 'T', 'S']","['S', 'AH', 'P', 'AO', 'R', 'T', 'S']",VERB
58,negative,RLCH,real,long,complex,6.17e-05,7,4.79,"['N', 'EH1', 'G', 'AH0', 'T', 'IH0', 'V']","['N', 'EH', 'G', 'AH', 'T', 'IH', 'V']",ADJ
59,manchester,RLCH,real,long,complex,3.39e-05,8,4.53,"['M', 'AE1', 'N', 'CH', 'EH2', 'S', 'T', 'ER0']","['M', 'AE', 'N', 'CH', 'EH', 'S', 'T', 'ER']",PROPN
60,corporation,RLCH,real,long,complex,3.89e-05,9,4.59,"['K', 'AO2', 'R', 'P', 'ER0', 'EY1', 'SH', 'AH0', 'N']","['K', 'AO', 'R', 'P', 'ER', 'EY', 'SH', 'AH', 'N']",NOUN
61,locations,RLCH,real,long,complex,2.88e-05,8,4.46,"['L', 'OW0', 'K', 'EY1', 'SH', 'AH0', 'N', 'Z']","['L', 'OW', 'K', 'EY', 'SH', 'AH', 'N', 'Z']",NOUN
62,victims,RLCH,real,long,complex,3.63e-05,7,4.56,"['V', 'IH1', 'K', 'T', 'AH0', 'M', 'Z']","['V', 'IH', 'K', 'T', 'AH', 'M', 'Z']",NOUN
63,interesting,RLCH,real,long,complex,0.0001,9,5.0,"['IH1', 'N', 'T', 'R', 'AH0', 'S', 'T', 'IH0', 'NG']","['IH', 'N', 'T', 'R', 'AH', 'S', 'T', 'IH', 'NG']",VERB
64,economics,RLCH,real,long,complex,2.63e-05,9,4.42,"['EH2', 'K', 'AH0', 'N', 'AA1', 'M', 'IH0', 'K', 'S']","['EH', 'K', 'AH', 'N', 'AA', 'M', 'IH', 'K', 'S']",NOUN
65,upcoming,RLCH,real,long,complex,2.19e-05,7,4.34,"['AH1', 'P', 'K', 'AH2', 'M', 'IH0', 'NG']","['AH', 'P', 'K', 'AH', 'M', 'IH', 'NG']",VERB
66,requests,RLCH,real,long,complex,1.91e-05,8,4.28,"['R', 'IH0', 'K', 'W', 'EH1', 'S', 'T', 'S']","['R', 'IH', 'K', 'W', 'EH', 'S', 'T', 'S']",NOUN
67,decisions,RLCH,real,long,complex,5.25e-05,8,4.72,"['D', 'IH0', 'S', 'IH1', 'ZH', 'AH0', 'N', 'Z']","['D', 'IH', 'S', 'IH', 'ZH', 'AH', 'N', 'Z']",NOUN
68,extended,RLCH,real,long,complex,4.37e-05,9,4.64,"['IH0', 'K', 'S', 'T', 'EH1', 'N', 'D', 'AH0', 'D']","['IH', 'K', 'S', 'T', 'EH', 'N', 'D', 'AH', 'D']",VERB
69,heritage,RLCH,real,long,complex,2.29e-05,7,4.36,"['HH', 'EH1', 'R', 'AH0', 'T', 'AH0', 'JH']","['HH', 'EH', 'R', 'AH', 'T', 'AH', 'JH']",NOUN
70,indians,RLCH,real,long,complex,1.78e-05,7,4.25,"['IH1', 'N', 'D', 'IY0', 'AH0', 'N', 'Z']","['IH', 'N', 'D', 'IY', 'AH', 'N', 'Z']",PROPN
71,themselves,RLCH,real,long,complex,0.000145,8,5.16,"['DH', 'EH0', 'M', 'S', 'EH1', 'L', 'V', 'Z']","['DH', 'EH', 'M', 'S', 'EH', 'L', 'V', 'Z']",PRON
72,connection,RLCH,real,long,complex,5.75e-05,8,4.76,"['K', 'AH0', 'N', 'EH1', 'K', 'SH', 'AH0', 'N']","['K', 'AH', 'N', 'EH', 'K', 'SH', 'AH', 'N']",NOUN
73,cabinet,RLCH,real,long,complex,3.09e-05,7,4.49,"['K', 'AE1', 'B', 'AH0', 'N', 'AH0', 'T']","['K', 'AE', 'B', 'AH', 'N', 'AH', 'T']",PROPN
74,reception,RLCH,real,long,complex,1.7e-05,8,4.23,"['R', 'IH0', 'S', 'EH1', 'P', 'SH', 'AH0', 'N']","['R', 'IH', 'S', 'EH', 'P', 'SH', 'AH', 'N']",NOUN
75,december,RLCH,real,long,complex,0.000117,7,5.07,"['D', 'IH0', 'S', 'EH1', 'M', 'B', 'ER0']","['D', 'IH', 'S', 'EH', 'M', 'B', 'ER']",PROPN
76,democrat,RLCH,real,long,complex,1.74e-05,8,4.24,"['D', 'EH1', 'M', 'AH0', 'K', 'R', 'AE2', 'T']","['D', 'EH', 'M', 'AH', 'K', 'R', 'AE', 'T']",PROPN
77,difficult,RLCH,real,long,complex,0.000117,8,5.07,"['D', 'IH1', 'F', 'AH0', 'K', 'AH0', 'L', 'T']","['D', 'IH', 'F', 'AH', 'K', 'AH', 'L', 'T']",ADJ
78,focusing,RLCH,real,long,complex,1.78e-05,7,4.25,"['F', 'OW1', 'K', 'AH0', 'S', 'IH0', 'NG']","['F', 'OW', 'K', 'AH', 'S', 'IH', 'NG']",VERB
79,effectively,RLCH,real,long,complex,3.09e-05,9,4.49,"['IH0', 'F', 'EH1', 'K', 'T', 'IH0', 'V', 'L', 'IY0']","['IH', 'F', 'EH', 'K', 'T', 'IH', 'V', 'L', 'IY']",ADV
80,wonderful,RLCH,real,long,complex,7.08e-05,8,4.85,"['W', 'AH1', 'N', 'D', 'ER0', 'F', 'AH0', 'L']","['W', 'AH', 'N', 'D', 'ER', 'F', 'AH', 'L']",ADJ
81,authorities,RLCH,real,long,complex,4.27e-05,8,4.63,"['AH0', 'TH', 'AO1', 'R', 'AH0', 'T', 'IY0', 'Z']","['AH', 'TH', 'AO', 'R', 'AH', 'T', 'IY', 'Z']",NOUN
82,explosion,RLCH,real,long,complex,1.66e-05,9,4.22,"['IH0', 'K', 'S', 'P', 'L', 'OW1', 'ZH', 'AH0', 'N']","['IH', 'K', 'S', 'P', 'L', 'OW', 'ZH', 'AH', 'N']",NOUN
83,controlled,RLCH,real,long,complex,3.89e-05,8,4.59,"['K', 'AH0', 'N', 'T', 'R', 'OW1', 'L', 'D']","['K', 'AH', 'N', 'T', 'R', 'OW', 'L', 'D']",VERB
84,architecture,RLCH,real,long,complex,2.63e-05,9,4.42,"['AA1', 'R', 'K', 'AH0', 'T', 'EH2', 'K', 'CH', 'ER0']","['AA', 'R', 'K', 'AH', 'T', 'EH', 'K', 'CH', 'ER']",NOUN
85,concerned,RLCH,real,long,complex,5.62e-05,7,4.75,"['K', 'AH0', 'N', 'S', 'ER1', 'N', 'D']","['K', 'AH', 'N', 'S', 'ER', 'N', 'D']",VERB
86,tourism,RLCH,real,long,complex,1.91e-05,7,4.28,"['T', 'UH1', 'R', 'IH2', 'Z', 'AH0', 'M']","['T', 'UH', 'R', 'IH', 'Z', 'AH', 'M']",NOUN
87,facilities,RLCH,real,long,complex,4.57e-05,9,4.66,"['F', 'AH0', 'S', 'IH1', 'L', 'AH0', 'T', 'IY0', 'Z']","['F', 'AH', 'S', 'IH', 'L', 'AH', 'T', 'IY', 'Z']",NOUN
88,conference,RLCH,real,long,complex,0.000102,8,5.01,"['K', 'AA1', 'N', 'F', 'ER0', 'AH0', 'N', 'S']","['K', 'AA', 'N', 'F', 'ER', 'AH', 'N', 'S']",NOUN
89,election,RLCH,real,long,complex,0.00012,7,5.08,"['IH0', 'L', 'EH1', 'K', 'SH', 'AH0', 'N']","['IH', 'L', 'EH', 'K', 'SH', 'AH', 'N']",NOUN
90,dependent,RLCH,real,long,complex,1.91e-05,9,4.28,"['D', 'IH0', 'P', 'EH1', 'N', 'D', 'AH0', 'N', 'T']","['D', 'IH', 'P', 'EH', 'N', 'D', 'AH', 'N', 'T']",ADJ
91,virtually,RLCH,real,long,complex,1.82e-05,7,4.26,"['V', 'ER1', 'CH', 'UW0', 'AH0', 'L', 'IY0']","['V', 'ER', 'CH', 'UW', 'AH', 'L', 'IY']",ADV
92,inspiration,RLCH,real,long,complex,2.57e-05,9,4.41,"['IH2', 'N', 'S', 'P', 'ER0', 'EY1', 'SH', 'AH0', 'N']","['IH', 'N', 'S', 'P', 'ER', 'EY', 'SH', 'AH', 'N']",NOUN
93,reliable,RLCH,real,long,complex,1.95e-05,8,4.29,"['R', 'IH0', 'L', 'AY1', 'AH0', 'B', 'AH0', 'L']","['R', 'IH', 'L', 'AY', 'AH', 'B', 'AH', 'L']",ADJ
94,possibly,RLCH,real,long,complex,5.89e-05,7,4.77,"['P', 'AA1', 'S', 'AH0', 'B', 'L', 'IY0']","['P', 'AA', 'S', 'AH', 'B', 'L', 'IY']",ADV
95,residence,RLCH,real,long,complex,2.29e-05,8,4.36,"['R', 'EH1', 'Z', 'IH0', 'D', 'AH0', 'N', 'S']","['R', 'EH', 'Z', 'IH', 'D', 'AH', 'N', 'S']",NOUN
96,conversion,RLCH,real,long,complex,1.74e-05,8,4.24,"['K', 'AH0', 'N', 'V', 'ER1', 'ZH', 'AH0', 'N']","['K', 'AH', 'N', 'V', 'ER', 'ZH', 'AH', 'N']",NOUN
97,pleasant,RLCH,real,long,complex,1.66e-05,7,4.22,"['P', 'L', 'EH1', 'Z', 'AH0', 'N', 'T']","['P', 'L', 'EH', 'Z', 'AH', 'N', 'T']",ADJ
98,leadership,RLCH,real,long,complex,5.89e-05,7,4.77,"['L', 'IY1', 'D', 'ER0', 'SH', 'IH2', 'P']","['L', 'IY', 'D', 'ER', 'SH', 'IH', 'P']",NOUN
99,boundaries,RLCH,real,long,complex,1.78e-05,7,4.25,"['B', 'AW1', 'N', 'D', 'ER0', 'IY0', 'Z']","['B', 'AW', 'N', 'D', 'ER', 'IY', 'Z']",NOUN
100,baritone,RLCL,real,long,complex,9.55e-07,7,2.98,"['B', 'EH1', 'R', 'AH0', 'T', 'OW2', 'N']","['B', 'EH', 'R', 'AH', 'T', 'OW', 'N']",NOUN
101,coincide,RLCL,real,long,complex,3.09e-06,7,3.49,"['K', 'OW2', 'IH0', 'N', 'S', 'AY1', 'D']","['K', 'OW', 'IH', 'N', 'S', 'AY', 'D']",VERB
102,alternating,RLCL,real,long,complex,3.16e-06,9,3.5,"['AO1', 'L', 'T', 'ER0', 'N', 'EY2', 'T', 'IH0', 'NG']","['AO', 'L', 'T', 'ER', 'N', 'EY', 'T', 'IH', 'NG']",VERB
103,confluence,RLCL,real,long,complex,1.32e-06,9,3.12,"['K', 'AA1', 'N', 'F', 'L', 'UW0', 'AH0', 'N', 'S']","['K', 'AA', 'N', 'F', 'L', 'UW', 'AH', 'N', 'S']",NOUN
104,gardener,RLCL,real,long,complex,3.09e-06,7,3.49,"['G', 'AA1', 'R', 'D', 'AH0', 'N', 'ER0']","['G', 'AA', 'R', 'D', 'AH', 'N', 'ER']",NOUN
105,vacated,RLCL,real,long,complex,2e-06,7,3.3,"['V', 'EY0', 'K', 'EY1', 'T', 'AH0', 'D']","['V', 'EY', 'K', 'EY', 'T', 'AH', 'D']",VERB
106,topography,RLCL,real,long,complex,1.91e-06,9,3.28,"['T', 'AH0', 'P', 'AA1', 'G', 'R', 'AH0', 'F', 'IY0']","['T', 'AH', 'P', 'AA', 'G', 'R', 'AH', 'F', 'IY']",NOUN
107,grassroots,RLCL,real,long,complex,3.09e-06,8,3.49,"['G', 'R', 'AE1', 'S', 'R', 'UW1', 'T', 'S']","['G', 'R', 'AE', 'S', 'R', 'UW', 'T', 'S']",PROPN
108,vindictive,RLCL,real,long,complex,9.55e-07,9,2.98,"['V', 'IH0', 'N', 'D', 'IH1', 'K', 'T', 'IH0', 'V']","['V', 'IH', 'N', 'D', 'IH', 'K', 'T', 'IH', 'V']",ADJ
109,duality,RLCL,real,long,complex,1.35e-06,7,3.13,"['D', 'UW0', 'AE1', 'L', 'AH0', 'T', 'IY0']","['D', 'UW', 'AE', 'L', 'AH', 'T', 'IY']",NOUN
110,westside,RLCL,real,long,complex,1e-06,7,3.0,"['W', 'EH1', 'S', 'T', 'S', 'AY1', 'D']","['W', 'EH', 'S', 'T', 'S', 'AY', 'D']",NOUN
=======
,Word,Condition,Lexicality,Size,Morphology,Frequency,Length,Zipf Frequency,Phonemes,No Stress,Part of Speech
0,thompson,RLCH,real,long,complex,1.91e-05,7,4.28,"['T', 'AA1', 'M', 'P', 'S', 'AH0', 'N']","['T', 'AA', 'M', 'P', 'S', 'AH', 'N']",PROPN
1,cleveland,RLCH,real,long,complex,1.86e-05,8,4.27,"['K', 'L', 'IY1', 'V', 'L', 'AH0', 'N', 'D']","['K', 'L', 'IY', 'V', 'L', 'AH', 'N', 'D']",PROPN
2,accounting,RLCH,real,long,complex,1.95e-05,7,4.29,"['AH0', 'K', 'AW1', 'N', 'T', 'IH0', 'NG']","['AH', 'K', 'AW', 'N', 'T', 'IH', 'NG']",VERB
3,definition,RLCH,real,long,complex,3.8e-05,9,4.58,"['D', 'EH2', 'F', 'AH0', 'N', 'IH1', 'SH', 'AH0', 'N']","['D', 'EH', 'F', 'AH', 'N', 'IH', 'SH', 'AH', 'N']",NOUN
4,territory,RLCH,real,long,complex,3.98e-05,8,4.6,"['T', 'EH1', 'R', 'IH0', 'T', 'AO2', 'R', 'IY0']","['T', 'EH', 'R', 'IH', 'T', 'AO', 'R', 'IY']",NOUN
5,champions,RLCH,real,long,complex,3.16e-05,8,4.5,"['CH', 'AE1', 'M', 'P', 'IY0', 'AH0', 'N', 'Z']","['CH', 'AE', 'M', 'P', 'IY', 'AH', 'N', 'Z']",NOUN
6,agencies,RLCH,real,long,complex,3.47e-05,7,4.54,"['EY1', 'JH', 'AH0', 'N', 'S', 'IY0', 'Z']","['EY', 'JH', 'AH', 'N', 'S', 'IY', 'Z']",NOUN
7,describing,RLCH,real,long,complex,1.7e-05,9,4.23,"['D', 'IH0', 'S', 'K', 'R', 'AY1', 'B', 'IH0', 'NG']","['D', 'IH', 'S', 'K', 'R', 'AY', 'B', 'IH', 'NG']",VERB
8,extended,RLCH,real,long,complex,4.37e-05,9,4.64,"['IH0', 'K', 'S', 'T', 'EH1', 'N', 'D', 'AH0', 'D']","['IH', 'K', 'S', 'T', 'EH', 'N', 'D', 'AH', 'D']",VERB
9,narrative,RLCH,real,long,complex,2.45e-05,7,4.39,"['N', 'AE1', 'R', 'AH0', 'T', 'IH0', 'V']","['N', 'AE', 'R', 'AH', 'T', 'IH', 'V']",NOUN
10,discovered,RLCH,real,long,complex,5.5e-05,8,4.74,"['D', 'IH0', 'S', 'K', 'AH1', 'V', 'ER0', 'D']","['D', 'IH', 'S', 'K', 'AH', 'V', 'ER', 'D']",VERB
11,hopefully,RLCH,real,long,complex,3.63e-05,7,4.56,"['HH', 'OW1', 'P', 'F', 'AH0', 'L', 'IY0']","['HH', 'OW', 'P', 'F', 'AH', 'L', 'IY']",ADV
12,financial,RLCH,real,long,complex,0.00012,8,5.08,"['F', 'AH0', 'N', 'AE1', 'N', 'SH', 'AH0', 'L']","['F', 'AH', 'N', 'AE', 'N', 'SH', 'AH', 'L']",ADJ
13,arrangement,RLCH,real,long,complex,1.78e-05,8,4.25,"['ER0', 'EY1', 'N', 'JH', 'M', 'AH0', 'N', 'T']","['ER', 'EY', 'N', 'JH', 'M', 'AH', 'N', 'T']",NOUN
14,canadian,RLCH,real,long,complex,5.01e-05,8,4.7,"['K', 'AH0', 'N', 'EY1', 'D', 'IY0', 'AH0', 'N']","['K', 'AH', 'N', 'EY', 'D', 'IY', 'AH', 'N']",ADJ
