Unnamed: 0,Word,Frequency,Zipf Frequency,Part of Speech,Phonemes,No Stress,Lexicality,Length,Size
561,america,0.000166,5.22,PROPN,"['AH0', 'M', 'EH1', 'R', 'AH0', 'K', 'AH0']","['AH', 'M', 'EH', 'R', 'AH', 'K', 'AH']",real,7,long
562,beautiful,0.000166,5.22,ADJ,"['B', 'Y', 'UW1', 'T', 'AH0', 'F', 'AH0', 'L']","['B', 'Y', 'UW', 'T', 'AH', 'F', 'AH', 'L']",real,8,long
568,project,0.000166,5.22,NOUN,"['P', 'R', 'AA1', 'JH', 'EH0', 'K', 'T']","['P', 'R', 'AA', 'JH', 'EH', 'K', 'T']",real,7,long
574,especially,0.000162,5.21,ADV,"['AH0', 'S', 'P', 'EH1', 'SH', 'L', 'IY0']","['AH', 'S', 'P', 'EH', 'SH', 'L', 'IY']",real,7,long
578,parents,0.000162,5.21,NOUN,"['P', 'EH1', 'R', 'AH0', 'N', 'T', 'S']","['P', 'EH', 'R', 'AH', 'N', 'T', 'S']",real,7,long
580,position,0.000162,5.21,NOUN,"['P', 'AH0', 'Z', 'IH1', 'SH', 'AH0', 'N']","['P', 'AH', 'Z', 'IH', 'SH', 'AH', 'N']",real,7,long
593,military,0.000158,5.2,ADJ,"['M', 'IH1', 'L', 'AH0', 'T', 'EH2', 'R', 'IY0']","['M', 'IH', 'L', 'AH', 'T', 'EH', 'R', 'IY']",real,8,long
595,personal,0.000158,5.2,ADJ,"['P', 'ER1', 'S', 'IH0', 'N', 'IH0', 'L']","['P', 'ER', 'S', 'IH', 'N', 'IH', 'L']",real,7,long
596,security,0.000158,5.2,NOUN,"['S', 'IH0', 'K', 'Y', 'UH1', 'R', 'AH0', 'T', 'IY0']","['S', 'IH', 'K', 'Y', 'UH', 'R', 'AH', 'T', 'IY']",real,9,long
607,industry,0.000155,5.19,NOUN,"['IH1', 'N', 'D', 'AH0', 'S', 'T', 'R', 'IY0']","['IH', 'N', 'D', 'AH', 'S', 'T', 'R', 'IY']",real,8,long
613,problems,0.000155,5.19,NOUN,"['P', 'R', 'AA1', 'B', 'L', 'AH0', 'M', 'Z']","['P', 'R', 'AA', 'B', 'L', 'AH', 'M', 'Z']",real,8,long
623,companies,0.000151,5.18,NOUN,"['K', 'AH1', 'M', 'P', 'AH0', 'N', 'IY0', 'Z']","['K', 'AH', 'M', 'P', 'AH', 'N', 'IY', 'Z']",real,8,long
630,present,0.000151,5.18,VERB,"['P', 'R', 'EH1', 'Z', 'AH0', 'N', 'T']","['P', 'R', 'EH', 'Z', 'AH', 'N', 'T']",real,7,long
644,interest,0.000148,5.17,NOUN,"['IH1', 'N', 'T', 'R', 'AH0', 'S', 'T']","['IH', 'N', 'T', 'R', 'AH', 'S', 'T']",real,7,long
649,society,0.000148,5.17,NOUN,"['S', 'AH0', 'S', 'AY1', 'AH0', 'T', 'IY0']","['S', 'AH', 'S', 'AY', 'AH', 'T', 'IY']",real,7,long
661,medical,0.000145,5.16,ADJ,"['M', 'EH1', 'D', 'AH0', 'K', 'AH0', 'L']","['M', 'EH', 'D', 'AH', 'K', 'AH', 'L']",real,7,long
663,original,0.000145,5.16,ADJ,"['ER0', 'IH1', 'JH', 'AH0', 'N', 'AH0', 'L']","['ER', 'IH', 'JH', 'AH', 'N', 'AH', 'L']",real,7,long
665,performance,0.000145,5.16,NOUN,"['P', 'ER0', 'F', 'AO1', 'R', 'M', 'AH0', 'N', 'S']","['P', 'ER', 'F', 'AO', 'R', 'M', 'AH', 'N', 'S']",real,9,long
670,themselves,0.000145,5.16,PRON,"['DH', 'EH0', 'M', 'S', 'EH1', 'L', 'V', 'Z']","['DH', 'EH', 'M', 'S', 'EH', 'L', 'V', 'Z']",real,8,long
680,exactly,0.000141,5.15,ADV,"['IH0', 'G', 'Z', 'AE1', 'K', 'T', 'L', 'IY0']","['IH', 'G', 'Z', 'AE', 'K', 'T', 'L', 'IY']",real,8,long
685,questions,0.000141,5.15,NOUN,"['K', 'W', 'EH1', 'S', 'CH', 'AH0', 'N', 'Z']","['K', 'W', 'EH', 'S', 'CH', 'AH', 'N', 'Z']",real,8,long
687,september,0.000141,5.15,PROPN,"['S', 'EH0', 'P', 'T', 'EH1', 'M', 'B', 'ER0']","['S', 'EH', 'P', 'T', 'EH', 'M', 'B', 'ER']",real,8,long
690,usually,0.000141,5.15,ADV,"['Y', 'UW1', 'ZH', 'AH0', 'W', 'AH0', 'L', 'IY0']","['Y', 'UW', 'ZH', 'AH', 'W', 'AH', 'L', 'IY']",real,8,long
692,evidence,0.000138,5.14,NOUN,"['EH1', 'V', 'AH0', 'D', 'AH0', 'N', 'S']","['EH', 'V', 'AH', 'D', 'AH', 'N', 'S']",real,7,long
696,production,0.000138,5.14,NOUN,"['P', 'R', 'AH0', 'D', 'AH1', 'K', 'SH', 'AH0', 'N']","['P', 'R', 'AH', 'D', 'AH', 'K', 'SH', 'AH', 'N']",real,9,long
707,countries,0.000135,5.13,NOUN,"['K', 'AH1', 'N', 'T', 'R', 'IY0', 'Z']","['K', 'AH', 'N', 'T', 'R', 'IY', 'Z']",real,7,long
718,management,0.000135,5.13,NOUN,"['M', 'AE1', 'N', 'AH0', 'JH', 'M', 'AH0', 'N', 'T']","['M', 'AE', 'N', 'AH', 'JH', 'M', 'AH', 'N', 'T']",real,9,long
725,central,0.000132,5.12,ADJ,"['S', 'EH1', 'N', 'T', 'R', 'AH0', 'L']","['S', 'EH', 'N', 'T', 'R', 'AH', 'L']",real,7,long
727,england,0.000132,5.12,PROPN,"['IH1', 'NG', 'G', 'L', 'AH0', 'N', 'D']","['IH', 'NG', 'G', 'L', 'AH', 'N', 'D']",real,7,long
741,attention,0.000129,5.11,NOUN,"['AH0', 'T', 'EH1', 'N', 'SH', 'AH0', 'N']","['AH', 'T', 'EH', 'N', 'SH', 'AH', 'N']",real,7,long
744,character,0.000129,5.11,NOUN,"['K', 'EH1', 'R', 'IH0', 'K', 'T', 'ER0']","['K', 'EH', 'R', 'IH', 'K', 'T', 'ER']",real,7,long
755,property,0.000129,5.11,NOUN,"['P', 'R', 'AA1', 'P', 'ER0', 'T', 'IY0']","['P', 'R', 'AA', 'P', 'ER', 'T', 'IY']",real,7,long
756,quality,0.000129,5.11,NOUN,"['K', 'W', 'AA1', 'L', 'AH0', 'T', 'IY0']","['K', 'W', 'AA', 'L', 'AH', 'T', 'IY']",real,7,long
764,complete,0.000126,5.1,VERB,"['K', 'AH0', 'M', 'P', 'L', 'IY1', 'T']","['K', 'AH', 'M', 'P', 'L', 'IY', 'T']",real,7,long
766,economic,0.000126,5.1,ADJ,"['EH2', 'K', 'AH0', 'N', 'AA1', 'M', 'IH0', 'K']","['EH', 'K', 'AH', 'N', 'AA', 'M', 'IH', 'K']",real,8,long
768,involved,0.000126,5.1,VERB,"['IH0', 'N', 'V', 'AA1', 'L', 'V', 'D']","['IH', 'N', 'V', 'AA', 'L', 'V', 'D']",real,7,long
770,language,0.000126,5.1,NOUN,"['L', 'AE1', 'NG', 'G', 'W', 'AH0', 'JH']","['L', 'AE', 'NG', 'G', 'W', 'AH', 'JH']",real,7,long
772,november,0.000126,5.1,PROPN,"['N', 'OW0', 'V', 'EH1', 'M', 'B', 'ER0']","['N', 'OW', 'V', 'EH', 'M', 'B', 'ER']",real,7,long
774,related,0.000126,5.1,VERB,"['R', 'IH0', 'L', 'EY1', 'T', 'IH0', 'D']","['R', 'IH', 'L', 'EY', 'T', 'IH', 'D']",real,7,long
780,article,0.000123,5.09,NOUN,"['AA1', 'R', 'T', 'AH0', 'K', 'AH0', 'L']","['AA', 'R', 'T', 'AH', 'K', 'AH', 'L']",real,7,long
784,decided,0.000123,5.09,VERB,"['D', 'IH0', 'S', 'AY1', 'D', 'IH0', 'D']","['D', 'IH', 'S', 'AY', 'D', 'IH', 'D']",real,7,long
785,decision,0.000123,5.09,NOUN,"['D', 'IH0', 'S', 'IH1', 'ZH', 'AH0', 'N']","['D', 'IH', 'S', 'IH', 'ZH', 'AH', 'N']",real,7,long
789,january,0.000123,5.09,PROPN,"['JH', 'AE1', 'N', 'Y', 'UW0', 'EH2', 'R', 'IY0']","['JH', 'AE', 'N', 'Y', 'UW', 'EH', 'R', 'IY']",real,8,long
795,situation,0.000123,5.09,NOUN,"['S', 'IH2', 'CH', 'UW0', 'EY1', 'SH', 'AH0', 'N']","['S', 'IH', 'CH', 'UW', 'EY', 'SH', 'AH', 'N']",real,8,long
796,technology,0.000123,5.09,NOUN,"['T', 'EH0', 'K', 'N', 'AA1', 'L', 'AH0', 'JH', 'IY0']","['T', 'EH', 'K', 'N', 'AA', 'L', 'AH', 'JH', 'IY']",real,9,long
802,considered,0.00012,5.08,VERB,"['K', 'AH0', 'N', 'S', 'IH1', 'D', 'ER0', 'D']","['K', 'AH', 'N', 'S', 'IH', 'D', 'ER', 'D']",real,8,long
803,continue,0.00012,5.08,VERB,"['K', 'AH0', 'N', 'T', 'IH1', 'N', 'Y', 'UW0']","['K', 'AH', 'N', 'T', 'IH', 'N', 'Y', 'UW']",real,8,long
806,currently,0.00012,5.08,ADV,"['K', 'ER1', 'AH0', 'N', 'T', 'L', 'IY0']","['K', 'ER', 'AH', 'N', 'T', 'L', 'IY']",real,7,long
808,election,0.00012,5.08,NOUN,"['IH0', 'L', 'EH1', 'K', 'SH', 'AH0', 'N']","['IH', 'L', 'EH', 'K', 'SH', 'AH', 'N']",real,7,long
809,european,0.00012,5.08,ADJ,"['Y', 'UH2', 'R', 'AH0', 'P', 'IY1', 'AH0', 'N']","['Y', 'UH', 'R', 'AH', 'P', 'IY', 'AH', 'N']",real,8,long
811,financial,0.00012,5.08,ADJ,"['F', 'AH0', 'N', 'AE1', 'N', 'SH', 'AH0', 'L']","['F', 'AH', 'N', 'AE', 'N', 'SH', 'AH', 'L']",real,8,long
829,washington,0.00012,5.08,PROPN,"['W', 'AA1', 'SH', 'IH0', 'NG', 'T', 'AH0', 'N']","['W', 'AA', 'SH', 'IH', 'NG', 'T', 'AH', 'N']",real,8,long
838,december,0.000117,5.07,PROPN,"['D', 'IH0', 'S', 'EH1', 'M', 'B', 'ER0']","['D', 'IH', 'S', 'EH', 'M', 'B', 'ER']",real,7,long
840,difficult,0.000117,5.07,ADJ,"['D', 'IH1', 'F', 'AH0', 'K', 'AH0', 'L', 'T']","['D', 'IH', 'F', 'AH', 'K', 'AH', 'L', 'T']",real,8,long
842,hospital,0.000117,5.07,NOUN,"['HH', 'AA1', 'S', 'P', 'IH2', 'T', 'AH0', 'L']","['HH', 'AA', 'S', 'P', 'IH', 'T', 'AH', 'L']",real,8,long
849,popular,0.000117,5.07,ADJ,"['P', 'AA1', 'P', 'Y', 'AH0', 'L', 'ER0']","['P', 'AA', 'P', 'Y', 'AH', 'L', 'ER']",real,7,long
850,published,0.000117,5.07,VERB,"['P', 'AH1', 'B', 'L', 'IH0', 'SH', 'T']","['P', 'AH', 'B', 'L', 'IH', 'SH', 'T']",real,7,long
852,starting,0.000117,5.07,VERB,"['S', 'T', 'AA1', 'R', 'T', 'IH0', 'NG']","['S', 'T', 'AA', 'R', 'T', 'IH', 'NG']",real,7,long
853,systems,0.000117,5.07,NOUN,"['S', 'IH1', 'S', 'T', 'AH0', 'M', 'Z']","['S', 'IH', 'S', 'T', 'AH', 'M', 'Z']",real,7,long
859,australia,0.000115,5.06,PROPN,"['AO0', 'S', 'T', 'R', 'EY1', 'L', 'Y', 'AH0']","['AO', 'S', 'T', 'R', 'EY', 'L', 'Y', 'AH']",real,8,long
864,internet,0.000115,5.06,NOUN,"['IH1', 'N', 'T', 'ER0', 'N', 'EH2', 'T']","['IH', 'N', 'T', 'ER', 'N', 'EH', 'T']",real,7,long
867,practice,0.000115,5.06,VERB,"['P', 'R', 'AE1', 'K', 'T', 'AH0', 'S']","['P', 'R', 'AE', 'K', 'T', 'AH', 'S']",real,7,long
872,towards,0.000115,5.06,ADP,"['T', 'AH0', 'W', 'AO1', 'R', 'D', 'Z']","['T', 'AH', 'W', 'AO', 'R', 'D', 'Z']",real,7,long
878,created,0.000112,5.05,VERB,"['K', 'R', 'IY0', 'EY1', 'T', 'AH0', 'D']","['K', 'R', 'IY', 'EY', 'T', 'AH', 'D']",real,7,long
899,district,0.00011,5.04,NOUN,"['D', 'IH1', 'S', 'T', 'R', 'IH0', 'K', 'T']","['D', 'IH', 'S', 'T', 'R', 'IH', 'K', 'T']",real,8,long
904,minister,0.00011,5.04,PROPN,"['M', 'IH1', 'N', 'AH0', 'S', 'T', 'ER0']","['M', 'IH', 'N', 'AH', 'S', 'T', 'ER']",real,7,long
908,products,0.00011,5.04,NOUN,"['P', 'R', 'AA1', 'D', 'AH0', 'K', 'T', 'S']","['P', 'R', 'AA', 'D', 'AH', 'K', 'T', 'S']",real,8,long
920,february,0.000107,5.03,PROPN,"['F', 'EH1', 'B', 'Y', 'AH0', 'W', 'EH2', 'R', 'IY0']","['F', 'EH', 'B', 'Y', 'AH', 'W', 'EH', 'R', 'IY']",real,9,long
923,included,0.000107,5.03,VERB,"['IH0', 'N', 'K', 'L', 'UW1', 'D', 'AH0', 'D']","['IH', 'N', 'K', 'L', 'UW', 'D', 'AH', 'D']",real,8,long
929,respect,0.000107,5.03,NOUN,"['R', 'IH0', 'S', 'P', 'EH1', 'K', 'T']","['R', 'IH', 'S', 'P', 'EH', 'K', 'T']",real,7,long
930,response,0.000107,5.03,NOUN,"['R', 'IH0', 'S', 'P', 'AA1', 'N', 'S']","['R', 'IH', 'S', 'P', 'AA', 'N', 'S']",real,7,long
935,specific,0.000107,5.03,ADJ,"['S', 'P', 'AH0', 'S', 'IH1', 'F', 'IH0', 'K']","['S', 'P', 'AH', 'S', 'IH', 'F', 'IH', 'K']",real,8,long
936,standard,0.000107,5.03,ADJ,"['S', 'T', 'AE1', 'N', 'D', 'ER0', 'D']","['S', 'T', 'AE', 'N', 'D', 'ER', 'D']",real,7,long
949,limited,0.000105,5.02,ADJ,"['L', 'IH1', 'M', 'AH0', 'T', 'AH0', 'D']","['L', 'IH', 'M', 'AH', 'T', 'AH', 'D']",real,7,long
953,provided,0.000105,5.02,VERB,"['P', 'R', 'AH0', 'V', 'AY1', 'D', 'AH0', 'D']","['P', 'R', 'AH', 'V', 'AY', 'D', 'AH', 'D']",real,8,long
954,recently,0.000105,5.02,ADV,"['R', 'IY1', 'S', 'AH0', 'N', 'T', 'L', 'IY0']","['R', 'IY', 'S', 'AH', 'N', 'T', 'L', 'IY']",real,8,long
955,required,0.000105,5.02,VERB,"['R', 'IY0', 'K', 'W', 'AY1', 'ER0', 'D']","['R', 'IY', 'K', 'W', 'AY', 'ER', 'D']",real,7,long
959,student,0.000105,5.02,NOUN,"['S', 'T', 'UW1', 'D', 'AH0', 'N', 'T']","['S', 'T', 'UW', 'D', 'AH', 'N', 'T']",real,7,long
969,association,0.000102,5.01,NOUN,"['AH0', 'S', 'OW2', 'S', 'IY0', 'EY1', 'SH', 'AH0', 'N']","['AH', 'S', 'OW', 'S', 'IY', 'EY', 'SH', 'AH', 'N']",real,9,long
972,capital,0.000102,5.01,NOUN,"['K', 'AE1', 'P', 'AH0', 'T', 'AH0', 'L']","['K', 'AE', 'P', 'AH', 'T', 'AH', 'L']",real,7,long
975,conference,0.000102,5.01,NOUN,"['K', 'AA1', 'N', 'F', 'ER0', 'AH0', 'N', 'S']","['K', 'AA', 'N', 'F', 'ER', 'AH', 'N', 'S']",real,8,long
976,difference,0.000102,5.01,NOUN,"['D', 'IH1', 'F', 'ER0', 'AH0', 'N', 'S']","['D', 'IH', 'F', 'ER', 'AH', 'N', 'S']",real,7,long
978,expect,0.000102,5.01,VERB,"['IH0', 'K', 'S', 'P', 'EH1', 'K', 'T']","['IH', 'K', 'S', 'P', 'EH', 'K', 'T']",real,7,long
985,potential,0.000102,5.01,ADJ,"['P', 'AH0', 'T', 'EH1', 'N', 'SH', 'AH0', 'L']","['P', 'AH', 'T', 'EH', 'N', 'SH', 'AH', 'L']",real,8,long
991,treatment,0.000102,5.01,NOUN,"['T', 'R', 'IY1', 'T', 'M', 'AH0', 'N', 'T']","['T', 'R', 'IY', 'T', 'M', 'AH', 'N', 'T']",real,8,long
994,beginning,0.0001,5.0,VERB,"['B', 'IH0', 'G', 'IH1', 'N', 'IH0', 'NG']","['B', 'IH', 'G', 'IH', 'N', 'IH', 'NG']",real,7,long
997,certainly,0.0001,5.0,ADV,"['S', 'ER1', 'T', 'AH0', 'N', 'L', 'IY0']","['S', 'ER', 'T', 'AH', 'N', 'L', 'IY']",real,7,long
998,completely,0.0001,5.0,ADV,"['K', 'AH0', 'M', 'P', 'L', 'IY1', 'T', 'L', 'IY0']","['K', 'AH', 'M', 'P', 'L', 'IY', 'T', 'L', 'IY']",real,9,long
999,content,0.0001,5.0,NOUN,"['K', 'AA1', 'N', 'T', 'EH0', 'N', 'T']","['K', 'AA', 'N', 'T', 'EH', 'N', 'T']",real,7,long
1002,described,0.0001,5.0,VERB,"['D', 'IH0', 'S', 'K', 'R', 'AY1', 'B', 'D']","['D', 'IH', 'S', 'K', 'R', 'AY', 'B', 'D']",real,8,long
1007,husband,0.0001,5.0,NOUN,"['HH', 'AH1', 'Z', 'B', 'AH0', 'N', 'D']","['HH', 'AH', 'Z', 'B', 'AH', 'N', 'D']",real,7,long
1010,interesting,0.0001,5.0,VERB,"['IH1', 'N', 'T', 'R', 'AH0', 'S', 'T', 'IH0', 'NG']","['IH', 'N', 'T', 'R', 'AH', 'S', 'T', 'IH', 'NG']",real,9,long
1018,particular,0.0001,5.0,ADJ,"['P', 'ER0', 'T', 'IH1', 'K', 'Y', 'AH0', 'L', 'ER0']","['P', 'ER', 'T', 'IH', 'K', 'Y', 'AH', 'L', 'ER']",real,9,long
1019,previous,0.0001,5.0,ADJ,"['P', 'R', 'IY1', 'V', 'IY0', 'AH0', 'S']","['P', 'R', 'IY', 'V', 'IY', 'AH', 'S']",real,7,long
1022,reported,0.0001,5.0,VERB,"['R', 'IY2', 'P', 'AO1', 'R', 'T', 'AH0', 'D']","['R', 'IY', 'P', 'AO', 'R', 'T', 'AH', 'D']",real,8,long
1027,consider,9.77e-05,4.99,VERB,"['K', 'AH0', 'N', 'S', 'IH1', 'D', 'ER0']","['K', 'AH', 'N', 'S', 'IH', 'D', 'ER']",real,7,long
1028,contact,9.77e-05,4.99,NOUN,"['K', 'AA1', 'N', 'T', 'AE2', 'K', 'T']","['K', 'AA', 'N', 'T', 'AE', 'K', 'T']",real,7,long
1035,positive,9.77e-05,4.99,ADJ,"['P', 'AA1', 'Z', 'AH0', 'T', 'IH0', 'V']","['P', 'AA', 'Z', 'AH', 'T', 'IH', 'V']",real,7,long
1040,absolutely,9.55e-05,4.98,ADV,"['AE2', 'B', 'S', 'AH0', 'L', 'UW1', 'T', 'L', 'IY0']","['AE', 'B', 'S', 'AH', 'L', 'UW', 'T', 'L', 'IY']",real,9,long
1041,additional,9.55e-05,4.98,ADJ,"['AH0', 'D', 'IH1', 'SH', 'AH0', 'N', 'AH0', 'L']","['AH', 'D', 'IH', 'SH', 'AH', 'N', 'AH', 'L']",real,8,long
1043,conditions,9.55e-05,4.98,NOUN,"['K', 'AH0', 'N', 'D', 'IH1', 'SH', 'AH0', 'N', 'Z']","['K', 'AH', 'N', 'D', 'IH', 'SH', 'AH', 'N', 'Z']",real,9,long
1047,immediately,9.55e-05,4.98,ADV,"['IH0', 'M', 'IY1', 'D', 'IY0', 'AH0', 'T', 'L', 'IY0']","['IH', 'M', 'IY', 'D', 'IY', 'AH', 'T', 'L', 'IY']",real,9,long
1062,computer,9.33e-05,4.97,NOUN,"['K', 'AH0', 'M', 'P', 'Y', 'UW1', 'T', 'ER0']","['K', 'AH', 'M', 'P', 'Y', 'UW', 'T', 'ER']",real,8,long
1070,movement,9.33e-05,4.97,NOUN,"['M', 'UW1', 'V', 'M', 'AH0', 'N', 'T']","['M', 'UW', 'V', 'M', 'AH', 'N', 'T']",real,7,long
1079,statement,9.33e-05,4.97,NOUN,"['S', 'T', 'EY1', 'T', 'M', 'AH0', 'N', 'T']","['S', 'T', 'EY', 'T', 'M', 'AH', 'N', 'T']",real,8,long
1082,ability,9.12e-05,4.96,NOUN,"['AH0', 'B', 'IH1', 'L', 'AH0', 'T', 'IY0']","['AH', 'B', 'IH', 'L', 'AH', 'T', 'IY']",real,7,long
1087,collection,9.12e-05,4.96,NOUN,"['K', 'AH0', 'L', 'EH1', 'K', 'SH', 'AH0', 'N']","['K', 'AH', 'L', 'EH', 'K', 'SH', 'AH', 'N']",real,8,long
1088,continued,9.12e-05,4.96,VERB,"['K', 'AH0', 'N', 'T', 'IH1', 'N', 'Y', 'UW0', 'D']","['K', 'AH', 'N', 'T', 'IH', 'N', 'Y', 'UW', 'D']",real,9,long
1090,definitely,9.12e-05,4.96,ADV,"['D', 'EH1', 'F', 'AH0', 'N', 'AH0', 'T', 'L', 'IY0']","['D', 'EH', 'F', 'AH', 'N', 'AH', 'T', 'L', 'IY']",real,9,long
