Unnamed: 0,Word,Frequency,Zipf Frequency,Part of Speech,Phonemes,No Stress,Lexicality,Length,Size
174,school,0.000513,5.71,NOUN,"['S', 'K', 'UW1', 'L']","['S', 'K', 'UW', 'L']",real,4,short
175,again,0.000501,5.7,ADV,"['AH0', 'G', 'EH1', 'N']","['AH', 'G', 'EH', 'N']",real,4,short
176,next,0.000501,5.7,ADJ,"['N', 'EH1', 'K', 'S', 'T']","['N', 'EH', 'K', 'S', 'T']",real,5,short
178,without,0.00049,5.69,ADP,"['W', 'IH0', 'TH', 'AW1', 'T']","['W', 'IH', 'TH', 'AW', 'T']",real,5,short
180,end,0.000479,5.68,NOUN,"['EH1', 'N', 'D']","['EH', 'N', 'D']",real,3,short
181,found,0.000479,5.68,VERB,"['F', 'AW1', 'N', 'D']","['F', 'AW', 'N', 'D']",real,4,short
182,must,0.000479,5.68,AUX,"['M', 'AH1', 'S', 'T']","['M', 'AH', 'S', 'T']",real,4,short
184,big,0.000468,5.67,ADJ,"['B', 'IH1', 'G']","['B', 'IH', 'G']",real,3,short
185,feel,0.000468,5.67,VERB,"['F', 'IY1', 'L']","['F', 'IY', 'L']",real,3,short
186,sure,0.000468,5.67,ADJ,"['SH', 'UH1', 'R']","['SH', 'UH', 'R']",real,3,short
187,team,0.000468,5.67,NOUN,"['T', 'IY1', 'M']","['T', 'IY', 'M']",real,3,short
188,ever,0.000457,5.66,ADV,"['EH1', 'V', 'ER0']","['EH', 'V', 'ER']",real,3,short
190,keep,0.000457,5.66,VERB,"['K', 'IY1', 'P']","['K', 'IY', 'P']",real,3,short
191,might,0.000457,5.66,AUX,"['M', 'AY1', 'T']","['M', 'AY', 'T']",real,3,short
192,please,0.000457,5.66,INTJ,"['P', 'L', 'IY1', 'Z']","['P', 'L', 'IY', 'Z']",real,4,short
193,put,0.000457,5.66,VERB,"['P', 'UH1', 'T']","['P', 'UH', 'T']",real,3,short
194,money,0.000437,5.64,NOUN,"['M', 'AH1', 'N', 'IY0']","['M', 'AH', 'N', 'IY']",real,4,short
195,free,0.000427,5.63,ADJ,"['F', 'R', 'IY1']","['F', 'R', 'IY']",real,3,short
198,away,0.000417,5.62,ADV,"['AH0', 'W', 'EY1']","['AH', 'W', 'EY']",real,3,short
199,left,0.000417,5.62,VERB,"['L', 'EH1', 'F', 'T']","['L', 'EH', 'F', 'T']",real,4,short
200,number,0.000417,5.62,NOUN,"['N', 'AH1', 'M', 'B', 'ER0']","['N', 'AH', 'M', 'B', 'ER']",real,5,short
201,city,0.000407,5.61,NOUN,"['S', 'IH1', 'T', 'IY0']","['S', 'IH', 'T', 'IY']",real,4,short
202,days,0.000407,5.61,NOUN,"['D', 'EY1', 'Z']","['D', 'EY', 'Z']",real,3,short
203,lot,0.000407,5.61,NOUN,"['L', 'AA1', 'T']","['L', 'AA', 'T']",real,3,short
204,name,0.000407,5.61,VERB,"['N', 'EY1', 'M']","['N', 'EY', 'M']",real,3,short
205,night,0.000407,5.61,NOUN,"['N', 'AY1', 'T']","['N', 'AY', 'T']",real,3,short
206,play,0.000407,5.61,VERB,"['P', 'L', 'EY1']","['P', 'L', 'EY']",real,3,short
207,until,0.000407,5.61,ADP,"['AH0', 'N', 'T', 'IH1', 'L']","['AH', 'N', 'T', 'IH', 'L']",real,5,short
209,doing,0.000398,5.6,VERB,"['D', 'UW1', 'IH0', 'NG']","['D', 'UW', 'IH', 'NG']",real,4,short
210,few,0.000398,5.6,ADJ,"['F', 'Y', 'UW1']","['F', 'Y', 'UW']",real,3,short
211,let,0.000398,5.6,VERB,"['L', 'EH1', 'T']","['L', 'EH', 'T']",real,3,short
212,real,0.000398,5.6,ADJ,"['R', 'IY1', 'L']","['R', 'IY', 'L']",real,3,short
213,called,0.000389,5.59,VERB,"['K', 'AO1', 'L', 'D']","['K', 'AO', 'L', 'D']",real,4,short
215,having,0.000389,5.59,VERB,"['HH', 'AE1', 'V', 'IH0', 'NG']","['HH', 'AE', 'V', 'IH', 'NG']",real,5,short
216,set,0.000389,5.59,VERB,"['S', 'EH1', 'T']","['S', 'EH', 'T']",real,3,short
217,thought,0.000389,5.59,VERB,"['TH', 'AO1', 'T']","['TH', 'AO', 'T']",real,3,short
218,done,0.00038,5.58,VERB,"['D', 'AH1', 'N']","['D', 'AH', 'N']",real,3,short
219,however,0.00038,5.58,ADV,"['HH', 'AW2', 'EH1', 'V', 'ER0']","['HH', 'AW', 'EH', 'V', 'ER']",real,5,short
220,getting,0.000372,5.57,VERB,"['G', 'EH1', 'T', 'IH0', 'NG']","['G', 'EH', 'T', 'IH', 'NG']",real,5,short
221,god,0.000372,5.57,PROPN,"['G', 'AA1', 'D']","['G', 'AA', 'D']",real,3,short
223,group,0.000372,5.57,NOUN,"['G', 'R', 'UW1', 'P']","['G', 'R', 'UW', 'P']",real,4,short
224,looking,0.000372,5.57,VERB,"['L', 'UH1', 'K', 'IH0', 'NG']","['L', 'UH', 'K', 'IH', 'NG']",real,5,short
226,top,0.000372,5.57,NOUN,"['T', 'AA1', 'P']","['T', 'AA', 'P']",real,3,short
227,women,0.000372,5.57,NOUN,"['W', 'IH1', 'M', 'AH0', 'N']","['W', 'IH', 'M', 'AH', 'N']",real,5,short
229,care,0.000363,5.56,VERB,"['K', 'EH1', 'R']","['K', 'EH', 'R']",real,3,short
230,start,0.000363,5.56,VERB,"['S', 'T', 'AA1', 'R', 'T']","['S', 'T', 'AA', 'R', 'T']",real,5,short
232,times,0.000363,5.56,NOUN,"['T', 'AY1', 'M', 'Z']","['T', 'AY', 'M', 'Z']",real,4,short
233,week,0.000363,5.56,NOUN,"['W', 'IY1', 'K']","['W', 'IY', 'K']",real,3,short
236,case,0.000355,5.55,NOUN,"['K', 'EY1', 'S']","['K', 'EY', 'S']",real,3,short
237,nothing,0.000355,5.55,PRON,"['N', 'AH1', 'TH', 'IH0', 'NG']","['N', 'AH', 'TH', 'IH', 'NG']",real,5,short
238,person,0.000355,5.55,NOUN,"['P', 'ER1', 'S', 'AH0', 'N']","['P', 'ER', 'S', 'AH', 'N']",real,5,short
239,today,0.000355,5.55,NOUN,"['T', 'AH0', 'D', 'EY1']","['T', 'AH', 'D', 'EY']",real,4,short
240,change,0.000347,5.54,VERB,"['CH', 'EY1', 'N', 'JH']","['CH', 'EY', 'N', 'JH']",real,4,short
241,enough,0.000347,5.54,ADV,"['IH0', 'N', 'AH1', 'F']","['IH', 'N', 'AH', 'F']",real,4,short
243,full,0.000347,5.54,ADJ,"['F', 'UH1', 'L']","['F', 'UH', 'L']",real,3,short
244,live,0.000347,5.54,VERB,"['L', 'AY1', 'V']","['L', 'AY', 'V']",real,3,short
245,making,0.000347,5.54,VERB,"['M', 'EY1', 'K', 'IH0', 'NG']","['M', 'EY', 'K', 'IH', 'NG']",real,5,short
246,point,0.000347,5.54,VERB,"['P', 'OY1', 'N', 'T']","['P', 'OY', 'N', 'T']",real,4,short
247,read,0.000347,5.54,VERB,"['R', 'EH1', 'D']","['R', 'EH', 'D']",real,3,short
248,told,0.000347,5.54,VERB,"['T', 'OW1', 'L', 'D']","['T', 'OW', 'L', 'D']",real,4,short
249,yet,0.000347,5.54,ADV,"['Y', 'EH1', 'T']","['Y', 'EH', 'T']",real,3,short
250,bad,0.000339,5.53,ADJ,"['B', 'AE1', 'D']","['B', 'AE', 'D']",real,3,short
251,four,0.000339,5.53,NUM,"['F', 'AO1', 'R']","['F', 'AO', 'R']",real,3,short
252,hard,0.000339,5.53,ADV,"['HH', 'AA1', 'R', 'D']","['HH', 'AA', 'R', 'D']",real,4,short
253,mean,0.000339,5.53,VERB,"['M', 'IY1', 'N']","['M', 'IY', 'N']",real,3,short
254,once,0.000339,5.53,ADV,"['W', 'AH1', 'N', 'S']","['W', 'AH', 'N', 'S']",real,4,short
256,tell,0.000339,5.53,VERB,"['T', 'EH1', 'L']","['T', 'EH', 'L']",real,3,short
259,power,0.000331,5.52,NOUN,"['P', 'AW1', 'ER0']","['P', 'AW', 'ER']",real,3,short
260,seen,0.000331,5.52,VERB,"['S', 'IY1', 'N']","['S', 'IY', 'N']",real,3,short
261,states,0.000331,5.52,VERB,"['S', 'T', 'EY1', 'T', 'S']","['S', 'T', 'EY', 'T', 'S']",real,5,short
262,stop,0.000331,5.52,VERB,"['S', 'T', 'AA1', 'P']","['S', 'T', 'AA', 'P']",real,4,short
263,water,0.000331,5.52,NOUN,"['W', 'AO1', 'T', 'ER0']","['W', 'AO', 'T', 'ER']",real,4,short
264,based,0.000324,5.51,VERB,"['B', 'EY1', 'S', 'T']","['B', 'EY', 'S', 'T']",real,4,short
265,believe,0.000324,5.51,VERB,"['B', 'IH0', 'L', 'IY1', 'V']","['B', 'IH', 'L', 'IY', 'V']",real,5,short
266,call,0.000324,5.51,VERB,"['K', 'AO1', 'L']","['K', 'AO', 'L']",real,3,short
267,head,0.000324,5.51,NOUN,"['HH', 'EH1', 'D']","['HH', 'EH', 'D']",real,3,short
268,men,0.000324,5.51,NOUN,"['M', 'EH1', 'N']","['M', 'EH', 'N']",real,3,short
270,small,0.000324,5.51,ADJ,"['S', 'M', 'AO1', 'L']","['S', 'M', 'AO', 'L']",real,4,short
271,took,0.000324,5.51,VERB,"['T', 'UH1', 'K']","['T', 'UH', 'K']",real,3,short
272,white,0.000324,5.51,ADJ,"['W', 'AY1', 'T']","['W', 'AY', 'T']",real,3,short
273,came,0.000316,5.5,VERB,"['K', 'EY1', 'M']","['K', 'EY', 'M']",real,3,short
274,far,0.000316,5.5,ADV,"['F', 'AA1', 'R']","['F', 'AA', 'R']",real,3,short
275,job,0.000316,5.5,NOUN,"['JH', 'AA1', 'B']","['JH', 'AA', 'B']",real,3,short
276,side,0.000316,5.5,NOUN,"['S', 'AY1', 'D']","['S', 'AY', 'D']",real,3,short
278,try,0.000316,5.5,VERB,"['T', 'R', 'AY1']","['T', 'R', 'AY']",real,3,short
279,went,0.000316,5.5,VERB,"['W', 'EH1', 'N', 'T']","['W', 'EH', 'N', 'T']",real,4,short
280,yes,0.000316,5.5,INTJ,"['Y', 'EH1', 'S']","['Y', 'EH', 'S']",real,3,short
283,later,0.000309,5.49,ADV,"['L', 'EY1', 'T', 'ER0']","['L', 'EY', 'T', 'ER']",real,4,short
284,less,0.000309,5.49,ADJ,"['L', 'EH1', 'S']","['L', 'EH', 'S']",real,3,short
285,line,0.000309,5.49,NOUN,"['L', 'AY1', 'N']","['L', 'AY', 'N']",real,3,short
286,order,0.000309,5.49,NOUN,"['AO1', 'R', 'D', 'ER0']","['AO', 'R', 'D', 'ER']",real,4,short
287,party,0.000309,5.49,NOUN,"['P', 'AA1', 'R', 'T', 'IY0']","['P', 'AA', 'R', 'T', 'IY']",real,5,short
288,run,0.000309,5.49,VERB,"['R', 'AH1', 'N']","['R', 'AH', 'N']",real,3,short
289,says,0.000309,5.49,VERB,"['S', 'EH1', 'Z']","['S', 'EH', 'Z']",real,3,short
290,service,0.000309,5.49,NOUN,"['S', 'ER1', 'V', 'AH0', 'S']","['S', 'ER', 'V', 'AH', 'S']",real,5,short
292,open,0.000302,5.48,VERB,"['OW1', 'P', 'AH0', 'N']","['OW', 'P', 'AH', 'N']",real,4,short
293,season,0.000302,5.48,NOUN,"['S', 'IY1', 'Z', 'AH0', 'N']","['S', 'IY', 'Z', 'AH', 'N']",real,5,short
294,shit,0.000302,5.48,VERB,"['SH', 'IH1', 'T']","['SH', 'IH', 'T']",real,3,short
295,thank,0.000302,5.48,VERB,"['TH', 'AE1', 'NG', 'K']","['TH', 'AE', 'NG', 'K']",real,4,short
299,trying,0.000295,5.47,VERB,"['T', 'R', 'AY1', 'IH0', 'NG']","['T', 'R', 'AY', 'IH', 'NG']",real,5,short
301,using,0.000295,5.47,VERB,"['Y', 'UW1', 'Z', 'IH0', 'NG']","['Y', 'UW', 'Z', 'IH', 'NG']",real,5,short
302,area,0.000288,5.46,NOUN,"['EH1', 'R', 'IY0', 'AH0']","['EH', 'R', 'IY', 'AH']",real,4,short
303,black,0.000288,5.46,ADJ,"['B', 'L', 'AE1', 'K']","['B', 'L', 'AE', 'K']",real,4,short
306,makes,0.000288,5.46,VERB,"['M', 'EY1', 'K', 'S']","['M', 'EY', 'K', 'S']",real,4,short
308,war,0.000288,5.46,NOUN,"['W', 'AO1', 'R']","['W', 'AO', 'R']",real,3,short
309,whole,0.000288,5.46,ADJ,"['HH', 'OW1', 'L']","['HH', 'OW', 'L']",real,3,short
310,car,0.000282,5.45,NOUN,"['K', 'AA1', 'R']","['K', 'AA', 'R']",real,3,short
311,face,0.000282,5.45,VERB,"['F', 'EY1', 'S']","['F', 'EY', 'S']",real,3,short
312,five,0.000282,5.45,NUM,"['F', 'AY1', 'V']","['F', 'AY', 'V']",real,3,short
313,kind,0.000282,5.45,NOUN,"['K', 'AY1', 'N', 'D']","['K', 'AY', 'N', 'D']",real,4,short
314,maybe,0.000282,5.45,ADV,"['M', 'EY1', 'B', 'IY0']","['M', 'EY', 'B', 'IY']",real,4,short
317,story,0.000282,5.45,NOUN,"['S', 'T', 'AO1', 'R', 'IY0']","['S', 'T', 'AO', 'R', 'IY']",real,5,short
318,working,0.000282,5.45,VERB,"['W', 'ER1', 'K', 'IH0', 'NG']","['W', 'ER', 'K', 'IH', 'NG']",real,5,short
319,course,0.000275,5.44,NOUN,"['K', 'AO1', 'R', 'S']","['K', 'AO', 'R', 'S']",real,4,short
320,games,0.000275,5.44,NOUN,"['G', 'EY1', 'M', 'Z']","['G', 'EY', 'M', 'Z']",real,4,short
321,health,0.000275,5.44,NOUN,"['HH', 'EH1', 'L', 'TH']","['HH', 'EH', 'L', 'TH']",real,4,short
322,hope,0.000275,5.44,VERB,"['HH', 'OW1', 'P']","['HH', 'OW', 'P']",real,3,short
324,least,0.000275,5.44,ADJ,"['L', 'IY1', 'S', 'T']","['L', 'IY', 'S', 'T']",real,4,short
325,means,0.000275,5.44,VERB,"['M', 'IY1', 'N', 'Z']","['M', 'IY', 'N', 'Z']",real,4,short
326,news,0.000275,5.44,NOUN,"['N', 'UW1', 'Z']","['N', 'UW', 'Z']",real,3,short
327,within,0.000275,5.44,ADP,"['W', 'IH0', 'DH', 'IH1', 'N']","['W', 'IH', 'DH', 'IH', 'N']",real,5,short
