,Word,Size,Length,Frequency,Zipf Frequency,Morphology,Lexicality,Part of Speech,Phonemes,No Stress,Condition
195,colocaust,long,9,,,simple,pseudo,,"['K', 'OW1', 'L', 'K', 'AH0', 'S', 'AA2', 'T', 'S']","['K', 'OW', 'L', 'K', 'AH', 'S', 'AA', 'T', 'S']",PLS
68,muspital,long,9,,,simple,pseudo,,"['M', 'AH1', 'S', 'P', 'T', 'IH0', 'T', 'AH0', 'L']","['M', 'AH', 'S', 'P', 'T', 'IH', 'T', 'AH', 'L']",PLS
112,balentina,long,9,,,simple,pseudo,,"['B', 'AA0', 'L', 'EH0', 'N', 'T', 'IY1', 'N', 'AH0']","['B', 'AA', 'L', 'EH', 'N', 'T', 'IY', 'N', 'AH']",PLS
129,coallency,long,9,,,simple,pseudo,,"['K', 'OW0', 'AA1', 'L', 'N', 'AH0', 'S', 'N', 'IY0']","['K', 'OW', 'AA', 'L', 'N', 'AH', 'S', 'N', 'IY']",PLS
5383,websident,long,9,,,simple,,,"['W', 'EH1', 'B', 'S', 'IH0', 'D', 'AH0', 'N', 'T']","['W', 'EH', 'B', 'S', 'IH', 'D', 'AH', 'N', 'T']",PLS
5766,anclusent,long,9,,,simple,,,"['AE1', 'N', 'K', 'L', 'UW0', 'S', 'EH2', 'N', 'T']","['AE', 'N', 'K', 'L', 'UW', 'S', 'EH', 'N', 'T']",PLS
6030,divestrate,long,9,,,simple,,,"['D', 'IH1', 'V', 'EH0', 'S', 'T', 'R', 'EY2', 'T']","['D', 'IH', 'V', 'EH', 'S', 'T', 'R', 'EY', 'T']",PLS
6066,morestmen,long,9,,,simple,,,"['M', 'OW1', 'R', 'EH0', 'S', 'T', 'M', 'EH', 'N']","['M', 'OW', 'R', 'EH', 'S', 'T', 'M', 'EH', 'N']",PLS
5964,gostrient,long,9,,,simple,,,"['G', 'AA1', 'S', 'T', 'R', 'IY0', 'EH0', 'N', 'T']","['G', 'AA', 'S', 'T', 'R', 'IY', 'EH', 'N', 'T']",PLS
6168,reasoduct,long,9,,,simple,,,"['R', 'IY2', 'AH0', 'S', 'OW1', 'D', 'AH0', 'K', 'T']","['R', 'IY', 'AH', 'S', 'OW', 'D', 'AH', 'K', 'T']",PLS
6188,manutifile,long,9,,,simple,,,"['M', 'AH0', 'N', 'UW1', 'T', 'IH0', 'F', 'AY2', 'L']","['M', 'AH', 'N', 'UW', 'T', 'IH', 'F', 'AY', 'L']",PLS
6258,everialis,long,9,,,simple,,,"['EH0', 'V', 'ER1', 'R', 'IY0', 'AH0', 'L', 'IH0', 'S']","['EH', 'V', 'ER', 'R', 'IY', 'AH', 'L', 'IH', 'S']",PLS
6292,reterstary,long,9,,,simple,,,"['R', 'IH0', 'T', 'ER1', 'S', 'T', 'ER0', 'R', 'IY0']","['R', 'IH', 'T', 'ER', 'S', 'T', 'ER', 'R', 'IY']",PLS
6294,livinisal,long,9,,,simple,,,"['L', 'IH1', 'V', 'IH0', 'N', 'IH0', 'S', 'AH0', 'L']","['L', 'IH', 'V', 'IH', 'N', 'IH', 'S', 'AH', 'L']",PLS
6386,islaterdine,long,9,,,simple,,,"['IH0', 'S', 'L', 'AA1', 'T', 'ER0', 'D', 'AY0', 'N']","['IH', 'S', 'L', 'AA', 'T', 'ER', 'D', 'AY', 'N']",PLS
6461,bechnitely,long,9,,,simple,,,"['B', 'EH1', 'K', 'N', 'IH0', 'T', 'EH2', 'L', 'IY0']","['B', 'EH', 'K', 'N', 'IH', 'T', 'EH', 'L', 'IY']",PLS
6476,inflegest,long,9,,,simple,,,"['IH1', 'N', 'F', 'L', 'AH0', 'JH', 'EH0', 'S', 'T']","['IH', 'N', 'F', 'L', 'AH', 'JH', 'EH', 'S', 'T']",PLS
6504,vistormand,long,9,,,simple,,,"['V', 'IH1', 'S', 'T', 'ER0', 'M', 'AE2', 'N', 'D']","['V', 'IH', 'S', 'T', 'ER', 'M', 'AE', 'N', 'D']",PLS
6566,epirental,long,9,,,simple,,,"['EH0', 'P', 'IH0', 'R', 'EH1', 'N', 'T', 'AH0', 'L']","['EH', 'P', 'IH', 'R', 'EH', 'N', 'T', 'AH', 'L']",PLS
6691,stogriture,long,9,,,simple,,,"['S', 'T', 'OW1', 'G', 'R', 'IH0', 'CH', 'ER0', 'IY0']","['S', 'T', 'OW', 'G', 'R', 'IH', 'CH', 'ER', 'IY']",PLS
6730,storstent,long,9,,,simple,,,"['S', 'T', 'AO1', 'R', 'S', 'T', 'AH0', 'N', 'T']","['S', 'T', 'AO', 'R', 'S', 'T', 'AH', 'N', 'T']",PLS
7359,athorkimmel,long,9,,,simple,,,"['AH0', 'TH', 'AO1', 'R', 'K', 'IH1', 'M', 'AH0', 'L']","['AH', 'TH', 'AO', 'R', 'K', 'IH', 'M', 'AH', 'L']",PLS
7393,acoubliance,long,9,,,simple,,,"['AH0', 'K', 'UW1', 'B', 'L', 'IY0', 'AH0', 'N', 'S']","['AH', 'K', 'UW', 'B', 'L', 'IY', 'AH', 'N', 'S']",PLS
7137,spirument,long,9,,,simple,,,"['S', 'P', 'IH1', 'R', 'AH0', 'M', 'AH0', 'N', 'T']","['S', 'P', 'IH', 'R', 'AH', 'M', 'AH', 'N', 'T']",PLS
7042,swinguence,long,9,,,simple,,,"['S', 'W', 'IH1', 'NG', 'G', 'W', 'EH1', 'N', 'S']","['S', 'W', 'IH', 'NG', 'G', 'W', 'EH', 'N', 'S']",PLS
7179,solocomov,long,9,,,simple,,,"['S', 'OW0', 'L', 'OW1', 'K', 'AH0', 'M', 'AO0', 'F']","['S', 'OW', 'L', 'OW', 'K', 'AH', 'M', 'AO', 'F']",PLS
7606,notencest,long,9,,,simple,,,"['N', 'OW1', 'T', 'AH0', 'N', 'S', 'AH0', 'S', 'T']","['N', 'OW', 'T', 'AH', 'N', 'S', 'AH', 'S', 'T']",PLS
7993,speryborm,long,9,,,simple,,,"['S', 'P', 'EH1', 'R', 'IY0', 'B', 'AO2', 'R', 'M']","['S', 'P', 'EH', 'R', 'IY', 'B', 'AO', 'R', 'M']",PLS
8078,strusanad,long,9,,,simple,,,"['S', 'T', 'R', 'UW1', 'S', 'AH0', 'N', 'AH0', 'D']","['S', 'T', 'R', 'UW', 'S', 'AH', 'N', 'AH', 'D']",PLS
8091,shantessarai,long,9,,,simple,,,"['SH', 'AE0', 'N', 'T', 'AH1', 'S', 'EH0', 'R', 'AY0']","['SH', 'AE', 'N', 'T', 'AH', 'S', 'EH', 'R', 'AY']",PLS
8925,lupolanum,long,9,,,simple,,,"['N', 'UW0', 'P', 'OW1', 'L', 'AA0', 'N', 'AH0', 'M']","['N', 'UW', 'P', 'OW', 'L', 'AA', 'N', 'AH', 'M']",PLS
8377,foldomence,long,9,,,simple,,,"['F', 'OW1', 'L', 'D', 'AA0', 'M', 'AH0', 'N', 'S']","['F', 'OW', 'L', 'D', 'AA', 'M', 'AH', 'N', 'S']",PLS
8497,alrelopal,long,9,,,simple,,,"['AE2', 'L', 'R', 'EH0', 'L', 'AA1', 'P', 'AH0', 'L']","['AE', 'L', 'R', 'EH', 'L', 'AA', 'P', 'AH', 'L']",PLS
8836,sigrusachy,long,9,,,simple,,,"['S', 'IY1', 'G', 'R', 'UW0', 'S', 'AH1', 'CH', 'IY0']","['S', 'IY', 'G', 'R', 'UW', 'S', 'AH', 'CH', 'IY']",PLS
9310,diuralim,long,9,,,simple,,,"['D', 'AY0', 'Y', 'UH1', 'R', 'AH0', 'L', 'AH0', 'M']","['D', 'AY', 'Y', 'UH', 'R', 'AH', 'L', 'AH', 'M']",PLS
9489,squistant,long,9,,,simple,,,"['S', 'K', 'W', 'IH1', 'S', 'T', 'AH0', 'N', 'T']","['S', 'K', 'W', 'IH', 'S', 'T', 'AH', 'N', 'T']",PLS
9875,cladwicheet,long,9,,,simple,,,"['K', 'L', 'AE1', 'D', 'W', 'IH0', 'CH', 'IY2', 'T']","['K', 'L', 'AE', 'D', 'W', 'IH', 'CH', 'IY', 'T']",PLS
6668,trynkabel,long,9,,,simple,,,"['T', 'R', 'IH1', 'N', 'K', 'AH0', 'B', 'EH0', 'L']","['T', 'R', 'IH', 'N', 'K', 'AH', 'B', 'EH', 'L']",PLS
6724,honofecine,long,9,,,simple,,,"['HH', 'OW0', 'N', 'OW1', 'F', 'AH0', 'S', 'IY2', 'N']","['HH', 'OW', 'N', 'OW', 'F', 'AH', 'S', 'IY', 'N']",PLS
6943,pedransfer,long,9,,,simple,,,"['P', 'EH0', 'D', 'R', 'AE1', 'N', 'S', 'F', 'ER0']","['P', 'EH', 'D', 'R', 'AE', 'N', 'S', 'F', 'ER']",PLS
