,Word,Phonemes,No Stress,Length,Morphology,Condition,Size
6106,sertratin,"['S', 'ER1', 'T', 'R', 'AH0', 'T', 'AH0', 'N']","['S', 'ER', 'T', 'R', 'AH', 'T', 'AH', 'N']",8,simple,PLS,long
6330,fregilis,"['F', 'R', 'EH0', 'JH', 'IH1', 'L', 'IH0', 'S']","['F', 'R', 'EH', 'JH', 'IH', 'L', 'IH', 'S']",8,simple,PLS,long
6351,lonflity,"['L', 'AA1', 'N', 'F', 'L', 'IH2', 'T', 'IY0']","['L', 'AA', 'N', 'F', 'L', 'IH', 'T', 'IY']",8,simple,PLS,long
6435,happonory,"['HH', 'AE1', 'P', 'AH0', 'N', 'AO2', 'R', 'IY0']","['HH', 'AE', 'P', 'AH', 'N', 'AO', 'R', 'IY']",8,simple,PLS,long
6447,pourcrary,"['P', 'UH1', 'R', 'K', 'R', 'EH2', 'R', 'IY0']","['P', 'UH', 'R', 'K', 'R', 'EH', 'R', 'IY']",8,simple,PLS,long
6612,pashibled,"['P', 'AE1', 'SH', 'AH0', 'B', 'AH0', 'L', 'D']","['P', 'AE', 'SH', 'AH', 'B', 'AH', 'L', 'D']",8,simple,PLS,long
6683,mastrence,"['M', 'AE1', 'S', 'T', 'R', 'AH0', 'N', 'S']","['M', 'AE', 'S', 'T', 'R', 'AH', 'N', 'S']",8,simple,PLS,long
6772,pollinally,"['P', 'AA1', 'L', 'AH0', 'N', 'AH0', 'L', 'IY0']","['P', 'AA', 'L', 'AH', 'N', 'AH', 'L', 'IY']",8,simple,PLS,long
6807,sponzent,"['S', 'P', 'AA1', 'N', 'Z', 'AH0', 'N', 'T']","['S', 'P', 'AA', 'N', 'Z', 'AH', 'N', 'T']",8,simple,PLS,long
6845,cassibure,"['K', 'AE1', 'S', 'IH0', 'B', 'Y', 'UW2', 'R']","['K', 'AE', 'S', 'IH', 'B', 'Y', 'UW', 'R']",8,simple,PLS,long
6952,trefflont,"['T', 'R', 'EH1', 'F', 'L', 'AH0', 'N', 'T']","['T', 'R', 'EH', 'F', 'L', 'AH', 'N', 'T']",8,simple,PLS,long
7103,turforia,"['T', 'UH0', 'R', 'F', 'AO1', 'R', 'IY0', 'AH0']","['T', 'UH', 'R', 'F', 'AO', 'R', 'IY', 'AH']",8,simple,PLS,long
7288,senversan,"['S', 'EH1', 'N', 'V', 'ER0', 'S', 'AH0', 'N']","['S', 'EH', 'N', 'V', 'ER', 'S', 'AH', 'N']",8,simple,PLS,long
7678,sennicant,"['S', 'EH1', 'N', 'IH0', 'K', 'AH0', 'N', 'T']","['S', 'EH', 'N', 'IH', 'K', 'AH', 'N', 'T']",8,simple,PLS,long
7699,thaninent,"['TH', 'AE1', 'N', 'IH0', 'N', 'AH0', 'N', 'T']","['TH', 'AE', 'N', 'IH', 'N', 'AH', 'N', 'T']",8,simple,PLS,long
7728,marbabus,"['M', 'AA1', 'R', 'B', 'AH0', 'B', 'AH0', 'S']","['M', 'AA', 'R', 'B', 'AH', 'B', 'AH', 'S']",8,simple,PLS,long
8111,vioxida,"['V', 'IY0', 'OW1', 'K', 'S', 'IH0', 'D', 'AH0']","['V', 'IY', 'OW', 'K', 'S', 'IH', 'D', 'AH']",8,simple,PLS,long
8900,stropent,"['S', 'T', 'R', 'OW1', 'P', 'AH0', 'N', 'T']","['S', 'T', 'R', 'OW', 'P', 'AH', 'N', 'T']",8,simple,PLS,long
9826,haptonos,"['HH', 'AE1', 'P', 'T', 'OW0', 'N', 'OW2', 'Z']","['HH', 'AE', 'P', 'T', 'OW', 'N', 'OW', 'Z']",8,simple,PLS,long
9835,fillialis,"['F', 'IH0', 'L', 'AY1', 'AH0', 'L', 'AH0', 'S']","['F', 'IH', 'L', 'AY', 'AH', 'L', 'AH', 'S']",8,simple,PLS,long
9862,havolviss,"['HH', 'AE1', 'V', 'AH0', 'L', 'V', 'IH0', 'S']","['HH', 'AE', 'V', 'AH', 'L', 'V', 'IH', 'S']",8,simple,PLS,long
9498,gosidend,"['G', 'AA1', 'S', 'IH0', 'D', 'AH0', 'N', 'D']","['G', 'AA', 'S', 'IH', 'D', 'AH', 'N', 'D']",8,simple,PLS,long
8665,comilary,"['K', 'AA1', 'M', 'AH0', 'L', 'EH2', 'R', 'IY0']","['K', 'AA', 'M', 'AH', 'L', 'EH', 'R', 'IY']",8,simple,PLS,long
8465,advioneys,"['AE0', 'D', 'V', 'IY1', 'OW0', 'N', 'IY0', 'Z']","['AE', 'D', 'V', 'IY', 'OW', 'N', 'IY', 'Z']",8,simple,PLS,long
8203,anximath,"['AE0', 'NG', 'K', 'S', 'IH1', 'M', 'AH0', 'TH']","['AE', 'NG', 'K', 'S', 'IH', 'M', 'AH', 'TH']",8,simple,PLS,long
