,Word,Size,Length,Frequency,Zipf Frequency,Morphology,Lexicality,Part of Speech,Phonemes,No Stress,Condition
4949,puzuking,long,9,,,complex,,,"['P', 'Y', 'UW1', 'Z', 'K', 'IH0', 'V', 'IH0', 'NG']","['P', 'Y', 'UW', 'Z', 'K', 'IH', 'V', 'IH', 'NG']",PLC
5194,traplable,long,9,,,complex,,,"['T', 'R', 'AE1', 'P', 'L', 'AH0', 'B', 'AH0', 'L']","['T', 'R', 'AE', 'P', 'L', 'AH', 'B', 'AH', 'L']",PLC
5285,coliciely,long,9,,,complex,,,"['K', 'AH0', 'L', 'IH1', 'S', 'IY0', 'AH0', 'L', 'IY0']","['K', 'AH', 'L', 'IH', 'S', 'IY', 'AH', 'L', 'IY']",PLC
5315,killogism,long,9,,,complex,,,"['K', 'IH1', 'L', 'OW0', 'G', 'IH2', 'Z', 'AH0', 'M']","['K', 'IH', 'L', 'OW', 'G', 'IH', 'Z', 'AH', 'M']",PLC
5403,advelatine,long,9,,,complex,,,"['AE0', 'D', 'V', 'EH1', 'L', 'AH0', 'T', 'IY0', 'N']","['AE', 'D', 'V', 'EH', 'L', 'AH', 'T', 'IY', 'N']",PLC
5425,exclural,long,9,,,complex,,,"['EH1', 'K', 'S', 'K', 'L', 'UH1', 'R', 'AA0', 'L']","['EH', 'K', 'S', 'K', 'L', 'UH', 'R', 'AA', 'L']",PLC
5762,episident,long,9,,,complex,,,"['EH0', 'P', 'IH1', 'S', 'IH0', 'D', 'EH0', 'N', 'T']","['EH', 'P', 'IH', 'S', 'IH', 'D', 'EH', 'N', 'T']",PLC
5890,awarliant,long,9,,,complex,,,"['AH0', 'W', 'AO1', 'R', 'L', 'IY0', 'AE0', 'N', 'T']","['AH', 'W', 'AO', 'R', 'L', 'IY', 'AE', 'N', 'T']",PLC
5995,artimation,long,9,,,complex,,,"['AA0', 'R', 'T', 'IH0', 'M', 'EY1', 'SH', 'AH0', 'N']","['AA', 'R', 'T', 'IH', 'M', 'EY', 'SH', 'AH', 'N']",PLC
6000,unfornity,long,9,,,complex,,,"['AH0', 'N', 'F', 'AO1', 'R', 'N', 'IH0', 'T', 'IY0']","['AH', 'N', 'F', 'AO', 'R', 'N', 'IH', 'T', 'IY']",PLC
6273,invoribute,long,9,,,complex,,,"['IH0', 'N', 'V', 'AO1', 'R', 'AH0', 'B', 'AH0', 'T']","['IH', 'N', 'V', 'AO', 'R', 'AH', 'B', 'AH', 'T']",PLC
6444,nomparated,long,9,,,complex,,,"['N', 'AA1', 'M', 'P', 'ER0', 'EY2', 'T', 'IH0', 'D']","['N', 'AA', 'M', 'P', 'ER', 'EY', 'T', 'IH', 'D']",PLC
6445,becyclence,long,9,,,complex,,,"['B', 'EH1', 'S', 'IH0', 'K', 'L', 'EH0', 'N', 'S']","['B', 'EH', 'S', 'IH', 'K', 'L', 'EH', 'N', 'S']",PLC
6516,countriand,long,9,,,complex,,,"['K', 'AA1', 'N', 'T', 'R', 'IY0', 'AH0', 'N', 'D']","['K', 'AA', 'N', 'T', 'R', 'IY', 'AH', 'N', 'D']",PLC
6559,wakersatin,long,9,,,complex,,,"['W', 'EY1', 'K', 'ER0', 'S', 'AE2', 'T', 'IH0', 'N']","['W', 'EY', 'K', 'ER', 'S', 'AE', 'T', 'IH', 'N']",PLC
6560,nonguardout,long,9,,,complex,,,"['N', 'AO1', 'N', 'G', 'AA2', 'R', 'D', 'AW0', 'T']","['N', 'AO', 'N', 'G', 'AA', 'R', 'D', 'AW', 'T']",PLC
6539,margestion,long,9,,,complex,,,"['M', 'AA0', 'R', 'JH', 'EH1', 'S', 'CH', 'AH0', 'N']","['M', 'AA', 'R', 'JH', 'EH', 'S', 'CH', 'AH', 'N']",PLC
6576,tradinties,long,9,,,complex,,,"['T', 'R', 'AE1', 'D', 'AH0', 'N', 'T', 'IY0', 'Z']","['T', 'R', 'AE', 'D', 'AH', 'N', 'T', 'IY', 'Z']",PLC
6598,apremittal,long,9,,,complex,,,"['AH0', 'P', 'R', 'EH0', 'M', 'IH1', 'T', 'AA0', 'L']","['AH', 'P', 'R', 'EH', 'M', 'IH', 'T', 'AA', 'L']",PLC
6601,havivited,long,9,,,complex,,,"['HH', 'AE1', 'V', 'AH0', 'V', 'EY2', 'T', 'IH0', 'D']","['HH', 'AE', 'V', 'AH', 'V', 'EY', 'T', 'IH', 'D']",PLC
6602,vesernated,long,9,,,complex,,,"['V', 'EH1', 'S', 'ER0', 'N', 'EY2', 'T', 'IH0', 'D']","['V', 'EH', 'S', 'ER', 'N', 'EY', 'T', 'IH', 'D']",PLC
6635,polidologue,long,9,,,complex,,,"['P', 'AA2', 'L', 'IY0', 'D', 'AA1', 'L', 'AA0', 'G']","['P', 'AA', 'L', 'IY', 'D', 'AA', 'L', 'AA', 'G']",PLC
6720,wontifics,long,9,,,complex,,,"['W', 'AH0', 'N', 'T', 'IH1', 'F', 'IH0', 'K', 'S']","['W', 'AH', 'N', 'T', 'IH', 'F', 'IH', 'K', 'S']",PLC
6779,repotation,long,9,,,complex,,,"['R', 'EH0', 'P', 'AH0', 'T', 'EY1', 'SH', 'AH0', 'N']","['R', 'EH', 'P', 'AH', 'T', 'EY', 'SH', 'AH', 'N']",PLC
6696,didamplate,long,9,,,complex,,,"['D', 'IH1', 'D', 'AH0', 'M', 'P', 'L', 'EY2', 'T']","['D', 'IH', 'D', 'AH', 'M', 'P', 'L', 'EY', 'T']",PLC
6930,pacrineous,long,9,,,complex,,,"['P', 'AE1', 'K', 'R', 'IH0', 'N', 'IY0', 'AH0', 'S']","['P', 'AE', 'K', 'R', 'IH', 'N', 'IY', 'AH', 'S']",PLC
7068,explific,long,9,,,complex,,,"['EH0', 'K', 'S', 'P', 'L', 'IH1', 'F', 'IH0', 'K']","['EH', 'K', 'S', 'P', 'L', 'IH', 'F', 'IH', 'K']",PLC
7435,winyufact,long,9,,,complex,,,"['W', 'IH1', 'N', 'Y', 'UW0', 'F', 'AE2', 'K', 'T']","['W', 'IH', 'N', 'Y', 'UW', 'F', 'AE', 'K', 'T']",PLC
7168,farsessful,long,9,,,complex,,,"['F', 'AA0', 'R', 'S', 'EH0', 'S', 'F', 'AH0', 'L']","['F', 'AA', 'R', 'S', 'EH', 'S', 'F', 'AH', 'L']",PLC
7105,deliaumnal,long,9,,,complex,,,"['D', 'EH1', 'L', 'IY0', 'AH0', 'M', 'N', 'AH0', 'L']","['D', 'EH', 'L', 'IY', 'AH', 'M', 'N', 'AH', 'L']",PLC
7214,ownestrand,long,9,,,complex,,,"['OW1', 'N', 'AH0', 'S', 'T', 'R', 'AE2', 'N', 'D']","['OW', 'N', 'AH', 'S', 'T', 'R', 'AE', 'N', 'D']",PLC
7240,cronthicate,long,9,,,complex,,,"['K', 'R', 'AA1', 'N', 'TH', 'AH0', 'K', 'EY2', 'T']","['K', 'R', 'AA', 'N', 'TH', 'AH', 'K', 'EY', 'T']",PLC
7493,botinsled,long,9,,,complex,,,"['B', 'OW1', 'T', 'IH0', 'N', 'S', 'L', 'EH2', 'D']","['B', 'OW', 'T', 'IH', 'N', 'S', 'L', 'EH', 'D']",PLC
7593,entiquary,long,9,,,complex,,,"['EH0', 'N', 'T', 'IH1', 'K', 'W', 'AA2', 'R', 'IY0']","['EH', 'N', 'T', 'IH', 'K', 'W', 'AA', 'R', 'IY']",PLC
5301,aladquary,long,9,,,complex,,,"['AE0', 'L', 'AH1', 'D', 'K', 'W', 'AO0', 'R', 'EY0']","['AE', 'L', 'AH', 'D', 'K', 'W', 'AO', 'R', 'EY']",PLC
7638,recausible,long,9,,,complex,,,"['R', 'IY2', 'K', 'AH0', 'Z', 'AY1', 'B', 'AH0', 'L']","['R', 'IY', 'K', 'AH', 'Z', 'AY', 'B', 'AH', 'L']",PLC
8609,poildration,long,9,,,complex,,,"['P', 'OY1', 'L', 'D', 'R', 'EY2', 'SH', 'AH0', 'N']","['P', 'OY', 'L', 'D', 'R', 'EY', 'SH', 'AH', 'N']",PLC
