,Word,Frequency,Zipf Frequency,Part of Speech,Phonemes
46,has,0.00234,6.37,VERB,"['HH', 'AE1', 'Z']"
47,when,0.00234,6.37,SCONJ,"['W', 'EH1', 'N']"
48,more,0.00229,6.36,ADJ,"['M', 'AO1', 'R']"
49,do,0.00224,6.35,VERB,"['D', 'UW1']"
50,no,0.00224,6.35,PRON,"['N', 'OW1']"
51,were,0.00219,6.34,AUX,"['W', 'ER0']"
52,who,0.00219,6.34,PRON,"['HH', 'UW1']"
53,had,0.00214,6.33,VERB,"['HH', 'AE1', 'D']"
54,their,0.00214,6.33,PRON,"['DH', 'EH1', 'R']"
55,there,0.00204,6.31,PRON,"['DH', 'EH1', 'R']"
56,her,0.002,6.3,PRON,"['HH', 'ER0']"
57,which,0.002,6.3,PRON,"['W', 'IH1', 'CH']"
58,time,0.00195,6.29,NOUN,"['T', 'AY1', 'M']"
59,get,0.00191,6.28,VERB,"['G', 'EH1', 'T']"
60,been,0.00186,6.27,AUX,"['B', 'IH1', 'N']"
61,would,0.00186,6.27,AUX,"['W', 'UH1', 'D']"
62,she,0.00182,6.26,PRON,"['SH', 'IY1']"
63,new,0.00178,6.25,ADJ,"['N', 'UW1']"
64,people,0.00178,6.25,NOUN,"['P', 'IY1', 'P', 'AH0', 'L']"
65,how,0.00174,6.24,SCONJ,"['HH', 'AW1']"
66,some,0.00158,6.2,PRON,"['S', 'AH1', 'M']"
67,also,0.00155,6.19,ADV,"['AO1', 'L', 'S', 'OW0']"
68,them,0.00155,6.19,PRON,"['DH', 'EH1', 'M']"
69,now,0.00151,6.18,ADV,"['N', 'AW1']"
70,other,0.00145,6.16,ADJ,"['AH1', 'DH', 'ER0']"
71,its,0.00138,6.14,PRON,"['IH1', 'T', 'S']"
72,our,0.00138,6.14,PRON,"['AW1', 'ER0']"
73,than,0.00135,6.13,ADP,"['DH', 'AE1', 'N']"
74,good,0.00132,6.12,ADJ,"['G', 'UH1', 'D']"
75,only,0.00132,6.12,ADV,"['OW1', 'N', 'L', 'IY0']"
76,after,0.00129,6.11,ADP,"['AE1', 'F', 'T', 'ER0']"
77,first,0.00129,6.11,ADV,"['F', 'ER1', 'S', 'T']"
78,him,0.00129,6.11,PRON,"['HH', 'IH1', 'M']"
79,into,0.00129,6.11,ADP,"['IH0', 'N', 'T', 'UW1']"
80,know,0.00126,6.1,VERB,"['N', 'OW1']"
81,see,0.00126,6.1,VERB,"['S', 'IY1']"
82,two,0.00126,6.1,NUM,"['T', 'UW1']"
83,make,0.0012,6.08,VERB,"['M', 'EY1', 'K']"
84,over,0.0012,6.08,ADP,"['OW1', 'V', 'ER0']"
85,think,0.0012,6.08,VERB,"['TH', 'IH1', 'NG', 'K']"
86,any,0.00117,6.07,PRON,"['EH1', 'N', 'IY0']"
87,then,0.00117,6.07,ADV,"['DH', 'EH1', 'N']"
88,could,0.00115,6.06,AUX,"['K', 'UH1', 'D']"
89,back,0.0011,6.04,ADV,"['B', 'AE1', 'K']"
90,these,0.0011,6.04,PRON,"['DH', 'IY1', 'Z']"
91,us,0.0011,6.04,PRON,"['AH1', 'S']"
92,want,0.0011,6.04,VERB,"['W', 'AA1', 'N', 'T']"
93,because,0.00107,6.03,SCONJ,"['B', 'IH0', 'K', 'AO1', 'Z']"
94,go,0.00107,6.03,VERB,"['G', 'OW1']"
95,well,0.00107,6.03,ADV,"['W', 'EH1', 'L']"
96,said,0.00102,6.01,VERB,"['S', 'EH1', 'D']"
97,way,0.00102,6.01,NOUN,"['W', 'EY1']"
98,most,0.001,6.0,ADJ,"['M', 'OW1', 'S', 'T']"
99,much,0.001,6.0,ADJ,"['M', 'AH1', 'CH']"
100,very,0.001,6.0,ADV,"['V', 'EH1', 'R', 'IY0']"
101,where,0.001,6.0,SCONJ,"['W', 'EH1', 'R']"
102,even,0.000977,5.99,ADV,"['IY1', 'V', 'IH0', 'N']"
103,should,0.000977,5.99,AUX,"['SH', 'UH1', 'D']"
104,may,0.000955,5.98,AUX,"['M', 'EY1']"
105,here,0.000933,5.97,ADV,"['HH', 'IY1', 'R']"
106,need,0.000933,5.97,VERB,"['N', 'IY1', 'D']"
107,really,0.000933,5.97,ADV,"['R', 'IH1', 'L', 'IY0']"
108,did,0.000912,5.96,VERB,"['D', 'IH1', 'D']"
109,right,0.000912,5.96,INTJ,"['R', 'AY1', 'T']"
110,work,0.000912,5.96,VERB,"['W', 'ER1', 'K']"
111,year,0.000912,5.96,NOUN,"['Y', 'IH1', 'R']"
112,years,0.000912,5.96,NOUN,"['Y', 'IH1', 'R', 'Z']"
113,being,0.000891,5.95,AUX,"['B', 'IY1', 'IH0', 'NG']"
114,day,0.000891,5.95,NOUN,"['D', 'EY1']"
115,too,0.000891,5.95,ADV,"['T', 'UW1']"
116,going,0.000871,5.94,VERB,"['G', 'OW1', 'IH0', 'NG']"
117,before,0.000851,5.93,ADP,"['B', 'IH0', 'F', 'AO1', 'R']"
118,off,0.000851,5.93,ADV,"['AO1', 'F']"
119,why,0.000851,5.93,SCONJ,"['W', 'AY1']"
120,made,0.000832,5.92,VERB,"['M', 'EY1', 'D']"
121,still,0.000832,5.92,ADV,"['S', 'T', 'IH1', 'L']"
122,take,0.000832,5.92,VERB,"['T', 'EY1', 'K']"
123,got,0.000813,5.91,VERB,"['G', 'AA1', 'T']"
124,many,0.000813,5.91,ADJ,"['M', 'EH1', 'N', 'IY0']"
125,never,0.000813,5.91,ADV,"['N', 'EH1', 'V', 'ER0']"
126,those,0.000794,5.9,PRON,"['DH', 'OW1', 'Z']"
127,life,0.000776,5.89,NOUN,"['L', 'AY1', 'F']"
128,say,0.000776,5.89,VERB,"['S', 'EY1']"
129,world,0.000776,5.89,NOUN,"['W', 'ER1', 'L', 'D']"
130,down,0.000759,5.88,ADV,"['D', 'AW1', 'N']"
131,great,0.000759,5.88,ADJ,"['G', 'R', 'EY1', 'T']"
132,through,0.000741,5.87,ADP,"['TH', 'R', 'UW1']"
133,last,0.000724,5.86,ADJ,"['L', 'AE1', 'S', 'T']"
134,while,0.000724,5.86,SCONJ,"['W', 'AY1', 'L']"
135,best,0.000692,5.84,ADJ,"['B', 'EH1', 'S', 'T']"
136,such,0.000692,5.84,ADJ,"['S', 'AH1', 'CH']"
137,love,0.000661,5.82,VERB,"['L', 'AH1', 'V']"
138,man,0.000661,5.82,NOUN,"['M', 'AE1', 'N']"
139,home,0.000646,5.81,NOUN,"['HH', 'OW1', 'M']"
140,long,0.000646,5.81,ADV,"['L', 'AO1', 'NG']"
141,look,0.000646,5.81,VERB,"['L', 'UH1', 'K']"
142,something,0.000646,5.81,PRON,"['S', 'AH1', 'M', 'TH', 'IH0', 'NG']"
143,use,0.000646,5.81,VERB,"['Y', 'UW1', 'S']"
144,same,0.000631,5.8,ADJ,"['S', 'EY1', 'M']"
145,used,0.000631,5.8,VERB,"['Y', 'UW1', 'Z', 'D']"
146,both,0.000617,5.79,CCONJ,"['B', 'OW1', 'TH']"
147,every,0.000617,5.79,PRON,"['EH1', 'V', 'ER0', 'IY0']"
148,am,0.000603,5.78,AUX,"['AE1', 'M']"
149,come,0.000603,5.78,VERB,"['K', 'AH1', 'M']"
150,part,0.000603,5.78,NOUN,"['P', 'AA1', 'R', 'T']"
151,state,0.000603,5.78,NOUN,"['S', 'T', 'EY1', 'T']"
152,three,0.000603,5.78,NUM,"['TH', 'R', 'IY1']"
153,around,0.000589,5.77,ADV,"['ER0', 'AW1', 'N', 'D']"
154,between,0.000589,5.77,ADP,"['B', 'IH0', 'T', 'W', 'IY1', 'N']"
155,always,0.000575,5.76,ADV,"['AO1', 'L', 'W', 'EY2', 'Z']"
156,better,0.000575,5.76,ADJ,"['B', 'EH1', 'T', 'ER0']"
157,find,0.000575,5.76,VERB,"['F', 'AY1', 'N', 'D']"
158,help,0.000562,5.75,VERB,"['HH', 'EH1', 'L', 'P']"
159,high,0.000562,5.75,ADJ,"['HH', 'AY1']"
160,little,0.000562,5.75,ADJ,"['L', 'IH1', 'T', 'AH0', 'L']"
161,old,0.000562,5.75,ADJ,"['OW1', 'L', 'D']"
162,since,0.000562,5.75,SCONJ,"['S', 'IH1', 'N', 'S']"
163,another,0.00055,5.74,PRON,"['AH0', 'N', 'AH1', 'DH', 'ER0']"
164,does,0.00055,5.74,VERB,"['D', 'AH1', 'Z']"
165,own,0.00055,5.74,VERB,"['OW1', 'N']"
166,things,0.00055,5.74,NOUN,"['TH', 'IH1', 'NG', 'Z']"
167,under,0.000537,5.73,ADP,"['AH1', 'N', 'D', 'ER0']"
168,during,0.000525,5.72,ADP,"['D', 'UH1', 'R', 'IH0', 'NG']"
169,game,0.000525,5.72,NOUN,"['G', 'EY1', 'M']"
170,thing,0.000525,5.72,NOUN,"['TH', 'IH1', 'NG']"
171,give,0.000513,5.71,VERB,"['G', 'IH1', 'V']"
172,house,0.000513,5.71,PROPN,"['HH', 'AW1', 'S']"
173,place,0.000513,5.71,NOUN,"['P', 'L', 'EY1', 'S']"
174,school,0.000513,5.71,NOUN,"['S', 'K', 'UW1', 'L']"
175,again,0.000501,5.7,ADV,"['AH0', 'G', 'EH1', 'N']"
176,next,0.000501,5.7,ADJ,"['N', 'EH1', 'K', 'S', 'T']"
177,each,0.00049,5.69,PRON,"['IY1', 'CH']"
178,without,0.00049,5.69,ADP,"['W', 'IH0', 'TH', 'AW1', 'T']"
179,against,0.000479,5.68,ADP,"['AH0', 'G', 'EH1', 'N', 'S', 'T']"
180,end,0.000479,5.68,NOUN,"['EH1', 'N', 'D']"
181,found,0.000479,5.68,VERB,"['F', 'AW1', 'N', 'D']"
182,must,0.000479,5.68,AUX,"['M', 'AH1', 'S', 'T']"
183,show,0.000479,5.68,VERB,"['SH', 'OW1']"
184,big,0.000468,5.67,ADJ,"['B', 'IH1', 'G']"
185,feel,0.000468,5.67,VERB,"['F', 'IY1', 'L']"
186,sure,0.000468,5.67,ADJ,"['SH', 'UH1', 'R']"
187,team,0.000468,5.67,NOUN,"['T', 'IY1', 'M']"
188,ever,0.000457,5.66,ADV,"['EH1', 'V', 'ER0']"
189,family,0.000457,5.66,NOUN,"['F', 'AE1', 'M', 'AH0', 'L', 'IY0']"
190,keep,0.000457,5.66,VERB,"['K', 'IY1', 'P']"
191,might,0.000457,5.66,AUX,"['M', 'AY1', 'T']"
192,please,0.000457,5.66,INTJ,"['P', 'L', 'IY1', 'Z']"
193,put,0.000457,5.66,VERB,"['P', 'UH1', 'T']"
194,money,0.000437,5.64,NOUN,"['M', 'AH1', 'N', 'IY0']"
195,free,0.000427,5.63,ADJ,"['F', 'R', 'IY1']"
196,second,0.000427,5.63,ADJ,"['S', 'EH1', 'K', 'AH0', 'N', 'D']"
197,someone,0.000427,5.63,PRON,"['S', 'AH1', 'M', 'W', 'AH2', 'N']"
198,away,0.000417,5.62,ADV,"['AH0', 'W', 'EY1']"
199,left,0.000417,5.62,VERB,"['L', 'EH1', 'F', 'T']"
200,number,0.000417,5.62,NOUN,"['N', 'AH1', 'M', 'B', 'ER0']"
201,city,0.000407,5.61,NOUN,"['S', 'IH1', 'T', 'IY0']"
202,days,0.000407,5.61,NOUN,"['D', 'EY1', 'Z']"
203,lot,0.000407,5.61,NOUN,"['L', 'AA1', 'T']"
204,name,0.000407,5.61,VERB,"['N', 'EY1', 'M']"
205,night,0.000407,5.61,NOUN,"['N', 'AY1', 'T']"
206,play,0.000407,5.61,VERB,"['P', 'L', 'EY1']"
207,until,0.000407,5.61,ADP,"['AH0', 'N', 'T', 'IH1', 'L']"
208,company,0.000398,5.6,NOUN,"['K', 'AH1', 'M', 'P', 'AH0', 'N', 'IY0']"
209,doing,0.000398,5.6,VERB,"['D', 'UW1', 'IH0', 'NG']"
210,few,0.000398,5.6,ADJ,"['F', 'Y', 'UW1']"
211,let,0.000398,5.6,VERB,"['L', 'EH1', 'T']"
212,real,0.000398,5.6,ADJ,"['R', 'IY1', 'L']"
213,called,0.000389,5.59,VERB,"['K', 'AO1', 'L', 'D']"
214,different,0.000389,5.59,ADJ,"['D', 'IH1', 'F', 'ER0', 'AH0', 'N', 'T']"
215,having,0.000389,5.59,VERB,"['HH', 'AE1', 'V', 'IH0', 'NG']"
216,set,0.000389,5.59,VERB,"['S', 'EH1', 'T']"
217,thought,0.000389,5.59,VERB,"['TH', 'AO1', 'T']"
218,done,0.00038,5.58,VERB,"['D', 'AH1', 'N']"
219,however,0.00038,5.58,ADV,"['HH', 'AW2', 'EH1', 'V', 'ER0']"
220,getting,0.000372,5.57,VERB,"['G', 'EH1', 'T', 'IH0', 'NG']"
221,god,0.000372,5.57,PROPN,"['G', 'AA1', 'D']"
222,government,0.000372,5.57,NOUN,"['G', 'AH1', 'V', 'ER0', 'M', 'AH0', 'N', 'T']"
223,group,0.000372,5.57,NOUN,"['G', 'R', 'UW1', 'P']"
224,looking,0.000372,5.57,VERB,"['L', 'UH1', 'K', 'IH0', 'NG']"
225,public,0.000372,5.57,ADJ,"['P', 'AH1', 'B', 'L', 'IH0', 'K']"
226,top,0.000372,5.57,NOUN,"['T', 'AA1', 'P']"
227,women,0.000372,5.57,NOUN,"['W', 'IH1', 'M', 'AH0', 'N']"
228,business,0.000363,5.56,NOUN,"['B', 'IH1', 'Z', 'N', 'AH0', 'S']"
229,care,0.000363,5.56,VERB,"['K', 'EH1', 'R']"
230,start,0.000363,5.56,VERB,"['S', 'T', 'AA1', 'R', 'T']"
231,system,0.000363,5.56,NOUN,"['S', 'IH1', 'S', 'T', 'AH0', 'M']"
232,times,0.000363,5.56,NOUN,"['T', 'AY1', 'M', 'Z']"
233,week,0.000363,5.56,NOUN,"['W', 'IY1', 'K']"
234,already,0.000355,5.55,ADV,"['AO0', 'L', 'R', 'EH1', 'D', 'IY0']"
235,anything,0.000355,5.55,PRON,"['EH1', 'N', 'IY0', 'TH', 'IH2', 'NG']"
236,case,0.000355,5.55,NOUN,"['K', 'EY1', 'S']"
237,nothing,0.000355,5.55,PRON,"['N', 'AH1', 'TH', 'IH0', 'NG']"
238,person,0.000355,5.55,NOUN,"['P', 'ER1', 'S', 'AH0', 'N']"
239,today,0.000355,5.55,NOUN,"['T', 'AH0', 'D', 'EY1']"
240,change,0.000347,5.54,VERB,"['CH', 'EY1', 'N', 'JH']"
241,enough,0.000347,5.54,ADV,"['IH0', 'N', 'AH1', 'F']"
242,everything,0.000347,5.54,PRON,"['EH1', 'V', 'R', 'IY0', 'TH', 'IH2', 'NG']"
243,full,0.000347,5.54,ADJ,"['F', 'UH1', 'L']"
244,live,0.000347,5.54,VERB,"['L', 'AY1', 'V']"
245,making,0.000347,5.54,VERB,"['M', 'EY1', 'K', 'IH0', 'NG']"
246,point,0.000347,5.54,VERB,"['P', 'OY1', 'N', 'T']"
247,read,0.000347,5.54,VERB,"['R', 'EH1', 'D']"
248,told,0.000347,5.54,VERB,"['T', 'OW1', 'L', 'D']"
249,yet,0.000347,5.54,ADV,"['Y', 'EH1', 'T']"
250,bad,0.000339,5.53,ADJ,"['B', 'AE1', 'D']"
251,four,0.000339,5.53,NUM,"['F', 'AO1', 'R']"
252,hard,0.000339,5.53,ADV,"['HH', 'AA1', 'R', 'D']"
253,mean,0.000339,5.53,VERB,"['M', 'IY1', 'N']"
254,once,0.000339,5.53,ADV,"['W', 'AH1', 'N', 'S']"
255,support,0.000339,5.53,VERB,"['S', 'AH0', 'P', 'AO1', 'R', 'T']"
256,tell,0.000339,5.53,VERB,"['T', 'EH1', 'L']"
257,including,0.000331,5.52,VERB,"['IH0', 'N', 'K', 'L', 'UW1', 'D', 'IH0', 'NG']"
258,music,0.000331,5.52,NOUN,"['M', 'Y', 'UW1', 'Z', 'IH0', 'K']"
259,power,0.000331,5.52,NOUN,"['P', 'AW1', 'ER0']"
260,seen,0.000331,5.52,VERB,"['S', 'IY1', 'N']"
261,states,0.000331,5.52,VERB,"['S', 'T', 'EY1', 'T', 'S']"
262,stop,0.000331,5.52,VERB,"['S', 'T', 'AA1', 'P']"
263,water,0.000331,5.52,NOUN,"['W', 'AO1', 'T', 'ER0']"
264,based,0.000324,5.51,VERB,"['B', 'EY1', 'S', 'T']"
265,believe,0.000324,5.51,VERB,"['B', 'IH0', 'L', 'IY1', 'V']"
266,call,0.000324,5.51,VERB,"['K', 'AO1', 'L']"
267,head,0.000324,5.51,NOUN,"['HH', 'EH1', 'D']"
268,men,0.000324,5.51,NOUN,"['M', 'EH1', 'N']"
269,national,0.000324,5.51,ADJ,"['N', 'AE1', 'SH', 'AH0', 'N', 'AH0', 'L']"
270,small,0.000324,5.51,ADJ,"['S', 'M', 'AO1', 'L']"
271,took,0.000324,5.51,VERB,"['T', 'UH1', 'K']"
272,white,0.000324,5.51,ADJ,"['W', 'AY1', 'T']"
273,came,0.000316,5.5,VERB,"['K', 'EY1', 'M']"
274,far,0.000316,5.5,ADV,"['F', 'AA1', 'R']"
275,job,0.000316,5.5,NOUN,"['JH', 'AA1', 'B']"
276,side,0.000316,5.5,NOUN,"['S', 'AY1', 'D']"
277,though,0.000316,5.5,ADV,"['DH', 'OW1']"
278,try,0.000316,5.5,VERB,"['T', 'R', 'AY1']"
279,went,0.000316,5.5,VERB,"['W', 'EH1', 'N', 'T']"
280,yes,0.000316,5.5,INTJ,"['Y', 'EH1', 'S']"
281,actually,0.000309,5.49,ADV,"['AE1', 'K', 'CH', 'AH0', 'W', 'AH0', 'L', 'IY0']"
282,american,0.000309,5.49,PROPN,"['AH0', 'M', 'EH1', 'R', 'AH0', 'K', 'AH0', 'N']"
283,later,0.000309,5.49,ADV,"['L', 'EY1', 'T', 'ER0']"
284,less,0.000309,5.49,ADJ,"['L', 'EH1', 'S']"
285,line,0.000309,5.49,NOUN,"['L', 'AY1', 'N']"
286,order,0.000309,5.49,NOUN,"['AO1', 'R', 'D', 'ER0']"
287,party,0.000309,5.49,NOUN,"['P', 'AA1', 'R', 'T', 'IY0']"
288,run,0.000309,5.49,VERB,"['R', 'AH1', 'N']"
289,says,0.000309,5.49,VERB,"['S', 'EH1', 'Z']"
290,service,0.000309,5.49,NOUN,"['S', 'ER1', 'V', 'AH0', 'S']"
291,country,0.000302,5.48,NOUN,"['K', 'AH1', 'N', 'T', 'R', 'IY0']"
292,open,0.000302,5.48,VERB,"['OW1', 'P', 'AH0', 'N']"
293,season,0.000302,5.48,NOUN,"['S', 'IY1', 'Z', 'AH0', 'N']"
294,shit,0.000302,5.48,VERB,"['SH', 'IH1', 'T']"
295,thank,0.000302,5.48,VERB,"['TH', 'AE1', 'NG', 'K']"
296,children,0.000295,5.47,NOUN,"['CH', 'IH1', 'L', 'D', 'R', 'AH0', 'N']"
297,everyone,0.000295,5.47,PRON,"['EH1', 'V', 'R', 'IY0', 'W', 'AH2', 'N']"
298,general,0.000295,5.47,ADJ,"['JH', 'EH1', 'N', 'ER0', 'AH0', 'L']"
299,trying,0.000295,5.47,VERB,"['T', 'R', 'AY1', 'IH0', 'NG']"
300,united,0.000295,5.47,ADJ,"['Y', 'UW0', 'N', 'AY1', 'T', 'AH0', 'D']"
301,using,0.000295,5.47,VERB,"['Y', 'UW1', 'Z', 'IH0', 'NG']"
302,area,0.000288,5.46,NOUN,"['EH1', 'R', 'IY0', 'AH0']"
303,black,0.000288,5.46,ADJ,"['B', 'L', 'AE1', 'K']"
304,following,0.000288,5.46,VERB,"['F', 'AA1', 'L', 'OW0', 'IH0', 'NG']"
305,law,0.000288,5.46,NOUN,"['L', 'AO1']"
306,makes,0.000288,5.46,VERB,"['M', 'EY1', 'K', 'S']"
307,together,0.000288,5.46,ADV,"['T', 'AH0', 'G', 'EH1', 'DH', 'ER0']"
308,war,0.000288,5.46,NOUN,"['W', 'AO1', 'R']"
309,whole,0.000288,5.46,ADJ,"['HH', 'OW1', 'L']"
310,car,0.000282,5.45,NOUN,"['K', 'AA1', 'R']"
311,face,0.000282,5.45,VERB,"['F', 'EY1', 'S']"
312,five,0.000282,5.45,NUM,"['F', 'AY1', 'V']"
313,kind,0.000282,5.45,NOUN,"['K', 'AY1', 'N', 'D']"
314,maybe,0.000282,5.45,ADV,"['M', 'EY1', 'B', 'IY0']"
315,per,0.000282,5.45,ADP,"['P', 'ER1']"
316,president,0.000282,5.45,PROPN,"['P', 'R', 'EH1', 'Z', 'AH0', 'D', 'EH2', 'N', 'T']"
317,story,0.000282,5.45,NOUN,"['S', 'T', 'AO1', 'R', 'IY0']"
318,working,0.000282,5.45,VERB,"['W', 'ER1', 'K', 'IH0', 'NG']"
319,course,0.000275,5.44,NOUN,"['K', 'AO1', 'R', 'S']"
320,games,0.000275,5.44,NOUN,"['G', 'EY1', 'M', 'Z']"
321,health,0.000275,5.44,NOUN,"['HH', 'EH1', 'L', 'TH']"
322,hope,0.000275,5.44,VERB,"['HH', 'OW1', 'P']"
323,important,0.000275,5.44,ADJ,"['IH0', 'M', 'P', 'AO1', 'R', 'T', 'AH0', 'N', 'T']"
324,least,0.000275,5.44,ADJ,"['L', 'IY1', 'S', 'T']"
325,means,0.000275,5.44,VERB,"['M', 'IY1', 'N', 'Z']"
326,news,0.000275,5.44,NOUN,"['N', 'UW1', 'Z']"
327,within,0.000275,5.44,ADP,"['W', 'IH0', 'DH', 'IH1', 'N']"
328,able,0.000269,5.43,ADJ,"['EY1', 'B', 'AH0', 'L']"
329,book,0.000269,5.43,NOUN,"['B', 'UH1', 'K']"
330,early,0.000269,5.43,ADV,"['ER1', 'L', 'IY0']"
331,friends,0.000269,5.43,NOUN,"['F', 'R', 'EH1', 'N', 'D', 'Z']"
332,information,0.000269,5.43,NOUN,"['IH2', 'N', 'F', 'ER0', 'M', 'EY1', 'SH', 'AH0', 'N']"
333,local,0.000269,5.43,ADJ,"['L', 'OW1', 'K', 'AH0', 'L']"
334,oh,0.000269,5.43,INTJ,['OW1']
335,post,0.000269,5.43,VERB,"['P', 'OW1', 'S', 'T']"
336,thanks,0.000269,5.43,NOUN,"['TH', 'AE1', 'NG', 'K', 'S']"
337,video,0.000269,5.43,PROPN,"['V', 'IH1', 'D', 'IY0', 'OW0']"
338,young,0.000269,5.43,ADJ,"['Y', 'AH1', 'NG']"
339,ago,0.000263,5.42,ADV,"['AH0', 'G', 'OW1']"
340,others,0.000263,5.42,NOUN,"['AH1', 'DH', 'ER0', 'Z']"
341,social,0.000263,5.42,ADJ,"['S', 'OW1', 'SH', 'AH0', 'L']"
342,talk,0.000263,5.42,VERB,"['T', 'AO1', 'K']"
343,court,0.000257,5.41,NOUN,"['K', 'AO1', 'R', 'T']"
344,fact,0.000257,5.41,NOUN,"['F', 'AE1', 'K', 'T']"
345,given,0.000257,5.41,VERB,"['G', 'IH1', 'V', 'AH0', 'N']"
346,guys,0.000257,5.41,NOUN,"['G', 'AY1', 'Z']"
347,half,0.000257,5.41,NOUN,"['HH', 'AE1', 'F']"
348,hand,0.000257,5.41,NOUN,"['HH', 'AE1', 'N', 'D']"
349,level,0.000257,5.41,NOUN,"['L', 'EH1', 'V', 'AH0', 'L']"
350,mind,0.000257,5.41,NOUN,"['M', 'AY1', 'N', 'D']"
351,often,0.000257,5.41,ADV,"['AO1', 'F', 'AH0', 'N']"
352,single,0.000257,5.41,ADJ,"['S', 'IH1', 'NG', 'G', 'AH0', 'L']"
353,become,0.000251,5.4,VERB,"['B', 'IH0', 'K', 'AH1', 'M']"
354,body,0.000251,5.4,NOUN,"['B', 'AA1', 'D', 'IY0']"
355,coming,0.000251,5.4,VERB,"['K', 'AH1', 'M', 'IH0', 'NG']"
356,control,0.000251,5.4,NOUN,"['K', 'AH0', 'N', 'T', 'R', 'OW1', 'L']"
357,death,0.000251,5.4,NOUN,"['D', 'EH1', 'TH']"
358,food,0.000251,5.4,NOUN,"['F', 'UW1', 'D']"
359,guy,0.000251,5.4,NOUN,"['G', 'AY1']"
360,hours,0.000251,5.4,NOUN,"['AW1', 'ER0', 'Z']"
361,office,0.000251,5.4,NOUN,"['AO1', 'F', 'AH0', 'S']"
362,pay,0.000251,5.4,VERB,"['P', 'EY1']"
363,problem,0.000251,5.4,NOUN,"['P', 'R', 'AA1', 'B', 'L', 'AH0', 'M']"
364,south,0.000251,5.4,NOUN,"['S', 'AW1', 'TH']"
365,true,0.000251,5.4,ADJ,"['T', 'R', 'UW1']"
366,almost,0.000245,5.39,ADV,"['AO1', 'L', 'M', 'OW2', 'S', 'T']"
367,fuck,0.000245,5.39,NOUN,"['F', 'AH1', 'K']"
368,history,0.000245,5.39,NOUN,"['HH', 'IH1', 'S', 'T', 'ER0', 'IY0']"
369,known,0.000245,5.39,VERB,"['N', 'OW1', 'N']"
370,large,0.000245,5.39,ADJ,"['L', 'AA1', 'R', 'JH']"
371,lost,0.000245,5.39,VERB,"['L', 'AO1', 'S', 'T']"
372,research,0.000245,5.39,NOUN,"['R', 'IY0', 'S', 'ER1', 'CH']"
373,room,0.000245,5.39,NOUN,"['R', 'UW1', 'M']"
