Word,Lexicality,Zipf Frequency,Frequency,Phonemes,Length,Size,Morphology,Condition,Part of Speech,Root,Lemma,Zipf Lemma Frequency,No Stress
disown,real,2.72,low,"['D', 'IH0', 'S', 'OW1', 'N']",5,short,complex,RSCL,,,,,"['D', 'IH', 'S', 'OW', 'N']"
queerly,real,1.29,low,"['K', 'W', 'IH1', 'R', 'L', 'IY0']",6,short,complex,RSCL,,,,,"['K', 'W', 'IH', 'R', 'L', 'IY']"
jurist,real,2.7,low,"['JH', 'UH1', 'R', 'AH0', 'S', 'T']",6,short,complex,RSCL,,,,,"['JH', 'UH', 'R', 'AH', 'S', 'T']"
recede,real,2.71,low,"['R', 'IH0', 'S', 'IY1', 'D']",5,short,complex,RSCL,,,,,"['R', 'IH', 'S', 'IY', 'D']"
misdoings,real,1.23,low,"['M', 'IH0', 'S', 'D', 'OY1', 'Z']",6,short,complex,RSCL,,,,,"['M', 'IH', 'S', 'D', 'OY', 'Z']"
speedos,real,2.24,low,"['S', 'P', 'IY1', 'D', 'OW0', 'Z']",6,short,complex,RSCL,,,,,"['S', 'P', 'IY', 'D', 'OW', 'Z']"
squarer,real,1.55,low,"['S', 'K', 'W', 'EH1', 'R', 'ER0']",6,short,complex,RSCL,,,,,"['S', 'K', 'W', 'EH', 'R', 'ER']"
binder,real,3.32,low,"['B', 'AY1', 'N', 'D', 'ER0']",5,short,complex,RSCL,,,,,"['B', 'AY', 'N', 'D', 'ER']"
rioters,real,3.07,low,"['R', 'AY1', 'AH0', 'T', 'ER0', 'Z']",6,short,complex,RSCL,,,,,"['R', 'AY', 'AH', 'T', 'ER', 'Z']"
choosy,real,2.52,low,"['CH', 'UW1', 'Z', 'IY0']",4,short,complex,RSCL,,,,,"['CH', 'UW', 'Z', 'IY']"
enlarge,real,3.2,low,"['EH0', 'N', 'L', 'AA1', 'R', 'JH']",6,short,complex,RSCL,,,,,"['EH', 'N', 'L', 'AA', 'R', 'JH']"
buttery,real,2.91,low,"['B', 'AH1', 'T', 'ER0', 'IY0']",5,short,complex,RSCL,,,,,"['B', 'AH', 'T', 'ER', 'IY']"
steamers,real,2.86,low,"['S', 'T', 'IY1', 'M', 'ER0', 'Z']",6,short,complex,RSCL,,,,,"['S', 'T', 'IY', 'M', 'ER', 'Z']"
rubbers,real,2.65,low,"['R', 'AH1', 'B', 'ER0', 'Z']",5,short,complex,RSCL,,,,,"['R', 'AH', 'B', 'ER', 'Z']"
bylaws,real,3.02,low,"['B', 'AY1', 'L', 'AO2', 'Z']",5,short,complex,RSCL,,,,,"['B', 'AY', 'L', 'AO', 'Z']"
vibrate,real,3.06,low,"['V', 'AY1', 'B', 'R', 'EY0', 'T']",6,short,complex,RSCL,,,,,"['V', 'AY', 'B', 'R', 'EY', 'T']"
midriff,real,2.37,low,"['M', 'IH1', 'D', 'R', 'IH0', 'F']",6,short,complex,RSCL,,,,,"['M', 'IH', 'D', 'R', 'IH', 'F']"
softies,real,1.96,low,"['S', 'AO1', 'F', 'T', 'IY0', 'Z']",6,short,complex,RSCL,,,,,"['S', 'AO', 'F', 'T', 'IY', 'Z']"
boppers,real,1.93,low,"['B', 'AA1', 'P', 'ER0', 'Z']",5,short,complex,RSCL,,,,,"['B', 'AA', 'P', 'ER', 'Z']"
riggers,real,2.11,low,"['R', 'IH1', 'G', 'ER0', 'Z']",5,short,complex,RSCL,,,,,"['R', 'IH', 'G', 'ER', 'Z']"
unclad,real,1.39,low,"['AH0', 'N', 'K', 'L', 'AE1', 'D']",6,short,complex,RSCL,,,,,"['AH', 'N', 'K', 'L', 'AE', 'D']"
oscillate,real,2.42,low,"['AA1', 'S', 'AH0', 'L', 'EY2', 'T']",6,short,complex,RSCL,,,,,"['AA', 'S', 'AH', 'L', 'EY', 'T']"
bather,real,2.0,low,"['B', 'EY1', 'DH', 'ER0']",4,short,complex,RSCL,,,,,"['B', 'EY', 'DH', 'ER']"
perjured,real,2.36,low,"['P', 'ER1', 'JH', 'ER0', 'D']",5,short,complex,RSCL,,,,,"['P', 'ER', 'JH', 'ER', 'D']"
welder,real,2.9,low,"['W', 'EH1', 'L', 'D', 'ER0']",5,short,complex,RSCL,,,,,"['W', 'EH', 'L', 'D', 'ER']"
retrace,real,2.69,low,"['R', 'IY0', 'T', 'R', 'EY1', 'S']",6,short,complex,RSCL,,,,,"['R', 'IY', 'T', 'R', 'EY', 'S']"
inapt,real,1.58,low,"['IH0', 'N', 'AE1', 'P', 'T']",5,short,complex,RSCL,,,,,"['IH', 'N', 'AE', 'P', 'T']"
stabber,real,2.02,low,"['S', 'T', 'AE1', 'B', 'ER0']",5,short,complex,RSCL,,,,,"['S', 'T', 'AE', 'B', 'ER']"
adjudged,real,2.62,low,"['AH0', 'JH', 'AH1', 'JH', 'D']",5,short,complex,RSCL,,,,,"['AH', 'JH', 'AH', 'JH', 'D']"
vaguest,real,2.07,low,"['V', 'EY1', 'G', 'IH0', 'S', 'T']",6,short,complex,RSCL,,,,,"['V', 'EY', 'G', 'IH', 'S', 'T']"
upraised,real,1.8,low,"['AH0', 'P', 'R', 'EY1', 'Z', 'D']",6,short,complex,RSCL,,,,,"['AH', 'P', 'R', 'EY', 'Z', 'D']"
clipper,real,3.06,low,"['K', 'L', 'IH1', 'P', 'ER0']",5,short,complex,RSCL,,,,,"['K', 'L', 'IH', 'P', 'ER']"
goers,real,3.09,low,"['G', 'OW1', 'ER0', 'Z']",4,short,complex,RSCL,,,,,"['G', 'OW', 'ER', 'Z']"
slyness,real,1.29,low,"['S', 'L', 'AY1', 'N', 'AH0', 'S']",6,short,complex,RSCL,,,,,"['S', 'L', 'AY', 'N', 'AH', 'S']"
unworn,real,1.98,low,"['AH0', 'N', 'W', 'AO1', 'R', 'N']",6,short,complex,RSCL,,,,,"['AH', 'N', 'W', 'AO', 'R', 'N']"
bleeder,real,2.09,low,"['B', 'L', 'IY1', 'D', 'ER0']",5,short,complex,RSCL,,,,,"['B', 'L', 'IY', 'D', 'ER']"
rethought,real,2.16,low,"['R', 'IY0', 'TH', 'AO1', 'T']",5,short,complex,RSCL,,,,,"['R', 'IY', 'TH', 'AO', 'T']"
outwards,real,2.99,low,"['AW1', 'T', 'W', 'ER0', 'D', 'Z']",6,short,complex,RSCL,,,,,"['AW', 'T', 'W', 'ER', 'D', 'Z']"
sifters,real,1.3,low,"['S', 'IH1', 'F', 'T', 'ER0', 'Z']",6,short,complex,RSCL,,,,,"['S', 'IH', 'F', 'T', 'ER', 'Z']"
slowest,real,3.13,low,"['S', 'L', 'OW1', 'AH0', 'S', 'T']",6,short,complex,RSCL,,,,,"['S', 'L', 'OW', 'AH', 'S', 'T']"
offside,real,3.24,low,"['AO1', 'F', 'S', 'AY2', 'D']",5,short,complex,RSCL,,,,,"['AO', 'F', 'S', 'AY', 'D']"
leeward,real,2.66,low,"['L', 'IY1', 'W', 'ER0', 'D']",5,short,complex,RSCL,,,,,"['L', 'IY', 'W', 'ER', 'D']"
redid,real,2.29,low,"['R', 'IY0', 'D', 'IH1', 'D']",5,short,complex,RSCL,,,,,"['R', 'IY', 'D', 'IH', 'D']"
courtship,real,3.19,low,"['K', 'AO1', 'R', 'CH', 'IH2', 'P']",6,short,complex,RSCL,,,,,"['K', 'AO', 'R', 'CH', 'IH', 'P']"
littler,real,2.41,low,"['L', 'IH1', 'T', 'AH0', 'L', 'ER0']",6,short,complex,RSCL,,,,,"['L', 'IH', 'T', 'AH', 'L', 'ER']"
frighten,real,3.08,low,"['F', 'R', 'AY1', 'T', 'AH0', 'N']",6,short,complex,RSCL,,,,,"['F', 'R', 'AY', 'T', 'AH', 'N']"
deadness,real,1.62,low,"['D', 'EH1', 'D', 'N', 'AH0', 'S']",6,short,complex,RSCL,,,,,"['D', 'EH', 'D', 'N', 'AH', 'S']"
deduce,real,2.97,low,"['D', 'IH0', 'D', 'UW1', 'S']",5,short,complex,RSCL,,,,,"['D', 'IH', 'D', 'UW', 'S']"
boosters,real,3.07,low,"['B', 'UW1', 'S', 'T', 'ER0', 'Z']",6,short,complex,RSCL,,,,,"['B', 'UW', 'S', 'T', 'ER', 'Z']"
papist,real,2.05,low,"['P', 'AE1', 'P', 'IH0', 'S', 'T']",6,short,complex,RSCL,,,,,"['P', 'AE', 'P', 'IH', 'S', 'T']"
surveyors,real,3.05,low,"['S', 'ER0', 'V', 'EY1', 'ER0', 'Z']",6,short,complex,RSCL,,,,,"['S', 'ER', 'V', 'EY', 'ER', 'Z']"
stutterer,real,1.77,low,"['S', 'T', 'AH1', 'T', 'ER0', 'ER0']",6,short,complex,RSCL,,,,,"['S', 'T', 'AH', 'T', 'ER', 'ER']"
coyness,real,1.65,low,"['K', 'OY1', 'N', 'S', 'IH0', 'S']",6,short,complex,RSCL,,,,,"['K', 'OY', 'N', 'S', 'IH', 'S']"
greenery,real,2.84,low,"['G', 'R', 'IY1', 'N', 'ER0', 'IY0']",6,short,complex,RSCL,,,,,"['G', 'R', 'IY', 'N', 'ER', 'IY']"
immobile,real,2.93,low,"['IH0', 'M', 'OW1', 'B', 'AH0', 'L']",6,short,complex,RSCL,,,,,"['IH', 'M', 'OW', 'B', 'AH', 'L']"
threesome,real,3.33,low,"['TH', 'R', 'IY1', 'S', 'AH0', 'M']",6,short,complex,RSCL,,,,,"['TH', 'R', 'IY', 'S', 'AH', 'M']"
cosier,real,1.68,low,"['K', 'OW1', 'Z', 'IY0', 'ER0']",5,short,complex,RSCL,,,,,"['K', 'OW', 'Z', 'IY', 'ER']"
labourer,real,2.94,low,"['L', 'EY1', 'B', 'ER0', 'AW0']",5,short,complex,RSCL,,,,,"['L', 'EY', 'B', 'ER', 'AW']"
miseries,real,2.5,low,"['M', 'IH1', 'Z', 'ER0', 'IY0', 'Z']",6,short,complex,RSCL,,,,,"['M', 'IH', 'Z', 'ER', 'IY', 'Z']"
outsells,real,1.71,low,"['AW0', 'T', 'S', 'EH1', 'L', 'Z']",6,short,complex,RSCL,,,,,"['AW', 'T', 'S', 'EH', 'L', 'Z']"
skaters,real,3.14,low,"['S', 'K', 'EY1', 'T', 'ER0', 'Z']",6,short,complex,RSCL,,,,,"['S', 'K', 'EY', 'T', 'ER', 'Z']"
ionize,real,1.92,low,"['AY1', 'AH0', 'N', 'AY2', 'Z']",5,short,complex,RSCL,,,,,"['AY', 'AH', 'N', 'AY', 'Z']"
mockers,real,1.63,low,"['M', 'AA1', 'K', 'ER0', 'Z']",5,short,complex,RSCL,,,,,"['M', 'AA', 'K', 'ER', 'Z']"
roughest,real,2.52,low,"['R', 'AH1', 'F', 'AH0', 'S', 'T']",6,short,complex,RSCL,,,,,"['R', 'AH', 'F', 'AH', 'S', 'T']"
outgrown,real,2.82,low,"['AW2', 'T', 'G', 'R', 'OW1', 'N']",6,short,complex,RSCL,,,,,"['AW', 'T', 'G', 'R', 'OW', 'N']"
assuring,real,3.12,low,"['AH0', 'SH', 'UH1', 'R', 'IH0', 'NG']",6,short,complex,RSCL,,,,,"['AH', 'SH', 'UH', 'R', 'IH', 'NG']"
dearly,real,3.48,low,"['D', 'IH1', 'R', 'L', 'IY0']",5,short,complex,RSCL,,,,,"['D', 'IH', 'R', 'L', 'IY']"
blacken,real,2.25,low,"['B', 'L', 'AE1', 'K', 'AH0', 'N']",6,short,complex,RSCL,,,,,"['B', 'L', 'AE', 'K', 'AH', 'N']"
guileless,real,1.94,low,"['G', 'AY1', 'L', 'L', 'AH0', 'S']",6,short,complex,RSCL,,,,,"['G', 'AY', 'L', 'L', 'AH', 'S']"
unmade,real,2.4,low,"['AH0', 'N', 'M', 'EY1', 'D']",5,short,complex,RSCL,,,,,"['AH', 'N', 'M', 'EY', 'D']"
glumly,real,1.88,low,"['G', 'L', 'AH1', 'M', 'L', 'IY0']",6,short,complex,RSCL,,,,,"['G', 'L', 'AH', 'M', 'L', 'IY']"
eeriest,real,1.05,low,"['IH1', 'R', 'IY0', 'AH0', 'S', 'T']",6,short,complex,RSCL,,,,,"['IH', 'R', 'IY', 'AH', 'S', 'T']"
flatterer,real,1.85,low,"['F', 'L', 'AE1', 'T', 'ER0', 'ER0']",6,short,complex,RSCL,,,,,"['F', 'L', 'AE', 'T', 'ER', 'ER']"
purveyor,real,2.55,low,"['P', 'ER0', 'V', 'EY1', 'ER0']",5,short,complex,RSCL,,,,,"['P', 'ER', 'V', 'EY', 'ER']"
aunties,real,2.46,low,"['AO1', 'N', 'T', 'IY0', 'Z']",5,short,complex,RSCL,,,,,"['AO', 'N', 'T', 'IY', 'Z']"
slacker,real,2.75,low,"['S', 'L', 'AE1', 'K', 'ER0']",5,short,complex,RSCL,,,,,"['S', 'L', 'AE', 'K', 'ER']"
foregone,real,2.76,low,"['F', 'AO1', 'R', 'G', 'AO1', 'N']",6,short,complex,RSCL,,,,,"['F', 'AO', 'R', 'G', 'AO', 'N']"
clannish,real,1.61,low,"['K', 'L', 'AE1', 'N', 'IH0', 'SH']",6,short,complex,RSCL,,,,,"['K', 'L', 'AE', 'N', 'IH', 'SH']"
bowler,real,3.48,low,"['B', 'OW1', 'L', 'ER0']",4,short,complex,RSCL,,,,,"['B', 'OW', 'L', 'ER']"
ruptured,real,3.16,low,"['R', 'AH1', 'P', 'CH', 'ER0', 'D']",6,short,complex,RSCL,,,,,"['R', 'AH', 'P', 'CH', 'ER', 'D']"
witless,real,2.32,low,"['W', 'IH1', 'T', 'L', 'AH0', 'S']",6,short,complex,RSCL,,,,,"['W', 'IH', 'T', 'L', 'AH', 'S']"
sternly,real,2.59,low,"['S', 'T', 'ER1', 'N', 'L', 'IY0']",6,short,complex,RSCL,,,,,"['S', 'T', 'ER', 'N', 'L', 'IY']"
unsold,real,2.88,low,"['AH0', 'N', 'S', 'OW1', 'L', 'D']",6,short,complex,RSCL,,,,,"['AH', 'N', 'S', 'OW', 'L', 'D']"
decoder,real,2.84,low,"['D', 'IH0', 'K', 'OW1', 'D', 'ER0']",6,short,complex,RSCL,,,,,"['D', 'IH', 'K', 'OW', 'D', 'ER']"
lowness,real,1.39,low,"['L', 'OW1', 'N', 'AH0', 'S']",5,short,complex,RSCL,,,,,"['L', 'OW', 'N', 'AH', 'S']"
rowers,real,2.77,low,"['R', 'OW1', 'ER0', 'Z']",4,short,complex,RSCL,,,,,"['R', 'OW', 'ER', 'Z']"
chaser,real,3.13,low,"['CH', 'EY1', 'S', 'ER0']",4,short,complex,RSCL,,,,,"['CH', 'EY', 'S', 'ER']"
misled,real,3.28,low,"['M', 'IH0', 'S', 'L', 'EH1', 'D']",6,short,complex,RSCL,,,,,"['M', 'IH', 'S', 'L', 'EH', 'D']"
acreage,real,3.05,low,"['EY1', 'K', 'ER0', 'IH0', 'JH']",5,short,complex,RSCL,,,,,"['EY', 'K', 'ER', 'IH', 'JH']"
affirming,real,3.15,low,"['AH0', 'F', 'ER1', 'M', 'IH0', 'NG']",6,short,complex,RSCL,,,,,"['AH', 'F', 'ER', 'M', 'IH', 'NG']"
entreat,real,2.32,low,"['EH0', 'N', 'T', 'R', 'IY1', 'T']",6,short,complex,RSCL,,,,,"['EH', 'N', 'T', 'R', 'IY', 'T']"
outcry,real,3.21,low,"['AW1', 'T', 'K', 'R', 'AY2']",5,short,complex,RSCL,,,,,"['AW', 'T', 'K', 'R', 'AY']"
sixths,real,1.93,low,"['S', 'IH1', 'K', 'S', 'TH', 'S']",6,short,complex,RSCL,,,,,"['S', 'IH', 'K', 'S', 'TH', 'S']"
unworthy,real,3.2,low,"['AH0', 'N', 'W', 'ER1', 'DH', 'IY0']",6,short,complex,RSCL,,,,,"['AH', 'N', 'W', 'ER', 'DH', 'IY']"
foreknew,real,1.21,low,"['F', 'AO1', 'R', 'K', 'AH0', 'N']",6,short,complex,RSCL,,,,,"['F', 'AO', 'R', 'K', 'AH', 'N']"
outdoing,real,2.01,low,"['AW2', 'T', 'D', 'UW1', 'IH0', 'NG']",6,short,complex,RSCL,,,,,"['AW', 'T', 'D', 'UW', 'IH', 'NG']"
pulsar,real,2.7,low,"['P', 'UH1', 'L', 'S', 'ER0']",5,short,complex,RSCL,,,,,"['P', 'UH', 'L', 'S', 'ER']"
repaint,real,2.61,low,"['R', 'IY0', 'P', 'EY1', 'N', 'T']",6,short,complex,RSCL,,,,,"['R', 'IY', 'P', 'EY', 'N', 'T']"
blowers,real,2.9,low,"['B', 'L', 'OW1', 'ER0', 'Z']",5,short,complex,RSCL,,,,,"['B', 'L', 'OW', 'ER', 'Z']"
forsake,real,2.91,low,"['F', 'AO0', 'R', 'S', 'EY1', 'K']",6,short,complex,RSCL,,,,,"['F', 'AO', 'R', 'S', 'EY', 'K']"
unsaid,real,2.69,low,"['AH0', 'N', 'S', 'EH1', 'D']",5,short,complex,RSCL,,,,,"['AH', 'N', 'S', 'EH', 'D']"
sufferer,real,2.94,low,"['S', 'AH1', 'F', 'ER0', 'ER0']",5,short,complex,RSCL,,,,,"['S', 'AH', 'F', 'ER', 'ER']"
dryness,real,2.93,low,"['D', 'R', 'AY1', 'N', 'AH0', 'S']",6,short,complex,RSCL,,,,,"['D', 'R', 'AY', 'N', 'AH', 'S']"
babyish,real,1.78,low,"['B', 'EY1', 'B', 'IY0', 'IH0', 'SH']",6,short,complex,RSCL,,,,,"['B', 'EY', 'B', 'IY', 'IH', 'SH']"
sidewise,real,1.6,low,"['S', 'AY1', 'D', 'W', 'AY2', 'Z']",6,short,complex,RSCL,,,,,"['S', 'AY', 'D', 'W', 'AY', 'Z']"
usurper,real,2.59,low,"['Y', 'UW1', 'S', 'ER0', 'P', 'ER0']",6,short,complex,RSCL,,,,,"['Y', 'UW', 'S', 'ER', 'P', 'ER']"
cranky,real,3.15,low,"['K', 'R', 'AE1', 'NG', 'K', 'IY0']",6,short,complex,RSCL,,,,,"['K', 'R', 'AE', 'NG', 'K', 'IY']"
taoists,real,1.88,low,"['D', 'AW1', 'AH0', 'S', 'T', 'S']",6,short,complex,RSCL,,,,,"['D', 'AW', 'AH', 'S', 'T', 'S']"
branchy,real,1.07,low,"['B', 'R', 'AE1', 'N', 'CH', 'IY0']",6,short,complex,RSCL,,,,,"['B', 'R', 'AE', 'N', 'CH', 'IY']"
certify,real,3.08,low,"['S', 'ER1', 'T', 'AH0', 'F', 'AY2']",6,short,complex,RSCL,,,,,"['S', 'ER', 'T', 'AH', 'F', 'AY']"
recessed,real,2.99,low,"['R', 'IH0', 'S', 'EH1', 'S', 'T']",6,short,complex,RSCL,,,,,"['R', 'IH', 'S', 'EH', 'S', 'T']"
downright,real,3.38,low,"['D', 'AW1', 'N', 'R', 'AY2', 'T']",6,short,complex,RSCL,,,,,"['D', 'AW', 'N', 'R', 'AY', 'T']"
meaty,real,3.01,low,"['M', 'IY1', 'T', 'IY0']",4,short,complex,RSCL,,,,,"['M', 'IY', 'T', 'IY']"
yorker,real,3.49,low,"['Y', 'AO1', 'R', 'K', 'ER0']",5,short,complex,RSCL,,,,,"['Y', 'AO', 'R', 'K', 'ER']"
sulfide,real,2.92,low,"['S', 'AH1', 'L', 'F', 'AY2', 'D']",6,short,complex,RSCL,,,,,"['S', 'AH', 'L', 'F', 'AY', 'D']"
coolers,real,2.92,low,"['K', 'UW1', 'L', 'ER0', 'Z']",5,short,complex,RSCL,,,,,"['K', 'UW', 'L', 'ER', 'Z']"
