Word,Lexicality,Zipf Frequency,Frequency,Phonemes,No Stress,Length,Size
issuance,real,3.34,low,"['IH1', 'SH', 'UW0', 'AH0', 'N', 'S']","['IH', 'SH', 'UW', 'AH', 'N', 'S']",6,short
shorties,real,2.02,low,"['SH', 'AO1', 'R', 'T', 'IY0', 'Z']","['SH', 'AO', 'R', 'T', 'IY', 'Z']",6,short
foreshore,real,2.61,low,"['F', 'AO1', 'R', 'HH', 'AW2', 'R']","['F', 'AO', 'R', 'HH', 'AW', 'R']",6,short
helpless,real,3.69,high,"['HH', 'EH1', 'L', 'P', 'L', 'AH0', 'S']","['HH', 'EH', 'L', 'P', 'L', 'AH', 'S']",7,long
dishonored,real,2.73,low,"['D', 'IH0', 'S', 'AA1', 'N', 'ER0', 'D']","['D', 'IH', 'S', 'AA', 'N', 'ER', 'D']",7,long
broadens,real,2.51,low,"['B', 'R', 'AO1', 'D', 'AH0', 'N', 'Z']","['B', 'R', 'AO', 'D', 'AH', 'N', 'Z']",7,long
unbending,real,2.11,low,"['AH2', 'N', 'B', 'EH1', 'N', 'D', 'IH0', 'NG']","['AH', 'N', 'B', 'EH', 'N', 'D', 'IH', 'NG']",8,long
ruminate,real,2.17,low,"['R', 'UW1', 'M', 'IH0', 'N', 'EY2', 'T']","['R', 'UW', 'M', 'IH', 'N', 'EY', 'T']",7,long
distracts,real,2.81,low,"['D', 'IH0', 'S', 'T', 'R', 'AE1', 'K', 'T', 'S']","['D', 'IH', 'S', 'T', 'R', 'AE', 'K', 'T', 'S']",9,long
exaction,real,1.47,low,"['IH0', 'G', 'Z', 'AE1', 'K', 'SH', 'AH0', 'N']","['IH', 'G', 'Z', 'AE', 'K', 'SH', 'AH', 'N']",8,long
category,real,4.57,high,"['K', 'AE1', 'T', 'AH0', 'G', 'AO2', 'R', 'IY0']","['K', 'AE', 'T', 'AH', 'G', 'AO', 'R', 'IY']",8,long
malfunctioned,real,2.57,low,"['M', 'AE0', 'L', 'F', 'AH1', 'NG', 'K', 'SH', 'AH0', 'N', 'D']","['M', 'AE', 'L', 'F', 'AH', 'NG', 'K', 'SH', 'AH', 'N', 'D']",11,long
segregating,real,2.38,low,"['S', 'EH1', 'G', 'R', 'IH0', 'G', 'EY2', 'T', 'IH0', 'NG']","['S', 'EH', 'G', 'R', 'IH', 'G', 'EY', 'T', 'IH', 'NG']",10,long
eighths,real,2.49,low,"['EY1', 'T', 'TH', 'S']","['EY', 'T', 'TH', 'S']",4,short
harmless,real,3.79,high,"['HH', 'AA1', 'R', 'M', 'L', 'AH0', 'S']","['HH', 'AA', 'R', 'M', 'L', 'AH', 'S']",7,long
predators,real,3.74,high,"['P', 'R', 'EH1', 'D', 'AH0', 'T', 'ER0', 'Z']","['P', 'R', 'EH', 'D', 'AH', 'T', 'ER', 'Z']",8,long
effusion,real,2.41,low,"['IH0', 'F', 'Y', 'UW1', 'ZH', 'AH0', 'N']","['IH', 'F', 'Y', 'UW', 'ZH', 'AH', 'N']",7,long
macrobiotic,real,1.87,low,"['M', 'AE2', 'K', 'R', 'OW0', 'B', 'IY0', 'K', 'OW1', 'T', 'IY0']","['M', 'AE', 'K', 'R', 'OW', 'B', 'IY', 'K', 'OW', 'T', 'IY']",11,long
luminary,real,2.39,low,"['L', 'UW1', 'M', 'AH0', 'N', 'EH2', 'R', 'IY0']","['L', 'UW', 'M', 'AH', 'N', 'EH', 'R', 'IY']",8,long
remounting,real,1.49,low,"['R', 'IH0', 'M', 'AW1', 'N', 'T', 'IH0', 'NG']","['R', 'IH', 'M', 'AW', 'N', 'T', 'IH', 'NG']",8,long
adsorbed,real,2.31,low,"['AH0', 'D', 'S', 'AO1', 'R', 'B', 'D']","['AH', 'D', 'S', 'AO', 'R', 'B', 'D']",7,long
appetizers,real,2.78,low,"['AE1', 'P', 'AH0', 'T', 'AY2', 'Z', 'ER0', 'Z']","['AE', 'P', 'AH', 'T', 'AY', 'Z', 'ER', 'Z']",8,long
prospectus,real,3.22,low,"['P', 'R', 'AH0', 'S', 'P', 'EH1', 'K', 'T', 'AH0', 'S']","['P', 'R', 'AH', 'S', 'P', 'EH', 'K', 'T', 'AH', 'S']",10,long
corrupter,real,1.6,low,"['K', 'ER0', 'AH1', 'P', 'T', 'ER0']","['K', 'ER', 'AH', 'P', 'T', 'ER']",6,short
itchy,real,3.34,low,"['IH1', 'CH', 'IY0']","['IH', 'CH', 'IY']",3,short
agony,real,3.6,high,"['AE1', 'G', 'AH0', 'N', 'IY0']","['AE', 'G', 'AH', 'N', 'IY']",5,short
violence,real,4.75,high,"['V', 'AY1', 'AH0', 'L', 'AH0', 'N', 'S']","['V', 'AY', 'AH', 'L', 'AH', 'N', 'S']",7,long
oscillated,real,2.04,low,"['AA1', 'S', 'AH0', 'L', 'EY2', 'T', 'AH0', 'D']","['AA', 'S', 'AH', 'L', 'EY', 'T', 'AH', 'D']",8,long
graceful,real,3.39,low,"['G', 'R', 'EY1', 'S', 'F', 'AH0', 'L']","['G', 'R', 'EY', 'S', 'F', 'AH', 'L']",7,long
habitants,real,1.8,low,"['HH', 'AE1', 'B', 'AH0', 'T', 'AH0', 'N', 'T', 'S']","['HH', 'AE', 'B', 'AH', 'T', 'AH', 'N', 'T', 'S']",9,long
bubbly,real,3.2,low,"['B', 'AH1', 'B', 'L', 'IY0']","['B', 'AH', 'B', 'L', 'IY']",5,short
puttered,real,1.36,low,"['P', 'AH1', 'T', 'ER0', 'D']","['P', 'AH', 'T', 'ER', 'D']",5,short
relaxations,real,1.87,low,"['R', 'EH2', 'L', 'AH0', 'K', 'S', 'EY1', 'SH', 'AH0', 'N', 'Z']","['R', 'EH', 'L', 'AH', 'K', 'S', 'EY', 'SH', 'AH', 'N', 'Z']",11,long
UNFIRED,real,1.83,low,"['AH0', 'N', 'F', 'AY1', 'R', 'D']","['AH', 'N', 'F', 'AY', 'R', 'D']",6,short
collectives,real,2.6,low,"['K', 'AH0', 'L', 'EH1', 'K', 'T', 'IH0', 'V', 'Z']","['K', 'AH', 'L', 'EH', 'K', 'T', 'IH', 'V', 'Z']",9,long
womanly,real,2.51,low,"['W', 'UH1', 'M', 'AH0', 'N', 'L', 'IY0']","['W', 'UH', 'M', 'AH', 'N', 'L', 'IY']",7,long
canonist,real,1.48,low,"['K', 'AE1', 'N', 'AH0', 'N', 'IH0', 'S', 'T']","['K', 'AE', 'N', 'AH', 'N', 'IH', 'S', 'T']",8,long
peninsular,real,2.83,low,"['P', 'AH0', 'N', 'IH1', 'N', 'S', 'AH0', 'L', 'ER0']","['P', 'AH', 'N', 'IH', 'N', 'S', 'AH', 'L', 'ER']",9,long
christenings,real,2.0,low,"['K', 'R', 'IH1', 'S', 'AH0', 'N', 'IH0', 'NG', 'Z']","['K', 'R', 'IH', 'S', 'AH', 'N', 'IH', 'NG', 'Z']",9,long
transplants,real,3.15,low,"['T', 'R', 'AE1', 'N', 'S', 'P', 'L', 'AE0', 'N', 'T', 'S']","['T', 'R', 'AE', 'N', 'S', 'P', 'L', 'AE', 'N', 'T', 'S']",11,long
expansion,real,4.54,high,"['IH0', 'K', 'S', 'P', 'AE1', 'N', 'SH', 'AH0', 'N']","['IH', 'K', 'S', 'P', 'AE', 'N', 'SH', 'AH', 'N']",9,long
misrepresentation,real,2.98,low,"['M', 'IH0', 'S', 'R', 'EH2', 'P', 'R', 'IH0', 'Z', 'EH0', 'N', 'T', 'EY1', 'SH', 'AH0', 'N']","['M', 'IH', 'S', 'R', 'EH', 'P', 'R', 'IH', 'Z', 'EH', 'N', 'T', 'EY', 'SH', 'AH', 'N']",16,long
collector,real,3.91,high,"['K', 'AH0', 'L', 'EH1', 'K', 'T', 'ER0']","['K', 'AH', 'L', 'EH', 'K', 'T', 'ER']",7,long
illegitimate,real,3.43,low,"['IH2', 'L', 'IH0', 'JH', 'IH1', 'T', 'AH0', 'M', 'IH0', 'T']","['IH', 'L', 'IH', 'JH', 'IH', 'T', 'AH', 'M', 'IH', 'T']",10,long
vindictiveness,real,2.05,low,"['V', 'IH0', 'N', 'D', 'IH1', 'K', 'T', 'IH0', 'V', 'N', 'AH0', 'S']","['V', 'IH', 'N', 'D', 'IH', 'K', 'T', 'IH', 'V', 'N', 'AH', 'S']",12,long
modular,real,3.51,high,"['M', 'AA1', 'JH', 'AH0', 'L', 'ER0']","['M', 'AA', 'JH', 'AH', 'L', 'ER']",6,short
expressing,real,3.99,high,"['IH0', 'K', 'S', 'P', 'R', 'EH1', 'S', 'IH0', 'NG']","['IH', 'K', 'S', 'P', 'R', 'EH', 'S', 'IH', 'NG']",9,long
confidence,real,4.65,high,"['K', 'AA1', 'N', 'F', 'AH0', 'D', 'AH0', 'N', 'S']","['K', 'AA', 'N', 'F', 'AH', 'D', 'AH', 'N', 'S']",9,long
desolations,real,1.38,low,"['D', 'EH2', 'S', 'OW0', 'L', 'EY1', 'SH', 'AH0', 'N', 'Z']","['D', 'EH', 'S', 'OW', 'L', 'EY', 'SH', 'AH', 'N', 'Z']",10,long
unguarded,real,2.75,low,"['AH0', 'N', 'G', 'AA1', 'R', 'D', 'IH0', 'D']","['AH', 'N', 'G', 'AA', 'R', 'D', 'IH', 'D']",8,long
indecently,real,2.09,low,"['IH1', 'N', 'D', 'IH0', 'S', 'AH0', 'N', 'T', 'L', 'IY0']","['IH', 'N', 'D', 'IH', 'S', 'AH', 'N', 'T', 'L', 'IY']",10,long
chromatic,real,2.91,low,"['K', 'R', 'OW0', 'M', 'AE1', 'T', 'IH0', 'K']","['K', 'R', 'OW', 'M', 'AE', 'T', 'IH', 'K']",8,long
whiteness,real,3.0,low,"['W', 'AY1', 'T', 'N', 'AH0', 'S']","['W', 'AY', 'T', 'N', 'AH', 'S']",6,short
hermitage,real,2.92,low,"['HH', 'ER1', 'M', 'AH0', 'T', 'AH0', 'JH']","['HH', 'ER', 'M', 'AH', 'T', 'AH', 'JH']",7,long
remonstrated,real,1.89,low,"['R', 'EH1', 'M', 'AH0', 'N', 'S', 'T', 'R', 'EY2', 'T', 'IH0', 'D']","['R', 'EH', 'M', 'AH', 'N', 'S', 'T', 'R', 'EY', 'T', 'IH', 'D']",12,long
subsystem,real,2.87,low,"['S', 'AH1', 'B', 'S', 'IH2', 'S', 'T', 'AH0', 'M']","['S', 'AH', 'B', 'S', 'IH', 'S', 'T', 'AH', 'M']",9,long
automatically,real,4.52,high,"['AO2', 'T', 'AH0', 'M', 'AE1', 'T', 'IH0', 'K', 'L', 'IY0']","['AO', 'T', 'AH', 'M', 'AE', 'T', 'IH', 'K', 'L', 'IY']",10,long
reacts,real,3.57,high,"['R', 'IY0', 'AE1', 'K', 'T', 'S']","['R', 'IY', 'AE', 'K', 'T', 'S']",6,short
dissolve,real,3.49,low,"['D', 'IH0', 'Z', 'AA1', 'L', 'V']","['D', 'IH', 'Z', 'AA', 'L', 'V']",6,short
spoonfuls,real,2.32,low,"['S', 'P', 'UW1', 'N', 'F', 'UH2', 'L', 'Z']","['S', 'P', 'UW', 'N', 'F', 'UH', 'L', 'Z']",8,long
violent,real,4.46,high,"['V', 'AY1', 'AH0', 'L', 'AH0', 'N', 'T']","['V', 'AY', 'AH', 'L', 'AH', 'N', 'T']",7,long
voteless,real,1.12,low,"['V', 'OW1', 'T', 'L', 'AH0', 'S']","['V', 'OW', 'T', 'L', 'AH', 'S']",6,short
dethronement,real,1.53,low,"['D', 'IH0', 'TH', 'R', 'AA1', 'N', 'IH0', 'M', 'AH0', 'N', 'T']","['D', 'IH', 'TH', 'R', 'AA', 'N', 'IH', 'M', 'AH', 'N', 'T']",11,long
wearers,real,2.61,low,"['W', 'EH1', 'R', 'ER0', 'Z']","['W', 'EH', 'R', 'ER', 'Z']",5,short
occupants,real,3.46,low,"['AA1', 'K', 'Y', 'AH0', 'P', 'AH0', 'N', 'T', 'S']","['AA', 'K', 'Y', 'AH', 'P', 'AH', 'N', 'T', 'S']",9,long
sculpture,real,3.92,high,"['S', 'K', 'AH1', 'L', 'P', 'CH', 'ER0']","['S', 'K', 'AH', 'L', 'P', 'CH', 'ER']",7,long
impropriety,real,2.75,low,"['IH2', 'M', 'P', 'R', 'AH0', 'P', 'R', 'AY1', 'AH0', 'T', 'IY0']","['IH', 'M', 'P', 'R', 'AH', 'P', 'R', 'AY', 'AH', 'T', 'IY']",11,long
visitation,real,3.34,low,"['V', 'IH2', 'Z', 'AH0', 'T', 'EY1', 'SH', 'AH0', 'N']","['V', 'IH', 'Z', 'AH', 'T', 'EY', 'SH', 'AH', 'N']",9,long
escapists,real,1.47,low,"['EH1', 'S', 'K', 'AH0', 'P', 'IH0', 'S', 'T', 'S']","['EH', 'S', 'K', 'AH', 'P', 'IH', 'S', 'T', 'S']",9,long
aimless,real,2.65,low,"['EY1', 'M', 'L', 'AH0', 'S']","['EY', 'M', 'L', 'AH', 'S']",5,short
enraptured,real,2.28,low,"['EH0', 'N', 'R', 'AE1', 'P', 'CH', 'ER0', 'D']","['EH', 'N', 'R', 'AE', 'P', 'CH', 'ER', 'D']",8,long
ROBBIE,real,3.84,high,"['R', 'AA1', 'B', 'IY0']","['R', 'AA', 'B', 'IY']",4,short
literate,real,3.27,low,"['L', 'IH1', 'T', 'ER0', 'AH0', 'T']","['L', 'IH', 'T', 'ER', 'AH', 'T']",6,short
indecencies,real,1.2,low,"['IH1', 'N', 'D', 'AH0', 'S', 'K', 'IY0', 'N', 'AH0', 'S']","['IH', 'N', 'D', 'AH', 'S', 'K', 'IY', 'N', 'AH', 'S']",10,long
blown,real,4.21,high,"['B', 'L', 'OW1', 'N']","['B', 'L', 'OW', 'N']",4,short
desperation,real,3.55,high,"['D', 'EH2', 'S', 'P', 'ER0', 'EY1', 'SH', 'AH0', 'N']","['D', 'EH', 'S', 'P', 'ER', 'EY', 'SH', 'AH', 'N']",9,long
crosspiece,real,1.19,low,"['K', 'R', 'AO1', 'S', 'P', 'IY2', 'S']","['K', 'R', 'AO', 'S', 'P', 'IY', 'S']",7,long
defame,real,2.53,low,"['D', 'IH0', 'F', 'EY1', 'M']","['D', 'IH', 'F', 'EY', 'M']",5,short
scarcities,real,1.61,low,"['S', 'K', 'AA1', 'R', 'S', 'AH0', 'T', 'IY0', 'Z']","['S', 'K', 'AA', 'R', 'S', 'AH', 'T', 'IY', 'Z']",9,long
conjures,real,2.67,low,"['K', 'AA1', 'N', 'JH', 'ER0', 'Z']","['K', 'AA', 'N', 'JH', 'ER', 'Z']",6,short
coiners,real,1.26,low,"['K', 'OY1', 'N', 'ER0', 'Z']","['K', 'OY', 'N', 'ER', 'Z']",5,short
incongruous,real,2.69,low,"['IH0', 'NG', 'K', 'AO1', 'NG', 'R', 'UW0', 'AH0', 'S']","['IH', 'NG', 'K', 'AO', 'NG', 'R', 'UW', 'AH', 'S']",9,long
brigadier,real,3.3,low,"['B', 'R', 'IH2', 'G', 'AH0', 'D', 'IH1', 'R']","['B', 'R', 'IH', 'G', 'AH', 'D', 'IH', 'R']",8,long
crosswalk,real,2.63,low,"['K', 'R', 'AA1', 'S', 'W', 'AA2', 'K']","['K', 'R', 'AA', 'S', 'W', 'AA', 'K']",7,long
hewers,real,1.2,low,"['HH', 'Y', 'UW1', 'ER0', 'Z']","['HH', 'Y', 'UW', 'ER', 'Z']",5,short
humanism,real,2.99,low,"['HH', 'Y', 'UW1', 'M', 'AH0', 'N', 'IH2', 'Z', 'AH0', 'M']","['HH', 'Y', 'UW', 'M', 'AH', 'N', 'IH', 'Z', 'AH', 'M']",10,long
dioxides,real,1.04,low,"['D', 'AY0', 'AA1', 'K', 'S', 'AY0', 'D', 'Z']","['D', 'AY', 'AA', 'K', 'S', 'AY', 'D', 'Z']",8,long
criticizes,real,3.17,low,"['K', 'R', 'IH1', 'T', 'IH0', 'S', 'AY2', 'Z', 'IH0', 'Z']","['K', 'R', 'IH', 'T', 'IH', 'S', 'AY', 'Z', 'IH', 'Z']",10,long
intercept,real,3.57,high,"['IH2', 'N', 'T', 'ER0', 'S', 'EH1', 'P', 'T']","['IH', 'N', 'T', 'ER', 'S', 'EH', 'P', 'T']",8,long
seawards,real,1.35,low,"['S', 'IY1', 'W', 'ER0', 'D', 'Z']","['S', 'IY', 'W', 'ER', 'D', 'Z']",6,short
vegetating,real,1.38,low,"['V', 'EH1', 'JH', 'AH0', 'T', 'EY2', 'T', 'IH0', 'NG']","['V', 'EH', 'JH', 'AH', 'T', 'EY', 'T', 'IH', 'NG']",9,long
deductive,real,2.65,low,"['D', 'IH0', 'D', 'AH1', 'K', 'T', 'AH0', 'V']","['D', 'IH', 'D', 'AH', 'K', 'T', 'AH', 'V']",8,long
nattier,real,1.07,low,"['N', 'AE1', 'T', 'IY0', 'ER0']","['N', 'AE', 'T', 'IY', 'ER']",5,short
rascally,real,1.8,low,"['R', 'AE1', 'S', 'K', 'AH0', 'L', 'IY0']","['R', 'AE', 'S', 'K', 'AH', 'L', 'IY']",7,long
refurbish,real,2.57,low,"['R', 'IY0', 'F', 'ER1', 'B', 'IH0', 'SH']","['R', 'IY', 'F', 'ER', 'B', 'IH', 'SH']",7,long
ensures,real,3.6,high,"['EH0', 'N', 'SH', 'UH1', 'R', 'Z']","['EH', 'N', 'SH', 'UH', 'R', 'Z']",6,short
bylaws,real,3.02,low,"['B', 'AY1', 'L', 'AO2', 'Z']","['B', 'AY', 'L', 'AO', 'Z']",5,short
sweeter,real,3.32,low,"['S', 'W', 'IY1', 'T', 'ER0']","['S', 'W', 'IY', 'T', 'ER']",5,short
consumers,real,4.39,high,"['K', 'AH0', 'N', 'S', 'UW1', 'M', 'ER0', 'Z']","['K', 'AH', 'N', 'S', 'UW', 'M', 'ER', 'Z']",8,long
inordinate,real,2.66,low,"['IH0', 'N', 'AO1', 'R', 'D', 'AH0', 'N', 'IH0', 'T']","['IH', 'N', 'AO', 'R', 'D', 'AH', 'N', 'IH', 'T']",9,long
humanely,real,2.64,low,"['HH', 'Y', 'UW0', 'M', 'EY1', 'N', 'L', 'IY0']","['HH', 'Y', 'UW', 'M', 'EY', 'N', 'L', 'IY']",8,long
numismatists,real,1.47,low,"['N', 'UW0', 'M', 'IH1', 'S', 'M', 'AH0', 'T', 'IH2', 'S', 'T', 'S']","['N', 'UW', 'M', 'IH', 'S', 'M', 'AH', 'T', 'IH', 'S', 'T', 'S']",12,long
Afghani,real,2.48,low,"['AE0', 'F', 'G', 'AA1', 'N', 'IY0']","['AE', 'F', 'G', 'AA', 'N', 'IY']",6,short
dramatics,real,2.49,low,"['D', 'R', 'AH0', 'M', 'AE1', 'T', 'IH0', 'K', 'S']","['D', 'R', 'AH', 'M', 'AE', 'T', 'IH', 'K', 'S']",9,long
disconcerted,real,2.03,low,"['D', 'IH2', 'S', 'K', 'AH0', 'N', 'S', 'ER1', 'T', 'AH0', 'S', 'T']","['D', 'IH', 'S', 'K', 'AH', 'N', 'S', 'ER', 'T', 'AH', 'S', 'T']",12,long
resettlements,real,1.32,low,"['R', 'IY0', 'S', 'EH1', 'T', 'AH0', 'M', 'L', 'AH0', 'N', 'T', 'S']","['R', 'IY', 'S', 'EH', 'T', 'AH', 'M', 'L', 'AH', 'N', 'T', 'S']",12,long
general's,real,3.44,low,"['JH', 'EH1', 'N', 'ER0', 'AH0', 'L', 'Z']","['JH', 'EH', 'N', 'ER', 'AH', 'L', 'Z']",7,long
outmaneuvered,real,2.04,low,"['AW0', 'T', 'M', 'AH0', 'N', 'UW1', 'V', 'ER0', 'D']","['AW', 'T', 'M', 'AH', 'N', 'UW', 'V', 'ER', 'D']",9,long
dignities,real,2.06,low,"['D', 'IH1', 'G', 'N', 'AH0', 'T', 'IY0', 'Z']","['D', 'IH', 'G', 'N', 'AH', 'T', 'IY', 'Z']",8,long
unscrew,real,2.45,low,"['AH0', 'N', 'S', 'K', 'R', 'UW1']","['AH', 'N', 'S', 'K', 'R', 'UW']",6,short
browner,real,2.45,low,"['B', 'R', 'AW1', 'N', 'ER0']","['B', 'R', 'AW', 'N', 'ER']",5,short
quadrilateral,real,2.37,low,"['K', 'W', 'AA2', 'D', 'R', 'IY0', 'AE1', 'L', 'AH0', 'T', 'AO2', 'R']","['K', 'W', 'AA', 'D', 'R', 'IY', 'AE', 'L', 'AH', 'T', 'AO', 'R']",12,long
misstate,real,1.22,low,"['M', 'IH0', 'S', 'S', 'T', 'EY1', 'T']","['M', 'IH', 'S', 'S', 'T', 'EY', 'T']",7,long
distillation,real,3.01,low,"['D', 'IH2', 'S', 'T', 'AH0', 'L', 'EY1', 'SH', 'AH0', 'N']","['D', 'IH', 'S', 'T', 'AH', 'L', 'EY', 'SH', 'AH', 'N']",10,long
asceticism,real,2.4,low,"['AH0', 'S', 'EH1', 'T', 'IH0', 'S', 'IH2', 'Z', 'AH0', 'M']","['AH', 'S', 'EH', 'T', 'IH', 'S', 'IH', 'Z', 'AH', 'M']",10,long
hoarders,real,2.44,low,"['HH', 'AO1', 'R', 'D', 'ER0', 'Z']","['HH', 'AO', 'R', 'D', 'ER', 'Z']",6,short
debarking,real,1.59,low,"['D', 'AH0', 'B', 'AA1', 'R', 'K', 'IH0', 'NG']","['D', 'AH', 'B', 'AA', 'R', 'K', 'IH', 'NG']",8,long
penthouses,real,2.32,low,"['P', 'EH1', 'N', 'T', 'HH', 'AW2', 'S', 'IH0', 'Z']","['P', 'EH', 'N', 'T', 'HH', 'AW', 'S', 'IH', 'Z']",9,long
reprisals,real,2.89,low,"['R', 'IH0', 'P', 'R', 'AY1', 'Z', 'AH0', 'L', 'Z']","['R', 'IH', 'P', 'R', 'AY', 'Z', 'AH', 'L', 'Z']",9,long
disturber,real,1.76,low,"['D', 'IH0', 'S', 'T', 'ER1', 'B', 'ER0']","['D', 'IH', 'S', 'T', 'ER', 'B', 'ER']",7,long
vegetated,real,2.19,low,"['V', 'EH1', 'JH', 'AH0', 'T', 'EY2', 'T', 'IH0', 'D']","['V', 'EH', 'JH', 'AH', 'T', 'EY', 'T', 'IH', 'D']",9,long
prostrations,real,1.6,low,"['P', 'R', 'OW0', 'S', 'T', 'R', 'EY1', 'SH', 'AH0', 'N', 'Z']","['P', 'R', 'OW', 'S', 'T', 'R', 'EY', 'SH', 'AH', 'N', 'Z']",11,long
static,real,4.05,high,"['S', 'T', 'AE1', 'T', 'IH0', 'K']","['S', 'T', 'AE', 'T', 'IH', 'K']",6,short
Internationale,real,2.89,low,"['IH0', 'N', 'T', 'ER0', 'N', 'AE2', 'SH', 'AH0', 'N', 'AA1', 'L', 'IY0']","['IH', 'N', 'T', 'ER', 'N', 'AE', 'SH', 'AH', 'N', 'AA', 'L', 'IY']",12,long
juror,real,3.13,low,"['JH', 'UH1', 'R', 'ER0']","['JH', 'UH', 'R', 'ER']",4,short
marinade,real,2.75,low,"['M', 'AA1', 'R', 'IH0', 'N', 'EY2', 'D']","['M', 'AA', 'R', 'IH', 'N', 'EY', 'D']",7,long
dispiriting,real,2.0,low,"['D', 'IH0', 'S', 'P', 'IH1', 'R', 'IH0', 'T', 'IH0', 'NG']","['D', 'IH', 'S', 'P', 'IH', 'R', 'IH', 'T', 'IH', 'NG']",10,long
