Word,Lexicality,Zipf Frequency,Frequency,Phonemes,Length,Size,Condition,Morphology,No Stress
devote,real,3.53,high,"['D', 'IH0', 'V', 'OW1', 'T']",5,short,RSSH,simple,"['D', 'IH', 'V', 'OW', 'T']"
sultan,real,3.64,high,"['S', 'AH1', 'L', 'T', 'AH0', 'N']",6,short,RSSH,simple,"['S', 'AH', 'L', 'T', 'AH', 'N']"
chaos,real,4.27,high,"['K', 'EY1', 'AA0', 'S']",4,short,RSSH,simple,"['K', 'EY', 'AA', 'S']"
mold,real,3.77,high,"['M', 'OW1', 'L', 'D']",4,short,RSSH,simple,"['M', 'OW', 'L', 'D']"
hebrew,real,3.91,high,"['HH', 'IY1', 'B', 'R', 'UW0']",5,short,RSSH,simple,"['HH', 'IY', 'B', 'R', 'UW']"
adult,real,4.8,high,"['AH0', 'D', 'AH1', 'L', 'T']",5,short,RSSH,simple,"['AH', 'D', 'AH', 'L', 'T']"
void,real,4.01,high,"['V', 'OY1', 'D']",3,short,RSSH,simple,"['V', 'OY', 'D']"
horse,real,4.76,high,"['HH', 'AO1', 'R', 'S']",4,short,RSSH,simple,"['HH', 'AO', 'R', 'S']"
rock,real,5.03,high,"['R', 'AA1', 'K']",3,short,RSSH,simple,"['R', 'AA', 'K']"
buffet,real,3.54,high,"['B', 'AH1', 'F', 'AH0', 'T']",5,short,RSSH,simple,"['B', 'AH', 'F', 'AH', 'T']"
over,real,6.08,high,"['OW1', 'V', 'ER0']",3,short,RSSH,simple,"['OW', 'V', 'ER']"
achieve,real,4.57,high,"['AH0', 'CH', 'IY1', 'V']",4,short,RSSH,simple,"['AH', 'CH', 'IY', 'V']"
source,real,5.15,high,"['S', 'AO1', 'R', 'S']",4,short,RSSH,simple,"['S', 'AO', 'R', 'S']"
fled,real,4.05,high,"['F', 'L', 'EH1', 'D']",4,short,RSSH,simple,"['F', 'L', 'EH', 'D']"
bath,real,4.44,high,"['B', 'AE1', 'TH']",3,short,RSSH,simple,"['B', 'AE', 'TH']"
theft,real,4.13,high,"['TH', 'EH1', 'F', 'T']",4,short,RSSH,simple,"['TH', 'EH', 'F', 'T']"
zip,real,3.87,high,"['Z', 'IH1', 'P']",3,short,RSSH,simple,"['Z', 'IH', 'P']"
used,real,5.8,high,"['Y', 'UW1', 'Z', 'D']",4,short,RSSH,simple,"['Y', 'UW', 'Z', 'D']"
insert,real,4.01,high,"['IH1', 'N', 'S', 'ER2', 'T']",5,short,RSSH,simple,"['IH', 'N', 'S', 'ER', 'T']"
inch,real,4.49,high,"['IH1', 'N', 'CH']",3,short,RSSH,simple,"['IH', 'N', 'CH']"
civic,real,4.0,high,"['S', 'IH1', 'V', 'IH0', 'K']",5,short,RSSH,simple,"['S', 'IH', 'V', 'IH', 'K']"
ant,real,3.86,high,"['AE1', 'N', 'T']",3,short,RSSH,simple,"['AE', 'N', 'T']"
superb,real,3.96,high,"['S', 'UH0', 'P', 'ER1', 'B']",5,short,RSSH,simple,"['S', 'UH', 'P', 'ER', 'B']"
soviet,real,4.54,high,"['S', 'OW1', 'V', 'IY0', 'AH0', 'T']",6,short,RSSH,simple,"['S', 'OW', 'V', 'IY', 'AH', 'T']"
verb,real,3.72,high,"['V', 'ER1', 'B']",3,short,RSSH,simple,"['V', 'ER', 'B']"
gross,real,4.45,high,"['G', 'R', 'OW1', 'S']",4,short,RSSH,simple,"['G', 'R', 'OW', 'S']"
sigma,real,3.51,high,"['S', 'IH1', 'G', 'M', 'AH0']",5,short,RSSH,simple,"['S', 'IH', 'G', 'M', 'AH']"
tooth,real,4.08,high,"['T', 'UW1', 'TH']",3,short,RSSH,simple,"['T', 'UW', 'TH']"
use,real,5.81,high,"['Y', 'UW1', 'S']",3,short,RSSH,simple,"['Y', 'UW', 'S']"
hostile,real,4.07,high,"['HH', 'AA1', 'S', 'T', 'AH0', 'L']",6,short,RSSH,simple,"['HH', 'AA', 'S', 'T', 'AH', 'L']"
love,real,5.82,high,"['L', 'AH1', 'V']",3,short,RSSH,simple,"['L', 'AH', 'V']"
hug,real,4.09,high,"['HH', 'AH1', 'G']",3,short,RSSH,simple,"['HH', 'AH', 'G']"
date,real,5.22,high,"['D', 'EY1', 'T']",3,short,RSSH,simple,"['D', 'EY', 'T']"
offence,real,3.96,high,"['AH0', 'F', 'EH1', 'N', 'S']",5,short,RSSH,simple,"['AH', 'F', 'EH', 'N', 'S']"
simple,real,5.08,high,"['S', 'IH1', 'M', 'P', 'AH0', 'L']",6,short,RSSH,simple,"['S', 'IH', 'M', 'P', 'AH', 'L']"
medium,real,4.61,high,"['M', 'IY1', 'D', 'IY0', 'AH0', 'M']",6,short,RSSH,simple,"['M', 'IY', 'D', 'IY', 'AH', 'M']"
harbor,real,4.15,high,"['HH', 'AA1', 'R', 'B', 'ER0']",5,short,RSSH,simple,"['HH', 'AA', 'R', 'B', 'ER']"
instead,real,5.24,high,"['IH0', 'N', 'S', 'T', 'EH1', 'D']",6,short,RSSH,simple,"['IH', 'N', 'S', 'T', 'EH', 'D']"
leisure,real,3.92,high,"['L', 'EH1', 'ZH', 'ER0']",4,short,RSSH,simple,"['L', 'EH', 'ZH', 'ER']"
hath,real,3.62,high,"['HH', 'AE1', 'TH']",3,short,RSSH,simple,"['HH', 'AE', 'TH']"
par,real,4.15,high,"['P', 'AA1', 'R']",3,short,RSSH,simple,"['P', 'AA', 'R']"
resin,real,3.61,high,"['R', 'EH1', 'Z', 'AH0', 'N']",5,short,RSSH,simple,"['R', 'EH', 'Z', 'AH', 'N']"
deaf,real,3.99,high,"['D', 'EH1', 'F']",3,short,RSSH,simple,"['D', 'EH', 'F']"
womb,real,3.63,high,"['W', 'UW1', 'M']",3,short,RSSH,simple,"['W', 'UW', 'M']"
mention,real,4.73,high,"['M', 'EH1', 'N', 'SH', 'AH0', 'N']",6,short,RSSH,simple,"['M', 'EH', 'N', 'SH', 'AH', 'N']"
turf,real,3.76,high,"['T', 'ER1', 'F']",3,short,RSSH,simple,"['T', 'ER', 'F']"
crab,real,3.76,high,"['K', 'R', 'AE1', 'B']",4,short,RSSH,simple,"['K', 'R', 'AE', 'B']"
village,real,4.82,high,"['V', 'IH1', 'L', 'AH0', 'JH']",5,short,RSSH,simple,"['V', 'IH', 'L', 'AH', 'JH']"
marriage,real,4.91,high,"['M', 'EH1', 'R', 'IH0', 'JH']",5,short,RSSH,simple,"['M', 'EH', 'R', 'IH', 'JH']"
wild,real,4.8,high,"['W', 'AY1', 'L', 'D']",4,short,RSSH,simple,"['W', 'AY', 'L', 'D']"
satan,real,3.93,high,"['S', 'EY1', 'T', 'AH0', 'N']",5,short,RSSH,simple,"['S', 'EY', 'T', 'AH', 'N']"
search,real,4.96,high,"['S', 'ER1', 'CH']",3,short,RSSH,simple,"['S', 'ER', 'CH']"
away,real,5.62,high,"['AH0', 'W', 'EY1']",3,short,RSSH,simple,"['AH', 'W', 'EY']"
sheikh,real,3.6,high,"['SH', 'IY1', 'K']",3,short,RSSH,simple,"['SH', 'IY', 'K']"
sample,real,4.53,high,"['S', 'AE1', 'M', 'P', 'AH0', 'L']",6,short,RSSH,simple,"['S', 'AE', 'M', 'P', 'AH', 'L']"
quite,real,5.29,high,"['K', 'W', 'AY1', 'T']",4,short,RSSH,simple,"['K', 'W', 'AY', 'T']"
abroad,real,4.39,high,"['AH0', 'B', 'R', 'AO1', 'D']",5,short,RSSH,simple,"['AH', 'B', 'R', 'AO', 'D']"
silent,real,4.45,high,"['S', 'AY1', 'L', 'AH0', 'N', 'T']",6,short,RSSH,simple,"['S', 'AY', 'L', 'AH', 'N', 'T']"
den,real,4.01,high,"['D', 'EH1', 'N']",3,short,RSSH,simple,"['D', 'EH', 'N']"
dent,real,3.67,high,"['D', 'EH1', 'N', 'T']",4,short,RSSH,simple,"['D', 'EH', 'N', 'T']"
read,real,5.54,high,"['R', 'EH1', 'D']",3,short,RSSH,simple,"['R', 'EH', 'D']"
topic,real,4.49,high,"['T', 'AA1', 'P', 'IH0', 'K']",5,short,RSSH,simple,"['T', 'AA', 'P', 'IH', 'K']"
god,real,5.57,high,"['G', 'AA1', 'D']",3,short,RSSH,simple,"['G', 'AA', 'D']"
missile,real,4.14,high,"['M', 'IH1', 'S', 'AH0', 'L']",5,short,RSSH,simple,"['M', 'IH', 'S', 'AH', 'L']"
vaccine,real,4.0,high,"['V', 'AE2', 'K', 'S', 'IY1', 'N']",6,short,RSSH,simple,"['V', 'AE', 'K', 'S', 'IY', 'N']"
pepper,real,4.14,high,"['P', 'EH1', 'P', 'ER0']",4,short,RSSH,simple,"['P', 'EH', 'P', 'ER']"
engage,real,4.36,high,"['EH0', 'N', 'G', 'EY1', 'JH']",5,short,RSSH,simple,"['EH', 'N', 'G', 'EY', 'JH']"
shelter,real,4.25,high,"['SH', 'EH1', 'L', 'T', 'ER0']",5,short,RSSH,simple,"['SH', 'EH', 'L', 'T', 'ER']"
pint,real,3.66,high,"['P', 'AY1', 'N', 'T']",4,short,RSSH,simple,"['P', 'AY', 'N', 'T']"
triumph,real,3.96,high,"['T', 'R', 'AY1', 'AH0', 'M', 'F']",6,short,RSSH,simple,"['T', 'R', 'AY', 'AH', 'M', 'F']"
lab,real,4.42,high,"['L', 'AE1', 'B']",3,short,RSSH,simple,"['L', 'AE', 'B']"
rudy,real,3.62,high,"['R', 'UW1', 'D', 'IY0']",4,short,RSSH,simple,"['R', 'UW', 'D', 'IY']"
dial,real,3.93,high,"['D', 'AY1', 'AH0', 'L']",4,short,RSSH,simple,"['D', 'AY', 'AH', 'L']"
cancel,real,4.18,high,"['K', 'AE1', 'N', 'S', 'AH0', 'L']",6,short,RSSH,simple,"['K', 'AE', 'N', 'S', 'AH', 'L']"
anti,real,5.01,high,"['AE1', 'N', 'T', 'IY0']",4,short,RSSH,simple,"['AE', 'N', 'T', 'IY']"
remedy,real,3.82,high,"['R', 'EH1', 'M', 'AH0', 'D', 'IY0']",6,short,RSSH,simple,"['R', 'EH', 'M', 'AH', 'D', 'IY']"
speed,real,5.0,high,"['S', 'P', 'IY1', 'D']",4,short,RSSH,simple,"['S', 'P', 'IY', 'D']"
corn,real,4.19,high,"['K', 'AO1', 'R', 'N']",4,short,RSSH,simple,"['K', 'AO', 'R', 'N']"
laurel,real,3.63,high,"['L', 'AO1', 'R', 'AH0', 'L']",5,short,RSSH,simple,"['L', 'AO', 'R', 'AH', 'L']"
jeopardy,real,3.52,high,"['JH', 'EH1', 'P', 'ER0', 'D', 'IY0']",6,short,RSSH,simple,"['JH', 'EH', 'P', 'ER', 'D', 'IY']"
hazel,real,3.54,high,"['HH', 'EY1', 'Z', 'AH0', 'L']",5,short,RSSH,simple,"['HH', 'EY', 'Z', 'AH', 'L']"
bale,real,3.61,high,"['B', 'EY1', 'L']",3,short,RSSH,simple,"['B', 'EY', 'L']"
father,real,5.26,high,"['F', 'AA1', 'DH', 'ER0']",4,short,RSSH,simple,"['F', 'AA', 'DH', 'ER']"
ferry,real,4.02,high,"['F', 'EH1', 'R', 'IY0']",4,short,RSSH,simple,"['F', 'EH', 'R', 'IY']"
drew,real,4.46,high,"['D', 'R', 'UW1']",3,short,RSSH,simple,"['D', 'R', 'UW']"
supper,real,3.74,high,"['S', 'AH1', 'P', 'ER0']",4,short,RSSH,simple,"['S', 'AH', 'P', 'ER']"
buzz,real,4.05,high,"['B', 'AH1', 'Z']",3,short,RSSH,simple,"['B', 'AH', 'Z']"
walter,real,4.36,high,"['W', 'AO1', 'L', 'T', 'ER0']",5,short,RSSH,simple,"['W', 'AO', 'L', 'T', 'ER']"
aside,real,4.59,high,"['AH0', 'S', 'AY1', 'D']",4,short,RSSH,simple,"['AH', 'S', 'AY', 'D']"
track,real,5.02,high,"['T', 'R', 'AE1', 'K']",4,short,RSSH,simple,"['T', 'R', 'AE', 'K']"
cain,real,3.54,high,"['K', 'EY1', 'N']",3,short,RSSH,simple,"['K', 'EY', 'N']"
least,real,5.44,high,"['L', 'IY1', 'S', 'T']",4,short,RSSH,simple,"['L', 'IY', 'S', 'T']"
pill,real,4.03,high,"['P', 'IH1', 'L']",3,short,RSSH,simple,"['P', 'IH', 'L']"
fuss,real,3.62,high,"['F', 'AH1', 'S']",3,short,RSSH,simple,"['F', 'AH', 'S']"
avery,real,3.6,high,"['EY1', 'V', 'ER0', 'IY0']",4,short,RSSH,simple,"['EY', 'V', 'ER', 'IY']"
roster,real,4.09,high,"['R', 'AA1', 'S', 'T', 'ER0']",5,short,RSSH,simple,"['R', 'AA', 'S', 'T', 'ER']"
tomorrow,real,5.02,high,"['T', 'AH0', 'M', 'AA1', 'R', 'OW2']",6,short,RSSH,simple,"['T', 'AH', 'M', 'AA', 'R', 'OW']"
senate,real,4.8,high,"['S', 'EH1', 'N', 'AH0', 'T']",5,short,RSSH,simple,"['S', 'EH', 'N', 'AH', 'T']"
met,real,5.09,high,"['M', 'EH1', 'T']",3,short,RSSH,simple,"['M', 'EH', 'T']"
summer,real,5.23,high,"['S', 'AH1', 'M', 'ER0']",4,short,RSSH,simple,"['S', 'AH', 'M', 'ER']"
turner,real,4.19,high,"['T', 'ER1', 'N', 'ER0']",4,short,RSSH,simple,"['T', 'ER', 'N', 'ER']"
mustard,real,3.69,high,"['M', 'AH1', 'S', 'T', 'ER0', 'D']",6,short,RSSH,simple,"['M', 'AH', 'S', 'T', 'ER', 'D']"
sofa,real,3.81,high,"['S', 'OW1', 'F', 'AH0']",4,short,RSSH,simple,"['S', 'OW', 'F', 'AH']"
built,real,5.07,high,"['B', 'IH1', 'L', 'T']",4,short,RSSH,simple,"['B', 'IH', 'L', 'T']"
leap,real,3.94,high,"['L', 'IY1', 'P']",3,short,RSSH,simple,"['L', 'IY', 'P']"
ralph,real,4.1,high,"['R', 'AE1', 'L', 'F']",4,short,RSSH,simple,"['R', 'AE', 'L', 'F']"
fargo,real,3.6,high,"['F', 'AA1', 'R', 'G', 'OW2']",5,short,RSSH,simple,"['F', 'AA', 'R', 'G', 'OW']"
dos,real,3.69,high,"['D', 'AO1', 'S']",3,short,RSSH,simple,"['D', 'AO', 'S']"
late,real,5.34,high,"['L', 'EY1', 'T']",3,short,RSSH,simple,"['L', 'EY', 'T']"
patient,real,4.77,high,"['P', 'EY1', 'SH', 'AH0', 'N', 'T']",6,short,RSSH,simple,"['P', 'EY', 'SH', 'AH', 'N', 'T']"
flood,real,4.34,high,"['F', 'L', 'AH1', 'D']",4,short,RSSH,simple,"['F', 'L', 'AH', 'D']"
shadow,real,4.44,high,"['SH', 'AE1', 'D', 'OW2']",4,short,RSSH,simple,"['SH', 'AE', 'D', 'OW']"
honey,real,4.37,high,"['HH', 'AH1', 'N', 'IY0']",4,short,RSSH,simple,"['HH', 'AH', 'N', 'IY']"
wear,real,4.92,high,"['W', 'EH1', 'R']",3,short,RSSH,simple,"['W', 'EH', 'R']"
retail,real,4.55,high,"['R', 'IY1', 'T', 'EY2', 'L']",5,short,RSSH,simple,"['R', 'IY', 'T', 'EY', 'L']"
fence,real,4.21,high,"['F', 'EH1', 'N', 'S']",4,short,RSSH,simple,"['F', 'EH', 'N', 'S']"
dwarf,real,3.75,high,"['D', 'W', 'AO1', 'R', 'F']",5,short,RSSH,simple,"['D', 'W', 'AO', 'R', 'F']"
jet,real,4.29,high,"['JH', 'EH1', 'T']",3,short,RSSH,simple,"['JH', 'EH', 'T']"
ring,real,4.81,high,"['R', 'IH1', 'NG']",3,short,RSSH,simple,"['R', 'IH', 'NG']"
sibling,real,3.61,high,"['S', 'IH1', 'B', 'L', 'IH0', 'NG']",6,short,RSSH,simple,"['S', 'IH', 'B', 'L', 'IH', 'NG']"
gray,real,4.45,high,"['G', 'R', 'EY1']",3,short,RSSH,simple,"['G', 'R', 'EY']"
costume,real,4.18,high,"['K', 'AA0', 'S', 'T', 'UW1', 'M']",6,short,RSSH,simple,"['K', 'AA', 'S', 'T', 'UW', 'M']"
place,real,5.71,high,"['P', 'L', 'EY1', 'S']",4,short,RSSH,simple,"['P', 'L', 'EY', 'S']"
blast,real,4.32,high,"['B', 'L', 'AE1', 'S', 'T']",5,short,RSSH,simple,"['B', 'L', 'AE', 'S', 'T']"
yacht,real,3.82,high,"['Y', 'AA1', 'T']",3,short,RSSH,simple,"['Y', 'AA', 'T']"
fan,real,4.92,high,"['F', 'AE1', 'N']",3,short,RSSH,simple,"['F', 'AE', 'N']"
quarter,real,4.72,high,"['K', 'W', 'AO1', 'R', 'T', 'ER0']",6,short,RSSH,simple,"['K', 'W', 'AO', 'R', 'T', 'ER']"
caffeine,real,3.67,high,"['K', 'AE0', 'F', 'IY1', 'N']",5,short,RSSH,simple,"['K', 'AE', 'F', 'IY', 'N']"
info,real,4.6,high,"['IH1', 'N', 'F', 'OW0']",4,short,RSSH,simple,"['IH', 'N', 'F', 'OW']"
drown,real,3.68,high,"['D', 'R', 'AW1', 'N']",4,short,RSSH,simple,"['D', 'R', 'AW', 'N']"
fringe,real,3.86,high,"['F', 'R', 'IH1', 'N', 'JH']",5,short,RSSH,simple,"['F', 'R', 'IH', 'N', 'JH']"
just,real,6.43,high,"['JH', 'AH1', 'S', 'T']",4,short,RSSH,simple,"['JH', 'AH', 'S', 'T']"
capsule,real,3.7,high,"['K', 'AE1', 'P', 'S', 'AH0', 'L']",6,short,RSSH,simple,"['K', 'AE', 'P', 'S', 'AH', 'L']"
tier,real,4.16,high,"['T', 'IY1', 'R']",3,short,RSSH,simple,"['T', 'IY', 'R']"
captain,real,4.89,high,"['K', 'AE1', 'P', 'T', 'AH0', 'N']",6,short,RSSH,simple,"['K', 'AE', 'P', 'T', 'AH', 'N']"
holly,real,3.88,high,"['HH', 'AA1', 'L', 'IY0']",4,short,RSSH,simple,"['HH', 'AA', 'L', 'IY']"
reach,real,4.94,high,"['R', 'IY1', 'CH']",3,short,RSSH,simple,"['R', 'IY', 'CH']"
period,real,5.21,high,"['P', 'IH1', 'R', 'IY0', 'AH0', 'D']",6,short,RSSH,simple,"['P', 'IH', 'R', 'IY', 'AH', 'D']"
magic,real,4.76,high,"['M', 'AE1', 'JH', 'IH0', 'K']",5,short,RSSH,simple,"['M', 'AE', 'JH', 'IH', 'K']"
disturb,real,3.56,high,"['D', 'IH0', 'S', 'T', 'ER1', 'B']",6,short,RSSH,simple,"['D', 'IH', 'S', 'T', 'ER', 'B']"
crucial,real,4.28,high,"['K', 'R', 'UW1', 'SH', 'AH0', 'L']",6,short,RSSH,simple,"['K', 'R', 'UW', 'SH', 'AH', 'L']"
notre,real,3.67,high,"['N', 'OW1', 'T', 'R', 'AH0']",5,short,RSSH,simple,"['N', 'OW', 'T', 'R', 'AH']"
fail,real,4.61,high,"['F', 'EY1', 'L']",3,short,RSSH,simple,"['F', 'EY', 'L']"
aurora,real,3.73,high,"['ER0', 'AO1', 'R', 'AH0']",4,short,RSSH,simple,"['ER', 'AO', 'R', 'AH']"
delete,real,4.22,high,"['D', 'IH0', 'L', 'IY1', 'T']",5,short,RSSH,simple,"['D', 'IH', 'L', 'IY', 'T']"
saudi,real,4.31,high,"['S', 'AO1', 'D', 'IY0']",4,short,RSSH,simple,"['S', 'AO', 'D', 'IY']"
carey,real,3.73,high,"['K', 'EH1', 'R', 'IY0']",4,short,RSSH,simple,"['K', 'EH', 'R', 'IY']"
fever,real,4.22,high,"['F', 'IY1', 'V', 'ER0']",4,short,RSSH,simple,"['F', 'IY', 'V', 'ER']"
weather,real,4.87,high,"['W', 'EH1', 'DH', 'ER0']",4,short,RSSH,simple,"['W', 'EH', 'DH', 'ER']"
acre,real,3.93,high,"['EY1', 'K', 'ER0']",3,short,RSSH,simple,"['EY', 'K', 'ER']"
favor,real,4.58,high,"['F', 'EY1', 'V', 'ER0']",4,short,RSSH,simple,"['F', 'EY', 'V', 'ER']"
silence,real,4.46,high,"['S', 'AY1', 'L', 'AH0', 'N', 'S']",6,short,RSSH,simple,"['S', 'AY', 'L', 'AH', 'N', 'S']"
diet,real,4.57,high,"['D', 'AY1', 'AH0', 'T']",4,short,RSSH,simple,"['D', 'AY', 'AH', 'T']"
punch,real,4.32,high,"['P', 'AH1', 'N', 'CH']",4,short,RSSH,simple,"['P', 'AH', 'N', 'CH']"
flux,real,3.57,high,"['F', 'L', 'AH1', 'K', 'S']",5,short,RSSH,simple,"['F', 'L', 'AH', 'K', 'S']"
heaven,real,4.58,high,"['HH', 'EH1', 'V', 'AH0', 'N']",5,short,RSSH,simple,"['HH', 'EH', 'V', 'AH', 'N']"
second,real,5.63,high,"['S', 'EH1', 'K', 'AH0', 'N', 'D']",6,short,RSSH,simple,"['S', 'EH', 'K', 'AH', 'N', 'D']"
will,real,6.45,high,"['W', 'IH1', 'L']",3,short,RSSH,simple,"['W', 'IH', 'L']"
guard,real,4.73,high,"['G', 'AA1', 'R', 'D']",4,short,RSSH,simple,"['G', 'AA', 'R', 'D']"
nun,real,3.64,high,"['N', 'AH1', 'N']",3,short,RSSH,simple,"['N', 'AH', 'N']"
drove,real,4.36,high,"['D', 'R', 'OW1', 'V']",4,short,RSSH,simple,"['D', 'R', 'OW', 'V']"
butcher,real,3.75,high,"['B', 'UH1', 'CH', 'ER0']",4,short,RSSH,simple,"['B', 'UH', 'CH', 'ER']"
purpose,real,4.88,high,"['P', 'ER1', 'P', 'AH0', 'S']",5,short,RSSH,simple,"['P', 'ER', 'P', 'AH', 'S']"
fuel,real,4.72,high,"['F', 'Y', 'UW1', 'AH0', 'L']",5,short,RSSH,simple,"['F', 'Y', 'UW', 'AH', 'L']"
scope,real,4.26,high,"['S', 'K', 'OW1', 'P']",4,short,RSSH,simple,"['S', 'K', 'OW', 'P']"
spine,real,3.93,high,"['S', 'P', 'AY1', 'N']",4,short,RSSH,simple,"['S', 'P', 'AY', 'N']"
romance,real,4.32,high,"['R', 'OW0', 'M', 'AE1', 'N', 'S']",6,short,RSSH,simple,"['R', 'OW', 'M', 'AE', 'N', 'S']"
cell,real,4.87,high,"['S', 'EH1', 'L']",3,short,RSSH,simple,"['S', 'EH', 'L']"
ridge,real,4.12,high,"['R', 'IH1', 'JH']",3,short,RSSH,simple,"['R', 'IH', 'JH']"
view,real,5.19,high,"['V', 'Y', 'UW1']",3,short,RSSH,simple,"['V', 'Y', 'UW']"
ellie,real,3.62,high,"['EH1', 'L', 'IY0']",3,short,RSSH,simple,"['EH', 'L', 'IY']"
delay,real,4.4,high,"['D', 'IH0', 'L', 'EY1']",4,short,RSSH,simple,"['D', 'IH', 'L', 'EY']"
choke,real,3.72,high,"['CH', 'OW1', 'K']",3,short,RSSH,simple,"['CH', 'OW', 'K']"
gym,real,4.43,high,"['JH', 'IH1', 'M']",3,short,RSSH,simple,"['JH', 'IH', 'M']"
bloc,real,3.6,high,"['B', 'L', 'AA1', 'K']",4,short,RSSH,simple,"['B', 'L', 'AA', 'K']"
rob,real,4.35,high,"['R', 'AA1', 'B']",3,short,RSSH,simple,"['R', 'AA', 'B']"
flew,real,4.16,high,"['F', 'L', 'UW1']",3,short,RSSH,simple,"['F', 'L', 'UW']"
depot,real,3.95,high,"['D', 'IY1', 'P', 'OW0']",4,short,RSSH,simple,"['D', 'IY', 'P', 'OW']"
