Word,Lexicality,Zipf Frequency,Frequency,Phonemes,Length,Size,Morphology,Condition,Part of Speech,Root,Lemma,Zipf Lemma Frequency,No Stress
corrective,real,3.29,low,"['K', 'ER0', 'EH1', 'K', 'T', 'IH0', 'V']",7,long,complex,RLCL,,,,,"['K', 'ER', 'EH', 'K', 'T', 'IH', 'V']"
joviality,real,1.62,low,"['JH', 'OW2', 'V', 'IY0', 'AE1', 'L', 'AH0', 'T', 'IY0']",9,long,complex,RLCL,,,,,"['JH', 'OW', 'V', 'IY', 'AE', 'L', 'AH', 'T', 'IY']"
distempered,real,1.24,low,"['D', 'IH0', 'S', 'T', 'EH1', 'M', 'P', 'ER0', 'D']",9,long,complex,RLCL,,,,,"['D', 'IH', 'S', 'T', 'EH', 'M', 'P', 'ER', 'D']"
practised,real,3.33,low,"['P', 'R', 'AE1', 'K', 'T', 'AH0', 'S', 'T']",8,long,complex,RLCL,,,,,"['P', 'R', 'AE', 'K', 'T', 'AH', 'S', 'T']"
decadent,real,3.04,low,"['D', 'EH1', 'K', 'AH0', 'D', 'AH0', 'N', 'T']",8,long,complex,RLCL,,,,,"['D', 'EH', 'K', 'AH', 'D', 'AH', 'N', 'T']"
affability,real,1.82,low,"['AE2', 'F', 'AH0', 'B', 'IH1', 'L', 'AH0', 'T', 'IY0']",9,long,complex,RLCL,,,,,"['AE', 'F', 'AH', 'B', 'IH', 'L', 'AH', 'T', 'IY']"
fatherless,real,2.61,low,"['F', 'AA1', 'DH', 'ER0', 'L', 'AH0', 'S']",7,long,complex,RLCL,,,,,"['F', 'AA', 'DH', 'ER', 'L', 'AH', 'S']"
proscribed,real,2.6,low,"['P', 'R', 'OW0', 'S', 'K', 'R', 'AY1', 'B', 'D']",9,long,complex,RLCL,,,,,"['P', 'R', 'OW', 'S', 'K', 'R', 'AY', 'B', 'D']"
doctorate,real,3.38,low,"['D', 'AA1', 'K', 'T', 'ER0', 'AH0', 'T']",7,long,complex,RLCL,,,,,"['D', 'AA', 'K', 'T', 'ER', 'AH', 'T']"
millionth,real,2.82,low,"['M', 'IH1', 'L', 'Y', 'AH0', 'N', 'TH']",7,long,complex,RLCL,,,,,"['M', 'IH', 'L', 'Y', 'AH', 'N', 'TH']"
apprehend,real,3.02,low,"['AE2', 'P', 'R', 'IH0', 'HH', 'EH1', 'N', 'D']",8,long,complex,RLCL,,,,,"['AE', 'P', 'R', 'IH', 'HH', 'EH', 'N', 'D']"
misguiding,real,1.48,low,"['M', 'IH0', 'S', 'G', 'AY1', 'D', 'AH0', 'D']",8,long,complex,RLCL,,,,,"['M', 'IH', 'S', 'G', 'AY', 'D', 'AH', 'D']"
literatures,real,2.63,low,"['L', 'IH1', 'T', 'ER0', 'AH0', 'T', 'AO2', 'R', 'Z']",9,long,complex,RLCL,,,,,"['L', 'IH', 'T', 'ER', 'AH', 'T', 'AO', 'R', 'Z']"
regressed,real,2.53,low,"['R', 'IH0', 'G', 'R', 'EH1', 'S', 'T']",7,long,complex,RLCL,,,,,"['R', 'IH', 'G', 'R', 'EH', 'S', 'T']"
colloquial,real,2.93,low,"['K', 'AH0', 'L', 'OW1', 'K', 'W', 'IY0', 'AH0', 'L']",9,long,complex,RLCL,,,,,"['K', 'AH', 'L', 'OW', 'K', 'W', 'IY', 'AH', 'L']"
cricketer,real,3.25,low,"['K', 'R', 'IH1', 'K', 'AH0', 'T', 'ER0']",7,long,complex,RLCL,,,,,"['K', 'R', 'IH', 'K', 'AH', 'T', 'ER']"
conquerors,real,2.78,low,"['K', 'AA1', 'NG', 'K', 'ER0', 'ER0', 'Z']",7,long,complex,RLCL,,,,,"['K', 'AA', 'NG', 'K', 'ER', 'ER', 'Z']"
panellists,real,2.28,low,"['P', 'AE1', 'N', 'AH0', 'L', 'AH0', 'S', 'T', 'S']",9,long,complex,RLCL,,,,,"['P', 'AE', 'N', 'AH', 'L', 'AH', 'S', 'T', 'S']"
felicitous,real,1.86,low,"['F', 'IH0', 'L', 'IH1', 'S', 'AH0', 'T', 'AH0', 'S']",9,long,complex,RLCL,,,,,"['F', 'IH', 'L', 'IH', 'S', 'AH', 'T', 'AH', 'S']"
revocable,real,2.36,low,"['R', 'EH1', 'V', 'AH0', 'K', 'AH0', 'B', 'AH0', 'L']",9,long,complex,RLCL,,,,,"['R', 'EH', 'V', 'AH', 'K', 'AH', 'B', 'AH', 'L']"
begetting,real,1.83,low,"['B', 'IH0', 'G', 'EH1', 'T', 'IH0', 'NG']",7,long,complex,RLCL,,,,,"['B', 'IH', 'G', 'EH', 'T', 'IH', 'NG']"
implored,real,2.66,low,"['IH0', 'M', 'P', 'L', 'AO1', 'R', 'D']",7,long,complex,RLCL,,,,,"['IH', 'M', 'P', 'L', 'AO', 'R', 'D']"
bedazzled,real,2.29,low,"['B', 'IH0', 'D', 'AE1', 'Z', 'AH0', 'L', 'D']",8,long,complex,RLCL,,,,,"['B', 'IH', 'D', 'AE', 'Z', 'AH', 'L', 'D']"
accredits,real,1.86,low,"['AH0', 'K', 'R', 'EH1', 'D', 'AH0', 'T', 'S']",8,long,complex,RLCL,,,,,"['AH', 'K', 'R', 'EH', 'D', 'AH', 'T', 'S']"
expertly,real,2.93,low,"['EH1', 'K', 'S', 'P', 'ER0', 'T', 'L', 'IY0']",8,long,complex,RLCL,,,,,"['EH', 'K', 'S', 'P', 'ER', 'T', 'L', 'IY']"
postpone,real,3.48,low,"['P', 'OW0', 'S', 'T', 'P', 'OW1', 'N']",7,long,complex,RLCL,,,,,"['P', 'OW', 'S', 'T', 'P', 'OW', 'N']"
engrossing,real,2.74,low,"['IH0', 'N', 'G', 'R', 'OW1', 'S', 'IH0', 'NG']",8,long,complex,RLCL,,,,,"['IH', 'N', 'G', 'R', 'OW', 'S', 'IH', 'NG']"
summarizes,real,3.12,low,"['S', 'AH1', 'M', 'ER0', 'AY2', 'Z', 'IH0', 'Z']",8,long,complex,RLCL,,,,,"['S', 'AH', 'M', 'ER', 'AY', 'Z', 'IH', 'Z']"
harvesters,real,2.53,low,"['HH', 'AA1', 'R', 'V', 'AH0', 'S', 'T', 'ER0', 'Z']",9,long,complex,RLCL,,,,,"['HH', 'AA', 'R', 'V', 'AH', 'S', 'T', 'ER', 'Z']"
overhangs,real,2.34,low,"['OW1', 'V', 'ER0', 'HH', 'AE2', 'NG', 'Z']",7,long,complex,RLCL,,,,,"['OW', 'V', 'ER', 'HH', 'AE', 'NG', 'Z']"
paranoiacs,real,1.03,low,"['P', 'EH2', 'R', 'AH0', 'N', 'OY1', 'K', 'IY0', 'Z']",9,long,complex,RLCL,,,,,"['P', 'EH', 'R', 'AH', 'N', 'OY', 'K', 'IY', 'Z']"
receptions,real,3.16,low,"['R', 'IH0', 'S', 'EH1', 'P', 'SH', 'AH0', 'N', 'Z']",9,long,complex,RLCL,,,,,"['R', 'IH', 'S', 'EH', 'P', 'SH', 'AH', 'N', 'Z']"
germinate,real,2.63,low,"['JH', 'ER1', 'M', 'AH0', 'N', 'EY2', 'T']",7,long,complex,RLCL,,,,,"['JH', 'ER', 'M', 'AH', 'N', 'EY', 'T']"
remarries,real,1.95,low,"['R', 'IY0', 'M', 'EH1', 'R', 'IY0', 'Z']",7,long,complex,RLCL,,,,,"['R', 'IY', 'M', 'EH', 'R', 'IY', 'Z']"
globules,real,2.01,low,"['G', 'L', 'OW1', 'B', 'AH0', 'L', 'Z']",7,long,complex,RLCL,,,,,"['G', 'L', 'OW', 'B', 'AH', 'L', 'Z']"
decimating,real,2.33,low,"['D', 'EH1', 'S', 'AH0', 'M', 'EY2', 'T', 'IH0', 'NG']",9,long,complex,RLCL,,,,,"['D', 'EH', 'S', 'AH', 'M', 'EY', 'T', 'IH', 'NG']"
clamorous,real,1.87,low,"['K', 'L', 'AE1', 'M', 'ER0', 'AH0', 'S']",7,long,complex,RLCL,,,,,"['K', 'L', 'AE', 'M', 'ER', 'AH', 'S']"
onrushing,real,1.76,low,"['AA1', 'N', 'R', 'AH2', 'SH', 'IH0', 'NG']",7,long,complex,RLCL,,,,,"['AA', 'N', 'R', 'AH', 'SH', 'IH', 'NG']"
idolizes,real,2.22,low,"['AY1', 'D', 'AH0', 'L', 'AY2', 'Z', 'IH0', 'Z']",8,long,complex,RLCL,,,,,"['AY', 'D', 'AH', 'L', 'AY', 'Z', 'IH', 'Z']"
unassuming,real,2.82,low,"['AH2', 'N', 'AH0', 'S', 'UW1', 'M', 'IH0', 'NG']",8,long,complex,RLCL,,,,,"['AH', 'N', 'AH', 'S', 'UW', 'M', 'IH', 'NG']"
unmodified,real,2.59,low,"['AH0', 'N', 'M', 'AA1', 'F', 'AH0', 'D', 'IY2', 'D']",9,long,complex,RLCL,,,,,"['AH', 'N', 'M', 'AA', 'F', 'AH', 'D', 'IY', 'D']"
fluorescing,real,1.37,low,"['F', 'L', 'UH1', 'R', 'S', 'IH0', 'NG']",7,long,complex,RLCL,,,,,"['F', 'L', 'UH', 'R', 'S', 'IH', 'NG']"
interweave,real,1.9,low,"['IH2', 'N', 'T', 'ER0', 'W', 'IY1', 'V']",7,long,complex,RLCL,,,,,"['IH', 'N', 'T', 'ER', 'W', 'IY', 'V']"
staunchly,real,2.69,low,"['S', 'T', 'AO1', 'N', 'CH', 'L', 'IY0']",7,long,complex,RLCL,,,,,"['S', 'T', 'AO', 'N', 'CH', 'L', 'IY']"
hotelier,real,2.39,low,"['HH', 'OW0', 'T', 'EH1', 'L', 'Y', 'ER0']",7,long,complex,RLCL,,,,,"['HH', 'OW', 'T', 'EH', 'L', 'Y', 'ER']"
mistrials,real,1.26,low,"['M', 'IH0', 'S', 'T', 'R', 'AY1', 'AH0', 'L', 'Z']",9,long,complex,RLCL,,,,,"['M', 'IH', 'S', 'T', 'R', 'AY', 'AH', 'L', 'Z']"
grimmest,real,1.63,low,"['G', 'R', 'IH1', 'M', 'AH0', 'S', 'T']",7,long,complex,RLCL,,,,,"['G', 'R', 'IH', 'M', 'AH', 'S', 'T']"
demagogy,real,1.53,low,"['D', 'EH1', 'M', 'AH0', 'G', 'AA2', 'JH', 'IY0']",8,long,complex,RLCL,,,,,"['D', 'EH', 'M', 'AH', 'G', 'AA', 'JH', 'IY']"
anxieties,real,3.13,low,"['AE0', 'NG', 'Z', 'AY1', 'AH0', 'T', 'IY0', 'Z']",8,long,complex,RLCL,,,,,"['AE', 'NG', 'Z', 'AY', 'AH', 'T', 'IY', 'Z']"
investiture,real,2.49,low,"['IH0', 'N', 'V', 'EH1', 'S', 'T', 'AH0', 'CH', 'ER0']",9,long,complex,RLCL,,,,,"['IH', 'N', 'V', 'EH', 'S', 'T', 'AH', 'CH', 'ER']"
coincided,real,3.35,low,"['K', 'OW2', 'AH0', 'N', 'S', 'AY1', 'D', 'AH0', 'D']",9,long,complex,RLCL,,,,,"['K', 'OW', 'AH', 'N', 'S', 'AY', 'D', 'AH', 'D']"
disproof,real,1.58,low,"['D', 'IH1', 'S', 'P', 'R', 'UW2', 'F']",7,long,complex,RLCL,,,,,"['D', 'IH', 'S', 'P', 'R', 'UW', 'F']"
vulgarian,real,1.5,low,"['V', 'AH0', 'L', 'G', 'EH1', 'R', 'IY0', 'AH0', 'N']",9,long,complex,RLCL,,,,,"['V', 'AH', 'L', 'G', 'EH', 'R', 'IY', 'AH', 'N']"
restocking,real,2.6,low,"['R', 'IY0', 'S', 'T', 'AA1', 'K', 'IH0', 'NG']",8,long,complex,RLCL,,,,,"['R', 'IY', 'S', 'T', 'AA', 'K', 'IH', 'NG']"
unbuckled,real,1.9,low,"['AH0', 'N', 'B', 'AH1', 'K', 'AH0', 'L', 'D']",8,long,complex,RLCL,,,,,"['AH', 'N', 'B', 'AH', 'K', 'AH', 'L', 'D']"
ugliest,real,2.98,low,"['AH1', 'G', 'L', 'IY0', 'AH0', 'S', 'T']",7,long,complex,RLCL,,,,,"['AH', 'G', 'L', 'IY', 'AH', 'S', 'T']"
sympathized,real,2.46,low,"['S', 'IH1', 'M', 'P', 'AH0', 'TH', 'AY2', 'Z', 'D']",9,long,complex,RLCL,,,,,"['S', 'IH', 'M', 'P', 'AH', 'TH', 'AY', 'Z', 'D']"
chlorides,real,2.14,low,"['K', 'L', 'AO1', 'R', 'IH0', 'D', 'Z']",7,long,complex,RLCL,,,,,"['K', 'L', 'AO', 'R', 'IH', 'D', 'Z']"
rearming,real,1.91,low,"['R', 'IY1', 'AA1', 'R', 'M', 'IH0', 'NG']",7,long,complex,RLCL,,,,,"['R', 'IY', 'AA', 'R', 'M', 'IH', 'NG']"
ensnared,real,2.32,low,"['IH0', 'N', 'S', 'N', 'EH1', 'R', 'D']",7,long,complex,RLCL,,,,,"['IH', 'N', 'S', 'N', 'EH', 'R', 'D']"
antigens,real,2.92,low,"['AE1', 'N', 'T', 'IH0', 'JH', 'AH0', 'N', 'Z']",8,long,complex,RLCL,,,,,"['AE', 'N', 'T', 'IH', 'JH', 'AH', 'N', 'Z']"
sensitized,real,2.39,low,"['S', 'EH1', 'N', 'S', 'AH0', 'T', 'AY2', 'Z', 'D']",9,long,complex,RLCL,,,,,"['S', 'EH', 'N', 'S', 'AH', 'T', 'AY', 'Z', 'D']"
uncharged,real,2.1,low,"['AH0', 'N', 'CH', 'AA1', 'R', 'JH', 'D']",7,long,complex,RLCL,,,,,"['AH', 'N', 'CH', 'AA', 'R', 'JH', 'D']"
daftness,real,1.08,low,"['D', 'AE1', 'F', 'T', 'N', 'AH0', 'S']",7,long,complex,RLCL,,,,,"['D', 'AE', 'F', 'T', 'N', 'AH', 'S']"
autumnal,real,2.76,low,"['AO0', 'T', 'AH1', 'M', 'N', 'AH0', 'L']",7,long,complex,RLCL,,,,,"['AO', 'T', 'AH', 'M', 'N', 'AH', 'L']"
overworked,real,3.0,low,"['OW2', 'V', 'ER0', 'W', 'ER1', 'K', 'T']",7,long,complex,RLCL,,,,,"['OW', 'V', 'ER', 'W', 'ER', 'K', 'T']"
indentured,real,2.76,low,"['IH0', 'N', 'D', 'EH1', 'N', 'CH', 'ER0', 'D']",8,long,complex,RLCL,,,,,"['IH', 'N', 'D', 'EH', 'N', 'CH', 'ER', 'D']"
platonic,real,3.2,low,"['P', 'L', 'AH0', 'T', 'AA1', 'N', 'IH0', 'K']",8,long,complex,RLCL,,,,,"['P', 'L', 'AH', 'T', 'AA', 'N', 'IH', 'K']"
colorless,real,3.02,low,"['K', 'AH1', 'L', 'ER0', 'L', 'AH0', 'S']",7,long,complex,RLCL,,,,,"['K', 'AH', 'L', 'ER', 'L', 'AH', 'S']"
boldest,real,2.53,low,"['B', 'OW1', 'L', 'D', 'IH0', 'S', 'T']",7,long,complex,RLCL,,,,,"['B', 'OW', 'L', 'D', 'IH', 'S', 'T']"
irradiated,real,2.93,low,"['IH0', 'R', 'EY1', 'D', 'IY0', 'EY2', 'T', 'IH0', 'D']",9,long,complex,RLCL,,,,,"['IH', 'R', 'EY', 'D', 'IY', 'EY', 'T', 'IH', 'D']"
aseptic,real,2.23,low,"['AH0', 'S', 'EH1', 'P', 'T', 'IH0', 'K']",7,long,complex,RLCL,,,,,"['AH', 'S', 'EH', 'P', 'T', 'IH', 'K']"
signify,real,3.22,low,"['S', 'IH1', 'G', 'N', 'AH0', 'F', 'AY2']",7,long,complex,RLCL,,,,,"['S', 'IH', 'G', 'N', 'AH', 'F', 'AY']"
collisions,real,3.39,low,"['K', 'AH0', 'L', 'IH1', 'ZH', 'AH0', 'N', 'Z']",8,long,complex,RLCL,,,,,"['K', 'AH', 'L', 'IH', 'ZH', 'AH', 'N', 'Z']"
provisioned,real,2.34,low,"['P', 'R', 'AH0', 'V', 'IH1', 'ZH', 'AH0', 'N', 'D']",9,long,complex,RLCL,,,,,"['P', 'R', 'AH', 'V', 'IH', 'ZH', 'AH', 'N', 'D']"
impresses,real,2.87,low,"['IH0', 'M', 'P', 'R', 'EH1', 'S', 'IH0', 'Z']",8,long,complex,RLCL,,,,,"['IH', 'M', 'P', 'R', 'EH', 'S', 'IH', 'Z']"
enkindle,real,1.33,low,"['EH0', 'N', 'K', 'AY1', 'N', 'D', 'AH0', 'L']",8,long,complex,RLCL,,,,,"['EH', 'N', 'K', 'AY', 'N', 'D', 'AH', 'L']"
abbreviate,real,2.23,low,"['AH0', 'B', 'R', 'IY1', 'V', 'IY0', 'EY2', 'T']",8,long,complex,RLCL,,,,,"['AH', 'B', 'R', 'IY', 'V', 'IY', 'EY', 'T']"
crisply,real,2.21,low,"['K', 'R', 'IH1', 'S', 'P', 'L', 'IY0']",7,long,complex,RLCL,,,,,"['K', 'R', 'IH', 'S', 'P', 'L', 'IY']"
