Word,Lexicality,Zipf Frequency,Frequency,Phonemes,No Stress,Length,Size
alvarez,real,3.4,low,"['AE1', 'L', 'V', 'ER0', 'EH2', 'Z']","['AE', 'L', 'V', 'ER', 'EH', 'Z']",6,short
alvin,real,3.4,low,"['AE1', 'L', 'V', 'IH0', 'N']","['AE', 'L', 'V', 'IH', 'N']",5,short
alyssum,real,1.62,low,"['AH0', 'L', 'IH1', 'S', 'AH0', 'M']","['AH', 'L', 'IH', 'S', 'AH', 'M']",6,short
amalgam,real,2.85,low,"['AH0', 'M', 'AE1', 'L', 'G', 'AH0', 'M']","['AH', 'M', 'AE', 'L', 'G', 'AH', 'M']",7,long
amaryllis,real,2.14,low,"['AE2', 'M', 'ER0', 'IH1', 'L', 'AH0', 'S']","['AE', 'M', 'ER', 'IH', 'L', 'AH', 'S']",7,long
amaze,real,3.19,low,"['AH0', 'M', 'EY1', 'Z']","['AH', 'M', 'EY', 'Z']",4,short
ambergris,real,2.15,low,"['AE1', 'M', 'B', 'ER0', 'G', 'R', 'IH0', 'S']","['AE', 'M', 'B', 'ER', 'G', 'R', 'IH', 'S']",8,long
ambit,real,2.45,low,"['AE1', 'M', 'B', 'IH0', 'T']","['AE', 'M', 'B', 'IH', 'T']",5,short
amble,real,2.3,low,"['AE1', 'M', 'B', 'AH0', 'L']","['AE', 'M', 'B', 'AH', 'L']",5,short
ambuscade,real,1.62,low,"['AE1', 'M', 'B', 'AH0', 'S', 'K', 'EY2', 'D']","['AE', 'M', 'B', 'AH', 'S', 'K', 'EY', 'D']",8,long
ambush,real,3.55,high,"['AE1', 'M', 'B', 'UH2', 'SH']","['AE', 'M', 'B', 'UH', 'SH']",5,short
amend,real,3.55,high,"['AH0', 'M', 'EH1', 'N', 'D']","['AH', 'M', 'EH', 'N', 'D']",5,short
amenity,real,2.75,low,"['AH0', 'M', 'EH1', 'N', 'AH0', 'T', 'IY0']","['AH', 'M', 'EH', 'N', 'AH', 'T', 'IY']",7,long
ammoniac,real,1.33,low,"['AH0', 'M', 'AA1', 'N', 'IY0', 'AE0', 'K']","['AH', 'M', 'AA', 'N', 'IY', 'AE', 'K']",7,long
amethyst,real,3.01,low,"['AE1', 'M', 'IH0', 'TH', 'IH0', 'S', 'T']","['AE', 'M', 'IH', 'TH', 'IH', 'S', 'T']",7,long
amir,real,3.4,low,"['AH0', 'M', 'IH1', 'R']","['AH', 'M', 'IH', 'R']",4,short
amis,real,2.87,low,"['AE1', 'M', 'IH0', 'S']","['AE', 'M', 'IH', 'S']",4,short
ammeter,real,1.72,low,"['AE1', 'M', 'IY2', 'T', 'ER0']","['AE', 'M', 'IY', 'T', 'ER']",5,short
amnesty,real,3.63,high,"['AE1', 'M', 'N', 'AH0', 'S', 'T', 'IY0']","['AE', 'M', 'N', 'AH', 'S', 'T', 'IY']",7,long
amoebae,real,1.86,low,"['AH0', 'M', 'IY1', 'B', 'IY2']","['AH', 'M', 'IY', 'B', 'IY']",5,short
amoeba,real,2.64,low,"['AH0', 'M', 'IY1', 'B', 'AH0']","['AH', 'M', 'IY', 'B', 'AH']",5,short
amoebic,real,1.79,low,"['AH0', 'M', 'IY1', 'B', 'IH0', 'K']","['AH', 'M', 'IY', 'B', 'IH', 'K']",6,short
amos,real,3.48,low,"['EY1', 'M', 'AH0', 'S']","['EY', 'M', 'AH', 'S']",4,short
amour,real,3.03,low,"['AH0', 'M', 'AO1', 'R']","['AH', 'M', 'AO', 'R']",4,short
ampere,real,2.21,low,"['AE1', 'M', 'P', 'ER0']","['AE', 'M', 'P', 'ER']",4,short
ampersand,real,2.15,low,"['AE1', 'M', 'P', 'ER0', 'S', 'AE2', 'N', 'D']","['AE', 'M', 'P', 'ER', 'S', 'AE', 'N', 'D']",8,long
amphora,real,2.21,low,"['AE1', 'M', 'F', 'ER0', 'AH0']","['AE', 'M', 'F', 'ER', 'AH']",5,short
ampoule,real,2.04,low,"['AH0', 'M', 'P', 'AW1', 'L']","['AH', 'M', 'P', 'AW', 'L']",5,short
amp,real,3.8,high,"['AE1', 'M', 'P']","['AE', 'M', 'P']",3,short
amuse,real,3.12,low,"['AH0', 'M', 'Y', 'UW1', 'Z']","['AH', 'M', 'Y', 'UW', 'Z']",5,short
ana,real,3.89,high,"['AA1', 'N', 'AH0']","['AA', 'N', 'AH']",3,short
anabel,real,2.1,low,"['AE1', 'N', 'AH0', 'B', 'AH0', 'L']","['AE', 'N', 'AH', 'B', 'AH', 'L']",6,short
anaemia,real,2.51,low,"['AH0', 'N', 'EY1', 'M', 'IY0', 'AH0']","['AH', 'N', 'EY', 'M', 'IY', 'AH']",6,short
anaemic,real,2.23,low,"['AH0', 'N', 'EY1', 'M', 'IH0', 'K']","['AH', 'N', 'EY', 'M', 'IH', 'K']",6,short
anaesthesia,real,2.71,low,"['AE2', 'N', 'AH0', 'S', 'TH', 'IY1', 'ZH', 'AH0']","['AE', 'N', 'AH', 'S', 'TH', 'IY', 'ZH', 'AH']",8,long
analgesia,real,2.37,low,"['AE2', 'N', 'AH0', 'L', 'JH', 'IY1', 'G', 'IY0', 'AH0']","['AE', 'N', 'AH', 'L', 'JH', 'IY', 'G', 'IY', 'AH']",9,long
analgesic,real,2.68,low,"['AE2', 'N', 'AH0', 'L', 'JH', 'IY1', 'S', 'IH0', 'K']","['AE', 'N', 'AH', 'L', 'JH', 'IY', 'S', 'IH', 'K']",9,long
analog,real,3.73,high,"['AE1', 'N', 'AH0', 'L', 'AO2', 'G']","['AE', 'N', 'AH', 'L', 'AO', 'G']",6,short
analyse,real,3.47,low,"['AE1', 'N', 'AH0', 'L', 'AY2', 'Z']","['AE', 'N', 'AH', 'L', 'AY', 'Z']",6,short
anathema,real,2.79,low,"['AH0', 'N', 'AE1', 'TH', 'AH0', 'M', 'AH0']","['AH', 'N', 'AE', 'TH', 'AH', 'M', 'AH']",7,long
anchorite,real,1.65,low,"['AE1', 'NG', 'K', 'ER0', 'AY2', 'T']","['AE', 'NG', 'K', 'ER', 'AY', 'T']",6,short
anchovy,real,2.58,low,"['AE0', 'N', 'CH', 'OW1', 'V', 'IY0']","['AE', 'N', 'CH', 'OW', 'V', 'IY']",6,short
ancillary,real,3.06,low,"['AE1', 'N', 'S', 'AH0', 'L', 'EH2', 'R', 'IY0']","['AE', 'N', 'S', 'AH', 'L', 'EH', 'R', 'IY']",8,long
andante,real,2.25,low,"['AA0', 'N', 'D', 'AA1', 'N', 'T', 'EY0']","['AA', 'N', 'D', 'AA', 'N', 'T', 'EY']",7,long
anders,real,3.4,low,"['AE1', 'N', 'D', 'ER0', 'Z']","['AE', 'N', 'D', 'ER', 'Z']",5,short
anderson,real,4.36,high,"['AE1', 'N', 'D', 'ER0', 'S', 'AH0', 'N']","['AE', 'N', 'D', 'ER', 'S', 'AH', 'N']",7,long
andorra,real,2.69,low,"['AE0', 'N', 'D', 'AO1', 'R', 'AH0']","['AE', 'N', 'D', 'AO', 'R', 'AH']",6,short
andrei,real,3.23,low,"['AE1', 'N', 'D', 'R', 'EY2']","['AE', 'N', 'D', 'R', 'EY']",5,short
andrews,real,3.93,high,"['AE1', 'N', 'D', 'R', 'UW2', 'Z']","['AE', 'N', 'D', 'R', 'UW', 'Z']",6,short
andromache,real,1.87,low,"['AE0', 'N', 'D', 'R', 'AA1', 'M', 'AH0', 'CH']","['AE', 'N', 'D', 'R', 'AA', 'M', 'AH', 'CH']",8,long
'tis,real,3.6,high,"[""'"", ' ', 'T', 'IH1', 'Z']","[""'"", ' ', 'T', 'IH', 'Z']",5,short
a,real,7.36,high,['AH0'],['AH'],1,short
abacus,real,2.65,low,"['AE1', 'B', 'AH0', 'K', 'AH0', 'S']","['AE', 'B', 'AH', 'K', 'AH', 'S']",6,short
abandon,real,4.02,high,"['AH0', 'B', 'AE1', 'N', 'D', 'AH0', 'N']","['AH', 'B', 'AE', 'N', 'D', 'AH', 'N']",7,long
abash,real,1.02,low,"['AH0', 'B', 'AE1', 'SH']","['AH', 'B', 'AE', 'SH']",4,short
abate,real,2.68,low,"['AH0', 'B', 'EY1', 'T']","['AH', 'B', 'EY', 'T']",4,short
abattoir,real,2.5,low,"['AE1', 'B', 'AH0', 'T', 'AO2', 'R']","['AE', 'B', 'AH', 'T', 'AO', 'R']",6,short
abbas,real,3.41,low,"['AH0', 'B', 'AA1', 'S']","['AH', 'B', 'AA', 'S']",4,short
abbe,real,2.44,low,"['AE1', 'B', 'IY0']","['AE', 'B', 'IY']",3,short
abbess,real,2.5,low,"['AE1', 'B', 'AH0', 'S']","['AE', 'B', 'AH', 'S']",4,short
abbey,real,3.88,high,"['AE1', 'B', 'IY0']","['AE', 'B', 'IY']",3,short
ziggy,real,2.92,low,"['Z', 'IH1', 'G', 'IY0']","['Z', 'IH', 'G', 'IY']",4,short
zimmerman,real,3.52,high,"['Z', 'IH1', 'M', 'ER0', 'M', 'AH0', 'N']","['Z', 'IH', 'M', 'ER', 'M', 'AH', 'N']",7,long
zinnia,real,2.02,low,"['Z', 'IH1', 'N', 'IY0', 'AH0']","['Z', 'IH', 'N', 'IY', 'AH']",5,short
zip,real,3.87,high,"['Z', 'IH1', 'P']","['Z', 'IH', 'P']",3,short
zircon,real,2.6,low,"['Z', 'ER1', 'K', 'AH0', 'N']","['Z', 'ER', 'K', 'AH', 'N']",5,short
zither,real,2.01,low,"['Z', 'IH1', 'DH', 'ER0']","['Z', 'IH', 'DH', 'ER']",4,short
zloty,real,2.05,low,"['Z', 'L', 'AO1', 'T', 'IY0']","['Z', 'L', 'AO', 'T', 'IY']",5,short
zodiac,real,3.41,low,"['Z', 'OW1', 'D', 'IY0', 'AE2', 'K']","['Z', 'OW', 'D', 'IY', 'AE', 'K']",6,short
zoe,real,3.66,high,"['Z', 'OW1', 'IY0']","['Z', 'OW', 'IY']",3,short
zonk,real,1.57,low,"['Z', 'AO1', 'NG', 'K']","['Z', 'AO', 'NG', 'K']",4,short
zoom,real,3.83,high,"['Z', 'UW1', 'M']","['Z', 'UW', 'M']",3,short
zoo,real,4.14,high,"['Z', 'UW1']","['Z', 'UW']",2,short
zounds,real,1.61,low,"['Z', 'AW1', 'N', 'D', 'Z']","['Z', 'AW', 'N', 'D', 'Z']",5,short
zucchini,real,2.96,low,"['Z', 'UW0', 'K', 'IY1', 'N', 'IY0']","['Z', 'UW', 'K', 'IY', 'N', 'IY']",6,short
wolff,real,3.23,low,"['W', 'UH1', 'L', 'F']","['W', 'UH', 'L', 'F']",4,short
wolf,real,4.35,high,"['W', 'UH1', 'L', 'F']","['W', 'UH', 'L', 'F']",4,short
wolfram,real,2.71,low,"['W', 'UH1', 'L', 'F', 'R', 'AE2', 'M']","['W', 'UH', 'L', 'F', 'R', 'AE', 'M']",7,long
wolverton,real,2.18,low,"['W', 'UH0', 'L', 'V', 'ER1', 'T', 'AH0', 'N']","['W', 'UH', 'L', 'V', 'ER', 'T', 'AH', 'N']",8,long
wombat,real,2.58,low,"['W', 'AA1', 'M', 'B', 'AE2', 'T']","['W', 'AA', 'M', 'B', 'AE', 'T']",6,short
womb,real,3.63,high,"['W', 'UW1', 'M']","['W', 'UW', 'M']",3,short
wonky,real,2.84,low,"['W', 'AH1', 'NG', 'K', 'IY0']","['W', 'AH', 'NG', 'K', 'IY']",5,short
wont,real,4.09,high,"['W', 'OW1', 'N', 'T']","['W', 'OW', 'N', 'T']",4,short
woodbury,real,2.9,low,"['W', 'UH1', 'D', 'B', 'EH2', 'R', 'IY0']","['W', 'UH', 'D', 'B', 'EH', 'R', 'IY']",7,long
woodcock,real,2.79,low,"['W', 'UH1', 'D', 'K', 'AA2', 'K']","['W', 'UH', 'D', 'K', 'AA', 'K']",6,short
woodruff,real,2.9,low,"['W', 'UH1', 'D', 'R', 'AH0', 'F']","['W', 'UH', 'D', 'R', 'AH', 'F']",6,short
woods,real,4.45,high,"['W', 'UH1', 'D', 'Z']","['W', 'UH', 'D', 'Z']",4,short
woo,real,3.87,high,"['W', 'UW1']","['W', 'UW']",2,short
wool,real,3.91,high,"['W', 'UH1', 'L']","['W', 'UH', 'L']",3,short
woomera,real,1.79,low,"['W', 'UH1', 'M', 'ER0', 'AH0']","['W', 'UH', 'M', 'ER', 'AH']",5,short
worcestershire,real,3.08,low,"['W', 'UH1', 'S', 'T', 'AH0', 'SH', 'ER0']","['W', 'UH', 'S', 'T', 'AH', 'SH', 'ER']",7,long
worm,real,3.77,high,"['W', 'ER1', 'M']","['W', 'ER', 'M']",3,short
worship,real,4.29,high,"['W', 'ER1', 'SH', 'AH0', 'P']","['W', 'ER', 'SH', 'AH', 'P']",5,short
worst,real,4.93,high,"['W', 'ER1', 'S', 'T']","['W', 'ER', 'S', 'T']",4,short
wrack,real,2.21,low,"['R', 'AE1', 'K']","['R', 'AE', 'K']",3,short
wraith,real,3.03,low,"['R', 'EY1', 'TH']","['R', 'EY', 'TH']",3,short
wrangle,real,2.6,low,"['R', 'AE1', 'NG', 'G', 'AH0', 'L']","['R', 'AE', 'NG', 'G', 'AH', 'L']",6,short
wrap,real,4.2,high,"['R', 'AE1', 'P']","['R', 'AE', 'P']",3,short
wreak,real,2.94,low,"['R', 'IY1', 'K']","['R', 'IY', 'K']",3,short
wreathe,real,1.29,low,"['R', 'IY1', 'DH']","['R', 'IY', 'DH']",3,short
wreath,real,3.36,low,"['R', 'IY1', 'TH']","['R', 'IY', 'TH']",3,short
wreck,real,3.96,high,"['R', 'EH1', 'K']","['R', 'EH', 'K']",3,short
wren,real,3.09,low,"['R', 'EH1', 'N']","['R', 'EH', 'N']",3,short
wrest,real,2.63,low,"['R', 'EH1', 'S', 'T']","['R', 'EH', 'S', 'T']",4,short
wrestle,real,3.48,low,"['R', 'EH1', 'S', 'AH0', 'L']","['R', 'EH', 'S', 'AH', 'L']",5,short
wretch,real,2.83,low,"['R', 'EH1', 'CH']","['R', 'EH', 'CH']",3,short
wriggle,real,2.59,low,"['R', 'IH1', 'G', 'AH0', 'L']","['R', 'IH', 'G', 'AH', 'L']",5,short
wright,real,4.2,high,"['R', 'AY1', 'T']","['R', 'AY', 'T']",3,short
wring,real,2.75,low,"['R', 'IH1', 'NG']","['R', 'IH', 'NG']",3,short
wrinkle,real,3.12,low,"['R', 'IH1', 'NG', 'K', 'AH0', 'L']","['R', 'IH', 'NG', 'K', 'AH', 'L']",6,short
writhe,real,2.24,low,"['R', 'IH1', 'TH']","['R', 'IH', 'TH']",3,short
wrong,real,5.39,high,"['R', 'AO1', 'NG']","['R', 'AO', 'NG']",3,short
wroth,real,2.1,low,"['R', 'AO1', 'TH']","['R', 'AO', 'TH']",3,short
wrung,real,2.36,low,"['R', 'AH1', 'NG']","['R', 'AH', 'NG']",3,short
wu,real,3.81,high,"['W', 'UW1']","['W', 'UW']",2,short
wyatt,real,3.56,high,"['W', 'AY1', 'AH0', 'T']","['W', 'AY', 'AH', 'T']",4,short
wycombe,real,2.73,low,"['W', 'IH1', 'K', 'AH0', 'M', 'B']","['W', 'IH', 'K', 'AH', 'M', 'B']",6,short
wylie,real,2.93,low,"['W', 'AY1', 'L', 'IY0']","['W', 'AY', 'L', 'IY']",4,short
wyman,real,2.74,low,"['W', 'AY1', 'M', 'AH0', 'N']","['W', 'AY', 'M', 'AH', 'N']",5,short
wyn,real,2.55,low,"['W', 'IH1', 'N']","['W', 'IH', 'N']",3,short
wynn,real,3.11,low,"['W', 'IH1', 'N']","['W', 'IH', 'N']",3,short
wynne,real,3.0,low,"['W', 'IH1', 'N']","['W', 'IH', 'N']",3,short
wyvern,real,2.31,low,"['V', 'IH1', 'V', 'ER0', 'N']","['V', 'IH', 'V', 'ER', 'N']",5,short
xerox,real,3.01,low,"['Z', 'IH1', 'R', 'AA0', 'K', 'S']","['Z', 'IH', 'R', 'AA', 'K', 'S']",6,short
y,real,5.03,high,"['W', 'AY1']","['W', 'AY']",2,short
'(know,real,6.1,high,"[""'"", ' ', 'N', 'OW1']","[""'"", ' ', 'N', 'OW']",4,short
yacht,real,3.82,high,"['Y', 'AA1', 'T']","['Y', 'AA', 'T']",3,short
yah,real,3.54,high,"['Y', 'AA1']","['Y', 'AA']",2,short
yahoo,real,3.86,high,"['Y', 'AA1', 'HH', 'UW2']","['Y', 'AA', 'HH', 'UW']",4,short
yakima,real,2.83,low,"['Y', 'AE1', 'K', 'IH0', 'M', 'AH0']","['Y', 'AE', 'K', 'IH', 'M', 'AH']",6,short
yak,real,3.12,low,"['Y', 'AE1', 'K']","['Y', 'AE', 'K']",3,short
yammer,real,2.04,low,"['Y', 'AE1', 'M', 'ER0']","['Y', 'AE', 'M', 'ER']",4,short
yam,real,3.04,low,"['Y', 'AE1', 'M']","['Y', 'AE', 'M']",3,short
yang,real,3.91,high,"['Y', 'AE1', 'NG']","['Y', 'AE', 'NG']",3,short
yap,real,2.94,low,"['Y', 'AE1', 'P']","['Y', 'AE', 'P']",3,short
yarn,real,3.6,high,"['Y', 'AA1', 'R', 'N']","['Y', 'AA', 'R', 'N']",4,short
yaw,real,2.87,low,"['Y', 'AO1']","['Y', 'AO']",2,short
yawl,real,2.04,low,"['Y', 'AO1', 'L']","['Y', 'AO', 'L']",3,short
yawn,real,3.07,low,"['Y', 'AO1', 'N']","['Y', 'AO', 'N']",3,short
yearn,real,2.97,low,"['Y', 'ER1', 'N']","['Y', 'ER', 'N']",3,short
yea,real,4.26,high,"['Y', 'EY1']","['Y', 'EY']",2,short
yellow,real,4.69,high,"['Y', 'EH1', 'L', 'OW0']","['Y', 'EH', 'L', 'OW']",4,short
yell,real,3.85,high,"['Y', 'EH1', 'L']","['Y', 'EH', 'L']",3,short
yen,real,3.73,high,"['Y', 'EH1', 'N']","['Y', 'EH', 'N']",3,short
yeti,real,3.01,low,"['Y', 'EH1', 'T', 'IY0']","['Y', 'EH', 'T', 'IY']",4,short
yew,real,3.03,low,"['Y', 'UW1']","['Y', 'UW']",2,short
yid,real,2.08,low,"['Y', 'IH1', 'D']","['Y', 'IH', 'D']",3,short
yob,real,1.96,low,"['Y', 'AA1', 'B']","['Y', 'AA', 'B']",3,short
yobbo,real,1.14,low,"['Y', 'AA1', 'B', 'OW0']","['Y', 'AA', 'B', 'OW']",4,short
yodel,real,2.34,low,"['Y', 'OW1', 'D', 'AH0', 'L']","['Y', 'OW', 'D', 'AH', 'L']",5,short
yoghurt,real,3.01,low,"['Y', 'AA1', 'G', 'ER0', 'T']","['Y', 'AA', 'G', 'ER', 'T']",5,short
yogi,real,3.16,low,"['Y', 'OW1', 'G', 'IY0']","['Y', 'OW', 'G', 'IY']",4,short
yoke,real,3.09,low,"['Y', 'OW1', 'K']","['Y', 'OW', 'K']",3,short
yolk,real,3.04,low,"['Y', 'OW1', 'K']","['Y', 'OW', 'K']",3,short
yowl,real,1.56,low,"['Y', 'UW1', 'L']","['Y', 'UW', 'L']",3,short
yucca,real,2.65,low,"['Y', 'AH1', 'K', 'AH0']","['Y', 'AH', 'K', 'AH']",4,short
yule,real,2.71,low,"['Y', 'UW1', 'L']","['Y', 'UW', 'L']",3,short
yuri,real,3.62,high,"['Y', 'UH1', 'R', 'IY0']","['Y', 'UH', 'R', 'IY']",4,short
yvette,real,3.02,low,"['IH0', 'V', 'EH1', 'T']","['IH', 'V', 'EH', 'T']",4,short
zanzibar,real,2.91,low,"['Z', 'AE1', 'N', 'Z', 'AH0', 'B', 'AA2', 'R']","['Z', 'AE', 'N', 'Z', 'AH', 'B', 'AA', 'R']",8,long
zap,real,2.96,low,"['Z', 'AE1', 'P']","['Z', 'AE', 'P']",3,short
zebra,real,3.4,low,"['Z', 'IY1', 'B', 'R', 'AH0']","['Z', 'IY', 'B', 'R', 'AH']",5,short
zebu,real,1.78,low,"['Z', 'IY1', 'B', 'UW0']","['Z', 'IY', 'B', 'UW']",4,short
zed,real,3.02,low,"['Z', 'EH1', 'D']","['Z', 'EH', 'D']",3,short
zee,real,3.16,low,"['Z', 'IY1']","['Z', 'IY']",2,short
zeffirelli,real,1.61,low,"['Z', 'EH2', 'F', 'IH0', 'R', 'EH1', 'L', 'IY0']","['Z', 'EH', 'F', 'IH', 'R', 'EH', 'L', 'IY']",8,long
zenith,real,3.15,low,"['Z', 'IY1', 'N', 'AH0', 'TH']","['Z', 'IY', 'N', 'AH', 'TH']",5,short
zephyr,real,2.85,low,"['Z', 'EH1', 'F', 'ER0']","['Z', 'EH', 'F', 'ER']",4,short
zeppelin,real,3.29,low,"['Z', 'EH1', 'P', 'IH0', 'L', 'IH0', 'N']","['Z', 'EH', 'P', 'IH', 'L', 'IH', 'N']",7,long
wesson,real,2.88,low,"['W', 'EH1', 'S', 'AH0', 'N']","['W', 'EH', 'S', 'AH', 'N']",5,short
westbrook,real,3.4,low,"['W', 'EH1', 'S', 'T', 'B', 'R', 'UH2', 'K']","['W', 'EH', 'S', 'T', 'B', 'R', 'UH', 'K']",8,long
westfield,real,3.19,low,"['W', 'EH1', 'S', 'T', 'F', 'IY0', 'L', 'D']","['W', 'EH', 'S', 'T', 'F', 'IY', 'L', 'D']",8,long
westmore,real,2.01,low,"['W', 'EH1', 'S', 'T', 'M', 'AO0', 'R']","['W', 'EH', 'S', 'T', 'M', 'AO', 'R']",7,long
weston,real,3.49,low,"['W', 'EH1', 'S', 'T', 'AH0', 'N']","['W', 'EH', 'S', 'T', 'AH', 'N']",6,short
