Word,Lexicality,Zipf Frequency,Frequency,Phonemes,Length,Size,Condition,Morphology,No Stress
judder,real,1.64,low,"['JH', 'AH1', 'D', 'ER0']",4,short,RSSL,simple,"['JH', 'AH', 'D', 'ER']"
spigot,real,2.49,low,"['S', 'P', 'IH1', 'G', 'AH0', 'T']",6,short,RSSL,simple,"['S', 'P', 'IH', 'G', 'AH', 'T']"
loot,real,3.49,low,"['L', 'UW1', 'T']",3,short,RSSL,simple,"['L', 'UW', 'T']"
valise,real,2.01,low,"['V', 'AE1', 'L', 'AY0', 'Z']",5,short,RSSL,simple,"['V', 'AE', 'L', 'AY', 'Z']"
gravy,real,3.48,low,"['G', 'R', 'EY1', 'V', 'IY0']",5,short,RSSL,simple,"['G', 'R', 'EY', 'V', 'IY']"
lien,real,3.2,low,"['L', 'IY1', 'N']",3,short,RSSL,simple,"['L', 'IY', 'N']"
cusp,real,3.05,low,"['K', 'AH1', 'S', 'P']",4,short,RSSL,simple,"['K', 'AH', 'S', 'P']"
unctuous,real,2.03,low,"['AH1', 'NG', 'CH', 'W', 'AH0', 'S']",6,short,RSSL,simple,"['AH', 'NG', 'CH', 'W', 'AH', 'S']"
encore,real,3.39,low,"['AA1', 'N', 'K', 'AO2', 'R']",5,short,RSSL,simple,"['AA', 'N', 'K', 'AO', 'R']"
buster,real,3.47,low,"['B', 'AH1', 'S', 'T', 'ER0']",5,short,RSSL,simple,"['B', 'AH', 'S', 'T', 'ER']"
fudge,real,3.33,low,"['F', 'AH1', 'JH']",3,short,RSSL,simple,"['F', 'AH', 'JH']"
pickle,real,3.39,low,"['P', 'IH1', 'K', 'AH0', 'L']",5,short,RSSL,simple,"['P', 'IH', 'K', 'AH', 'L']"
waggle,real,2.07,low,"['W', 'AE1', 'G', 'AH0', 'L']",5,short,RSSL,simple,"['W', 'AE', 'G', 'AH', 'L']"
impeach,real,3.1,low,"['IH0', 'M', 'P', 'IY1', 'CH']",5,short,RSSL,simple,"['IH', 'M', 'P', 'IY', 'CH']"
cerise,real,2.08,low,"['S', 'ER0', 'IY1', 'S']",4,short,RSSL,simple,"['S', 'ER', 'IY', 'S']"
mutton,real,3.01,low,"['M', 'AH1', 'T', 'AH0', 'N']",5,short,RSSL,simple,"['M', 'AH', 'T', 'AH', 'N']"
plough,real,3.09,low,"['P', 'L', 'AW1']",3,short,RSSL,simple,"['P', 'L', 'AW']"
croon,real,2.2,low,"['K', 'R', 'UW1', 'N']",4,short,RSSL,simple,"['K', 'R', 'UW', 'N']"
hitch,real,3.42,low,"['HH', 'IH1', 'CH']",3,short,RSSL,simple,"['HH', 'IH', 'CH']"
chasm,real,2.96,low,"['K', 'AE1', 'Z', 'AH0', 'M']",5,short,RSSL,simple,"['K', 'AE', 'Z', 'AH', 'M']"
compile,real,3.38,low,"['K', 'AH0', 'M', 'P', 'AY1', 'L']",6,short,RSSL,simple,"['K', 'AH', 'M', 'P', 'AY', 'L']"
lade,real,2.1,low,"['L', 'EY1', 'D']",3,short,RSSL,simple,"['L', 'EY', 'D']"
whippet,real,2.25,low,"['W', 'IH1', 'P', 'IH0', 'T']",5,short,RSSL,simple,"['W', 'IH', 'P', 'IH', 'T']"
cotter,real,2.79,low,"['K', 'AA1', 'T', 'ER0']",4,short,RSSL,simple,"['K', 'AA', 'T', 'ER']"
saith,real,2.94,low,"['S', 'EY1', 'TH']",3,short,RSSL,simple,"['S', 'EY', 'TH']"
arco,real,2.56,low,"['AA1', 'R', 'K', 'OW0']",4,short,RSSL,simple,"['AA', 'R', 'K', 'OW']"
sedge,real,2.39,low,"['S', 'EH1', 'JH']",3,short,RSSL,simple,"['S', 'EH', 'JH']"
fissile,real,2.56,low,"['F', 'IH1', 'S', 'AH0', 'L']",5,short,RSSL,simple,"['F', 'IH', 'S', 'AH', 'L']"
shamrock,real,2.87,low,"['SH', 'AE1', 'M', 'R', 'AA2', 'K']",6,short,RSSL,simple,"['SH', 'AE', 'M', 'R', 'AA', 'K']"
wacky,real,3.29,low,"['W', 'AE1', 'K', 'IY0']",4,short,RSSL,simple,"['W', 'AE', 'K', 'IY']"
chaplain,real,3.43,low,"['CH', 'AE1', 'P', 'L', 'AH0', 'N']",6,short,RSSL,simple,"['CH', 'AE', 'P', 'L', 'AH', 'N']"
perverse,real,3.19,low,"['P', 'ER0', 'V', 'ER1', 'S']",5,short,RSSL,simple,"['P', 'ER', 'V', 'ER', 'S']"
tappet,real,1.63,low,"['T', 'AE1', 'P', 'AH0', 'T']",5,short,RSSL,simple,"['T', 'AE', 'P', 'AH', 'T']"
gizzard,real,2.38,low,"['G', 'IH1', 'Z', 'ER0', 'D']",5,short,RSSL,simple,"['G', 'IH', 'Z', 'ER', 'D']"
narrate,real,2.79,low,"['N', 'EH1', 'R', 'EY2', 'T']",5,short,RSSL,simple,"['N', 'EH', 'R', 'EY', 'T']"
dropsy,real,1.98,low,"['D', 'R', 'AA1', 'P', 'S', 'IY0']",6,short,RSSL,simple,"['D', 'R', 'AA', 'P', 'S', 'IY']"
hoopla,real,2.56,low,"['HH', 'UW1', 'P', 'L', 'AA2']",5,short,RSSL,simple,"['HH', 'UW', 'P', 'L', 'AA']"
epitaph,real,2.83,low,"['EH1', 'P', 'AH0', 'T', 'AE2', 'F']",6,short,RSSL,simple,"['EH', 'P', 'AH', 'T', 'AE', 'F']"
termite,real,2.78,low,"['T', 'ER1', 'M', 'AY0', 'T']",5,short,RSSL,simple,"['T', 'ER', 'M', 'AY', 'T']"
dolt,real,2.37,low,"['D', 'OW1', 'L', 'T']",4,short,RSSL,simple,"['D', 'OW', 'L', 'T']"
lariat,real,2.28,low,"['L', 'EH1', 'R', 'IY0', 'AH0', 'T']",6,short,RSSL,simple,"['L', 'EH', 'R', 'IY', 'AH', 'T']"
dint,real,2.73,low,"['D', 'IH1', 'N', 'T']",4,short,RSSL,simple,"['D', 'IH', 'N', 'T']"
twine,real,2.93,low,"['T', 'W', 'AY1', 'N']",4,short,RSSL,simple,"['T', 'W', 'AY', 'N']"
shabby,real,3.28,low,"['SH', 'AE1', 'B', 'IY0']",4,short,RSSL,simple,"['SH', 'AE', 'B', 'IY']"
simms,real,3.05,low,"['S', 'IH1', 'M', 'Z']",4,short,RSSL,simple,"['S', 'IH', 'M', 'Z']"
deceit,real,3.24,low,"['D', 'AH0', 'S', 'IY1', 'T']",5,short,RSSL,simple,"['D', 'AH', 'S', 'IY', 'T']"
mimic,real,3.49,low,"['M', 'IH1', 'M', 'IH0', 'K']",5,short,RSSL,simple,"['M', 'IH', 'M', 'IH', 'K']"
sande,real,2.28,low,"['S', 'AE1', 'N', 'D']",4,short,RSSL,simple,"['S', 'AE', 'N', 'D']"
talmud,real,2.96,low,"['T', 'AE1', 'L', 'M', 'AH0', 'D']",6,short,RSSL,simple,"['T', 'AE', 'L', 'M', 'AH', 'D']"
sprang,real,3.12,low,"['S', 'P', 'R', 'AE1', 'NG']",5,short,RSSL,simple,"['S', 'P', 'R', 'AE', 'NG']"
wren,real,3.09,low,"['R', 'EH1', 'N']",3,short,RSSL,simple,"['R', 'EH', 'N']"
maxim,real,3.39,low,"['M', 'AE1', 'K', 'S', 'AH0', 'M']",6,short,RSSL,simple,"['M', 'AE', 'K', 'S', 'AH', 'M']"
serpent,real,3.46,low,"['S', 'ER1', 'P', 'AH0', 'N', 'T']",6,short,RSSL,simple,"['S', 'ER', 'P', 'AH', 'N', 'T']"
yodel,real,2.34,low,"['Y', 'OW1', 'D', 'AH0', 'L']",5,short,RSSL,simple,"['Y', 'OW', 'D', 'AH', 'L']"
sandal,real,2.91,low,"['S', 'AE1', 'N', 'D', 'AH0', 'L']",6,short,RSSL,simple,"['S', 'AE', 'N', 'D', 'AH', 'L']"
jody,real,3.18,low,"['JH', 'OW1', 'D', 'IY0']",4,short,RSSL,simple,"['JH', 'OW', 'D', 'IY']"
holler,real,2.84,low,"['HH', 'AA1', 'L', 'ER0']",4,short,RSSL,simple,"['HH', 'AA', 'L', 'ER']"
devour,real,3.17,low,"['D', 'IH0', 'V', 'AW1', 'ER0']",5,short,RSSL,simple,"['D', 'IH', 'V', 'AW', 'ER']"
abridge,real,1.95,low,"['AH0', 'B', 'R', 'IH1', 'JH']",5,short,RSSL,simple,"['AH', 'B', 'R', 'IH', 'JH']"
malt,real,3.41,low,"['M', 'AO1', 'L', 'T']",4,short,RSSL,simple,"['M', 'AO', 'L', 'T']"
tryst,real,2.56,low,"['T', 'R', 'IH1', 'S', 'T']",5,short,RSSL,simple,"['T', 'R', 'IH', 'S', 'T']"
harrier,real,2.7,low,"['HH', 'EH1', 'R', 'IY0', 'ER0']",5,short,RSSL,simple,"['HH', 'EH', 'R', 'IY', 'ER']"
parlous,real,1.83,low,"['P', 'AA1', 'R', 'L', 'AH0', 'S']",6,short,RSSL,simple,"['P', 'AA', 'R', 'L', 'AH', 'S']"
nuzzle,real,2.25,low,"['N', 'AH1', 'Z', 'AH0', 'L']",5,short,RSSL,simple,"['N', 'AH', 'Z', 'AH', 'L']"
yelp,real,3.25,low,"['Y', 'EH1', 'L', 'P']",4,short,RSSL,simple,"['Y', 'EH', 'L', 'P']"
pang,real,3.11,low,"['P', 'AE1', 'NG']",3,short,RSSL,simple,"['P', 'AE', 'NG']"
ditto,real,3.38,low,"['D', 'IH1', 'T', 'OW0']",4,short,RSSL,simple,"['D', 'IH', 'T', 'OW']"
forfeit,real,3.32,low,"['F', 'AO1', 'R', 'F', 'IH0', 'T']",6,short,RSSL,simple,"['F', 'AO', 'R', 'F', 'IH', 'T']"
knead,real,2.57,low,"['N', 'IY1', 'D']",3,short,RSSL,simple,"['N', 'IY', 'D']"
plow,real,3.21,low,"['P', 'L', 'AW1']",3,short,RSSL,simple,"['P', 'L', 'AW']"
froth,real,2.75,low,"['F', 'R', 'AO1', 'TH']",4,short,RSSL,simple,"['F', 'R', 'AO', 'TH']"
ajar,real,2.57,low,"['AH0', 'JH', 'AA1', 'R']",4,short,RSSL,simple,"['AH', 'JH', 'AA', 'R']"
bahama,real,2.66,low,"['B', 'AH0', 'HH', 'AA1', 'M', 'AH0']",6,short,RSSL,simple,"['B', 'AH', 'HH', 'AA', 'M', 'AH']"
talcum,real,2.3,low,"['T', 'AE1', 'L', 'K', 'AH0', 'M']",6,short,RSSL,simple,"['T', 'AE', 'L', 'K', 'AH', 'M']"
fervid,real,1.77,low,"['F', 'ER1', 'V', 'AH0', 'D']",5,short,RSSL,simple,"['F', 'ER', 'V', 'AH', 'D']"
raiment,real,2.07,low,"['R', 'EY1', 'M', 'AH0', 'N', 'T']",6,short,RSSL,simple,"['R', 'EY', 'M', 'AH', 'N', 'T']"
pedant,real,2.13,low,"['P', 'EH1', 'D', 'AH0', 'N', 'T']",6,short,RSSL,simple,"['P', 'EH', 'D', 'AH', 'N', 'T']"
ampoule,real,2.04,low,"['AH0', 'M', 'P', 'AW1', 'L']",5,short,RSSL,simple,"['AH', 'M', 'P', 'AW', 'L']"
winch,real,3.04,low,"['W', 'IH1', 'N', 'CH']",4,short,RSSL,simple,"['W', 'IH', 'N', 'CH']"
lute,real,2.87,low,"['L', 'UW1', 'T']",3,short,RSSL,simple,"['L', 'UW', 'T']"
bazaar,real,3.37,low,"['B', 'AH0', 'Z', 'AA1', 'R']",5,short,RSSL,simple,"['B', 'AH', 'Z', 'AA', 'R']"
natal,real,3.41,low,"['N', 'EY1', 'T', 'AH0', 'L']",5,short,RSSL,simple,"['N', 'EY', 'T', 'AH', 'L']"
shrivel,real,2.39,low,"['SH', 'R', 'IH1', 'V', 'AH0', 'L']",6,short,RSSL,simple,"['SH', 'R', 'IH', 'V', 'AH', 'L']"
sludge,real,3.23,low,"['S', 'L', 'AH1', 'JH']",4,short,RSSL,simple,"['S', 'L', 'AH', 'JH']"
loire,real,2.75,low,"['L', 'OY1', 'R']",3,short,RSSL,simple,"['L', 'OY', 'R']"
cosset,real,1.38,low,"['K', 'AA1', 'S', 'AH0', 'T']",5,short,RSSL,simple,"['K', 'AA', 'S', 'AH', 'T']"
bouquet,real,3.41,low,"['B', 'UW0', 'K', 'EY1']",4,short,RSSL,simple,"['B', 'UW', 'K', 'EY']"
serif,real,2.64,low,"['S', 'EH1', 'R', 'AH0', 'F']",5,short,RSSL,simple,"['S', 'EH', 'R', 'AH', 'F']"
drivel,real,2.72,low,"['D', 'R', 'IH1', 'V', 'AH0', 'L']",6,short,RSSL,simple,"['D', 'R', 'IH', 'V', 'AH', 'L']"
plank,real,3.46,low,"['P', 'L', 'AE1', 'NG', 'K']",5,short,RSSL,simple,"['P', 'L', 'AE', 'NG', 'K']"
hob,real,2.76,low,"['HH', 'AA1', 'B']",3,short,RSSL,simple,"['HH', 'AA', 'B']"
mania,real,3.44,low,"['M', 'EY1', 'N', 'IY0', 'AH0']",5,short,RSSL,simple,"['M', 'EY', 'N', 'IY', 'AH']"
revue,real,3.07,low,"['R', 'IH0', 'V', 'Y', 'UW1']",5,short,RSSL,simple,"['R', 'IH', 'V', 'Y', 'UW']"
myosin,real,2.37,low,"['M', 'AY1', 'AH0', 'S', 'AH0', 'N']",6,short,RSSL,simple,"['M', 'AY', 'AH', 'S', 'AH', 'N']"
quail,real,3.13,low,"['K', 'W', 'EY1', 'L']",4,short,RSSL,simple,"['K', 'W', 'EY', 'L']"
dooley,real,2.95,low,"['D', 'UW1', 'L', 'IY0']",4,short,RSSL,simple,"['D', 'UW', 'L', 'IY']"
methyl,real,3.22,low,"['M', 'EH1', 'TH', 'AH0', 'L']",5,short,RSSL,simple,"['M', 'EH', 'TH', 'AH', 'L']"
flak,real,3.06,low,"['F', 'L', 'AE1', 'K']",4,short,RSSL,simple,"['F', 'L', 'AE', 'K']"
wink,real,3.5,low,"['W', 'IH1', 'NG', 'K']",4,short,RSSL,simple,"['W', 'IH', 'NG', 'K']"
fuddle,real,1.48,low,"['F', 'AH1', 'D', 'AH0', 'L']",5,short,RSSL,simple,"['F', 'AH', 'D', 'AH', 'L']"
smother,real,2.85,low,"['S', 'M', 'AH1', 'DH', 'ER0']",5,short,RSSL,simple,"['S', 'M', 'AH', 'DH', 'ER']"
busk,real,2.19,low,"['B', 'AH1', 'S', 'K']",4,short,RSSL,simple,"['B', 'AH', 'S', 'K']"
kodak,real,3.26,low,"['K', 'OW1', 'D', 'AE2', 'K']",5,short,RSSL,simple,"['K', 'OW', 'D', 'AE', 'K']"
careen,real,1.91,low,"['K', 'ER0', 'IY1', 'N']",4,short,RSSL,simple,"['K', 'ER', 'IY', 'N']"
coney,real,3.06,low,"['K', 'OW1', 'N', 'IY0']",4,short,RSSL,simple,"['K', 'OW', 'N', 'IY']"
zenith,real,3.15,low,"['Z', 'IY1', 'N', 'AH0', 'TH']",5,short,RSSL,simple,"['Z', 'IY', 'N', 'AH', 'TH']"
wert,real,2.37,low,"['W', 'ER1', 'T']",3,short,RSSL,simple,"['W', 'ER', 'T']"
parlor,real,3.34,low,"['P', 'AA1', 'R', 'L', 'ER0']",5,short,RSSL,simple,"['P', 'AA', 'R', 'L', 'ER']"
shatter,real,3.22,low,"['SH', 'AE1', 'T', 'ER0']",4,short,RSSL,simple,"['SH', 'AE', 'T', 'ER']"
aniseed,real,2.08,low,"['AE1', 'N', 'AH0', 'S', 'IY2', 'D']",6,short,RSSL,simple,"['AE', 'N', 'AH', 'S', 'IY', 'D']"
whence,real,3.1,low,"['W', 'EH1', 'N', 'S']",4,short,RSSL,simple,"['W', 'EH', 'N', 'S']"
rummage,real,2.54,low,"['R', 'AH1', 'M', 'IH0', 'JH']",5,short,RSSL,simple,"['R', 'AH', 'M', 'IH', 'JH']"
shandy,real,2.38,low,"['SH', 'AE1', 'N', 'D', 'IY0']",5,short,RSSL,simple,"['SH', 'AE', 'N', 'D', 'IY']"
scherzo,real,2.18,low,"['SH', 'ER1', 'Z', 'OW0']",4,short,RSSL,simple,"['SH', 'ER', 'Z', 'OW']"
rebut,real,2.6,low,"['R', 'IH0', 'B', 'AH1', 'T']",5,short,RSSL,simple,"['R', 'IH', 'B', 'AH', 'T']"
landau,real,2.85,low,"['L', 'AE1', 'N', 'D', 'AW2']",5,short,RSSL,simple,"['L', 'AE', 'N', 'D', 'AW']"
swart,real,2.16,low,"['S', 'W', 'AO1', 'R', 'T']",5,short,RSSL,simple,"['S', 'W', 'AO', 'R', 'T']"
raffish,real,1.55,low,"['R', 'AE1', 'F', 'IH0', 'SH']",5,short,RSSL,simple,"['R', 'AE', 'F', 'IH', 'SH']"
drachm,real,1.19,low,"['D', 'R', 'AE1', 'K', 'AH0', 'M']",6,short,RSSL,simple,"['D', 'R', 'AE', 'K', 'AH', 'M']"
figaro,real,2.91,low,"['F', 'IH1', 'G', 'ER0', 'OW2']",5,short,RSSL,simple,"['F', 'IH', 'G', 'ER', 'OW']"
jello,real,2.82,low,"['JH', 'EH1', 'L', 'OW0']",4,short,RSSL,simple,"['JH', 'EH', 'L', 'OW']"
snelling,real,2.48,low,"['S', 'N', 'EH1', 'L', 'IH0', 'NG']",6,short,RSSL,simple,"['S', 'N', 'EH', 'L', 'IH', 'NG']"
exhort,real,2.23,low,"['IH0', 'G', 'Z', 'AO1', 'R', 'T']",6,short,RSSL,simple,"['IH', 'G', 'Z', 'AO', 'R', 'T']"
cubit,real,2.07,low,"['K', 'Y', 'UW1', 'B', 'IH0', 'T']",6,short,RSSL,simple,"['K', 'Y', 'UW', 'B', 'IH', 'T']"
oft,real,3.25,low,"['AO1', 'F', 'T']",3,short,RSSL,simple,"['AO', 'F', 'T']"
heed,real,3.45,low,"['HH', 'IY1', 'D']",3,short,RSSL,simple,"['HH', 'IY', 'D']"
flatter,real,3.27,low,"['F', 'L', 'AE1', 'T', 'ER0']",5,short,RSSL,simple,"['F', 'L', 'AE', 'T', 'ER']"
boyer,real,2.95,low,"['B', 'OY1', 'ER0']",3,short,RSSL,simple,"['B', 'OY', 'ER']"
spic,real,2.14,low,"['S', 'P', 'IH1', 'K']",4,short,RSSL,simple,"['S', 'P', 'IH', 'K']"
putsch,real,2.35,low,"['P', 'UH1', 'CH']",3,short,RSSL,simple,"['P', 'UH', 'CH']"
detente,real,2.22,low,"['D', 'EY0', 'T', 'AA1', 'N', 'T']",6,short,RSSL,simple,"['D', 'EY', 'T', 'AA', 'N', 'T']"
sleet,real,2.83,low,"['S', 'L', 'IY1', 'T']",4,short,RSSL,simple,"['S', 'L', 'IY', 'T']"
latent,real,3.27,low,"['L', 'EY1', 'T', 'AH0', 'N', 'T']",6,short,RSSL,simple,"['L', 'EY', 'T', 'AH', 'N', 'T']"
vend,real,2.0,low,"['V', 'EH1', 'N', 'D']",4,short,RSSL,simple,"['V', 'EH', 'N', 'D']"
almoner,real,1.82,low,"['AA1', 'L', 'M', 'AH0', 'N', 'ER0']",6,short,RSSL,simple,"['AA', 'L', 'M', 'AH', 'N', 'ER']"
jour,real,2.99,low,"['JH', 'AW1', 'R']",3,short,RSSL,simple,"['JH', 'AW', 'R']"
bogey,real,2.92,low,"['B', 'OW1', 'G', 'IY0']",4,short,RSSL,simple,"['B', 'OW', 'G', 'IY']"
guffaw,real,2.01,low,"['G', 'AH0', 'F', 'AO1']",4,short,RSSL,simple,"['G', 'AH', 'F', 'AO']"
hick,real,2.72,low,"['HH', 'IH1', 'K']",3,short,RSSL,simple,"['HH', 'IH', 'K']"
chary,real,1.64,low,"['CH', 'AA1', 'R', 'IY0']",4,short,RSSL,simple,"['CH', 'AA', 'R', 'IY']"
kern,real,3.16,low,"['K', 'ER1', 'N']",3,short,RSSL,simple,"['K', 'ER', 'N']"
ado,real,3.2,low,"['AH0', 'D', 'UW1']",3,short,RSSL,simple,"['AH', 'D', 'UW']"
tobago,real,3.41,low,"['T', 'AH0', 'B', 'EY1', 'G', 'OW0']",6,short,RSSL,simple,"['T', 'AH', 'B', 'EY', 'G', 'OW']"
arbour,real,2.25,low,"['AA1', 'R', 'B', 'ER0']",4,short,RSSL,simple,"['AA', 'R', 'B', 'ER']"
byrd,real,3.24,low,"['B', 'ER1', 'D']",3,short,RSSL,simple,"['B', 'ER', 'D']"
nomad,real,3.07,low,"['N', 'OW1', 'M', 'AE2', 'D']",5,short,RSSL,simple,"['N', 'OW', 'M', 'AE', 'D']"
dazzle,real,3.02,low,"['D', 'AE1', 'Z', 'AH0', 'L']",5,short,RSSL,simple,"['D', 'AE', 'Z', 'AH', 'L']"
derange,real,1.47,low,"['D', 'IH0', 'R', 'EY1', 'N', 'JH']",6,short,RSSL,simple,"['D', 'IH', 'R', 'EY', 'N', 'JH']"
tinge,real,2.83,low,"['T', 'IH1', 'N', 'JH']",4,short,RSSL,simple,"['T', 'IH', 'N', 'JH']"
hoof,real,3.06,low,"['HH', 'UW1', 'F']",3,short,RSSL,simple,"['HH', 'UW', 'F']"
specious,real,2.45,low,"['S', 'P', 'IY1', 'SH', 'AH0', 'S']",6,short,RSSL,simple,"['S', 'P', 'IY', 'SH', 'AH', 'S']"
pear,real,3.47,low,"['P', 'EH1', 'R']",3,short,RSSL,simple,"['P', 'EH', 'R']"
weston,real,3.49,low,"['W', 'EH1', 'S', 'T', 'AH0', 'N']",6,short,RSSL,simple,"['W', 'EH', 'S', 'T', 'AH', 'N']"
bandon,real,2.21,low,"['B', 'AE1', 'N', 'D', 'AH0', 'N']",6,short,RSSL,simple,"['B', 'AE', 'N', 'D', 'AH', 'N']"
swash,real,2.21,low,"['S', 'W', 'AA1', 'SH']",4,short,RSSL,simple,"['S', 'W', 'AA', 'SH']"
braze,real,1.84,low,"['B', 'R', 'EY1', 'Z']",4,short,RSSL,simple,"['B', 'R', 'EY', 'Z']"
nix,real,3.0,low,"['N', 'IH1', 'K', 'S']",4,short,RSSL,simple,"['N', 'IH', 'K', 'S']"
mead,real,3.43,low,"['M', 'IY1', 'D']",3,short,RSSL,simple,"['M', 'IY', 'D']"
faecal,real,2.36,low,"['F', 'IY1', 'K', 'AH0', 'L']",5,short,RSSL,simple,"['F', 'IY', 'K', 'AH', 'L']"
polka,real,3.2,low,"['P', 'OW1', 'L', 'K', 'AH0']",5,short,RSSL,simple,"['P', 'OW', 'L', 'K', 'AH']"
dement,real,1.97,low,"['D', 'AH0', 'M', 'EH1', 'N', 'T']",6,short,RSSL,simple,"['D', 'AH', 'M', 'EH', 'N', 'T']"
revoke,real,3.26,low,"['R', 'IH0', 'V', 'OW1', 'K']",5,short,RSSL,simple,"['R', 'IH', 'V', 'OW', 'K']"
scatter,real,3.39,low,"['S', 'K', 'AE1', 'T', 'ER0']",5,short,RSSL,simple,"['S', 'K', 'AE', 'T', 'ER']"
phosgene,real,1.91,low,"['F', 'AA1', 'S', 'G', 'IY0', 'N']",6,short,RSSL,simple,"['F', 'AA', 'S', 'G', 'IY', 'N']"
nurture,real,3.31,low,"['N', 'ER1', 'CH', 'ER0']",4,short,RSSL,simple,"['N', 'ER', 'CH', 'ER']"
rook,real,3.1,low,"['R', 'UH1', 'K']",3,short,RSSL,simple,"['R', 'UH', 'K']"
florin,real,2.37,low,"['F', 'L', 'AO1', 'R', 'IH0', 'N']",6,short,RSSL,simple,"['F', 'L', 'AO', 'R', 'IH', 'N']"
ferr,real,1.32,low,"['F', 'EH1', 'R']",3,short,RSSL,simple,"['F', 'EH', 'R']"
vapid,real,2.5,low,"['V', 'AE1', 'P', 'IH0', 'D']",5,short,RSSL,simple,"['V', 'AE', 'P', 'IH', 'D']"
murk,real,2.23,low,"['M', 'ER1', 'K']",3,short,RSSL,simple,"['M', 'ER', 'K']"
caboose,real,2.59,low,"['K', 'AH0', 'B', 'UW1', 'S']",5,short,RSSL,simple,"['K', 'AH', 'B', 'UW', 'S']"
gabble,real,1.53,low,"['G', 'AE1', 'B', 'AH0', 'L']",5,short,RSSL,simple,"['G', 'AE', 'B', 'AH', 'L']"
bod,real,3.05,low,"['B', 'AA1', 'D']",3,short,RSSL,simple,"['B', 'AA', 'D']"
cleft,real,2.94,low,"['K', 'L', 'EH1', 'F', 'T']",5,short,RSSL,simple,"['K', 'L', 'EH', 'F', 'T']"
mosey,real,2.18,low,"['M', 'OW1', 'Z', 'IY0']",4,short,RSSL,simple,"['M', 'OW', 'Z', 'IY']"
spake,real,2.55,low,"['S', 'P', 'EY1', 'K']",4,short,RSSL,simple,"['S', 'P', 'EY', 'K']"
alb,real,2.62,low,"['AE1', 'L', 'B']",3,short,RSSL,simple,"['AE', 'L', 'B']"
titter,real,1.86,low,"['T', 'IH1', 'T', 'ER0']",4,short,RSSL,simple,"['T', 'IH', 'T', 'ER']"
marquis,real,3.45,low,"['M', 'AA2', 'R', 'K', 'IY1']",5,short,RSSL,simple,"['M', 'AA', 'R', 'K', 'IY']"
