Word,Lexicality,Zipf Frequency,Frequency,Phonemes,Length,Size,Morphology,Condition,Part of Speech,Root,Lemma,Zipf Lemma Frequency,No Stress
halcyon,real,2.65,low,"['HH', 'AE1', 'L', 'S', 'IY0', 'AH0', 'N']",7,long,simple,RLSL,,,,,"['HH', 'AE', 'L', 'S', 'IY', 'AH', 'N']"
halibut,real,2.71,low,"['HH', 'AE1', 'L', 'AH0', 'B', 'AH0', 'T']",7,long,simple,RLSL,,,,,"['HH', 'AE', 'L', 'AH', 'B', 'AH', 'T']"
hallelujah,real,3.3,low,"['HH', 'AE2', 'L', 'AH0', 'L', 'UW1', 'Y', 'AH0']",8,long,simple,RLSL,,,,,"['HH', 'AE', 'L', 'AH', 'L', 'UW', 'Y', 'AH']"
hendricks,real,3.17,low,"['HH', 'EH1', 'N', 'D', 'R', 'IH0', 'K', 'S']",8,long,simple,RLSL,,,,,"['HH', 'EH', 'N', 'D', 'R', 'IH', 'K', 'S']"
heuristic,real,2.72,low,"['HH', 'Y', 'UH0', 'R', 'IH1', 'S', 'T', 'IH0', 'K']",9,long,simple,RLSL,,,,,"['HH', 'Y', 'UH', 'R', 'IH', 'S', 'T', 'IH', 'K']"
hibiscus,real,2.76,low,"['HH', 'IH0', 'B', 'IH1', 'S', 'K', 'AH0', 'S']",8,long,simple,RLSL,,,,,"['HH', 'IH', 'B', 'IH', 'S', 'K', 'AH', 'S']"
himalaya,real,2.71,low,"['HH', 'IH2', 'M', 'AH0', 'L', 'AY1', 'AH0']",7,long,simple,RLSL,,,,,"['HH', 'IH', 'M', 'AH', 'L', 'AY', 'AH']"
hiroshima,real,3.27,low,"['HH', 'IH2', 'R', 'OW0', 'SH', 'IY1', 'M', 'AH0']",8,long,simple,RLSL,,,,,"['HH', 'IH', 'R', 'OW', 'SH', 'IY', 'M', 'AH']"
hooligan,real,2.69,low,"['HH', 'UW1', 'L', 'IH0', 'G', 'AH0', 'N']",7,long,simple,RLSL,,,,,"['HH', 'UW', 'L', 'IH', 'G', 'AH', 'N']"
hubris,real,2.94,low,"['HH', 'Y', 'UW1', 'B', 'R', 'AH0', 'S']",7,long,simple,RLSL,,,,,"['HH', 'Y', 'UW', 'B', 'R', 'AH', 'S']"
hullabaloo,real,2.28,low,"['HH', 'AH2', 'L', 'AH0', 'B', 'AH0', 'L', 'UW1']",8,long,simple,RLSL,,,,,"['HH', 'AH', 'L', 'AH', 'B', 'AH', 'L', 'UW']"
imbecile,real,2.87,low,"['IH1', 'M', 'B', 'AH0', 'S', 'AH0', 'L']",7,long,simple,RLSL,,,,,"['IH', 'M', 'B', 'AH', 'S', 'AH', 'L']"
immanent,real,2.27,low,"['IH1', 'M', 'AH0', 'N', 'AH0', 'N', 'T']",7,long,simple,RLSL,,,,,"['IH', 'M', 'AH', 'N', 'AH', 'N', 'T']"
impetus,real,3.27,low,"['IH1', 'M', 'P', 'AH0', 'T', 'AH0', 'S']",7,long,simple,RLSL,,,,,"['IH', 'M', 'P', 'AH', 'T', 'AH', 'S']"
indolent,real,2.26,low,"['IH1', 'N', 'D', 'AH0', 'L', 'AH0', 'N', 'T']",8,long,simple,RLSL,,,,,"['IH', 'N', 'D', 'AH', 'L', 'AH', 'N', 'T']"
innuendo,real,2.9,low,"['IH0', 'N', 'Y', 'UW0', 'EH1', 'N', 'D', 'OW0']",8,long,simple,RLSL,,,,,"['IH', 'N', 'Y', 'UW', 'EH', 'N', 'D', 'OW']"
instigate,real,2.76,low,"['IH1', 'N', 'S', 'T', 'AH0', 'G', 'EY2', 'T']",8,long,simple,RLSL,,,,,"['IH', 'N', 'S', 'T', 'AH', 'G', 'EY', 'T']"
isosceles,real,2.21,low,"['AY0', 'S', 'AO1', 'S', 'AH0', 'L', 'IY2', 'Z']",8,long,simple,RLSL,,,,,"['AY', 'S', 'AO', 'S', 'AH', 'L', 'IY', 'Z']"
javelin,real,2.9,low,"['JH', 'AE1', 'V', 'AH0', 'L', 'AH0', 'N']",7,long,simple,RLSL,,,,,"['JH', 'AE', 'V', 'AH', 'L', 'AH', 'N']"
jezebel,real,2.78,low,"['JH', 'EH1', 'Z', 'AH0', 'B', 'EH2', 'L']",7,long,simple,RLSL,,,,,"['JH', 'EH', 'Z', 'AH', 'B', 'EH', 'L']"
kamikaze,real,2.87,low,"['K', 'AA2', 'M', 'AH0', 'K', 'AA1', 'Z', 'IY0']",8,long,simple,RLSL,,,,,"['K', 'AA', 'M', 'AH', 'K', 'AA', 'Z', 'IY']"
klaxon,real,2.08,low,"['K', 'L', 'AE1', 'K', 'S', 'AH0', 'N']",7,long,simple,RLSL,,,,,"['K', 'L', 'AE', 'K', 'S', 'AH', 'N']"
kleenex,real,2.69,low,"['K', 'L', 'IY1', 'N', 'AH0', 'K', 'S']",7,long,simple,RLSL,,,,,"['K', 'L', 'IY', 'N', 'AH', 'K', 'S']"
kremlin,real,3.39,low,"['K', 'R', 'EH1', 'M', 'L', 'AH0', 'N']",7,long,simple,RLSL,,,,,"['K', 'R', 'EH', 'M', 'L', 'AH', 'N']"
labyrinth,real,3.31,low,"['L', 'AE1', 'B', 'ER0', 'IH2', 'N', 'TH']",7,long,simple,RLSL,,,,,"['L', 'AE', 'B', 'ER', 'IH', 'N', 'TH']"
lacunae,real,2.03,low,"['L', 'AA0', 'K', 'UW0', 'N', 'AA1', 'IY0']",7,long,simple,RLSL,,,,,"['L', 'AA', 'K', 'UW', 'N', 'AA', 'IY']"
lambast,real,1.79,low,"['L', 'AE1', 'M', 'B', 'AE2', 'S', 'T']",7,long,simple,RLSL,,,,,"['L', 'AE', 'M', 'B', 'AE', 'S', 'T']"
leviathan,real,3.09,low,"['L', 'AH0', 'V', 'AY1', 'AH0', 'TH', 'AH0', 'N']",8,long,simple,RLSL,,,,,"['L', 'AH', 'V', 'AY', 'AH', 'TH', 'AH', 'N']"
linoleum,real,2.61,low,"['L', 'AH0', 'N', 'OW1', 'L', 'IY0', 'AH0', 'M']",8,long,simple,RLSL,,,,,"['L', 'AH', 'N', 'OW', 'L', 'IY', 'AH', 'M']"
macabre,real,2.93,low,"['M', 'AH0', 'K', 'AA1', 'B', 'R', 'AH0']",7,long,simple,RLSL,,,,,"['M', 'AH', 'K', 'AA', 'B', 'R', 'AH']"
macaroni,real,3.11,low,"['M', 'AE2', 'K', 'ER0', 'OW1', 'N', 'IY0']",7,long,simple,RLSL,,,,,"['M', 'AE', 'K', 'ER', 'OW', 'N', 'IY']"
macaroon,real,2.05,low,"['M', 'AH0', 'K', 'AA1', 'R', 'UW2', 'N']",7,long,simple,RLSL,,,,,"['M', 'AH', 'K', 'AA', 'R', 'UW', 'N']"
madagascar,real,3.39,low,"['M', 'AE2', 'D', 'AH0', 'G', 'AE1', 'S', 'K', 'ER0']",9,long,simple,RLSL,,,,,"['M', 'AE', 'D', 'AH', 'G', 'AE', 'S', 'K', 'ER']"
magnolia,real,3.21,low,"['M', 'AE0', 'G', 'N', 'OW1', 'L', 'Y', 'AH0']",8,long,simple,RLSL,,,,,"['M', 'AE', 'G', 'N', 'OW', 'L', 'Y', 'AH']"
mahatma,real,3.06,low,"['M', 'AH0', 'HH', 'AA1', 'T', 'M', 'AH0']",7,long,simple,RLSL,,,,,"['M', 'AH', 'HH', 'AA', 'T', 'M', 'AH']"
mahogany,real,3.29,low,"['M', 'AH0', 'HH', 'AA1', 'G', 'AH0', 'N', 'IY0']",8,long,simple,RLSL,,,,,"['M', 'AH', 'HH', 'AA', 'G', 'AH', 'N', 'IY']"
maraschino,real,2.15,low,"['M', 'AE2', 'R', 'AH0', 'S', 'K', 'IY1', 'N', 'OW0']",9,long,simple,RLSL,,,,,"['M', 'AE', 'R', 'AH', 'S', 'K', 'IY', 'N', 'OW']"
martini,real,3.27,low,"['M', 'AA0', 'R', 'T', 'IY1', 'N', 'IY0']",7,long,simple,RLSL,,,,,"['M', 'AA', 'R', 'T', 'IY', 'N', 'IY']"
marzipan,real,2.46,low,"['M', 'AA1', 'R', 'Z', 'IH0', 'P', 'AH0', 'N']",8,long,simple,RLSL,,,,,"['M', 'AA', 'R', 'Z', 'IH', 'P', 'AH', 'N']"
meniscus,real,2.77,low,"['M', 'EH1', 'N', 'IH0', 'K', 'S', 'AH0', 'S']",8,long,simple,RLSL,,,,,"['M', 'EH', 'N', 'IH', 'K', 'S', 'AH', 'S']"
methuselah,real,2.21,low,"['M', 'AH0', 'TH', 'Y', 'UW1', 'Z', 'AH0', 'L', 'AH0']",9,long,simple,RLSL,,,,,"['M', 'AH', 'TH', 'Y', 'UW', 'Z', 'AH', 'L', 'AH']"
minestrone,real,1.89,low,"['M', 'AY1', 'N', 'S', 'T', 'R', 'OW2', 'N']",8,long,simple,RLSL,,,,,"['M', 'AY', 'N', 'S', 'T', 'R', 'OW', 'N']"
mistletoe,real,2.81,low,"['M', 'IH1', 'S', 'AH0', 'L', 'T', 'OW2']",7,long,simple,RLSL,,,,,"['M', 'IH', 'S', 'AH', 'L', 'T', 'OW']"
moccasin,real,2.3,low,"['M', 'AA1', 'K', 'AH0', 'S', 'IH0', 'N']",7,long,simple,RLSL,,,,,"['M', 'AA', 'K', 'AH', 'S', 'IH', 'N']"
molasses,real,3.0,low,"['M', 'AH0', 'L', 'AE1', 'S', 'AH0', 'Z']",7,long,simple,RLSL,,,,,"['M', 'AH', 'L', 'AE', 'S', 'AH', 'Z']"
molotov,real,3.02,low,"['M', 'AO1', 'L', 'AH0', 'T', 'AA2', 'F']",7,long,simple,RLSL,,,,,"['M', 'AO', 'L', 'AH', 'T', 'AA', 'F']"
moriarty,real,2.98,low,"['M', 'AO2', 'R', 'IY0', 'AA1', 'R', 'T', 'IY0']",8,long,simple,RLSL,,,,,"['M', 'AO', 'R', 'IY', 'AA', 'R', 'T', 'IY']"
mozambique,real,3.29,low,"['M', 'OW2', 'Z', 'AE0', 'M', 'B', 'IY1', 'K']",8,long,simple,RLSL,,,,,"['M', 'OW', 'Z', 'AE', 'M', 'B', 'IY', 'K']"
mulligan,real,3.08,low,"['M', 'AH1', 'L', 'IH0', 'G', 'AH0', 'N']",7,long,simple,RLSL,,,,,"['M', 'AH', 'L', 'IH', 'G', 'AH', 'N']"
mussolini,real,3.16,low,"['M', 'UW2', 'S', 'OW0', 'L', 'IY1', 'N', 'IY0']",8,long,simple,RLSL,,,,,"['M', 'UW', 'S', 'OW', 'L', 'IY', 'N', 'IY']"
namibia,real,3.25,low,"['N', 'AH0', 'M', 'IH1', 'B', 'IY0', 'AH0']",7,long,simple,RLSL,,,,,"['N', 'AH', 'M', 'IH', 'B', 'IY', 'AH']"
nantucket,real,2.84,low,"['N', 'AE0', 'N', 'T', 'AH1', 'K', 'IH0', 'T']",8,long,simple,RLSL,,,,,"['N', 'AE', 'N', 'T', 'AH', 'K', 'IH', 'T']"
neanderthal,real,2.95,low,"['N', 'IY0', 'AE1', 'N', 'D', 'ER0', 'TH', 'AO2', 'L']",9,long,simple,RLSL,,,,,"['N', 'IY', 'AE', 'N', 'D', 'ER', 'TH', 'AO', 'L']"
nicaragua,real,3.44,low,"['N', 'IH2', 'K', 'ER0', 'AA1', 'G', 'W', 'AH0']",8,long,simple,RLSL,,,,,"['N', 'IH', 'K', 'ER', 'AA', 'G', 'W', 'AH']"
nirvana,real,3.37,low,"['N', 'IH0', 'R', 'V', 'AA1', 'N', 'AH0']",7,long,simple,RLSL,,,,,"['N', 'IH', 'R', 'V', 'AA', 'N', 'AH']"
nostril,real,2.77,low,"['N', 'AA1', 'S', 'T', 'R', 'IH0', 'L']",7,long,simple,RLSL,,,,,"['N', 'AA', 'S', 'T', 'R', 'IH', 'L']"
obelisk,real,2.76,low,"['OW0', 'B', 'EH1', 'L', 'IH0', 'S', 'K']",7,long,simple,RLSL,,,,,"['OW', 'B', 'EH', 'L', 'IH', 'S', 'K']"
obfuscate,real,2.28,low,"['AA1', 'B', 'F', 'AH0', 'S', 'K', 'EY2', 'T']",8,long,simple,RLSL,,,,,"['AA', 'B', 'F', 'AH', 'S', 'K', 'EY', 'T']"
obituary,real,3.41,low,"['OW0', 'B', 'IH1', 'CH', 'UW0', 'EH2', 'R', 'IY0']",8,long,simple,RLSL,,,,,"['OW', 'B', 'IH', 'CH', 'UW', 'EH', 'R', 'IY']"
ocarina,real,2.45,low,"['OW0', 'K', 'AA0', 'R', 'IY1', 'N', 'AH0']",7,long,simple,RLSL,,,,,"['OW', 'K', 'AA', 'R', 'IY', 'N', 'AH']"
omelette,real,2.85,low,"['OW0', 'M', 'L', 'EH1', 'L', 'AH0', 'T']",7,long,simple,RLSL,,,,,"['OW', 'M', 'L', 'EH', 'L', 'AH', 'T']"
opulent,real,2.91,low,"['AA1', 'P', 'Y', 'AH0', 'L', 'AH0', 'N', 'T']",8,long,simple,RLSL,,,,,"['AA', 'P', 'Y', 'AH', 'L', 'AH', 'N', 'T']"
orangutan,real,2.8,low,"['AO0', 'R', 'AE1', 'NG', 'AH0', 'T', 'AE0', 'N']",8,long,simple,RLSL,,,,,"['AO', 'R', 'AE', 'NG', 'AH', 'T', 'AE', 'N']"
paladin,real,2.98,low,"['P', 'AE1', 'L', 'AH0', 'D', 'IH0', 'N']",7,long,simple,RLSL,,,,,"['P', 'AE', 'L', 'AH', 'D', 'IH', 'N']"
palindrome,real,2.17,low,"['P', 'AE1', 'L', 'AH0', 'N', 'D', 'R', 'OW2', 'M']",9,long,simple,RLSL,,,,,"['P', 'AE', 'L', 'AH', 'N', 'D', 'R', 'OW', 'M']"
palisade,real,2.51,low,"['P', 'AE2', 'L', 'IH0', 'S', 'EY1', 'D']",7,long,simple,RLSL,,,,,"['P', 'AE', 'L', 'IH', 'S', 'EY', 'D']"
pamphlet,real,3.32,low,"['P', 'AE1', 'M', 'F', 'L', 'AH0', 'T']",7,long,simple,RLSL,,,,,"['P', 'AE', 'M', 'F', 'L', 'AH', 'T']"
pandora,real,3.4,low,"['P', 'AE0', 'N', 'D', 'AO1', 'R', 'AH0']",7,long,simple,RLSL,,,,,"['P', 'AE', 'N', 'D', 'AO', 'R', 'AH']"
parmesan,real,3.17,low,"['P', 'AA1', 'R', 'M', 'AH0', 'Z', 'AA2', 'N']",8,long,simple,RLSL,,,,,"['P', 'AA', 'R', 'M', 'AH', 'Z', 'AA', 'N']"
pasadena,real,3.45,low,"['P', 'AE2', 'S', 'AH0', 'D', 'IY1', 'N', 'ER0']",8,long,simple,RLSL,,,,,"['P', 'AE', 'S', 'AH', 'D', 'IY', 'N', 'ER']"
pasternak,real,2.42,low,"['P', 'AE1', 'S', 'T', 'ER0', 'N', 'AE0', 'K']",8,long,simple,RLSL,,,,,"['P', 'AE', 'S', 'T', 'ER', 'N', 'AE', 'K']"
pedigree,real,3.35,low,"['P', 'EH1', 'D', 'AH0', 'G', 'R', 'IY0']",7,long,simple,RLSL,,,,,"['P', 'EH', 'D', 'AH', 'G', 'R', 'IY']"
pelican,real,3.07,low,"['P', 'EH1', 'L', 'AH0', 'K', 'AH0', 'N']",7,long,simple,RLSL,,,,,"['P', 'EH', 'L', 'AH', 'K', 'AH', 'N']"
penchant,real,3.07,low,"['P', 'EH1', 'N', 'CH', 'AH0', 'N', 'T']",7,long,simple,RLSL,,,,,"['P', 'EH', 'N', 'CH', 'AH', 'N', 'T']"
penicillin,real,3.04,low,"['P', 'EH2', 'N', 'AH0', 'S', 'IH1', 'L', 'AH0', 'N']",9,long,simple,RLSL,,,,,"['P', 'EH', 'N', 'AH', 'S', 'IH', 'L', 'AH', 'N']"
perpetrate,real,2.48,low,"['P', 'ER1', 'P', 'AH0', 'T', 'R', 'EY2', 'T']",8,long,simple,RLSL,,,,,"['P', 'ER', 'P', 'AH', 'T', 'R', 'EY', 'T']"
petulant,real,2.73,low,"['P', 'EH1', 'CH', 'AH0', 'L', 'AH0', 'N', 'T']",8,long,simple,RLSL,,,,,"['P', 'EH', 'CH', 'AH', 'L', 'AH', 'N', 'T']"
petunia,real,2.48,low,"['P', 'AH0', 'T', 'UW1', 'N', 'IY0', 'AH0']",7,long,simple,RLSL,,,,,"['P', 'AH', 'T', 'UW', 'N', 'IY', 'AH']"
phalanx,real,2.85,low,"['F', 'EY1', 'L', 'AE0', 'NG', 'K', 'S']",7,long,simple,RLSL,,,,,"['F', 'EY', 'L', 'AE', 'NG', 'K', 'S']"
pilgrim,real,3.38,low,"['P', 'IH1', 'L', 'G', 'R', 'AH0', 'M']",7,long,simple,RLSL,,,,,"['P', 'IH', 'L', 'G', 'R', 'AH', 'M']"
piranha,real,2.75,low,"['P', 'IH0', 'R', 'AE1', 'N', 'HH', 'AH0']",7,long,simple,RLSL,,,,,"['P', 'IH', 'R', 'AE', 'N', 'HH', 'AH']"
placebo,real,3.48,low,"['P', 'L', 'AH0', 'S', 'IY1', 'B', 'OW0']",7,long,simple,RLSL,,,,,"['P', 'L', 'AH', 'S', 'IY', 'B', 'OW']"
placenta,real,3.09,low,"['P', 'L', 'AH0', 'S', 'EH1', 'N', 'T', 'AH0']",8,long,simple,RLSL,,,,,"['P', 'L', 'AH', 'S', 'EH', 'N', 'T', 'AH']"
plankton,real,3.05,low,"['P', 'L', 'AE1', 'NG', 'K', 'T', 'AH0', 'N']",8,long,simple,RLSL,,,,,"['P', 'L', 'AE', 'NG', 'K', 'T', 'AH', 'N']"
plantain,real,2.67,low,"['P', 'L', 'AE1', 'N', 'T', 'AH0', 'N']",7,long,simple,RLSL,,,,,"['P', 'L', 'AE', 'N', 'T', 'AH', 'N']"
platypus,real,2.69,low,"['P', 'L', 'AE1', 'T', 'AH0', 'P', 'UH2', 'S']",8,long,simple,RLSL,,,,,"['P', 'L', 'AE', 'T', 'AH', 'P', 'UH', 'S']"
pomegranate,real,2.93,low,"['P', 'OW1', 'M', 'AH0', 'G', 'R', 'EY2', 'T', 'AH0']",9,long,simple,RLSL,,,,,"['P', 'OW', 'M', 'AH', 'G', 'R', 'EY', 'T', 'AH']"
porcupine,real,2.88,low,"['P', 'AO1', 'R', 'K', 'Y', 'AH0', 'P', 'AY2', 'N']",9,long,simple,RLSL,,,,,"['P', 'AO', 'R', 'K', 'Y', 'AH', 'P', 'AY', 'N']"
poseidon,real,3.1,low,"['P', 'AH0', 'S', 'AY1', 'D', 'AH0', 'N']",7,long,simple,RLSL,,,,,"['P', 'AH', 'S', 'AY', 'D', 'AH', 'N']"
potomac,real,3.31,low,"['P', 'AH0', 'T', 'OW1', 'M', 'AH0', 'K']",7,long,simple,RLSL,,,,,"['P', 'AH', 'T', 'OW', 'M', 'AH', 'K']"
potsdam,real,2.83,low,"['P', 'AA1', 'T', 'S', 'D', 'AE2', 'M']",7,long,simple,RLSL,,,,,"['P', 'AA', 'T', 'S', 'D', 'AE', 'M']"
pristine,real,3.33,low,"['P', 'R', 'IH1', 'S', 'T', 'IY0', 'N']",7,long,simple,RLSL,,,,,"['P', 'R', 'IH', 'S', 'T', 'IY', 'N']"
prometheus,real,3.13,low,"['P', 'R', 'AA1', 'M', 'IH0', 'TH', 'EH2', 'SH']",8,long,simple,RLSL,,,,,"['P', 'R', 'AA', 'M', 'IH', 'TH', 'EH', 'SH']"
promulgate,real,2.29,low,"['P', 'R', 'OW0', 'M', 'AH1', 'L', 'G', 'EY0', 'T']",9,long,simple,RLSL,,,,,"['P', 'R', 'OW', 'M', 'AH', 'L', 'G', 'EY', 'T']"
psoriasis,real,2.89,low,"['S', 'ER0', 'AY1', 'AH0', 'S', 'AH0', 'S']",7,long,simple,RLSL,,,,,"['S', 'ER', 'AY', 'AH', 'S', 'AH', 'S']"
pulitzer,real,3.35,low,"['P', 'UH1', 'L', 'AH0', 'T', 'S', 'ER0']",7,long,simple,RLSL,,,,,"['P', 'UH', 'L', 'AH', 'T', 'S', 'ER']"
pulmonary,real,3.5,low,"['P', 'UH1', 'L', 'M', 'AH0', 'N', 'EH2', 'R', 'IY0']",9,long,simple,RLSL,,,,,"['P', 'UH', 'L', 'M', 'AH', 'N', 'EH', 'R', 'IY']"
pungent,real,2.91,low,"['P', 'AH1', 'N', 'JH', 'AH0', 'N', 'T']",7,long,simple,RLSL,,,,,"['P', 'AH', 'N', 'JH', 'AH', 'N', 'T']"
putrid,real,2.7,low,"['P', 'Y', 'UW1', 'T', 'R', 'IH0', 'D']",7,long,simple,RLSL,,,,,"['P', 'Y', 'UW', 'T', 'R', 'IH', 'D']"
