,Word,Phonemes,No Stress,Length,Morphology
95,emp,"['EH1', 'M', 'P']","['EH', 'M', 'P']",3,simple
97,mem,"['M', 'EH1', 'M']","['M', 'EH', 'M']",3,simple
101,saf,"['S', 'AE1', 'F']","['S', 'AE', 'F']",3,simple
102,gua,"['G', 'W', 'AA1']","['G', 'W', 'AA']",3,simple
105,inf,"['IH1', 'N', 'F']","['IH', 'N', 'F']",3,simple
108,pru,"['P', 'R', 'UW1']","['P', 'R', 'UW']",3,simple
109,spo,"['S', 'P', 'OW1']","['S', 'P', 'OW']",3,simple
118,sma,"['S', 'M', 'AA1']","['S', 'M', 'AA']",3,simple
119,val,"['V', 'AE1', 'L']","['V', 'AE', 'L']",3,simple
121,gov,"['G', 'AH1', 'V']","['G', 'AH', 'V']",3,simple
122,ent,"['EH1', 'N', 'T']","['EH', 'N', 'T']",3,simple
123,oly,"['OW1', 'L', 'IY0']","['OW', 'L', 'IY']",3,simple
125,sti,"['S', 'T', 'AY1']","['S', 'T', 'AY']",3,simple
127,ord,"['AO1', 'R', 'D']","['AO', 'R', 'D']",3,simple
128,tog,"['T', 'AO1', 'G']","['T', 'AO', 'G']",3,simple
133,ana,"['AA1', 'N', 'AH0']","['AA', 'N', 'AH']",3,simple
135,lov,"['L', 'AA1', 'V']","['L', 'AA', 'V']",3,simple
143,fam,"['F', 'AE1', 'M']","['F', 'AE', 'M']",3,simple
144,bul,"['B', 'AH1', 'L']","['B', 'AH', 'L']",3,simple
145,med,"['M', 'EH1', 'D']","['M', 'EH', 'D']",3,simple
148,sim,"['S', 'IH1', 'M']","['S', 'IH', 'M']",3,simple
149,fis,"['F', 'IH1', 'S']","['F', 'IH', 'S']",3,simple
150,ama,"['AA1', 'M', 'AH0']","['AA', 'M', 'AH']",3,simple
153,spe,"['S', 'P', 'IY1']","['S', 'P', 'IY']",3,simple
154,mim,"['M', 'IH1', 'M']","['M', 'IH', 'M']",3,simple
155,cra,"['K', 'R', 'AA1']","['K', 'R', 'AA']",3,simple
157,sop,"['S', 'AA1', 'P']","['S', 'AA', 'P']",3,simple
161,alu,"['AA1', 'L', 'UW0']","['AA', 'L', 'UW']",3,simple
166,sud,"['S', 'AH1', 'D']","['S', 'AH', 'D']",3,simple
167,fut,"['F', 'AH1', 'T']","['F', 'AH', 'T']",3,simple
168,els,"['EH1', 'L', 'Z']","['EH', 'L', 'Z']",3,simple
169,jan,"['JH', 'AE1', 'N']","['JH', 'AE', 'N']",3,simple
171,qua,"['K', 'W', 'AA1']","['K', 'W', 'AA']",3,simple
173,fal,"['F', 'AE1', 'L']","['F', 'AE', 'L']",3,simple
175,mus,"['M', 'AH1', 'S']","['M', 'AH', 'S']",3,simple
176,epi,"['EH1', 'P', 'IY0']","['EH', 'P', 'IY']",3,simple
178,org,"['AO1', 'R', 'G']","['AO', 'R', 'G']",3,simple
179,ato,"['EY1', 'T', 'OW0']","['EY', 'T', 'OW']",3,simple
180,neg,"['N', 'EH1', 'G']","['N', 'EH', 'G']",3,simple
182,cle,"['K', 'L', 'IY1']","['K', 'L', 'IY']",3,simple
184,upg,"['AH1', 'P', 'G']","['AH', 'P', 'G']",3,simple
187,evi,"['EH1', 'V', 'IY0']","['EH', 'V', 'IY']",3,simple
188,tra,"['T', 'R', 'AA1']","['T', 'R', 'AA']",3,simple
194,ani,"['AA1', 'N', 'IY0']","['AA', 'N', 'IY']",3,simple
197,unp,"['AH1', 'N', 'P']","['AH', 'N', 'P']",3,simple
198,nuc,"['N', 'AH1', 'K']","['N', 'AH', 'K']",3,simple
201,dem,"['D', 'EH1', 'M']","['D', 'EH', 'M']",3,simple
204,mag,"['M', 'AE1', 'G']","['M', 'AE', 'G']",3,simple
209,obv,"['AA1', 'B', 'V']","['AA', 'B', 'V']",3,simple
213,arb,"['AA1', 'R', 'B']","['AA', 'R', 'B']",3,simple
214,sna,"['S', 'N', 'AA1']","['S', 'N', 'AA']",3,simple
215,gre,"['G', 'R', 'IY1']","['G', 'R', 'IY']",3,simple
219,vid,"['V', 'IH1', 'D']","['V', 'IH', 'D']",3,simple
221,ste,"['S', 'T', 'IY1']","['S', 'T', 'IY']",3,simple
237,orp,"['AO1', 'R', 'P']","['AO', 'R', 'P']",3,simple
239,ans,"['AE1', 'N', 'Z']","['AE', 'N', 'Z']",3,simple
240,sym,"['S', 'IH1', 'M']","['S', 'IH', 'M']",3,simple
241,obs,"['AA1', 'B', 'Z']","['AA', 'B', 'Z']",3,simple
242,aggy,"['AE1', 'G', 'IY0']","['L', 'AY', 'G']",3,simple
247,cla,"['K', 'L', 'AA1']","['K', 'L', 'AA']",3,simple
251,sis,"['S', 'IH1', 'S']","['S', 'IH', 'S']",3,simple
253,emb,"['EH1', 'M', 'B']","['EH', 'M', 'B']",3,simple
255,maj,"['M', 'AE1', 'JH']","['M', 'AE', 'JH']",3,simple
256,sca,"['S', 'K', 'EY1']","['S', 'K', 'EY']",3,simple
258,agr,"['AE1', 'G', 'ER0']","['AE', 'G', 'ER']",3,simple
259,fug,"['F', 'AH1', 'G']","['F', 'AH', 'G']",3,simple
261,afr,"['AE1', 'F', 'ER0']","['AE', 'F', 'ER']",3,simple
264,ima,"['AY1', 'M', 'AH0']","['AY', 'M', 'AH']",3,simple
268,deg,"['D', 'EH1', 'G']","['D', 'EH', 'G']",3,simple
272,bef,"['B', 'EH1', 'F']","['B', 'EH', 'F']",3,simple
273,hus,"['HH', 'AH1', 'S']","['HH', 'AH', 'S']",3,simple
275,lif,"['L', 'IH1', 'F']","['L', 'IH', 'F']",3,simple
280,shr,"['SH', 'R', 'AA1']","['SH', 'R', 'AA']",3,simple
284,mal,"['M', 'AE1', 'L']","['M', 'AE', 'L']",3,simple
285,cav,"['K', 'AA1', 'V']","['K', 'AA', 'V']",3,simple
293,mif,"['M', 'IH1', 'F']","['M', 'IH', 'F']",3,simple
294,dra,"['D', 'R', 'AA1']","['D', 'R', 'AA']",3,simple
297,bic,"['B', 'IH1', 'K']","['B', 'IH', 'K']",3,simple
301,gla,"['G', 'L', 'AA1']","['G', 'L', 'AA']",3,simple
302,emmed,"['EH1', 'M', 'D']","['EH', 'M', 'OW']",3,simple
303,obj,"['AA1', 'B', 'JH']","['AA', 'B', 'JH']",3,simple
307,smo,"['S', 'M', 'UW1']","['S', 'M', 'UW']",3,simple
309,raf,"['R', 'AE1', 'F']","['R', 'AE', 'F']",3,simple
310,hav,"['HH', 'AA1', 'V']","['HH', 'AA', 'V']",3,simple
313,fes,"['F', 'EH1', 'S']","['F', 'EH', 'S']",3,simple
315,swe,"['S', 'W', 'IY1']","['S', 'W', 'IY']",3,simple
316,sav,"['S', 'AA1', 'V']","['S', 'AA', 'V']",3,simple
318,tui,"['T', 'UW1', 'IY0']","['T', 'UW', 'IY']",3,simple
319,opi,"['OW1', 'P', 'IY0']","['OW', 'P', 'IY']",3,simple
320,evo,"['EH1', 'V', 'OW0']","['EH', 'V', 'OW']",3,simple
321,gat,"['G', 'AE1', 'T']","['G', 'AE', 'T']",3,simple
322,asp,"['AE1', 'S', 'P']","['AE', 'S', 'P']",3,simple
323,sep,"['S', 'EH1', 'P']","['S', 'EH', 'P']",3,simple
327,asy,"['EY1', 'S', 'IY0']","['EY', 'S', 'IY']",3,simple
328,bap,"['B', 'AE1', 'P']","['B', 'AE', 'P']",3,simple
329,bod,"['B', 'AA1', 'D']","['B', 'AA', 'D']",3,simple
332,wav,"['W', 'AA1', 'V']","['W', 'AA', 'V']",3,simple
334,fla,"['F', 'L', 'AA1']","['F', 'L', 'AA']",3,simple
337,sug,"['S', 'AH1', 'G']","['S', 'AH', 'G']",3,simple
338,fav,"['F', 'AA1', 'V']","['F', 'AA', 'V']",3,simple
340,gri,"['G', 'R', 'IY1']","['G', 'R', 'IY']",3,simple
342,lar,"['L', 'AA1', 'R']","['L', 'AA', 'R']",3,simple
343,tro,"['T', 'R', 'OW1']","['T', 'R', 'OW']",3,simple
348,foa,"['F', 'OW1', 'AH0']","['F', 'OW', 'AH']",3,simple
350,twe,"['T', 'W', 'IY1']","['T', 'W', 'IY']",3,simple
351,tul,"['T', 'AH1', 'L']","['T', 'AH', 'L']",3,simple
352,cer,"['S', 'EH1', 'R']","['S', 'EH', 'R']",3,simple
353,ena,"['EH1', 'N', 'AH0']","['EH', 'N', 'AH']",3,simple
355,mys,"['M', 'IH1', 'Z']","['M', 'IH', 'Z']",3,simple
356,plu,"['P', 'L', 'UW1']","['P', 'L', 'UW']",3,simple
357,swi,"['S', 'W', 'IY1']","['S', 'W', 'IY']",3,simple
358,ont,"['AA1', 'N', 'T']","['AA', 'N', 'T']",3,simple
359,reg,"['R', 'EH1', 'G']","['R', 'EH', 'G']",3,simple
361,fra,"['F', 'R', 'AA1']","['F', 'R', 'AA']",3,simple
364,env,"['EH1', 'N', 'V']","['EH', 'N', 'V']",3,simple
365,vio,"['V', 'AY1', 'OW0']","['V', 'AY', 'OW']",3,simple
367,eur,"['Y', 'UW1', 'R']","['Y', 'UW', 'R']",3,simple
369,scr,"['S', 'K', 'ER1']","['S', 'K', 'ER']",3,simple
372,nar,"['N', 'AA1', 'R']","['N', 'AA', 'R']",3,simple
373,wed,"['W', 'EH1', 'D']","['W', 'EH', 'D']",3,simple
374,vag,"['V', 'AE1', 'G']","['V', 'AE', 'G']",3,simple
375,pra,"['P', 'R', 'AA1']","['P', 'R', 'AA']",3,simple
377,vin,"['V', 'IH1', 'N']","['V', 'IH', 'N']",3,simple
379,tem,"['T', 'EH1', 'M']","['T', 'EH', 'M']",3,simple
380,lib,"['L', 'IH1', 'B']","['L', 'IH', 'B']",3,simple
381,enc,"['EH1', 'NG', 'K']","['EH', 'NG', 'K']",3,simple
382,tig,"['T', 'IH1', 'G']","['T', 'IH', 'G']",3,simple
386,div,"['D', 'IH1', 'V']","['D', 'IH', 'V']",3,simple
387,ini,"['IH1', 'N', 'IY0']","['IH', 'N', 'IY']",3,simple
388,vig,"['V', 'IH1', 'G']","['V', 'IH', 'G']",3,simple
390,roa,"['R', 'OW1', 'AH0']","['R', 'OW', 'AH']",3,simple
391,nig,"['N', 'IH1', 'G']","['N', 'IH', 'G']",3,simple
392,poc,"['P', 'AA1', 'K']","['P', 'AA', 'K']",3,simple
394,alo,"['EY1', 'L', 'OW0']","['EY', 'L', 'OW']",3,simple
403,var,"['V', 'AA1', 'R']","['V', 'AA', 'R']",3,simple
407,fru,"['F', 'R', 'UW1']","['F', 'R', 'UW']",3,simple
417,riv,"['R', 'IH1', 'V']","['R', 'IH', 'V']",3,simple
418,arg,"['AA1', 'R', 'G']","['AA', 'R', 'G']",3,simple
419,awa,"['AA1', 'W', 'AH0']","['AA', 'W', 'AH']",3,simple
421,amo,"['AA1', 'M', 'OW0']","['AA', 'M', 'OW']",3,simple
422,doz,"['D', 'AA1', 'Z']","['D', 'AA', 'Z']",3,simple
423,jun,"['JH', 'AH1', 'N']","['JH', 'AH', 'N']",3,simple
425,ens,"['EH1', 'N', 'Z']","['EH', 'N', 'Z']",3,simple
432,apa,"['EY1', 'P', 'AH0']","['EY', 'P', 'AH']",3,simple
433,sty,"['S', 'T', 'AY1']","['S', 'T', 'AY']",3,simple
439,ses,"['S', 'EH1', 'S']","['S', 'EH', 'S']",3,simple
440,vot,"['V', 'AA1', 'T']","['V', 'AA', 'T']",3,simple
442,fic,"['F', 'IH1', 'K']","['F', 'IH', 'K']",3,simple
443,foc,"['F', 'AA1', 'K']","['F', 'AA', 'K']",3,simple
444,zom,"['Z', 'AA1', 'M']","['Z', 'AA', 'M']",3,simple
447,wid,"['W', 'IH1', 'D']","['W', 'IH', 'D']",3,simple
448,sof,"['S', 'AO1', 'F']","['S', 'AO', 'F']",3,simple
449,suf,"['S', 'AH1', 'F']","['S', 'AH', 'F']",3,simple
451,sut,"['S', 'AH1', 'T']","['S', 'AH', 'T']",3,simple
454,jag,"['JH', 'AE1', 'G']","['JH', 'AE', 'G']",3,simple
455,rav,"['R', 'AA1', 'V']","['R', 'AA', 'V']",3,simple
457,bry,"['B', 'R', 'AY1']","['B', 'R', 'AY']",3,simple
459,abo,"['AA1', 'B', 'OW0']","['AA', 'B', 'OW']",3,simple
462,jui,"['JH', 'UW1', 'IY0']","['JH', 'UW', 'IY']",3,simple
466,ira,"['AY1', 'R', 'AH0']","['AY', 'R', 'AH']",3,simple
467,sem,"['S', 'EH1', 'M']","['S', 'EH', 'M']",3,simple
468,ris,"['R', 'IH1', 'S']","['R', 'IH', 'S']",3,simple
470,bli,"['B', 'L', 'AY1']","['B', 'L', 'AY']",3,simple
472,ped,"['P', 'EH1', 'D']","['P', 'EH', 'D']",3,simple
474,sib,"['S', 'IH1', 'B']","['S', 'IH', 'B']",3,simple
476,alc,"['AE1', 'L', 'CH']","['AE', 'L', 'CH']",3,simple
478,ske,"['S', 'K', 'EY1']","['S', 'K', 'EY']",3,simple
479,dom,"['D', 'AA1', 'M']","['D', 'AA', 'M']",3,simple
483,scu,"['S', 'K', 'UW1']","['S', 'K', 'UW']",3,simple
488,mun,"['M', 'AH1', 'N']","['M', 'AH', 'N']",3,simple
490,sle,"['S', 'L', 'IY1']","['S', 'L', 'IY']",3,simple
491,unf,"['AH1', 'N', 'F']","['AH', 'N', 'F']",3,simple
493,dav,"['D', 'AA1', 'V']","['D', 'AA', 'V']",3,simple
495,uns,"['AH1', 'N', 'Z']","['AH', 'N', 'Z']",3,simple
498,dar,"['D', 'AA1', 'R']","['D', 'AA', 'R']",3,simple
501,eti,"['EH1', 'T', 'IY0']","['EH', 'T', 'IY']",3,simple
502,ven,"['V', 'EH1', 'N']","['V', 'EH', 'N']",3,simple
504,obt,"['AA1', 'B', 'T']","['AA', 'B', 'T']",3,simple
507,jul,"['JH', 'UW1', 'L']","['JH', 'UW', 'L']",3,simple
510,jor,"['JH', 'AO1', 'R']","['JH', 'AO', 'R']",3,simple
513,alv,"['AA1', 'L', 'V']","['AA', 'L', 'V']",3,simple
515,ble,"['B', 'L', 'IY1']","['B', 'L', 'IY']",3,simple
516,tob,"['T', 'AA1', 'B']","['T', 'AA', 'B']",3,simple
518,bia,"['B', 'IY1', 'AH0']","['B', 'IY', 'AH']",3,simple
520,puz,"['P', 'UH1', 'Z']","['P', 'UH', 'Z']",3,simple
521,hob,"['HH', 'AA1', 'B']","['HH', 'AA', 'B']",3,simple
524,avo,"['EY1', 'V', 'OW0']","['EY', 'V', 'OW']",3,simple
526,unr,"['AH1', 'N', 'R']","['AH', 'N', 'R']",3,simple
527,dop,"['D', 'AA1', 'P']","['D', 'AA', 'P']",3,simple
528,idi,"['AY1', 'D', 'IY0']","['AY', 'D', 'IY']",3,simple
530,coa,"['K', 'OW1', 'AH0']","['K', 'OW', 'AH']",3,simple
534,inq,"['IH1', 'N', 'K']","['IH', 'N', 'K']",3,simple
535,dre,"['D', 'R', 'IY1']","['D', 'R', 'IY']",3,simple
538,sni,"['S', 'N', 'AY1']","['S', 'N', 'AY']",3,simple
539,lav,"['L', 'AA1', 'V']","['L', 'AA', 'V']",3,simple
540,ina,"['IY1', 'N', 'AH0']","['IY', 'N', 'AH']",3,simple
544,nas,"['N', 'AE1', 'S']","['N', 'AE', 'S']",3,simple
547,gib,"['G', 'IH1', 'B']","['G', 'IH', 'B']",3,simple
548,rej,"['R', 'EH1', 'JH']","['R', 'EH', 'JH']",3,simple
551,gue,"['G', 'Y', 'UW1']","['G', 'Y', 'UW']",3,simple
552,ecu,"['EH1', 'K', 'UW0']","['EH', 'K', 'UW']",3,simple
555,abd,"['AE1', 'B', 'D']","['AE', 'B', 'D']",3,simple
556,inp,"['IH1', 'N', 'P']","['IH', 'N', 'P']",3,simple
558,deb,"['D', 'EH1', 'B']","['D', 'EH', 'B']",3,simple
560,rui,"['R', 'UW1', 'IY0']","['R', 'UW', 'IY']",3,simple
562,abr,"['AA1', 'B', 'R']","['AA', 'B', 'R']",3,simple
566,muf,"['M', 'AH1', 'F']","['M', 'AH', 'F']",3,simple
567,cem,"['S', 'EH1', 'M']","['S', 'EH', 'M']",3,simple
568,vib,"['V', 'IH1', 'B']","['V', 'IH', 'B']",3,simple
570,gif,"['G', 'IH1', 'F']","['G', 'IH', 'F']",3,simple
571,lum,"['L', 'AH1', 'M']","['L', 'AH', 'M']",3,simple
572,nur,"['N', 'UH1', 'R']","['N', 'UH', 'R']",3,simple
573,enj,"['EH1', 'N', 'JH']","['EH', 'N', 'JH']",3,simple
574,eug,"['Y', 'UW1', 'G']","['Y', 'UW', 'G']",3,simple
575,hab,"['HH', 'AE1', 'B']","['HH', 'AE', 'B']",3,simple
576,ful,"['F', 'AH1', 'L']","['F', 'AH', 'L']",3,simple
579,nev,"['N', 'EH1', 'V']","['N', 'EH', 'V']",3,simple
580,aco,"['EY1', 'K', 'OW0']","['EY', 'K', 'OW']",3,simple
581,nav,"['N', 'AE1', 'V']","['N', 'AE', 'V']",3,simple
582,ult,"['AH1', 'L', 'T']","['AH', 'L', 'T']",3,simple
589,iro,"['IH1', 'R', 'OW0']","['IH', 'R', 'OW']",3,simple
590,hyb,"['HH', 'AY1', 'B']","['HH', 'AY', 'B']",3,simple
592,gam,"['G', 'AE1', 'M']","['G', 'AE', 'M']",3,simple
593,euc,"['Y', 'UW1', 'K']","['Y', 'UW', 'K']",3,simple
596,cof,"['K', 'AO1', 'F']","['K', 'AO', 'F']",3,simple
598,oli,"['OW1', 'L', 'IY0']","['OW', 'L', 'IY']",3,simple
599,aft,"['AE1', 'F', 'T']","['AE', 'F', 'T']",3,simple
601,jum,"['JH', 'AH1', 'M']","['JH', 'AH', 'M']",3,simple
606,poss,"['P', 'AO1', 'S']","['P', 'AO', 'S']",3,simple
609,moun,"['M', 'AW1', 'N']","['M', 'AW', 'N']",3,simple
611,chan,"['CH', 'AE1', 'N']","['CH', 'AE', 'N']",3,simple
613,defe,"['D', 'IH0', 'F']","['D', 'IH', 'F']",3,simple
619,turt,"['T', 'ER1', 'T']","['T', 'ER', 'T']",3,simple
630,reth,"['R', 'EH1', 'TH']","['R', 'EH', 'TH']",3,simple
633,sers,"['S', 'ER1', 'Z']","['S', 'ER', 'Z']",3,simple
642,inde,"['IH1', 'N', 'D']","['IH', 'N', 'D']",3,simple
647,weig,"['W', 'AY1', 'G']","['W', 'AY', 'G']",3,simple
665,coun,"['K', 'AW1', 'N']","['K', 'AW', 'N']",3,simple
672,perv,"['P', 'ER1', 'V']","['P', 'ER', 'V']",3,simple
682,prow,"['P', 'R', 'AW1']","['P', 'R', 'AW']",3,simple
688,thri,"['TH', 'R', 'AY1']","['TH', 'R', 'AY']",3,simple
689,reag,"['R', 'EH1', 'G']","['R', 'EH', 'G']",3,simple
692,cout,"['K', 'AW1', 'T']","['K', 'AW', 'T']",3,simple
697,latt,"['L', 'AE1', 'T']","['L', 'AE', 'T']",3,simple
700,thra,"['TH', 'R', 'AA1']","['TH', 'R', 'AA']",3,simple
703,hann,"['HH', 'AE1', 'N']","['HH', 'AE', 'N']",3,simple
710,thip,"['TH', 'IH1', 'P']","['TH', 'IH', 'P']",3,simple
712,eitu,"['AY1', 'T', 'UW2']","['AY', 'T', 'UW']",3,simple
717,espe,"['EH1', 'S', 'P']","['EH', 'S', 'P']",3,simple
718,jerv,"['JH', 'ER1', 'V']","['JH', 'ER', 'V']",3,simple
726,sith,"['S', 'IH1', 'TH']","['S', 'IH', 'TH']",3,simple
727,amer,"['EY1', 'M', 'ER0']","['EY', 'M', 'ER']",3,simple
732,gete,"['G', 'IY1', 'T']","['G', 'IY', 'T']",3,simple
734,aggr,"['AE1', 'G', 'ER0']","['AE', 'G', 'ER']",3,simple
737,offo,"['AO1', 'F', 'OW0']","['AO', 'F', 'OW']",3,simple
739,issi,"['IH1', 'S', 'IY0']","['IH', 'S', 'IY']",3,simple
743,aver,"['EY1', 'V', 'ER0']","['EY', 'V', 'ER']",3,simple
746,verf,"['V', 'ER1', 'F']","['V', 'ER', 'F']",3,simple
747,deve,"['D', 'IY1', 'V']","['D', 'IY', 'V']",3,simple
749,maym,"['M', 'EY1', 'M']","['M', 'EY', 'M']",3,simple
754,enou,"['EH0', 'N', 'UW1']","['EH', 'N', 'UW']",3,simple
765,shar,"['SH', 'AA1', 'R']","['SH', 'AA', 'R']",3,simple
767,fing,"['F', 'IH1', 'NG']","['F', 'IH', 'NG']",3,simple
769,addr,"['AE1', 'D', 'ER0']","['AE', 'D', 'ER']",3,simple
776,leat,"['L', 'IY1', 'T']","['L', 'IY', 'T']",3,simple
778,offi,"['AO1', 'F', 'IY0']","['AO', 'F', 'IY']",3,simple
781,hign,"['HH', 'AY1', 'N']","['HH', 'AY', 'N']",3,simple
784,lith,"['L', 'IH1', 'TH']","['L', 'IH', 'TH']",3,simple
790,fack,"['F', 'AE1', 'K']","['F', 'AE', 'K']",3,simple
795,opee,"['OW1', 'P', 'IY0']","['OW', 'P', 'IY']",3,simple
796,chel,"['CH', 'EH1', 'L']","['CH', 'EH', 'L']",3,simple
800,foll,"['F', 'AA1', 'L']","['F', 'AA', 'L']",3,simple
807,thes,"['DH', 'EH1', 'Z']","['DH', 'EH', 'Z']",3,simple
810,thar,"['TH', 'AA1', 'R']","['TH', 'AA', 'R']",3,simple
813,prou,"['P', 'R', 'AW1']","['P', 'R', 'AW']",3,simple
814,blay,"['B', 'L', 'EY1']","['B', 'L', 'EY']",3,simple
818,phom,"['F', 'AA1', 'M']","['F', 'AA', 'M']",3,simple
819,chot,"['CH', 'AA1', 'T']","['CH', 'AA', 'T']",3,simple
820,eneu,"['EH0', 'N', 'UW1']","['EH', 'N', 'UW']",3,simple
823,furf,"['F', 'ER1', 'F']","['F', 'ER', 'F']",3,simple
828,pash,"['P', 'AE1', 'SH']","['P', 'AE', 'SH']",3,simple
829,acco,"['AE1', 'K', 'OW0']","['AE', 'K', 'OW']",3,simple
830,ethi,"['EH1', 'TH', 'IY0']","['EH', 'TH', 'IY']",3,simple
846,ello,"['EH1', 'L', 'OW0']","['EH', 'L', 'OW']",3,simple
848,sugg,"['S', 'AH1', 'G']","['S', 'AH', 'G']",3,simple
859,illu,"['IH1', 'L', 'UW0']","['IH', 'L', 'UW']",3,simple
862,sere,"['S', 'IH1', 'R']","['S', 'IH', 'R']",3,simple
864,pera,"['P', 'ER1', 'AH0']","['P', 'ER', 'AH']",3,simple
865,grea,"['G', 'R', 'IY1']","['G', 'R', 'IY']",3,simple
884,ters,"['T', 'ER1', 'Z']","['T', 'ER', 'Z']",3,simple
885,jerf,"['JH', 'ER1', 'F']","['JH', 'ER', 'F']",3,simple
886,orde,"['AO1', 'R', 'D']","['AO', 'R', 'D']",3,simple
889,heac,"['HH', 'IY1', 'K']","['HH', 'IY', 'K']",3,simple
891,neav,"['N', 'IY1', 'V']","['N', 'IY', 'V']",3,simple
897,toge,"['T', 'OW1', 'JH']","['T', 'OW', 'JH']",3,simple
905,isso,"['IY1', 'S', 'OW0']","['IY', 'S', 'OW']",3,simple
907,sayi,"['S', 'EY1', 'IY0']","['S', 'EY', 'IY']",3,simple
911,chal,"['CH', 'AE1', 'L']","['CH', 'AE', 'L']",3,simple
919,spea,"['S', 'P', 'IY1']","['S', 'P', 'IY']",3,simple
920,assa,"['AE1', 'S', 'AH0']","['AE', 'S', 'AH']",3,simple
923,clow,"['K', 'L', 'OW1']","['K', 'L', 'OW']",3,simple
924,whem,"['W', 'EH1', 'M']","['W', 'EH', 'M']",3,simple
925,merm,"['M', 'ER1', 'M']","['M', 'ER', 'M']",3,simple
929,houg,"['HH', 'AW1', 'G']","['HH', 'AW', 'G']",3,simple
930,perf,"['P', 'ER1', 'F']","['P', 'ER', 'F']",3,simple
936,ceng,"['S', 'EH1', 'NG']","['S', 'EH', 'NG']",3,simple
941,vith,"['V', 'IH1', 'TH']","['V', 'IH', 'TH']",3,simple
976,hosh,"['HH', 'AA1', 'SH']","['HH', 'AA', 'SH']",3,simple
982,meag,"['M', 'IY1', 'G']","['M', 'IY', 'G']",3,simple
983,doup,"['D', 'UW1', 'P']","['D', 'UW', 'P']",3,simple
994,natt,"['N', 'AE1', 'T']","['N', 'AE', 'T']",3,simple
995,thil,"['TH', 'IH1', 'L']","['TH', 'IH', 'L']",3,simple
997,fook,"['F', 'UH1', 'K']","['F', 'UH', 'K']",3,simple
998,hawy,"['HH', 'AO1', 'IY0']","['HH', 'AO', 'IY']",3,simple
1002,surp,"['S', 'ER1', 'P']","['S', 'ER', 'P']",3,simple
