,Word,Phonemes,No Stress,Length,Morphology
2350,mommun,"['M', 'AA1', 'M', 'Y', 'AH0', 'N']","['M', 'AA', 'M', 'Y', 'AH', 'N']",6,simple
2353,indivi,"['IH0', 'N', 'D', 'IH1', 'V', 'IY0']","['IH', 'N', 'D', 'IH', 'V', 'IY']",6,simple
2357,adolac,"['AH0', 'D', 'AA1', 'L', 'AH0', 'K']","['AH', 'D', 'AA', 'L', 'AH', 'K']",6,simple
2364,gentin,"['JH', 'EH1', 'N', 'T', 'IH0', 'N']","['JH', 'EH', 'N', 'T', 'IH', 'N']",6,simple
2365,secept,"['S', 'EH1', 'S', 'IH0', 'P', 'T']","['S', 'EH', 'S', 'IH', 'P', 'T']",6,simple
2370,insple,"['IH1', 'N', 'S', 'P', 'AH0', 'L']","['IH', 'N', 'S', 'P', 'AH', 'L']",6,simple
2385,wedswa,"['W', 'EH1', 'D', 'S', 'W', 'AH0']","['W', 'EH', 'D', 'S', 'W', 'AH']",6,simple
2392,eurisi,"['Y', 'UH0', 'R', 'IY1', 'S', 'IY0']","['Y', 'UH', 'R', 'IY', 'S', 'IY']",6,simple
2398,momera,"['M', 'OW0', 'M', 'EH1', 'R', 'AH0']","['M', 'OW', 'M', 'EH', 'R', 'AH']",6,simple
2399,sublip,"['S', 'AH1', 'B', 'L', 'IH0', 'P']","['S', 'AH', 'B', 'L', 'IH', 'P']",6,simple
2408,tostro,"['T', 'OW1', 'S', 'T', 'R', 'OW0']","['T', 'OW', 'S', 'T', 'R', 'OW']",6,simple
2411,rebrin,"['R', 'IY0', 'B', 'R', 'IY1', 'N']","['R', 'IY', 'B', 'R', 'IY', 'N']",6,simple
2416,senala,"['S', 'EH0', 'N', 'AA1', 'L', 'AH0']","['S', 'EH', 'N', 'AA', 'L', 'AH']",6,simple
2433,nomete,"['N', 'OW0', 'M', 'EH1', 'T', 'IY0']","['N', 'OW', 'M', 'EH', 'T', 'IY']",6,simple
2439,capect,"['K', 'AE1', 'P', 'IH0', 'K', 'T']","['K', 'AE', 'P', 'IH', 'K', 'T']",6,simple
2440,nateri,"['N', 'AA0', 'T', 'EH1', 'R', 'IY0']","['N', 'AA', 'T', 'EH', 'R', 'IY']",6,simple
2442,botect,"['B', 'OW1', 'T', 'EH2', 'K', 'T']","['B', 'OW', 'T', 'EH', 'K', 'T']",6,simple
2444,opecin,"['OW1', 'P', 'AH0', 'S', 'AH0', 'N']","['OW', 'P', 'AH', 'S', 'AH', 'N']",6,simple
2446,becorm,"['B', 'EH1', 'K', 'AO2', 'R', 'M']","['B', 'EH', 'K', 'AO', 'R', 'M']",6,simple
2457,regelo,"['R', 'IH0', 'JH', 'EH1', 'L', 'OW0']","['R', 'IH', 'JH', 'EH', 'L', 'OW']",6,simple
2461,sedera,"['S', 'EY0', 'D', 'AA1', 'R', 'AH0']","['S', 'EY', 'D', 'AA', 'R', 'AH']",6,simple
2466,facroa,"['F', 'AA1', 'K', 'R', 'OW0', 'AH0']","['F', 'AA', 'K', 'R', 'OW', 'AH']",6,simple
2476,finipm,"['F', 'IH1', 'N', 'IH0', 'P', 'M']","['F', 'IH', 'N', 'IH', 'P', 'M']",6,simple
2483,kiliew,"['K', 'IH1', 'L', 'IY0', 'W', 'EH0']","['K', 'IH', 'L', 'IY', 'W', 'EH']",6,simple
2489,ronspe,"['R', 'AA1', 'N', 'S', 'P', 'IY0']","['R', 'AA', 'N', 'S', 'P', 'IY']",6,simple
2494,numpan,"['N', 'AH1', 'M', 'P', 'AH0', 'N']","['N', 'AH', 'M', 'P', 'AH', 'N']",6,simple
2496,quilud,"['K', 'W', 'IH1', 'L', 'AH0', 'D']","['K', 'W', 'IH', 'L', 'AH', 'D']",6,simple
2506,platur,"['P', 'L', 'AE1', 'T', 'UH0', 'R']","['P', 'L', 'AE', 'T', 'UH', 'R']",6,simple
2514,avolos,"['AE1', 'V', 'AH0', 'L', 'OW0', 'Z']","['AE', 'V', 'AH', 'L', 'OW', 'Z']",6,simple
2519,postim,"['P', 'OW1', 'S', 'T', 'IH2', 'M']","['P', 'OW', 'S', 'T', 'IH', 'M']",6,simple
2521,forkin,"['F', 'AO1', 'R', 'K', 'IH0', 'N']","['F', 'AO', 'R', 'K', 'IH', 'N']",6,simple
2528,pretim,"['P', 'R', 'IY1', 'T', 'AH0', 'M']","['P', 'R', 'IY', 'T', 'AH', 'M']",6,simple
2534,fresib,"['F', 'R', 'EH1', 'S', 'AH0', 'B']","['F', 'R', 'EH', 'S', 'AH', 'B']",6,simple
2536,helues,"['HH', 'EH1', 'L', 'Y', 'UW2', 'Z']","['HH', 'EH', 'L', 'Y', 'UW', 'Z']",6,simple
2543,carenc,"['K', 'EH1', 'R', 'AH0', 'NG', 'K']","['K', 'EH', 'R', 'AH', 'NG', 'K']",6,simple
2545,garpos,"['G', 'AA1', 'R', 'P', 'OW0', 'Z']","['G', 'AA', 'R', 'P', 'OW', 'Z']",6,simple
2549,preati,"['P', 'R', 'IY0', 'AA1', 'T', 'IY0']","['P', 'R', 'IY', 'AA', 'T', 'IY']",6,simple
2551,hatiod,"['HH', 'AE1', 'T', 'IY0', 'OW0', 'D']","['HH', 'AE', 'T', 'IY', 'OW', 'D']",6,simple
2555,remila,"['R', 'EH0', 'M', 'IY1', 'L', 'AH0']","['R', 'EH', 'M', 'IY', 'L', 'AH']",6,simple
2559,emplas,"['EH1', 'M', 'P', 'L', 'AH0', 'Z']","['EH', 'M', 'P', 'L', 'AH', 'Z']",6,simple
2564,cancif,"['K', 'AE1', 'N', 'S', 'IH0', 'F']","['K', 'AE', 'N', 'S', 'IH', 'F']",6,simple
2576,dentru,"['D', 'EH1', 'N', 'T', 'R', 'UW0']","['D', 'EH', 'N', 'T', 'R', 'UW']",6,simple
2579,selibi,"['S', 'AH0', 'L', 'IY1', 'B', 'IY0']","['S', 'AH', 'L', 'IY', 'B', 'IY']",6,simple
2581,canati,"['K', 'AA0', 'N', 'AA1', 'T', 'IY0']","['K', 'AA', 'N', 'AA', 'T', 'IY']",6,simple
2586,sebrus,"['S', 'EH1', 'B', 'R', 'AH0', 'S']","['S', 'EH', 'B', 'R', 'AH', 'S']",6,simple
2595,prowee,"['P', 'R', 'OW1', 'IY0', 'W', 'IY2']","['P', 'R', 'OW', 'IY', 'W', 'IY']",6,simple
2596,pictin,"['P', 'IH1', 'K', 'T', 'IH0', 'N']","['P', 'IH', 'K', 'T', 'IH', 'N']",6,simple
2597,bunmot,"['B', 'AH1', 'N', 'M', 'AA2', 'T']","['B', 'AH', 'N', 'M', 'AA', 'T']",6,simple
2602,respli,"['R', 'EH1', 'S', 'P', 'L', 'IY0']","['R', 'EH', 'S', 'P', 'L', 'IY']",6,simple
2605,lontab,"['L', 'AA1', 'N', 'T', 'AH0', 'B']","['L', 'AA', 'N', 'T', 'AH', 'B']",6,simple
2611,befent,"['B', 'IH0', 'F', 'EH1', 'N', 'T']","['B', 'IH', 'F', 'EH', 'N', 'T']",6,simple
2620,penget,"['P', 'EH1', 'N', 'JH', 'AH0', 'T']","['P', 'EH', 'N', 'JH', 'AH', 'T']",6,simple
2624,acadin,"['AE1', 'K', 'AH0', 'D', 'IH0', 'N']","['AE', 'K', 'AH', 'D', 'IH', 'N']",6,simple
2625,condst,"['K', 'AA1', 'N', 'D', 'S', 'T']","['K', 'AA', 'N', 'D', 'S', 'T']",6,simple
2629,begren,"['B', 'EH1', 'G', 'R', 'AH0', 'N']","['B', 'EH', 'G', 'R', 'AH', 'N']",6,simple
2644,empred,"['EH1', 'M', 'P', 'R', 'EH2', 'D']","['EH', 'M', 'P', 'R', 'EH', 'D']",6,simple
2657,degmen,"['D', 'EH1', 'G', 'M', 'AH0', 'N']","['D', 'EH', 'G', 'M', 'AH', 'N']",6,simple
2658,habyla,"['HH', 'AH0', 'B', 'IY1', 'L', 'AH0']","['HH', 'AH', 'B', 'IY', 'L', 'AH']",6,simple
2664,destri,"['D', 'EH1', 'S', 'T', 'R', 'IY0']","['D', 'EH', 'S', 'T', 'R', 'IY']",6,simple
2667,prejun,"['P', 'R', 'EH1', 'JH', 'AH0', 'N']","['P', 'R', 'EH', 'JH', 'AH', 'N']",6,simple
2678,reampi,"['R', 'IY0', 'M', 'AE1', 'P', 'IY0']","['R', 'IY', 'M', 'AE', 'P', 'IY']",6,simple
2680,detwes,"['D', 'EH1', 'T', 'W', 'IY1', 'Z']","['D', 'EH', 'T', 'W', 'IY', 'Z']",6,simple
2681,barcue,"['B', 'AA1', 'R', 'K', 'Y', 'UW0']","['B', 'AA', 'R', 'K', 'Y', 'UW']",6,simple
2682,betist,"['B', 'EH1', 'T', 'IH0', 'S', 'T']","['B', 'EH', 'T', 'IH', 'S', 'T']",6,simple
2686,moteri,"['M', 'OW0', 'T', 'EH1', 'R', 'IY0']","['M', 'OW', 'T', 'EH', 'R', 'IY']",6,simple
2688,contis,"['K', 'AA1', 'N', 'T', 'IH0', 'S']","['K', 'AA', 'N', 'T', 'IH', 'S']",6,simple
2693,precat,"['P', 'R', 'IY1', 'K', 'AH0', 'T']","['P', 'R', 'IY', 'K', 'AH', 'T']",6,simple
2694,mometi,"['M', 'OW0', 'M', 'EH1', 'T', 'IY0']","['M', 'OW', 'M', 'EH', 'T', 'IY']",6,simple
2702,livira,"['L', 'IH0', 'V', 'IH1', 'R', 'AH0']","['L', 'IH', 'V', 'IH', 'R', 'AH']",6,simple
2703,frodus,"['F', 'R', 'OW1', 'D', 'AH0', 'S']","['F', 'R', 'OW', 'D', 'AH', 'S']",6,simple
2704,preden,"['P', 'R', 'EH1', 'D', 'AH0', 'N']","['P', 'R', 'EH', 'D', 'AH', 'N']",6,simple
2713,levirm,"['L', 'EH1', 'V', 'IH0', 'R', 'M']","['L', 'EH', 'V', 'IH', 'R', 'M']",6,simple
2715,fatuar,"['F', 'AE1', 'CH', 'UW0', 'AA2', 'R']","['F', 'AE', 'CH', 'UW', 'AA', 'R']",6,simple
2717,tompan,"['T', 'AH1', 'M', 'P', 'AH0', 'N']","['T', 'AH', 'M', 'P', 'AH', 'N']",6,simple
2720,provic,"['P', 'R', 'AA1', 'V', 'IH0', 'K']","['P', 'R', 'AA', 'V', 'IH', 'K']",6,simple
2721,hontom,"['HH', 'AA1', 'N', 'T', 'AH0', 'M']","['HH', 'AA', 'N', 'T', 'AH', 'M']",6,simple
2728,consib,"['K', 'AH0', 'N', 'S', 'IH1', 'B']","['K', 'AH', 'N', 'S', 'IH', 'B']",6,simple
2741,injusa,"['IH0', 'N', 'JH', 'UW1', 'S', 'AH0']","['IH', 'N', 'JH', 'UW', 'S', 'AH']",6,simple
2742,actimu,"['AE1', 'K', 'T', 'IH0', 'M', 'AH0']","['AE', 'K', 'T', 'IH', 'M', 'AH']",6,simple
2746,admila,"['AA0', 'D', 'M', 'IY1', 'L', 'AH0']","['AA', 'D', 'M', 'IY', 'L', 'AH']",6,simple
2752,geopli,"['JH', 'IY0', 'AA1', 'L', 'P', 'IY0']","['JH', 'IY', 'AA', 'L', 'P', 'IY']",6,simple
2754,implab,"['IH1', 'M', 'P', 'L', 'AE2', 'B']","['IH', 'M', 'P', 'L', 'AE', 'B']",6,simple
2757,devera,"['D', 'EY0', 'V', 'EH1', 'R', 'AH0']","['D', 'EY', 'V', 'EH', 'R', 'AH']",6,simple
2762,elecif,"['IH0', 'L', 'IY1', 'S', 'IH0', 'F']","['IH', 'L', 'IY', 'S', 'IH', 'F']",6,simple
2770,watica,"['W', 'AA1', 'T', 'IH0', 'K', 'AH0']","['W', 'AA', 'T', 'IH', 'K', 'AH']",6,simple
2775,genati,"['JH', 'EH0', 'N', 'AA1', 'T', 'IY0']","['JH', 'EH', 'N', 'AA', 'T', 'IY']",6,simple
2778,unrend,"['AH0', 'N', 'R', 'EH1', 'N', 'D']","['AH', 'N', 'R', 'EH', 'N', 'D']",6,simple
2779,implac,"['IH1', 'M', 'P', 'L', 'AE2', 'K']","['IH', 'M', 'P', 'L', 'AE', 'K']",6,simple
2780,pradqu,"['P', 'R', 'AE1', 'D', 'K', 'UW2']","['P', 'R', 'AE', 'D', 'K', 'UW']",6,simple
2785,proban,"['P', 'R', 'OW1', 'B', 'AH0', 'N']","['P', 'R', 'OW', 'B', 'AH', 'N']",6,simple
2786,sconom,"['S', 'K', 'AA1', 'N', 'AH0', 'M']","['S', 'K', 'AA', 'N', 'AH', 'M']",6,simple
2787,topute,"['T', 'AA1', 'P', 'Y', 'UW0', 'T']","['T', 'AA', 'P', 'Y', 'UW', 'T']",6,simple
2792,propla,"['P', 'R', 'AA1', 'P', 'L', 'AH0']","['P', 'R', 'AA', 'P', 'L', 'AH']",6,simple
2793,buinks,"['B', 'Y', 'UW1', 'NG', 'K', 'S']","['B', 'Y', 'UW', 'NG', 'K', 'S']",6,simple
2807,crobal,"['K', 'R', 'AA1', 'B', 'AH0', 'L']","['K', 'R', 'AA', 'B', 'AH', 'L']",6,simple
2809,liscov,"['L', 'IH1', 'S', 'K', 'AA0', 'V']","['L', 'IH', 'S', 'K', 'AA', 'V']",6,simple
2820,streco,"['S', 'T', 'R', 'EH1', 'K', 'OW0']","['S', 'T', 'R', 'EH', 'K', 'OW']",6,simple
2827,winuat,"['W', 'IH1', 'N', 'Y', 'AH0', 'T']","['W', 'IH', 'N', 'Y', 'AH', 'T']",6,simple
2830,indeli,"['IH0', 'N', 'D', 'EH1', 'L', 'IY0']","['IH', 'N', 'D', 'EH', 'L', 'IY']",6,simple
2834,brobab,"['B', 'R', 'OW1', 'B', 'AE2', 'B']","['B', 'R', 'OW', 'B', 'AE', 'B']",6,simple
2835,relmon,"['R', 'EH1', 'L', 'M', 'AH0', 'N']","['R', 'EH', 'L', 'M', 'AH', 'N']",6,simple
2845,pativi,"['P', 'AH0', 'T', 'IY1', 'V', 'IY0']","['P', 'AH', 'T', 'IY', 'V', 'IY']",6,simple
2854,openon,"['OW1', 'P', 'AH0', 'N', 'AA0', 'N']","['OW', 'P', 'AH', 'N', 'AA', 'N']",6,simple
2855,conviv,"['K', 'AA1', 'N', 'V', 'IH0', 'V']","['K', 'AA', 'N', 'V', 'IH', 'V']",6,simple
2858,engiti,"['EH0', 'NG', 'G', 'IY1', 'T', 'IY0']","['EH', 'NG', 'G', 'IY', 'T', 'IY']",6,simple
2866,marbod,"['M', 'AA1', 'R', 'B', 'AA0', 'D']","['M', 'AA', 'R', 'B', 'AA', 'D']",6,simple
2872,exciet,"['EH1', 'K', 'S', 'IY0', 'AH0', 'T']","['EH', 'K', 'S', 'IY', 'AH', 'T']",6,simple
2873,dresib,"['D', 'R', 'EH1', 'Z', 'AH0', 'B']","['D', 'R', 'EH', 'Z', 'AH', 'B']",6,simple
2874,crinin,"['K', 'R', 'IH1', 'N', 'IH0', 'N']","['K', 'R', 'IH', 'N', 'IH', 'N']",6,simple
2900,pospen,"['P', 'AA1', 'S', 'P', 'AH0', 'N']","['P', 'AA', 'S', 'P', 'AH', 'N']",6,simple
2902,smildi,"['S', 'M', 'IH1', 'L', 'D', 'IY0']","['S', 'M', 'IH', 'L', 'D', 'IY']",6,simple
2904,mondit,"['M', 'AA1', 'N', 'D', 'AH0', 'T']","['M', 'AA', 'N', 'D', 'AH', 'T']",6,simple
2919,govelo,"['G', 'AH0', 'V', 'EH1', 'L', 'OW0']","['G', 'AH', 'V', 'EH', 'L', 'OW']",6,simple
2923,kidwin,"['K', 'IH1', 'D', 'W', 'IH0', 'N']","['K', 'IH', 'D', 'W', 'IH', 'N']",6,simple
2928,monefu,"['M', 'OW1', 'N', 'F', 'Y', 'UW0']","['M', 'OW', 'N', 'F', 'Y', 'UW']",6,simple
2935,provio,"['P', 'R', 'OW1', 'V', 'IY0', 'OW0']","['P', 'R', 'OW', 'V', 'IY', 'OW']",6,simple
2939,brotem,"['B', 'R', 'OW1', 'T', 'AH0', 'M']","['B', 'R', 'OW', 'T', 'AH', 'M']",6,simple
2947,goviti,"['G', 'OW0', 'V', 'IH1', 'T', 'IY0']","['G', 'OW', 'V', 'IH', 'T', 'IY']",6,simple
2954,delati,"['D', 'EH0', 'L', 'AA1', 'T', 'IY0']","['D', 'EH', 'L', 'AA', 'T', 'IY']",6,simple
2964,insita,"['IH0', 'N', 'S', 'IY1', 'T', 'AH0']","['IH', 'N', 'S', 'IY', 'T', 'AH']",6,simple
2970,openda,"['OW0', 'P', 'EH1', 'N', 'D', 'AH0']","['OW', 'P', 'EH', 'N', 'D', 'AH']",6,simple
2971,prienu,"['P', 'R', 'IY0', 'EY1', 'N', 'UW0']","['P', 'R', 'IY', 'EY', 'N', 'UW']",6,simple
2973,quildi,"['K', 'W', 'IH1', 'L', 'D', 'IY0']","['K', 'W', 'IH', 'L', 'D', 'IY']",6,simple
2976,patimi,"['P', 'AH0', 'T', 'IY1', 'M', 'IY0']","['P', 'AH', 'T', 'IY', 'M', 'IY']",6,simple
2986,hopyri,"['HH', 'OW0', 'P', 'AY1', 'R', 'IY0']","['HH', 'OW', 'P', 'AY', 'R', 'IY']",6,simple
2988,unliti,"['AH2', 'N', 'L', 'AY1', 'T', 'IY0']","['AH', 'N', 'L', 'AY', 'T', 'IY']",6,simple
3004,hignip,"['HH', 'IH1', 'G', 'N', 'IH0', 'P']","['HH', 'IH', 'G', 'N', 'IH', 'P']",6,simple
3005,alobab,"['AE1', 'L', 'AH0', 'B', 'AE2', 'B']","['AE', 'L', 'AH', 'B', 'AE', 'B']",6,simple
3026,loctio,"['L', 'AA1', 'K', 'T', 'IY0', 'OW0']","['L', 'AA', 'K', 'T', 'IY', 'OW']",6,simple
3030,rusbat,"['R', 'AH1', 'S', 'B', 'AE2', 'T']","['R', 'AH', 'S', 'B', 'AE', 'T']",6,simple
3035,beficy,"['B', 'IH0', 'F', 'IH1', 'S', 'IY0']","['B', 'IH', 'F', 'IH', 'S', 'IY']",6,simple
3048,danvin,"['D', 'AE1', 'N', 'V', 'IH0', 'N']","['D', 'AE', 'N', 'V', 'IH', 'N']",6,simple
3049,condma,"['K', 'AA1', 'N', 'D', 'M', 'AH0']","['K', 'AA', 'N', 'D', 'M', 'AH']",6,simple
3050,mexies,"['M', 'EH1', 'K', 'S', 'IY0', 'Z']","['M', 'EH', 'K', 'S', 'IY', 'Z']",6,simple
3054,convil,"['K', 'AA1', 'N', 'V', 'IH0', 'L']","['K', 'AA', 'N', 'V', 'IH', 'L']",6,simple
3056,rescri,"['R', 'EH1', 'S', 'K', 'R', 'IY0']","['R', 'EH', 'S', 'K', 'R', 'IY']",6,simple
3061,togera,"['T', 'OW0', 'JH', 'EH1', 'R', 'AH0']","['T', 'OW', 'JH', 'EH', 'R', 'AH']",6,simple
3068,contag,"['K', 'AA1', 'N', 'T', 'AE0', 'G']","['K', 'AA', 'N', 'T', 'AE', 'G']",6,simple
3083,amagus,"['AE1', 'M', 'AH0', 'G', 'AH0', 'S']","['AE', 'M', 'AH', 'G', 'AH', 'S']",6,simple
3092,argare,"['AA0', 'R', 'G', 'AA1', 'R', 'IY0']","['AA', 'R', 'G', 'AA', 'R', 'IY']",6,simple
3097,irangi,"['IH0', 'R', 'AA1', 'N', 'JH', 'IY0']","['IH', 'R', 'AA', 'N', 'JH', 'IY']",6,simple
3099,squali,"['S', 'K', 'W', 'AA1', 'L', 'IY0']","['S', 'K', 'W', 'AA', 'L', 'IY']",6,simple
3114,yonsti,"['Y', 'AA1', 'N', 'S', 'T', 'IY0']","['Y', 'AA', 'N', 'S', 'T', 'IY']",6,simple
3115,empabi,"['EH0', 'M', 'P', 'AA1', 'B', 'IY0']","['EH', 'M', 'P', 'AA', 'B', 'IY']",6,simple
3124,engeri,"['EH0', 'NG', 'G', 'EH1', 'R', 'IY0']","['EH', 'NG', 'G', 'EH', 'R', 'IY']",6,simple
3126,obvins,"['AA1', 'B', 'V', 'IH0', 'N', 'Z']","['AA', 'B', 'V', 'IH', 'N', 'Z']",6,simple
3131,granio,"['G', 'R', 'AA1', 'N', 'IY0', 'OW0']","['G', 'R', 'AA', 'N', 'IY', 'OW']",6,simple
3132,advemb,"['AH0', 'D', 'V', 'EH1', 'M', 'B']","['AH', 'D', 'V', 'EH', 'M', 'B']",6,simple
3146,positi,"['P', 'OW0', 'Z', 'IH1', 'T', 'IY0']","['P', 'OW', 'Z', 'IH', 'T', 'IY']",6,simple
3162,boduct,"['B', 'OW1', 'D', 'AH0', 'K', 'T']","['B', 'OW', 'D', 'AH', 'K', 'T']",6,simple
3181,remost,"['R', 'IY0', 'M', 'OW1', 'S', 'T']","['R', 'IY', 'M', 'OW', 'S', 'T']",6,simple
3190,suspos,"['S', 'UW1', 'S', 'P', 'OW0', 'Z']","['S', 'UW', 'S', 'P', 'OW', 'Z']",6,simple
3205,unclud,"['AH0', 'N', 'K', 'L', 'AH1', 'D']","['AH', 'N', 'K', 'L', 'AH', 'D']",6,simple
3206,fraden,"['F', 'R', 'EY1', 'D', 'AH0', 'N']","['F', 'R', 'EY', 'D', 'AH', 'N']",6,simple
3220,redror,"['R', 'IY0', 'D', 'R', 'AO1', 'R']","['R', 'IY', 'D', 'R', 'AO', 'R']",6,simple
3235,hydned,"['HH', 'IH1', 'D', 'N', 'IH0', 'D']","['HH', 'IH', 'D', 'N', 'IH', 'D']",6,simple
3243,stitio,"['S', 'T', 'IY1', 'T', 'IY0', 'OW0']","['S', 'T', 'IY', 'T', 'IY', 'OW']",6,simple
3275,previc,"['P', 'R', 'EH1', 'V', 'IH0', 'K']","['P', 'R', 'EH', 'V', 'IH', 'K']",6,simple
3278,medepho,"['M', 'EH1', 'D', 'AH0', 'F', 'OW2']","['M', 'EH', 'D', 'AH', 'F', 'OW']",6,simple
3288,newspap,"['N', 'UW1', 'Z', 'P', 'AE2', 'P']","['N', 'UW', 'Z', 'P', 'AE', 'P']",6,simple
3291,inglain,"['IH1', 'NG', 'G', 'L', 'EY2', 'N']","['IH', 'NG', 'G', 'L', 'EY', 'N']",6,simple
3293,insitry,"['IH1', 'N', 'S', 'T', 'R', 'IY0']","['IH', 'N', 'S', 'T', 'R', 'IY']",6,simple
3298,turivel,"['T', 'ER1', 'AH0', 'V', 'IH0', 'L']","['T', 'ER', 'AH', 'V', 'IH', 'L']",6,simple
3303,wilmerf,"['W', 'IH1', 'L', 'M', 'ER0', 'F']","['W', 'IH', 'L', 'M', 'ER', 'F']",6,simple
3304,surtogr,"['S', 'ER1', 'T', 'AH0', 'G', 'ER0']","['S', 'ER', 'T', 'AH', 'G', 'ER']",6,simple
3307,polembe,"['P', 'OW1', 'L', 'AH0', 'M', 'B']","['P', 'OW', 'L', 'AH', 'M', 'B']",6,simple
3311,diready,"['D', 'AY0', 'R', 'EH1', 'D', 'IY0']","['D', 'AY', 'R', 'EH', 'D', 'IY']",6,simple
3315,discrie,"['D', 'IH1', 'S', 'K', 'R', 'IY0']","['D', 'IH', 'S', 'K', 'R', 'IY']",6,simple
3322,rebrier,"['R', 'IY0', 'B', 'IH1', 'R', 'IY0']","['R', 'IY', 'B', 'IH', 'R', 'IY']",6,simple
3326,sericer,"['S', 'EH1', 'R', 'IH0', 'S', 'ER0']","['S', 'EH', 'R', 'IH', 'S', 'ER']",6,simple
3331,foolimi,"['F', 'UH0', 'L', 'IY1', 'M', 'IY0']","['F', 'UH', 'L', 'IY', 'M', 'IY']",6,simple
3336,frephin,"['F', 'R', 'EH1', 'F', 'IH0', 'N']","['F', 'R', 'EH', 'F', 'IH', 'N']",6,simple
3346,disterm,"['D', 'IH1', 'S', 'T', 'ER0', 'M']","['D', 'IH', 'S', 'T', 'ER', 'M']",6,simple
3349,speepin,"['S', 'P', 'IY1', 'P', 'IH0', 'N']","['S', 'P', 'IY', 'P', 'IH', 'N']",6,simple
3359,wispide,"['V', 'IH1', 'S', 'P', 'AY0', 'D']","['V', 'IH', 'S', 'P', 'AY', 'D']",6,simple
3366,scready,"['S', 'K', 'R', 'EH1', 'D', 'IY0']","['S', 'K', 'R', 'EH', 'D', 'IY']",6,simple
3374,feetica,"['F', 'IY1', 'T', 'IH0', 'K', 'AH0']","['F', 'IY', 'T', 'IH', 'K', 'AH']",6,simple
3377,inspen,"['IH0', 'N', 'S', 'P', 'EH1', 'N']","['IH', 'N', 'S', 'P', 'EH', 'N']",6,simple
3385,parrita,"['P', 'AA0', 'R', 'IY1', 'T', 'AH0']","['P', 'AA', 'R', 'IY', 'T', 'AH']",6,simple
3387,alreboa,"['AA0', 'L', 'R', 'IY1', 'B', 'OW0']","['AA', 'L', 'R', 'IY', 'B', 'OW']",6,simple
3391,helaste,"['HH', 'EH0', 'L', 'AE1', 'S', 'T']","['HH', 'EH', 'L', 'AE', 'S', 'T']",6,simple
3393,greatio,"['G', 'R', 'IY1', 'T', 'IY0', 'OW2']","['G', 'R', 'IY', 'T', 'IY', 'OW']",6,simple
3399,govessi,"['G', 'AH0', 'V', 'EH1', 'S', 'IY0']","['G', 'AH', 'V', 'EH', 'S', 'IY']",6,simple
3411,diffect,"['D', 'IH1', 'F', 'IH0', 'K', 'T']","['D', 'IH', 'F', 'IH', 'K', 'T']",6,simple
3416,shountl,"['SH', 'AW1', 'N', 'T', 'AH0', 'L']","['SH', 'AW', 'N', 'T', 'AH', 'L']",6,simple
3418,adopose,"['AH0', 'D', 'AA1', 'P', 'OW2', 'Z']","['AH', 'D', 'AA', 'P', 'OW', 'Z']",6,simple
3427,teceivo,"['T', 'EY0', 'S', 'EY1', 'V', 'OW0']","['T', 'EY', 'S', 'EY', 'V', 'OW']",6,simple
3433,buddent,"['B', 'AH1', 'D', 'AH0', 'N', 'T']","['B', 'AH', 'D', 'AH', 'N', 'T']",6,simple
